ID,MapName_Lang_enUS,MapDescription0_Lang_enUS,MapDescription1_Lang_enUS
489,Warsong Gulch,"A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance.

Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance.

Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict."
509,Ruins of Ahn'Qiraj,,
529,Arathi Basin,"The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

The Defiler's elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.

Meanwhile, the League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.","The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.

Meanwhile, the Defiler's elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south."
530,Outland,,
531,Ahn'Qiraj Temple,,
532,Karazhan,,
533,Naxxramas,,
534,The Battle for Mount Hyjal,,
540,Hellfire Citadel: The Shattered Halls,,
542,Hellfire Citadel: The Blood Furnace,,
543,Hellfire Citadel: Ramparts,,
544,Magtheridon's Lair,,
545,Coilfang: The Steamvault,,
546,Coilfang: The Underbog,,
547,Coilfang: The Slave Pens,,
548,Coilfang: Serpentshrine Cavern,,
550,Tempest Keep,,
552,Tempest Keep: The Arcatraz,,
553,Tempest Keep: The Botanica,,
554,Tempest Keep: The Mechanar,,
555,Auchindoun: Shadow Labyrinth,,
556,Auchindoun: Sethekk Halls,,
557,Auchindoun: Mana-Tombs,,
558,Auchindoun: Auchenai Crypts,,
559,Nagrand Arena,,
560,The Escape From Durnholde,,
562,Blade's Edge Arena,,
564,Black Temple,,
565,Gruul's Lair,,
566,Eye of the Storm,"Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

This battlefield is coveted by the blood elves for its rich energy deposits.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.","Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.

This battlefield is coveted by the blood elves for its rich energy deposits."
568,Zul'Aman,,
571,Northrend,,
572,Ruins of Lordaeron,,
573,ExteriorTest,,
574,Utgarde Keep,,
575,Utgarde Pinnacle,,
576,The Nexus,,
578,The Oculus,,
580,The Sunwell,,
582,Transport: Rut'theran to Auberdine,,
584,Transport: Menethil to Theramore,,
585,Magister's Terrace,,
586,Transport: Exodar to Auberdine,,
587,Transport: Feathermoon Ferry,,
588,Transport: Menethil to Auberdine,,
589,Transport: Orgrimmar to Grom'Gol,,
590,Transport: Grom'Gol to Undercity,,
591,Transport: Undercity to Orgrimmar,,
592,Transport: Borean Tundra Test,,
593,Transport: Booty Bay to Ratchet,,
594,Transport: Howling Fjord Sister Mercy (Quest),,
595,The Culling of Stratholme,,
596,Transport: Naglfar,,
597,Craig Test,,
598,Sunwell Fix (Unused),,
599,Halls of Stone,,
600,Drak'Tharon Keep,,
601,Azjol-Nerub,,
602,Halls of Lightning,,
603,Ulduar,,
604,Gundrak,,
605,Development Land (non-weighted textures),,
606,QA and DVD,,
607,Strand of the Ancients,"To the south of Dragonblight lies the resting place of a legendary Titan artifact, known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.","To the south of Dragonblight lies the resting place of a legendary Titan artifact, known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients."
608,Violet Hold,,
609,Ebon Hold,,
610,Transport: Tirisfal to Vengeance Landing,,
612,Transport: Menethil to Valgarde,,
613,Transport: Orgrimmar to Warsong Hold,,
614,Transport: Stormwind to Valiance Keep,,
615,The Obsidian Sanctum,,
616,The Eye of Eternity,,
617,Dalaran Sewers,,
618,The Ring of Valor,,
619,Ahn'kahet: The Old Kingdom,,
620,Transport: Moa'ki to Unu'pe,,
621,Transport: Moa'ki to Kamagua,,
622,Transport: Orgrim's Hammer,,
623,Transport: The Skybreaker,,
624,Vault of Archavon,,
628,Isle of Conquest,"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend.

Serving as an ideal staging ground for operations in Icecrown, each side is determined to secure control of the island.

With the 7th Legion and the Kor'kron Guard locked in deadly combat, both factions have issued a call to arms in hopes of tipping the scales in their favor and defeating the opposing general.","The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend.

Serving as an ideal staging ground for operations in Icecrown, each side is determined to secure control of the island.

With the 7th Legion and the Kor'kron Guard locked in deadly combat, both factions have issued a call to arms in hopes of tipping the scales in their favor and defeating the opposing general."
631,Icecrown Citadel,,
632,The Forge of Souls,,
641,Transport: Alliance Airship BG,,
642,Transport: HordeAirshipBG,,
647,Transport: Orgrimmar to Thunder Bluff,,
649,Trial of the Crusader,,
650,Trial of the Champion,,
658,Pit of Saron,,
668,Halls of Reflection,,
672,Transport: The Skybreaker (Icecrown Citadel Raid),,
673,Transport: Orgrim's Hammer (Icecrown Citadel Raid),,
712,Transport: The Skybreaker (IC Dungeon),,
713,Transport: Orgrim's Hammer (IC Dungeon),,
718,Trasnport: The Mighty Wind (Icecrown Citadel Raid),,
723,Stormwind,,
724,The Ruby Sanctum,,
