ID,Text_Lang_enUS
464,|cffffd100Tip:|r You can use the Calendar to see upcoming holidays or plan events with your guild or friends.
465,|cffffd100Tip:|r You can Right Click on the Clock to set an alarm or display a stopwatch.
466,|cffffd100Tip:|r Characters with the Inscription profession can inscribe glyphs to improve some of your favorite spells and abilities.
467,"|cffffd100Tip:|r If you're looking for something different to do, try to complete some of the more unusual Achievements."
468,"|cffffd100Tip:|r You can link quests, items, spells and achievements to chat messages by Shift-Left Clicking in your log."
469,|cffffd100Tip:|r You can track progress on current quests or achievements.
470,"|cffffd100Tip:|r You can track many things, such as low-level quests or vendors by clicking on the magnifying glass near your mini map."
471,"|cffffd100Tip:|r A sanctuary is a town in which Player vs. Player combat is prohibited, such as Shattrath and Dalaran."
472,|cffffd100Tip:|r Improving your reputation with a faction can grant access to new quests or items.
473,|cffffd100Tip:|r The Calendar can tell you when raids reset.
474,"|cffffd100Tip:|r Creatures cannot make critical hits with spells, but players can."
475,"|cffffd100Tip:|r Creatures can dodge attacks from behind, but players cannot.  Neither creatures nor players can parry attacks from behind."
476,"|cffffd100Tip:|r You can use the V key to show enemy name plates above the enemy's head.  Name plates may help you keep track of enemy health or spell casting, or may make it easier to quickly change targets."
479,|cffffd100Tip:|r You can activate the Equipment Manager feature under Interface Controls to let you quickly swap to sets of gear that you find yourself using often.
480,"|cffffd100Tip:|r Once you reach level 40, your class trainer can instruct you in Dual Talent Specialization. This feature allows you to swap out your talents, glyphs and action bars between two commonly used configurations."
481,|cffffd100Tip:|r You can enable Arena Enemy Frames to display the unit frames of the enemy team when in Arena matches.
482,"|cffffd100Tip:|r Under Interface Display is an option to Preview Talent Changes. If you select this option, you can try out various ways to spend talent points before saving the changes."
483,"|cffffd100Tip:|r If you press <Alt> while your cursor is over an item slot on your character, you can produce a list of items that can be equipped in that slot."
489,"|cffffd100Tip:|r If an enemy cast bar has a shield icon around it, that means you cannot interrupt the spell with your abilities."
490,|cffffd100Tip:|r Your guild can schedule Guild Events using the in-game calendar. You choose to sign up for these events rather than waiting for an invitation.
491,"|cffffd100Tip:|r When the autocomplete feature suggests character names, you can use Tab or <Shift> Tab to select a name from the list."
500,|cffffd100Tip:|r Always verify that you are accessing an official Blizzard website whenever submitting account information.
501,|cffffd100Tip:|r Emails from Blizzard will always end in either blizzard.com or battle.net.
502,|cffffd100Tip:|r You can download free programs to regularly scan your machine for malicious software including keyloggers.
503,"|cffffd100Tip:|r For additional features and functionality, merge your World of Warcraft account into a Blizzard Battle.net account."
504,|cffffd100Tip:|r Using a Blizzard Authenticator or Battle.net Mobile Authenticator will help protect your World of Warcraft account from theft.
505,"|cffffd100Tip:|r To avoid account theft, do not login to World of Warcraft on a computer that is shared with the general public. These machines can be infected with malicious software."
506,|cffffd100Tip:|r Be wary of unofficial sites advertising paid World of Warcraft services. These may contain malicious software that can lead to account theft.
507,"|cffffd100Tip:|r To avoid account theft, do not use browser add-ons or features that allow scripts to be run in the background."
508,|cffffd100Tip:|r Quest locations and questgivers can be seen on your map.
509,|cffffd100Tip:|r You can earn rewards for running random dungeons using the Dungeon Finder tool. You can go with a group of friends or use Dungeon Finder to find a dungeon group.
