ID,Name_Lang_enUS,Description_Lang_enUS
963,Chess Alliance,
964,Chess Horde,
965,Monster Spar,
966,Monster Spar Buddy,
967,The Violet Eye,A secret sect of the Kirin Tor founded to spy on Medivh and his activities.
968,Sunhawks,
969,Hand of Argus,
970,Sporeggar,The sporelings are a mostly peaceful race of mushroom-men native to Outland. Their home is located in the southern bogs of Zangarmarsh. 
971,Fungal Giant,
972,Spore Bat,
973,"Monster, Predator",
974,"Monster, Prey",
975,Void Anomaly,
976,Hyjal Defenders,
977,Hyjal Invaders,
978,Kurenai,"Draenei for ""redeemed.""  These Broken have escaped the grasp of their various slavers in Outland and have made their home in Nagrand.  It is there that they seek to rediscover their destiny."
979,Earthen Ring,
980,The Burning Crusade,
981,Arakkoa,
982,Zangarmarsh Banner (Alliance),
983,Zangarmarsh Banner (Horde),
984,Zangarmarsh Banner (Neutral),
985,Caverns of Time - Thrall,
986,Caverns of Time - Durnholde,
987,Caverns of Time - Southshore Guards,
988,Shadow Council Covert,
989,Keepers of Time,The Keepers of Time are bronze dragons hand-picked by Nozdormu to watch over the Caverns of Time.
990,The Scale of the Sands,"A secretive subgroup of the Bronze Dragonflight, led by Soridormi, prime mate of Nozdormu."
991,"Dark Portal Defender, Alliance",
992,"Dark Portal Defender, Horde",
993,"Dark Portal Attacker, Legion",
994,Inciter Trigger,Used for the Blackheart the Inciter event.
995,Inciter Trigger 2,Used for the Blackheart the Inciter event.
996,Inciter Trigger 3,Used for the Blackheart the Inciter event.
997,Inciter Trigger 4,Used for the Blackheart the Inciter event.
998,Inciter Trigger 5,Used for the Blackheart the Inciter event.
999,Mana Creature,
1000,Khadgar's Servant,
1001,Bladespire Clan,
1002,Ethereum Sparbuddy,
1003,Protectorate,
1004,Arcane Annihilator (DNR),
1005,"Friendly, Hidden",
1006,Kirin'Var - Dathric,
1007,Kirin'Var - Belmara,
1008,Kirin'Var - Luminrath,
1009,Kirin'Var - Cohlien,
1010,Servant of Illidan,
1011,Lower City,The refugees of Shattrath come from diverse backgrounds and races.  Word of helpful deeds spreads quickly among the Denizens of Lower City.
1012,Ashtongue Deathsworn,"The elite of the Broken tribe known as the Ashtongue, officially aligned with Illidan. The Deathsworn are Akama's most trusted lieutenants and are privy to their leader's mysterious motivations."
1013,Spirits of Shadowmoon 1,
1014,Spirits of Shadowmoon 2,
1015,Netherwing,"This unusual brood of dragons was spawned from the eggs of Deathwing's black dragonflight, and infused with raw nether-energies.  Now, they seek to find their identity beyond the shadows of their father's destructive heritage."
1016,Wyrmcult,
1017,Treant,
1018,Leotheras Demon I,
1019,Leotheras Demon II,
1020,Leotheras Demon III,
1021,Leotheras Demon IV,
1022,Leotheras Demon V,
1023,Azaloth,
1024,Rock Flayer,
1025,Flayer Hunter,
1026,Shadowmoon Shade,
1027,Legion Communicator,
1028,Ravenswood Ancients,
1029,"Chess, Friendly to All Chess",
1030,Black Temple Gates - Illidari,
1031,Sha'tari Skyguard,An airborne military force created by Shattrath City to deal with the threats that loom in the highest reaches of Outland.
1032,Area 52,
1033,Maiev,
1034,Skettis Shadowy Arakkoa,
1035,Skettis Arakkoa,
1036,Dragonmaw Enemy,
1037,Alliance Vanguard,"The combined forces of the Alliance in Northrend, lead by the Valiance Expedition, but also including civilian groups such as the Explorer's League."
1038,Ogri'la,"The enlightened denizens of Ogri'la have made their dwelling in the western Blade's Edge Mountains, where proximity to apexis crystals has caused them to transcend their brutish ogre nature."
1039,Ravager,
1040,REUSE,
1041,Frenzy,
1042,Skyguard Enemy,
1043,"Skunk, Petunia",
1044,Theramore Deserter,
1045,Vrykul,
1046,Northsea Pirates,
1047,Tuskarr,
1048,UNUSED,
1049,"Troll, Amani",
1050,Valiance Expedition,"The main armies of the Alliance in Northrend, moving against the Scourge and unified under King Varian Wrynn's command."
1051,UNUSED,
1052,Horde Expedition,"The combined forces of the Horde in Northrend, spearheaded by the Warsong Offensive."
1053,Westguard,
1054,Spotted Gryphon,
1055,Tamed Plaguehound,
1056,Vrykul (Ancient Spirit 1),
1057,Vrykul (Ancient Siprit 2),
1058,Vrykul (Ancient Siprit 3),
1059,CTF - Flag - Alliance,
1060,Test,
1061,vrykul,
1062,Vrykul Gladiator,
1063,Valgarde Combatant,
1064,The Taunka,These hardy people are cousins of the Tauren and have become valuable scouts for the armies of the Horde as they march northward.
1065,"Monster, Zone Force Reaction 1",
1066,"Monster, Zone Force Reaction 2",
1067,The Hand of Vengeance,The Forsaken tasked by Sylvanas Windrunner with enacting Undercity's vengeance against Arthas by delivering the latest strain of their deadly Plague.
1068,Explorers' League,This organization seeks to find the origin of the dwarven race by collecting Titan artifacts.  Their most recent research has led them to various archeological sites in Northrend.
1069,Ram Racing Powerup DND,
1070,Ram Racing Trap DND,
1071,Craig's Squirrels,A test faction.
1072,REUSE,
1073,The Kalu'ak,The tuskarr are a tough but peaceful people who derive their livelihood from fishing and whaling.  Their settlements have recently come under fierce attack and welcome any allies who would come to their aid.
1074,Holiday - Water Barrel,
1075,Holiday - Generic,
1076,Iron Dwarves,
1077,Shattered Sun Offensive,Shattrath City's final push against Prince Kael'thas' operations in the Sunwell.
1078,Fighting Vanity Pet,
1079,"Murloc, Winterfin",
1080,"Friendly, Force Reaction",
1081,"Object, Force Reaction",
1082,REUSE,
1083,REUSE,
1084,"Vrykul, Sea",
1085,Warsong Offensive,Garrosh Hellscream commands the Horde's main expeditionary forces as they make their way into Northrend to face Arthas and the armies of the Scourge.
1086,Poacher,
1087,Holiday Monster,
1088,"Furbolg, Redfang",
1089,"Furbolg, Frostpaw",
1090,Kirin Tor,"The mages and archmages running the city of Dalaran.  Faced with the rising threats of the Blue Dragonflight and the Scourge, they've transported their city to the heart of Northrend."
1091,The Wyrmrest Accord,"With the Blue Dragonflight's violent upheaval against all mortal users of magic, the remaining dragonflights have banded under the leadership of the Red Dragonflight to combat their wayward kin."
1092,Azjol-Nerub,
1093,REUSE,
1094,The Silver Covenant,A militant core of high elves that rejects the admission of blood elves into the Kirin Tor.  They've united under the banner of Vereesa Windrunner and joined the Alliance forces in Northrend.
1095,Grizzly Hills Trapper,
1096,REUSE,
1097,Wrath of the Lich King,
1098,Knights of the Ebon Blade,"Freed from the grasp of the Lich King, his former Death Knights have regrouped against him under the banner of Highlord Darion Mograine."
1099,Wrathgate Scourge,
1100,Wrathgate Alliance,
1101,Wrathgate Horde,
1102,CTF - Flag - Horde,
1103,CTF - Flag - Neutral,
1104,Frenzyheart Tribe,"Driven from their lands by the Scourge, this fierce tribe of wolvar stumbled upon Sholazar Basin, where they intend to make their new home.  Their aggressive nature has put them at odds with the various gorloc tribes known collectively as the Oracles."
1105,The Oracles,The gorlocs of Sholazar Basin are a race of reptilian creatures who see themselves as guardians of the titan technology that remains in the zone (though they understand little of it).  They find themselves in an escalating territorial war with the wolvar.
1106,Argent Crusade,"Led by Tirion Fordring, the Argent Crusade combines the reformed Order of the Silver Hand with the Argent Dawn in one final push against the forces of the Lich King."
1107,"Troll, Drakkari",
1108,CoT Arthas,
1109,CoT Stratholme Citizen,
1110,CoT Scourge,
1111,Freya,
1112,Mount - Taxi - Alliance,
1113,Mount - Taxi - Horde,
1114,Mount - Taxi - Neutral,
1115,"Elemental, Water",
1116,"Elemental, Air",
1117,Sholazar Basin,
1118,Classic,
1119,The Sons of Hodir,The frost giants of the Storm Peaks are a war-like race that makes their home in Dun Nifelem.
1120,Iron Giants,
1121,Frost Vrykul,
1122,Earthen,
1123,Monster Referee,
1124,The Sunreavers,"Traditionally barred from Dalaran, the Horde has been accepted into the city through the efforts of Archmage Aethas Sunreaver.  His followers have taken up his name and watch over the ward known as Sunreaver's Sanctuary."
1125,Hyldsmeet,
1126,The Frostborn,This mysterious race of frost dwarves makes their home in the Storm Peaks.  They've recently befriended members of the Explorers' League and welcome Alliance members within their settlements.
1127,Orgrimmar (Alex Test),
1136,Tranquillien Conversion,
1137,Wintersaber Conversion,
1145,Hates Everything,
1154,Silver Covenant Conversion,
1155,Sunreavers Conversion,
1156,The Ashen Verdict,"Under a pact by Tirion Fordring and Darion Mograine, the Argent Crusade and the Knights of the Ebon Blade have set aside their differences during the attack on Icecrown Citadel until the Lich King is slain."
1159,CTF - Flag - Alliance 2,
1160,CTF - Flag - Horde 2,
