ID,Description_Lang_enUS
738,Sergeant
739,Grunt
740,Scout
741,"Thori'dal, the Stars' Fury"
742,Trial of the Naaru
744,The Vials of Eternity
745,A Distraction for Akama
746,"Thunderfury, Blessed Blade of the Windseeker"
747,"Atiesh, Greatstaff of the Guardian"
748,"Atiesh, Greatstaff of the Guardian"
749,"Atiesh, Greatstaff of the Guardian"
750,"Atiesh, Greatstaff of the Guardian"
752,Purchase 7 bank slots
753,Swords
754,Two-Handed Axes
755,Two-Handed Swords
756,Unarmed
757,Wands
758,Win Warsong Gulch in under 7 minutes
759,Insignia of the Horde
760,Insignia of the Horde
761,Insignia of the Horde
762,Insignia of the Horde
763,Insignia of the Horde
764,Insignia of the Horde
765,Insignia of the Horde
766,Insignia of the Horde
767,Insignia of the Horde
768,Medallion of the Horde
769,Medallion of the Horde
770,Medallion of the Horde
771,Medallion of the Horde
772,Medallion of the Horde
773,Medallion of the Horde
774,Medallion of the Horde
775,Medallion of the Horde
776,Medallion of the Horde
777,Medallion of the Horde
778,Medallion of the Horde
779,Insignia of the Alliance
780,Insignia of the Alliance
781,Insignia of the Alliance
782,Insignia of the Alliance
783,Insignia of the Alliance
784,Insignia of the Alliance
785,Insignia of the Alliance
786,Insignia of the Alliance
787,Insignia of the Alliance
788,Medallion of the Alliance
789,Medallion of the Alliance
790,Medallion of the Alliance
791,Medallion of the Alliance
792,Medallion of the Alliance
793,Medallion of the Alliance
794,Medallion of the Alliance
795,Medallion of the Alliance
796,Medallion of the Alliance
797,Medallion of the Alliance
798,Medallion of the Alliance
799,Magical Crawdad Box
822,Valley of Trials
823,Sen'jin Village
824,Kolkar Crag
825,Echo Isles
826,Tiragarde Keep
827,Razor Hill
828,Razormane Grounds
829,Thunder Ridge
830,Drygulch Ravine
831,Skull Rock
832,Orgrimmar
834,Two-Handed Maces
835,Become a journeyman fisherman
836,Become a expert fisherman
837,Become an artisan fisherman
838,Become a master fisherman
839,Become a grand master fisherman
840,Become a journeyman in first aid
841,Become a expert in first aid
842,Become an artisan in first aid
843,Become a master in first aid
844,Become a grand master in first aid
845,Grand Master Fisherman
846,Grand Master in First Aid
847,Grand Master Cook
848,Alchemy
849,Blacksmithing
850,Enchanting
851,Engineering
852,Herbalism
853,Inscription
854,Jewelcrafting
855,Leatherworking
856,Mining
857,Skinning
858,Tailoring
859,Alchemy
860,Blacksmithing
861,Enchanting
862,Engineering
863,Herbalism
864,Inscription
865,Jewelcrafting
866,Leatherworking
867,Mining
868,Skinning
869,Tailoring
870,Alchemy
871,Blacksmithing
872,Enchanting
873,Engineering
874,Herbalism
875,Inscription
876,Jewelcrafting
877,Leatherworking
878,Mining
879,Skinning
880,Tailoring
881,Alchemy
882,Blacksmithing
883,Enchanting
884,Engineering
885,Herbalism
886,Inscription
887,Jewelcrafting
888,Leatherworking
889,Mining
890,Skinning
891,Tailoring
892,Alchemy
893,Blacksmithing
894,Enchanting
895,Engineering
896,Herbalism
897,Inscription
898,Jewelcrafting
899,Leatherworking
900,Mining
901,Skinning
902,Tailoring
903,Red Cloud Mesa
904,Palemane Rock
905,Winterhoof Water Well
906,The Rolling Plains
907,The Venture Co. Mine
908,Ravaged Caravan
909,Thunderhorn Water Well
910,Bael'Dun Digsite
911,Thunder Bluff
912,Red Rocks
913,Windfury Ridge
914,Bloodhoof Village
915,Wildmane Water Well
916,The Golden Plains
917,Boulder Lode Mine
918,The Sludge Fen
919,The Mor'shan Rampart
920,Dreadmist Peak
921,The Dry Hills
922,The Forgotten Pools
923,Honor's Stand
924,Grol'dom Farm
925,Far Watch Post
926,Thorn Hill
927,The Crossroads
928,The Stagnant Oasis
929,Ratchet
930,The Merchant Coast
931,Northwatch Hold
932,Raptor Grounds
933,Lushwater Oasis
934,Agama'gor
935,Bramblescar
936,Camp Taurajo
937,Field of Giants
938,Blackthorn Ridge
939,Bael Modan
940,Razorfen Kraul
941,Razorfen Downs
943,Deaths in Naxxramas
944,Chillwind Point
945,Corrahn's Dagger
949,Crushridge Hold
950,Dalaran Crater
951,Dandred's Fold
952,Gallows' Corner
953,Gavin's Naze
954,Growless Cave
955,Lordamere Internment Camp
956,Misty Shore
957,Ruins of Alterac
958,Sofera's Naze
959,Strahnbrad
960,The Headland
961,The Uplands
962,Circle of West Binding
963,Northfold Manor
964,Thoradin's Wall
965,Stromgarde Keep
966,Faldir's Cove
967,Circle of Inner Binding
968,Thandol Span
969,Boulderfist Hall
970,Refuge Pointe
971,Circle of Outer Binding
972,Witherbark Village
973,Go'Shek Farm
974,Dabyrie's Farmstead
975,Circle of East Binding
976,Hammerfall
977,Get a reputation to exalted
978,5 reputations to exalted
979,10 reputations to exalted
980,15 reputations to exalted
981,20 reputations to exalted
982,Exalted Reputations
984,25 reputations to exalted
985,30 reputations to exalted
986,Exalted with The Defilers
987,Exalted with The League of Arathor
988,Exalted with Warsong Outriders
989,Exalted with Silverwing Sentinels
990,Exalted with the Frostwolf Clan
991,Exalted with the Stormpike Guard
992,Exalted Orgrimmar
993,Exalted Thunder Bluff
994,Exalted Undercity
995,Exalted Darkspear Trolls
996,Exalted Silvermoon City
1003,Thrallmar
1005,The Sha'tar
1006,Lower City
1007,Cenarion Expedition
1008,Keepers of Time
1009,Honor Hold
1010,The Sha'tar
1011,Lower City
1012,Cenarion Expedition
1013,Keepers of Time
1014,Lethlor Ravine
1015,Camp Boff
1016,Agmond's End
1017,Mirage Flats
1018,Camp Cagg
1019,Apocryphan's Rest
1020,Kargath
1021,The Dustbowl
1022,Valley of Fangs
1023,Angor Fortress
1024,Dustwind Gulch
1025,Hammertoe's Digsite
1026,The Maker's Terrace
1027,Camp Kosh
1028,Dreadmaul Hold
1029,Garrison Armory
1030,Nethergarde Keep
1031,Serpent's Coil
1032,The Dark Portal
1033,Altar of Storms
1034,Dreadmaul Post
1035,The Tainted Scar
1036,Rise of the Defiler
1037,Deathknell
1038,Solliden Farmstead
1039,Agamand Mills
1040,Stillwater Pond
1041,Nightmare Vale
1042,Cold Hearth Manor
1043,Brill
1044,Garren's Haunt
1045,Undercity
1046,Brightwater Lake
1047,Balnir Farmstead
1048,Crusader Outpost
1049,Scarlet Watch Post
1050,Whispering Gardens
1051,Venomweb Vale
1052,The Bulwark
1053,Malden's Orchard
1054,The Shining Strand
1055,The Dead Field
1056,The Skittering Dark
1057,North Tide's Hollow
1058,Fenris Isle
1059,The Decrepit Ferry
1060,The Sepulcher
1061,Deep Elem Mine
1062,Olsen's Farthing
1063,Ambermill
1064,Shadowfang Keep
1065,Pyrewood Village
1066,The Greymane Wall
1067,Beren's Peril
1068,Darrowmere Lake
1069,Caer Darrow
1070,Sorrow Hill
1071,Ruins of Andorhal
1072,The Bulwark
1073,Felstone Field
1074,Dalson's Tears
1075,The Writhing Haunt
1076,Northridge Lumber Camp
1077,Hearthglen
1078,Gahrron's Withering
1079,The Weeping Cave
1080,Thondroril River
1081,Thondroril River
1082,The Marris Stead
1083,The Undercroft
1084,Crown Guard Tower
1085,The Fungal Vale
1086,Darrowshire
1087,Pestilent Scar
1088,Corin's Crossing
1089,Lake Mereldar
1090,Tyr's Hand
1091,Light's Hope Chapel
1092,The Infectis Scar
1093,The Noxious Glade
1094,Eastwall Tower
1095,Blackwood Lake
1096,Northdale
1097,Zul'Mashar
1098,Northpass Tower
1099,Quel'Lithien Lodge
1100,Terrordale
1101,Plaguewood
1102,Stratholme
1103,Darrow Hill
1104,Tarren Mill
1105,Durnholde Keep
1106,Dun Garok
1107,Nethander Stead
1108,Eastern Strand
1109,Southshore
1110,Hillsbrad Fields
1111,Western Strand
1112,Azurelode Mine
1113,Southpoint Tower
1114,Purgation Isle
1115,Aerie Peak
1116,Plaguemist Ravine
1117,Hiri'watha
1118,Quel'Danil Lodge
1119,Shadra'Alor
1120,Valorwind Lake
1121,Agol'watha
1122,The Creeping Ruin
1123,The Altar of Zul
1124,Seradane
1125,Skulk Rock
1126,Shaol'watha
1127,Jintha'Alor
1128,The Overlook Cliffs
1129,Firewatch Ridge
1130,The Cauldron
1131,Blackchar Cave
1132,The Sea of Cinders
1133,Tanner Camp
1134,Grimesilt Dig Site
1135,Dustfire Valley
1136,Dreadmaul Rock
1137,Morgan's Vigil
1138,Terror Wing Path
1139,Blackrock Pass
1140,Ruins of Thaurissan
1141,The Pillar of Ash
1142,Blackrock Stronghold
1143,Draco'dar
1144,Altar of Storms
1145,Blackrock Mountain
1146,Northshire Valley
1147,Goldshire
1148,Fargodeep Mine
1149,Stormwind City
1150,Forest's Edge
1151,Jerod's Landing
1152,Tower of Azora
1153,Brackwell Pumpkin Patch
1154,Eastvale Logging Camp
1155,Ridgepoint Tower
1156,Crystal Lake
1157,Stone Cairn Lake
1158,Deadman's Crossing
1159,The Vice
1160,Karazhan
1161,The Hushed Bank
1162,Addle's Stead
1163,Raven Hill
1164,Raven Hill Cemetery
1165,Vul'Gol Ogre Mound
1166,Twilight Grove
1167,The Yorgen Farmstead
1168,Brightwood Grove
1169,The Rotting Orchard
1170,Tranquil Gardens Cemetery
1171,Darkshire
1172,Manor Mistmantle
1173,The Darkened Bank
1174,Stonewrought Dam
1175,Mo'grosh Stronghold
1176,The Loch
1177,Silver Stream Mine
1178,North Gate Pass
1179,The Farstrider Lodge
1180,Ironband's Excavation Site
1181,Grizzlepaw Ridge
1182,Thelsamar
1183,Stonesplinter Valley
1184,Valley of Kings
1185,Lakeshire
1186,Three Corners
1187,Lakeridge Highway
1188,Lake Everstill
1189,Redridge Canyons
1190,Render's Camp
1191,Alther's Mill
1192,Stonewatch
1193,Render's Valley
1194,Stonewatch Falls
1195,Galardell Valley
1196,Booty Bay
1197,Nesingwary's Expedition
1198,Grom'gol Base Camp
1199,Rebel Camp
1200,Kurzen's Compound
1201,Wild Shore
1202,Nek'mani Wellspring
1203,Mistvale Valley
1204,Bloodsail Compound
1205,Ruins of Aboraz
1206,Ruins of Jubuwal
1207,Crystalvein Mine
1208,Ziata'jai Ruins
1209,Gurubashi Arena
1210,Ruins of Zul'Mamwe
1211,Balia'mah Ruins
1212,Mizjah Ruins
1213,Mosh'Ogg Ogre Mound
1214,Venture Co. Base Camp
1215,Lake Nazferiti
1216,Kal'ai Ruins
1217,Bal'lal Ruins
1218,The Vile Reef
1219,Zuuldaia Ruins
1220,Ruins of Zul'Kunda
1221,Jaguero Isle
1222,Zul'Gurub
1223,Itharius's Cave
1224,Misty Valley
1225,The Harborage
1226,Splinterspear Junction
1227,The Shifting Mire
1228,Stonard
1229,Pool of Tears
1230,Stagalbog
1231,Sorrowmurk
1232,Fallow Sanctuary
1233,Misty Reed Strand
1234,Win 10 Arathi Basin matches while controlling all 5 flags
1235,Victory in Arathi Basin with a score of 1600 to 1590
1236,Victory in Warsong Gulch with a shutout
1237,Win in 6 minutes
1238,Win 1600 to 0
1239,Win Eye of the Storm 10 times while holding 4 bases
1240,Win in 6 minutes
1241,Win in 6 minutes
1242,Balinda and Vandaar survive
1243,Resurrection (Rank 7)
1244,Use Soulstone
1245,Redemption
1246,Ancestral Spirit
1247,Rebirth (Rank 7)
1248,Sentinel Hill
1249,Saldean's Farm
1250,Furlbrow's Pumpkin Farm
1251,The Jansen Stead
1252,Jangolode Mine
1253,The Molsen Farm
1254,Gold Coast Quarry
1255,The Dead Acre
1256,Moonbrook
1257,Alexston Farmstead
1258,Demont's Place
1259,Westfall Lighthouse
1260,The Dagger Hills
1261,The Dust Plains
1262,Menethil Harbor
1263,Black Channel Marsh
1264,Bluegill Marsh
1265,Whelgar's Excavation Site
1266,Sundown Marsh
1267,Saltspray Glen
1268,Ironbeard's Tomb
1269,Dun Modr
1270,Angerfang Encampment
1271,Dun Algaz
1272,The Green Belt
1273,Mosshide Fen
1274,Direforge Hill
1275,Raptor Ridge
1276,Grim Batol
1277,Alterac Mountains
1278,Arathi Highlands
1279,Badlands
1280,Blasted Lands
1281,Burning Steppes
1282,Deadwind Pass
1283,Dun Morogh
1284,Duskwood
1285,Elwynn Forest
1286,Eastern Plaguelands
1287,Hillsbrad Foothills
1288,Loch Modan
1289,Redridge Mountains
1290,Tirisfal Glades
1291,Searing Gorge
1292,Silverpine Forest
1293,Stranglethorn Vale
1294,Swamp of Sorrows
1295,The Hinterlands
1296,Western Plaguelands
1297,Westfall
1298,Wetlands
1299,Shadowglen
1300,Ban'ethil Hollow
1301,Dolanaar
1302,Gnarlpine Hold
1303,Lake Al'Ameth
1304,Pools of Arlithrien
1305,Starbreeze Village
1306,The Oracle Glade
1307,Wellspring Lake
1308,Darnassus
1309,Rut'theran Village
1310,Area 52
1311,Manaforge B'naar
1312,Manaforge Coruu
1313,Manaforge Duro
1314,Auberdine
1315,Ruins of Mathystra
1316,Tower of Althalaxx
1317,Cliffspring River
1318,Bashal'Aran
1319,Ameth'Aran
1320,Grove of the Ancients
1321,Remtravel's Excavation
1322,The Master's Glaive
1323,The Zoram Strand
1324,Lake Falathim
1325,Maestra's Post
1326,Thistlefur Village
1327,The Shrine of Aessina
1328,Fire Scar Shrine
1329,Astranaar
1330,Iris Lake
1331,The Ruins of Stardust
1332,Mystral Lake
1333,The Howling Vale
1334,Raynewood Retreat
1335,Fallen Sky Lake
1336,Splintertree Post
1337,Satyrnaar
1338,Bough Shadow
1339,Warsong Lumber Camp
1340,Felfire Hill
1341,The Great Lift
1342,Darkcloud Pinnacle
1343,The Screeching Canyon
1344,Freewind Post
1345,Splithoof Crag
1346,Windbreak Canyon
1347,The Shimmering Flats
1348,Camp E'thok
1349,Highperch
1350,Camp Aparaje
1351,Grimtotem Post
1352,Malaka'jin
1353,Webwinder Path
1354,Boulderslide Ravine
1355,Sishir Canyon
1356,Windshear Crag
1357,Sun Rock Retreat
1358,The Charred Vale
1359,Mirkfallon Lake
1360,Stonetalon Peak
1361,Theramore Isle
1362,Witch Hill
1363,Brackenwall Village
1364,The Quagmire
1365,Tethris Aran
1366,Nijel's Point
1367,Sargeron
1368,Thunder Axe Fortress
1369,Dream Bough
1370,Oneiros
1371,Ruins of Ravenwind
1372,The Twin Colossals
1373,Kormek's Hut
1374,Kolkar Village
1375,Ethel Rethor
1376,Valley of Spears
1377,Kodo Graveyard
1378,Shadowprey Village
1379,Gelkis Village
1380,Mannoroc Coven
1381,Magram Village
1382,Shadowbreak Ravine
1383,Ranazjar Isle
1384,The Forgotten Coast
1385,Dire Maul
1386,Feral Scar Vale
1387,Frayfeather Highlands
1388,Ruins of Isildien
1389,The Writhing Deep
1390,Camp Mojache
1391,Grimtotem Compound
1392,Gordunni Outpost
1393,Sardor Isle
1394,Isle of Dread
1395,Lower Wilds
1396,The Den of Flame
1397,Wyrmbog
1398,Alcaz Island
1401,Felpaw Village
1402,Talonbranch Glade
1403,Irontree Woods
1404,Jadefire Run
1405,Gadgetzan
1406,Sandsorrow Watch
1407,Noonshade Ruins
1408,Steamwheedle Port
1409,Bay of Storms
1410,The Shattered Strand
1411,Jagged Reef
1412,Bitter Reaches
1413,Zalashji's Den
1414,Lost Rigger Cove
1415,Waterspring Field
1416,Abyssal Sands
1417,Broken Pillar
1418,The Noxious Lair
1419,Dunemaul Compound
1420,Southbreak Shore
1421,The Gaping Chasm
1422,Eastmoon Ruins
1423,Land's End Beach
1424,Southmoon Ruins
1425,Valley of the Watchers
1426,Thistleshrub Valley
1427,Zul'Farrak
1428,Caverns of Time
1429,Tower of Eldara
1430,Temple of Arkkoran
1431,Legash Encampment
1432,Thalassian Base Camp
1433,Ursolan
1434,Timbermaw Hold
1435,Valormok
1436,Haldarr Encampment
1437,Shadowsong Shrine
1438,Ruins of Eldarath
1439,Southridge Beach
1440,Ravencrest Monument
1441,Lake Mennar
1442,The Ruined Reaches
1443,Forlorn Ridge
1444,Shatter Scar Vale
1445,Bloodvenom Falls
1446,Jaedenar
1447,Ruins of Constellas
1448,Jadefire Glen
1449,Emerald Sanctuary
1450,Deadwood Village
1451,Morlos'Aran
1453,Fire Plume Ridge
1454,Golakka Hot Springs
1455,Terror Run
1456,The Slithering Scar
1457,The Marshlands
1458,Ironstone Plateau
1459,Lakkari Tar Pits
1460,The Crystal Vale
1462,Valor's Rest
1463,Cenarion Hold
1464,Lake Elune'ara
1468,Hive'Zora
1469,Hive'Regal
1470,The Scarab Wall
1472,Staghelm Point
1473,Frostfire Hot Springs
1474,Timbermaw Post
1475,Lake Kel'Theril
1476,Starfall Village
1477,Mazthoril
1478,Everlook
1479,Frostwhisper Gorge
1480,Darkwhisper Gorge
1481,Owl Wing Thicket
1482,Ice Thistle Hills
1483,Winterfall Village
1484,The Hidden Grove
1485,Frostsaber Rock
1486,Durotar
1487,Mulgore
1488,Teldrassil
1489,The Barrens
1490,Darkshore
1491,Ashenvale
1492,Thousand Needles
1493,Stonetalon Mountains
1494,Desolace
1495,Dustwallow Marsh
1496,Feralas
1497,Tanaris Desert
1498,Azshara
1499,Felwood
1500,Un'Goro Crater
1501,Moonglade
1502,Silithus
1503,Winterspring
1504,Tranquillien
1505,Suncrown Village
1506,Goldenmist Village
1507,Windrunner Village
1508,Sunstrider Isle
1509,Ruins of Silvermoon
1510,West Sanctum
1511,Sunsail Anchorage
1512,North Sanctum
1513,East Sanctum
1514,Farstrider Retreat
1515,Stillwhisper Pond
1516,Duskwither Grounds
1517,Fairbreeze Village
1518,The Living Wood
1519,Tor'Watha
1520,The Scorched Grove
1521,Silvermoon City
1522,Azurebreeze Coast
1523,Elrendar Falls
1524,Goldenbough Pass
1525,Lake Elrendar
1526,Runestone Falithas
1527,Runestone Shan'dor
1528,Saltheril's Haven
1529,Golden Strand
1530,Thuron's Livery
1531,Tranquil Shore
1532,Zeb'Watha
1536,Sanctum of the Moon
1537,Sanctum of the Sun
1538,Dawnstar Spire
1539,Farstrider Enclave
1540,Howling Ziggurat
1541,Deatholme
1542,Zeb'Nowa
1543,Amani Pass
1544,Windrunner Spire
1545,Bleeding Ziggurat
1546,Elrendar Crossing
1548,Thalassian Pass
1550,Eversong Woods
1551,Ghostlands
1552,Ammen Vale
1553,Ammen Ford
1554,Azure Watch
1555,Bristlelimb Village
1556,Emberglade
1557,Fairbridge Strand
1558,Geezle's Camp
1559,Moongraze Woods
1560,Odesyus' Landing
1561,Pod Cluster
1562,Pod Wreckage
1563,Silting Shore
1564,Silvermyst Isle
1565,Stillpine Hold
1566,The Exodar
1567,Valaar's Berth
1568,Wrathscale Point
1573,Amberweb Pass
1574,Axxarien
1575,Blacksilt Shore
1576,Bladewood
1577,Bloodcurse Isle
1578,Blood Watch
1579,Bristlelimb Enclave
1580,Kessel's Crossing
1581,Middenvale
1582,Mystwood
1583,Nazzivian
1584,Ragefeather Ridge
1585,Ruins of Loreth'Aran
1586,Talon Stand
1587,Tel'athion's Camp
1588,The Bloodcursed Reef
1589,The Bloodwash
1590,The Crimson Reach
1591,The Foul Pool
1592,The Hidden Reef
1593,The Lost Fold
1594,The Vector Coil
1595,The Warp Piston
1596,Veridian Point
1597,Vindicator's Rest
1598,Wrathscale Lair
1599,Wyrmscar Island
1600,Azuremyst Isle
1601,Bloodmyst Isle
1603,Bleeding Hollow Ruins
1604,Cenarion Thicket
1605,Firewing Point
1606,Expedition Armory
1607,Falcon Watch
1608,Hellfire Citadel
1609,Honor Hold
1610,Ango'rosh Grounds
1611,Cenarion Refuge
1612,Feralfen Village
1613,Hewn Bog
1614,Coilskar Point
1615,Eclipse Point
1616,Legion Hold
1617,Netherwing Ledge
1618,Bash'ir Landing
1619,Bladed Gulch
1620,Bladespire Hold
1621,Bloodmaul Camp
