ID,String_Lang_enUS,Tooltip_Lang_enUS,DynamicTooltip_Lang_enUS
200,Forces of the Light Remaining: %3590w,Forces of the Light remaining!,
201,Forces of the Scourge Remaining: %3591w,Forces of the Scourge remaining!,
202,%3604w minutes until the battle for Light's Hope Chapel begins!,Time remaining until the battle for Light's Hope Chapel begins!,
203,The battle for Light's Hope Chapel has begun!,,
204,Gold Team: %3601w Players Remaining,,
205,Green Team: %3600w Players Remaining,,
206,Gold Team: %3601w Players Remaining,,
207,Green Team: %3600w Players Remaining,,
208,Time Remaining: %3781k,Game ends after this duration,
210,Alliance Controlled,,
211,Horde Controlled,,
212,Next Battle: %4354k,The War for Lake Wintergrasp will resume after this duration.,
213,Prison Seal Integrity: %3815w%,,
214,Portals Opened: %3810w/18,,
215,Walls Destroyed,Number of times you have destroyed enemy walls.,
216,Buildings Destroyed,Number of times you have destroyed enemy buildings.,
217,The battle for Undercity has begun!,The battle for Undercity has begun!,
218,%3877w minutes until the battle for the Undercity begins!,Time remaining until the battle for the Undercity begins!,
220,The enemy controls the Undercity!,Varimathras and Grand Apothecary Putress have taken over the Undercity!,
221,The Horde is battling over the courtyard!,Assist the Horde forces in the Undercity courtyard!,
222,The Horde controls the courtyard!,The area is now secured.,
223,The Horde is battling over the inner sanctum!,Assist the Horde forces in the Trade Quarter and Canals!,
224,The Horde controls the inner sanctum!,The area is now secured.,
225,The Horde is battling over the Apothecarium!,Assist the Horde forces in the Apothecarium!,
226,The Horde controls the Apothecarium!,The area is now secured.,
227,The Horde is battling over the Royal Quarter!,Assist the Horde forces in the Royal Quarter!,
228,The Horde controls the Royal Quarter! Varimathras is defeated!,The Horde has regained control of the Undercity!,
229,%3893w minute(s) remaining until this event resets.,,
230,Time Remaining = %3931w min.,Time until Guardian of Time corrupted.,
231,Gates Destroyed,Number of times you have destroyed a gate,
232,Demolishers Destroyed,Number of times you have destroyed a demolisher,
233,The enemy controls the Undercity!,Grand Apothecary Putress and Varimathras have taken over the Undercity!,
234,The Alliance is battling through the Sewers!,Assist the Alliance forces in the Undercity Sewers!,
235,The Alliance has secured the Sewers!,The area is now secured.,
236,%3957w minutes until the manhunt begins!,Time remaining until the manhunt for Grand Apothecary Putress begins!,
237,The manhunt has begun!,The manhunt has begun!,
238,The Alliance is battling through the Apothecarium!,Assist the Alliance forces in the Apothecarium!,
239,The Alliance has secured the Apothecarium!,The area is now secured. Putress has been defeated!,
240,Time until Algalon transmits distress signal= %4131w min.,Time until message sent.,
241,Reinforcements: %4226w,Alliance Reinforcements,
242,Reinforcements: %4227w,Horde Reinforcements,
244,Time Remaining: %4248w min.,Time Remaining,
245,Bases Assaulted,Number of times enemy base banners have been removed,
246,Bases Defended,Number of times a base capture has been prevented,
247,End of Round: %3559w:%3560w%3561w,Round ends after this duration,
248,Unsuccessful Attempts Remaining: %4389w,,
249,Spirit Wave = %4882w/10,Number of Spirit waves encountered.,
250,Time Until Execution: %4904w Min,Time remaining until Minchar succumbs.,
251,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,
252,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,
253,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,
254,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,
255,Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w,,
260,Operation Gnomeregan is in progress.,Operation Gnomeregan is in progress.,
261,Rocket Launchers Destroyed = %5027w/4,,
262,Assist the Gnomeregan forces at the engineering facilities.,Assist the Gnomeregan forces at the engineering facilities.,
263,The airfield is under attack.,Assist the Gnomeregan forces at the Airfield!,
264,The Gnomes control the airfield!,The Gnomes control the airfield!,
265,Tankbusters Destroyed = %5006w/6,Assist the Gnomeregan forces at the engineering facilities.,
266,The Gnomes control the airfield and command post.,The Gnomes have secured the airfield and the surface command post.,
267,The forces are battling over the entrance to Gnomeregan.,Assist the Gnomeregan forces at the entrance to Gnomeregan.,
268,The Gnomes control the surface of Gnomeregan.,"The entrance to Gnomeregan, command post and airfield are secure.",
269,The forces are battling in the tunnels of Gnomeregan.,Assist the attack force in the tunnels of Gnomeregan.,
270,The tunnels of Gnomeregan are secured.,The tunnels of Gnomeregan are secured.,
271,%5037w minutes until Operation: Gnomeregan begins!,Operation: Gnomeregan will commence at this time,
272,Halion's corporeality: %5050w%,Halion's corporeality in this dimension,
273,Halion's corporeality: %5049w%,Halion's corporeality in this dimension,
274,The Darkspear are prepared to take back the Echo Isles.,The Darkspear are prepared to take back the Echo Isles.,
275,%5071w minutes until Echo Isles takeback begins!,Echo Isles Takeback will commence at this time,
276,Requesting the aid of Bwonsamdi,Assist the trolls convince Bwonsamdi to help them,
277,The trolls have Bwonsamdi on their side!,The trolls have Bwonsamdi on their side!,
278,Assist the trolls in taking back the burnt village.,Assist the trolls in taking back the burnt village.,
279,The burnt village has been reclaimed!,The Trolls have eliminated the mindless forces in the burnt village.,
280,Vol'jin and his forces are fighting Zalazane.,Vol'jin and his forces are fighting Zalazane and his hexed troll followers.,
281,Zalazane has fled to another island!,The troll forces have forced Zalazane to flee to another island.,
282,The forces are battling Zalazane,The forces are battling Zalazane,
283,Zalazane has been defeated!,Zalazane has been defeated!,
