ID,Title_Lang_enUS,Description_Lang_enUS,Reward_Lang_enUS
370,Highest 2 man personal rating,Highest 2 man personal rating,
374,Highest 2 man team rating,Highest 2 man team rating,
377,Most factions at Exalted,Most factions at Exalted,
378,Most factions at Revered or higher,Most factions at Revered or higher,
381,World Honorable Kills,World Honorable Kills,
382,Battleground Honorable Kills,Battleground Honorable Kills,
383,Arena Honorable Kills,Arena Honorable Kills,
388,City Defender,Kill 50 enemy players in any of your home cities.,
389,Gurubashi Arena Master,Loot the Arena Master trinket from the Gurubashi Arena.,
393,Alterac Valley towers defended,Alterac Valley towers defended,
394,Alterac Valley towers captured,Alterac Valley towers captured,
395,Warsong Gulch flags captured,Warsong Gulch flags captured,
396,Gurubashi Arena Grand Master,Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.,
397,Step Into The Arena,Win a ranked arena match at level 80.,
398,Mercilessly Dedicated,Win 100 ranked arena matches at level 80.,
399,Just the Two of Us: 1550,Earn a 1550 personal rating in the 2v2 bracket of the arena at level 80.,
400,Just the Two of Us: 1750,Earn a 1750 personal rating in the 2v2 bracket of the arena at level 80.,
401,Just the Two of Us: 2000,Earn a 2000 personal rating in the 2v2 bracket of the arena at level 80.,
402,Three's Company: 1550,Earn a 1550 personal rating in the 3v3 bracket of the arena at level 80.,
403,Three's Company: 1750,Earn a 1750 personal rating in the 3v3 bracket of the arena at level 80.,
404,High Five: 2000,Earn a 2000 personal rating in the 5v5 bracket of the arena at level 80.,
405,Three's Company: 2000,Earn a 2000 personal rating in the 3v3 bracket of the arena at level 80.,
406,High Five: 1550,Earn a 1550 personal rating in the 5v5 bracket of the arena at level 80.,
407,High Five: 1750,Earn a 1750 personal rating in the 5v5 bracket of the arena at level 80.,
408,Hot Streak,Win ten ranked matches in a row at level 80.,
409,Last Man Standing,Be the sole survivor at the end of a ranked 5v5 match at level 80.,
411,Murky,"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",
412,Murloc Costume,"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.",
414,Tyrael's Hilt,"Proud owner of Tyrael's Hilt from the 2008 World Wide Invitational in Paris, France.",
415,Big Blizzard Bear,Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.,
416,Scarab Lord,Opened the gates of Ahn'Qiraj.,
418,Merciless Gladiator,Achieved Merciless Gladiator title.,
419,Vengeful Gladiator,Achieved Vengeful Gladiator title.,
420,Brutal Gladiator,Achieved Brutal Gladiator title.,
424,Why? Because It's Red,Obtain a Red Qiraji Resonating Crystal.,
425,"Atiesh, Greatstaff of the Guardian","Wielder of Atiesh, Greatstaff of the Guardian.",
426,Warglaives of Azzinoth,Wielder of a set of Warglaives of Azzinoth.,
428,"Thunderfury, Blessed Blade of the Windseeker","Wielder of Thunderfury, Blessed Blade of the Windseeker.",
429,"Sulfuras, Hand of Ragnaros","Wielder of Sulfuras, Hand of Ragnaros.",
430,Amani War Bear,Owner of Amani War Bear.,
431,Hand of A'dal,"Earned the title, ""Hand of A'dal"".",
432,Champion of the Naaru,"Earned the title, ""Champion of the Naaru"".",
433,Grand Marshal,"Earned the title, ""Grand Marshal"".",
434,Field Marshal,"Earned the title, ""Field Marshal"".",
435,Commander,"Earned the title, ""Commander"".",
436,Lieutenant Commander,"Earned the title, ""Lieutenant Commander"".",
437,Knight-Champion,"Earned the title, ""Knight-Champion"".",
438,Knight-Captain,"Earned the title, ""Knight-Captain"".",
439,Knight,"Earned the title, ""Knight"".",
440,Sergeant Major,"Earned the title, ""Sergeant Major"".",
441,Master Sergeant,"Earned the title, ""Master Sergeant"".",
442,Private,"Earned the title, ""Private"".",
443,High Warlord,"Earned the title, ""High Warlord"".",
444,Lieutenant General,"Earned the title, ""Lieutenant General"".",
445,Warlord,"Earned the title, ""Warlord"".",
446,General,"Earned the title, ""General"".",
447,Champion,"Earned the title, ""Champion"".",
448,Centurion,"Earned the title, ""Centurion"".",
449,Blood Guard,"Earned the title, ""Blood Guard"".",
450,Senior Sergeant,"Earned the title, ""Senior Sergeant"".",
451,Stone Guard,"Earned the title, ""Stone Guard"".",
452,First Sergeant,"Earned the title, ""First Sergeant"".",
453,Sergeant,"Earned the title, ""Sergeant"".",
454,Scout,"Earned the title, ""Scout"".",
456,Realm First! Obsidian Slayer,Participated in the realm first defeat of Sartharion the Onyx Guardian in 25-player mode.,Title Reward: Obsidian Slayer
457,Realm First! Level 80,First person on the realm to achieve level 80.,
458,Realm First! Level 80 Rogue,First rogue on the realm to achieve level 80.,
459,Realm First! Level 80 Warrior,First warrior on the realm to achieve level 80.,
460,Realm First! Level 80 Mage,First mage on the realm to achieve level 80.,
461,Realm First! Level 80 Death Knight,First death knight on the realm to achieve level 80.,
462,Realm First! Level 80 Hunter,First hunter on the realm to achieve level 80.,
463,Realm First! Level 80 Warlock,First warlock on the realm to achieve level 80.,
464,Realm First! Level 80 Priest,First priest on the realm to achieve level 80.,
465,Realm First! Level 80 Paladin,First paladin on the realm to achieve level 80.,
466,Realm First! Level 80 Druid,First druid on the realm to achieve level 80.,
467,Realm First! Level 80 Shaman,First shaman on the realm to achieve level 80.,
468,Grunt,"Earned the title, ""Grunt"".",
469,Legionnaire,"Earned the title, ""Legionnaire"".",
470,Corporal,"Earned the title, ""Corporal"".",
471,Sergeant,"Earned the title, ""Sergeant"".",
472,Knight-Lieutenant,"Earned the title, ""Knight-Lieutenant"".",
473,Marshal,"Earned the title, ""Marshal"".",
477,Utgarde Keep,Defeat the bosses in Utgarde Keep.,
478,The Nexus,Defeat the bosses in The Nexus.,
479,The Culling of Stratholme,Defeat the bosses in Caverns of Time: Stratholme.,
480,Azjol-Nerub,Defeat the bosses in Azjol-Nerub.,
481,Ahn'kahet: The Old Kingdom,Defeat the bosses in Ahn'kahet: The Old Kingdom.,
482,Drak'Tharon Keep,Defeat the bosses in Drak'Tharon Keep.,
483,The Violet Hold,Defeat Cyanigosa in The Violet Hold.,
484,Gundrak,Defeat the bosses in Gundrak.,
485,Halls of Stone,Defeat the boss encounters in Halls of Stone.,
486,Halls of Lightning,Defeat the bosses in Halls of Lightning.,
487,The Oculus,Defeat the bosses in The Oculus.,
488,Utgarde Pinnacle,Defeat the bosses in Utgarde Pinnacle.,
489,Heroic: Utgarde Keep,Defeat the Utgarde Keep bosses on Heroic Difficulty.,
490,Heroic: The Nexus,Defeat The Nexus bosses on Heroic Difficulty.,
491,Heroic: Azjol-Nerub,Defeat the Azjol-Nerub bosses on Heroic Difficulty.,
492,Heroic: Ahn'kahet: The Old Kingdom,Defeat the Ahn'kahet: The Old Kingdom bosses on Heroic Difficulty.,
493,Heroic: Drak'Tharon Keep,Defeat the Drak'Tharon Keep bosses on Heroic Difficulty.,
494,Heroic: The Violet Hold,Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.,
495,Heroic: Gundrak,Defeat the Gundrak bosses on Heroic Difficulty.,
496,Heroic: Halls of Stone,Defeat the boss encounters in the Halls of Stone on Heroic Difficulty.,
497,Heroic: Halls of Lightning,Defeat the Halls of Lightning bosses on Heroic Difficulty.,
498,Heroic: The Oculus,Defeat The Oculus bosses on Heroic Difficulty.,
499,Heroic: Utgarde Pinnacle,Defeat the Utgarde Pinnacle bosses on Heroic Difficulty.,
500,Heroic: The Culling of Stratholme,Defeat the Caverns of Time: Stratholme bosses on Heroic Difficulty.,
503,50 Quests Completed,Complete 50 quests.,
504,100 Quests Completed,Complete 100 quests.,
505,250 Quests Completed,Complete 250 quests.,
506,500 Quests Completed,Complete 500 quests.,
507,1000 Quests Completed,Complete 1000 quests.,
508,1500 Quests Completed,Complete 1500 quests.,
509,10000 Honorable Kills,Get 10000 honorable kills.,
512,5000 Honorable Kills,Get 5000 honorable kills.,
513,100 Honorable Kills,Get 100 honorable kills.,
515,500 Honorable Kills,Get 500 honorable kills.,
516,1000 Honorable Kills,Get 1000 honorable kills.,
518,30 Exalted Reputations,Raise 30 reputations to Exalted.,
519,25 Exalted Reputations,Raise 25 reputations to Exalted.,
520,20 Exalted Reputations,Raise 20 reputations to Exalted.,
521,15 Exalted Reputations,Raise 15 reputations to Exalted.,
522,Somebody Likes Me,Raise a reputation to Exalted.,
523,5 Exalted Reputations,Raise 5 reputations to Exalted.,
524,10 Exalted Reputations,Raise 10 reputations to Exalted.,
527,Largest hit received,Largest hit received,
528,Total damage received,Total damage received,
529,Most factions at Honored or higher,Most factions at Honored or higher,
545,Shave and a Haircut,Visit a Barber Shop and get your hair cut.,
546,Safe Deposit,Buy 7 additional bank slots.,
547,Veteran of the Wrathgate,Complete the Dragonblight quests leading up to and including the Return to Angrathar.,
556,Epic,Equip an epic item in every slot with a minimum item level of 213.,
557,Superior,Equip a superior item in every slot with a minimum item level of 187.,
558,Greedy,Win a greed roll on a superior or better item above level 185 by rolling 100.,
559,Needy,Win a need roll on a superior or better item above level 185 by rolling 100.,
560,Deadliest Catch,Fish up Gahz'ranka in Zul'Gurub using the Mudskunk Lure.,
561,D.E.H.T.A's Little P.I.T.A.,Uphold D.E.H.T.A's beliefs by completing all of the quests up to and including the Assassination of Harold Lane.,
562,The Arachnid Quarter (10 player),Defeat the bosses of The Arachnid Quarter of Naxxramas in 10-player mode.,
563,The Arachnid Quarter (25 player),Defeat the bosses of The Arachnid Quarter of Naxxramas in 25-player mode.,
564,The Construct Quarter (10 player),Defeat the bosses of The Construct Quarter of Naxxramas in 10-player mode.,
565,The Construct Quarter (25 player),Defeat the bosses of The Construct Quarter of Naxxramas in 25-player mode.,
566,The Plague Quarter (10 player),Defeat the bosses of The Plague Quarter of Naxxramas in 10-player mode.,
567,The Plague Quarter (25 player),Defeat the bosses of The Plague Quarter of Naxxramas in 25-player mode.,
568,The Military Quarter (10 player),Defeat the bosses of The Military Quarter of Naxxramas in 10 player mode.,
569,The Military Quarter (25 player),Defeat the bosses of The Military Quarter of Naxxramas in 25-player mode.,
572,Sapphiron's Demise (10 player),Defeat Sapphiron in Naxxramas in 10-player mode.,
573,Sapphiron's Demise (25 player),Defeat Sapphiron in Naxxramas in 25-player mode.,
574,Kel'Thuzad's Defeat (10 player),Defeat Kel'Thuzad in Naxxramas in 10-player mode.,
575,Kel'Thuzad's Defeat (25 player),Defeat Kel'Thuzad in Naxxramas in 25-player mode.,
576,The Fall of Naxxramas (10 player),Defeat every boss in Naxxramas in 10-player mode.,
577,The Fall of Naxxramas (25 player),Defeat every boss in Naxxramas in 25-player mode.,
578,The Dedicated Few (10 player),Defeat the bosses of Naxxramas with less than 9 people in the zone in 10-player mode.,
579,The Dedicated Few (25 player),Defeat the bosses of Naxxramas with less than 21 people in the zone in 25-player mode.,
582,Alterac Valley All-Star,"In a single Alterac Valley battle, assault a graveyard, defend a graveyard, assault a tower, defend a tower and slay someone in the Field of Strife.",
583,Arathi Basin All-Star,Assault and Defend 2 bases in a single Arathi Basin match.,
584,Arathi Basin Assassin,Get five honorable kills at each of the bases in a single Arathi Basin battle.,
585,Eye of the Storm flags captured,Eye of the Storm flags captured,
586,Warsong Gulch flags returned,Warsong Gulch flags returned,
587,Stormy Assassin,"In a single Eye of the Storm battle, get 5 honorable kills at each of the bases.",
588,Total Honorable Kills,Total Honorable Kills,
589,Highest 5 man team rating,Highest 5 man team rating,
590,Highest 3 man team rating,Highest 3 man team rating,
593,Deaths from Vanndar Stormpike,Deaths from Vanndar Stormpike,
594,Deaths from Hogger,Deaths from Hogger,
595,Highest 3 man personal rating,Highest 3 man personal rating,
596,Highest 5 man personal rating,Highest 5 man personal rating,
603,Wrath of the Horde,Kill 5 Alliance players in each of the cities listed below.,
604,Wrath of the Alliance,Kill 5 Horde players in each of the cities listed below.,
605,A Coin of Ancestry,Receive a Coin of Ancestry.,
606,5 Coins of Ancestry,Receive 5 Coins of Ancestry.,
607,10 Coins of Ancestry,Receive 10 Coins of Ancestry.,
608,25 Coins of Ancestry,Receive 25 Coins of Ancestry.,
609,50 Coins of Ancestry,Receive 50 Coins of Ancestry.,
610,Death to the Warchief!,Kill Thrall.,
611,Bleeding Bloodhoof,Kill Cairne Bloodhoof.,
612,Downing the Dark Lady,Kill Lady Sylvanas Windrunner.,
613,Killed in Quel'Thalas,Kill Lor'themar Theron.,
614,For The Alliance!,Slay the leaders of the Horde.,Reward: Black War Bear
615,Storming Stormwind,Kill King Varian Wrynn.,
616,Death to the King!,Kill King Magni Bronzebeard.,
617,Immortal No More,Kill High Priestess Tyrande Whisperwind.,
618,Putting Out the Light,Kill Prophet Velen.,
619,For The Horde!,Slay the leaders of the Alliance.,Reward: Black War Bear
621,Represent,Equip a tabard.,
622,The Spellweaver's Downfall (10 player),Defeat Malygos in 10-player mode.,
623,The Spellweaver's Downfall (25 player),Defeat Malygos in 25-player mode.,
624,Less Is More (10 player),Defeat Sartharion the Onyx Guardian and the Twilight Drakes with fewer than 9 players in 10-player mode.,
625,Besting the Black Dragonflight (25 player),Defeat Sartharion the Onyx Guardian in 25-player mode.,
626,Lunar Festival Finery,Purchase a festive pant suit or festive dress with Coins of Ancestry.,
627,Explore Dun Morogh,"Explore Dun Morogh, revealing the covered areas of the world map.",
628,Deadmines,Defeat Edwin VanCleef.,
629,Ragefire Chasm,Defeat Taragaman the Hungerer.,
630,Wailing Caverns,Defeat Mutanus the Devourer.,
631,Shadowfang Keep,Defeat Archmage Arugal.,
632,Blackfathom Deeps,Defeat Aku'mai.,
633,Stormwind Stockade,Defeat Bazil Thredd.,
634,Gnomeregan,Defeat Mekgineer Thermaplugg.,
635,Razorfen Kraul,Defeat Charlga Razorflank.,
636,Razorfen Downs,Defeat Amnennar the Coldbringer.,
637,Scarlet Monastery,Defeat the Scarlet Crusade within the Scarlet Monastery.,
638,Uldaman,Defeat Archaedas.,
639,Zul'Farrak,Defeat Chief Ukorz Sandscalp.,
640,Maraudon,Defeat Princess Theradras.,
641,Sunken Temple,Defeat Shade of Eranikus.,
642,Blackrock Depths,Defeat Emperor Dagran Thaurissan.,
643,Lower Blackrock Spire,Defeat Overlord Wyrmthalak.,
644,King of Dire Maul,Defeat each wing of Dire Maul.,
645,Scholomance,Defeat the leaders of Scholomance.,
646,Stratholme,Defeat the evil masterminds inhabiting Stratholme.,
647,Hellfire Ramparts,Defeat Omor the Unscarred.,
648,The Blood Furnace,Defeat Keli'dan the Breaker.,
649,The Slave Pens,Defeat Quagmirran.,
650,Underbog,Defeat The Black Stalker.,
651,Mana-Tombs,Defeat Nexus-Prince Shaffar.,
652,The Escape From Durnholde,Defeat Epoch Hunter.,
653,Sethekk Halls,Defeat Talon King Ikiss.,
654,Shadow Labyrinth,Defeat Murmur.,
655,Opening of the Dark Portal,Defeat Aeonus.,
656,The Steamvault,Defeat Warlord Kalithresh.,
657,The Shattered Halls,Defeat Warchief Kargath Bladefist.,
658,The Mechanar,Defeat Pathaleon the Calculator.,
659,The Botanica,Defeat Warp Splinter.,
660,The Arcatraz,Defeat Harbinger Skyriss.,
661,Magister's Terrace,Defeat Kael'thas Sunstrider.,
662,Collector's Edition: Mini-Diablo,Owner of the World of Warcraft Collector's Edition Mini-Diablo pet.,
663,Collector's Edition: Panda,Owner of the World of Warcraft Collector's Edition Panda pet.,
664,Collector's Edition: Zergling,Owner of the World of Warcraft Collector's Edition Zergling pet.,
665,Collector's Edition: Netherwhelp,Owner of the The Burning Crusade's Collector's Edition Netherwhelp pet.,
666,Auchenai Crypts,Defeat Exarch Maladaar.,
667,Heroic: Hellfire Ramparts,Defeat the leaders of Hellfire Ramparts on Heroic Difficulty.,
668,Heroic: The Blood Furnace,Defeat Keli'dan the Breaker on Heroic Difficulty.,
669,Heroic: The Slave Pens,Defeat Quagmirran on Heroic Difficulty.,
670,Heroic: Underbog,Defeat The Black Stalker on Heroic Difficulty.,
671,Heroic: Mana-Tombs,Defeat Nexus-Prince Shaffar on Heroic Difficulty.,
672,Heroic: Auchenai Crypts,Defeat Exarch Maladaar on Heroic Difficulty.,
673,Heroic: The Escape From Durnholde,Defeat Epoch Hunter on Heroic Difficulty.,
674,Heroic: Sethekk Halls,Defeat Talon King Ikiss on Heroic Difficulty.,
675,Heroic: Shadow Labyrinth,Defeat Murmur on Heroic Difficulty.,
676,Heroic: Opening of the Dark Portal,Defeat Aeonus on Heroic Difficulty.,
677,Heroic: The Steamvault,Defeat Warlord Kalithresh on Heroic Difficulty.,
678,Heroic: The Shattered Halls,Defeat Warchief Kargath Bladefist on Heroic Difficulty.,
679,Heroic: The Mechanar,Defeat Pathaleon the Calculator on Heroic Difficulty.,
680,Heroic: The Botanica,Defeat Warp Splinter on Heroic Difficulty.,
681,Heroic: The Arcatraz,Defeat Harbinger Skyriss on Heroic Difficulty.,
682,Heroic: Magister's Terrace,Defeat Kael'thas Sunstrider on Heroic Difficulty.,
