ID,Text_lang,Text1_lang
65326,"Well spoken, Zhi. The strangers from beyond the mists have no shortage of passions, but let us see if they indeed control them. Beyond anger lies hatred, the wellspring of all misery. What is this? Your hatred has a face!",
65350,"This one has indeed proven mastery over anger. Between the young cub's words and the actions of this hero, I think I understand. Those from beyond the mists are hardened by battle. They are scarred, yes, but they have learned much. I trust them.",
65352,It is decided. The Vale of Eternal Blossoms shall remain open. The transgressions of the outsiders have been great... but I see in them the capability to right what has been wronged.,
65354,I will consult the others. Meet me at the gates.,
65404,You are too late.,
65405,Da remains of da Thunder King were taken to da Isle of Reckoning.,
65406,We performed da ancient rites...,
65407,"Even now, da true emperor of Pandaria lives and breathes once more.",
65409,"Woe to da pandaren usurpers! The mogu will rule dis land again, and we Zandalari will have a new homeland...",
65410,"Secure da remains, bruddahs!",
65411,Da Thunder King shall live again...,
65421,Under Kun-Lai Thunder sleeps...,
65422,The storm long spent there rests...,
65423,But blood of brother kingdom keeps...,
65424,Alive the dispossessed...,
65425,By Zandalari blood he will be taken...,
65426,To Zandalari voice he will awaken...,
65970,,"Children of Pandaria. The mists have fallen. For good or for ill, our land is open to all."
65971,,"Let us draw ourselves together to rebuild this sacred place, the first step toward healing a war-torn world."
65972,I have faith in our friends from beyond the mists.,
65973,Their strength is an inspiration... and sorely needed. We must trust that their hearts are pure.,
65982,"We've been flying in this mist for hours, General. The crew grows... uneasy.",
65983,"Back to your post, soldier! We'll find this land, or die trying.",
65984,Alliance ship! Portside!,
65985,Attack!,
65986,"Enemy ship, starboard! Ready the guns! Fire at will!",
65989,Direct hit! She's goin' down!,
65990,Land ho!,
65995,"Uhh, somethin' ain't right, General... We're losin' altitude! Fast!",
66179,"Thanks to your actions, the Hozen fear your people. Indulge me a moment...",
66180,"Ah! Here we are. Over 14,000 years ago, this entire land was ruled by a terrible race of warlords called ""the mogu.""",
66181,The mogu ruled through fear. And fear kept them in power... until the first Pandaren monks taught my people courage.,
66182,Then the mogu were overthrown.,
66183,"You see, those who lead through fear only stay in power while those they govern lack courage.",
66184,"The hozen are many things, but they are not cowards - not for long. If you don't wish to fight them, you must... inspire them!",
66185,"I will help you, but first I would like to learn a little more about your people. Will you journey with me for a little while?",
66267,3...,
66423,"What is the source of YOUR power? Think carefully before you answer. Many adventurers point to their weapons, or their equipment, or to tomes of arcane might.",
66424,"Long ago, when my people were slaves of the mogu empire, we were forbidden from carrying any weapon at all. We were not fighters. And no one believed we could fight the mogu without magic and steel.",
66425,"Until Kang, the Fist of First Dawn, opened our eyes.",
66426,"One day, the beloved monk issued a challenge to his fellow slaves. ""Hit me!"" he called out.",
66427,"Surprised, the beleaguered Pandaren slaves tried to strike Kang. One by one they failed, for he intercepted their blows like a dancer and sidestepped their attacks like a reed in the wind.",
66428,"""Our backs are hardened by the whips of the mogu,"" he told them. ""Our arms are powerful from building their fortresses. Our minds are sharp from working alongside our enemy. You think the mogu are stronger? I say we are their strength!""",
66429,"The farmers, the bricklayers, the shepherds and the smiths... they all bowed before Kang. ""Teach us,"" they said. ""Teach us to fight.""",
66430,And when they rose... they rose as warriors.,
66431,Your voice. Your hands. THESE are the tools of true heroes. Use them well... and you can change the world.,
66454,2...,
66818,Hahahahaha!,
66916,Do you like my snakes? I get the feeling they don't like you!,Do you like my snakes? I get the feeling they don't like you!
67111,,Death to all who dare challenge my empire!
67162,<Roars.>,
67227,Nevermore!,
67347,,Such is the fate of those who question authority.
67602,Do you have a few moments to spare?,
67623,,My snakes are pretty right? ...RIGHT?
67624,,You never stood a chance against me and my lovely snakes!
67625,,No way! I will get you next time!
67626,,Try this guy on for size!
67627,,Take that!
67628,,Nooooo! My precious snakes!
67631,,I'm going to knock you out cold!
67632,,"I told you, sugar. You aren't hot enough to handle me!"
67633,,Ouch! I just got burned!
67634,,"Take a break and chill, sweetie. You'll get your turn again soon."
67635,,We're snowballing out of control! You don't stand a chance now!
67636,,Shattered!
67637,,You handle the cold better than I thought.
67638,,"Your pet is a cold, ruthless killer!"
67639,,I won't let you get away with that!
67664,...you're nothing but farmer's children.,
67688,,Target acquired. Light it up.
67690,,Burn it to the ground!
67691,,Roger that. Give 'em the business.
67693,,We read you. Comin' in hot.
67694,,Carrier has arrived.
67728,,"Nightwind, report! What's going on down there?"
67729,,Horde troops are swimming toward your position. Open fire at once.
67730,,You don't think they'll hesitate to strangle you with their bare hands? GUN THEM DOWN!
67733,"No sign of the flagship, and no sign of Admiral Taylor or Prince Anduin.",
67734,Admiral - I think they mean to surrender. They're not armed - They're just trying not to drown!,
67735,That's not right... this is a massacre... they were unarmed - ugh! I don't... I don't feel well...,
67736,Maybe they deserved to die.,
67739,You beasts! What sort of madness is this?,
67740,"Men, stand down - this is one of the natives.",
67741,"We are from the Alliance, and mean you no harm. Tell me, what was that shadow you drew out of me?",
67742,"This is not the place to explain. In short, your own doubts have been made manifest, as a consequence of your actions.",
67743,You don't understand - we're fighting a war here-,
67744,"Oh, I understand perfectly. I have eyes. But Pandaria is not like whatever land you came from; it lives and breathes. You should be careful what kind of energy you bring here. Now put those weapons away!",
67871,"What is - no - NO! They had an airbase, a hidden airbase... my ship - my - Hellscream will have my head!",
67872,They all must die.,
67873,You! Bear-creature. What kind of sorcery was this?,
67874,We bring only our honor and the desire to crush our enemies. Have your kind been aiding the Alliance?,
67875,Stranger - your own doubts have been made manifest. Pandaria is not like whatever land you come from; it lives and breathes. You should be careful what kind of energy you bring here.,
67876,"It is not our desire to get wrapped up in your bloodshed. Now have your men lower their weapons, or you will face TWO enemies on this continent.",
67877,Your doubts and hatreds have wrought havoc all throughout these ruins. Clean up after yourselves and meet me in the village below - I will do my best to explain.,
67885,You scum will NOT destroy this land as you defiled Kalimdor!,
67926,Coward!,
68005,What in blazes is this?,
68006,"Admiral, we're seeing a significant native presence here. Ornate structures-",
68007,"Cut the chatter, people. Eyes on the target!","Cut the chatter, people. Eyes on the target!"
68008,You heard the admiral. Concentrate fire on the Horde base. Begin your attack runs.,
68009,They're firing on us sir!,They're firing on us sir!
68010,Use your torpedo rockets on those ships.,
68011,Confirmed kill. Nice shooting.,
68012,Well done. No mercy!,Well done. No mercy!
68013,That one's for Theramore!,That one's for Theramore!
68014,Any sign of the flagship down there?,Any sign of the flagship down there?
68015,"Negative, Admiral. No sign of Captain Taylor OR his flagship.",
68016,Ugh! We've been hit!,Ugh! We've been hit!
68017,"Heavy enemy fire... Sully, pull up!",
68018,"We're not gonna make it! I'm comin' ta see you soon, pappy!",
68019,Pay 'em back! Hit them with everything you've got!,Pay 'em back! Hit them with everything you've got!
68020,"That's enough - all wings, report back. Prepare for ground assault.","That's enough - all wings, report back. Prepare for ground assault."
68022,,The flagship's last reported position was below. Can you see anything?
68023,Fog... nothing but dense fog... wait! Land - starboard! I see ships.,
68025,"After you, my good sir.",
68026,"I say, it looks like I've racked up another win!",
68027,That is most unfortunate.,
68028,"Ah, but were you expecting this?",
68029,It seems I'll be enjoying an expedient win this fine day!,
68030,"Oh dear, I'm losing!",
68031,"Now's as good a time as any, I suppose.",
68032,I knew I made the right choice when I took this up!,
68033,Maybe I can still get my old farm back...,
68034,I've found it sometimes helps to change things up a bit.,
68035,If only my wife were here to see this. I'm going to win!,
68036,There's plenty more where that came from!,
68037,,I won't go easy on you!
68038,,In your face!
68039,,Mommy! Mommy! The mean tamer didn't let me win!
68040,,Oh no you don't!
68041,,Take that!
68042,,W-why did you k-kill my bunny...
68043,I do hope you're prepared to feed your pets to mine as a treat.,
68044,I did warn you of the dangers of these woods.,
68045,Your courage is impressive.,
68046,Do you feel something?,
68047,What a show!,
68048,No matter. A single life for a victory is well worth the sacrifice.,
68049,"Avast, land lubbers be attackin'! Man the harpoons!",
68050,All the booty ish mine!,
68051,Why'd you go and have to do that? ...hic!,
68052,Give 'em hell!,
68053,Now that...that is fightin'! Whoever's controllin' these pets sure ish somethin'! ...hic!,
68054,Man down!,
68055,We be killin' you now.,
68056,Now that is what Zunta be talkin' about!,
68057,You be da victor today. Enjoy it.,
68058,How about you try dis one on for size?,
68059,"Good, good. Zunta give you a treat later.",
68060,"Why you so mean to Zunta, eh?",
68061,,Battle is upon us. Crush them!
68062,,The day is ours.
68063,,I'll beat you soon enough.
68064,,I won't give you the pleasure.
68065,,Keep going! Kill!
68066,,Not important. I will stop at nothing to win!
68067,,Do not be fooled by my calmness. I will defeat you.
68068,,"Victory is ours, children!"
68069,,Well done. You've beaten me when few have had the luxury.
68070,,A surprising twist!
68071,,Success!
68072,,How could you?
68073,,You're gonna hurt like you never hurt before when I'm through with ya.
68074,,"You feelin' da hurt, mon?"
68075,,I never see nobody fight like you be fightin'.
68076,,I bet you never saw dis one comin'.
68077,,Look at da little one hurtin'!
68078,,Looks like dis one has a bit of a sting!
68079,,"I'm warning you, I will not falter under your assault."
68080,,Fighting the strength of the land is inevitably futile.
68081,,You fight well.
68082,,The earth will never falter!
68083,,The cycle continues.
68085,,You fight against the unstoppable.
68086,We fight!,
68087,Me win!,
68088,NO! ME WIN!,
68089,No! No kill! Fight this one instead!,
68090,Good tiny thing! You kill other tiny thing!,
68091,Why you no fight? I said fight!,
68092,,Let us begin.
68093,,Looks like I left you earthbound!
68094,,We've been shot out of the sky!
68095,,Great job. Take a break!
68096,,We just might win this!
68097,,A beautiful creature has fallen.
68098,,Activating aggression modules!
68099,,You never stood a chance against my augmented team!
68100,,Total system failure!
68101,,Engaging self-preservation chip.
68102,,No letting up. Full speed ahead!
68103,,That's nothing a good spit shine won't fix.
68104,You think I'm scared of you? I faced Onyxia!,
68105,Who's great? I am!,
68106,I hope a dragon eats you!,
68107,"Alright, that's enough. Switch!",
68108,That's what happens when you go into the whelp pits!,
68113,I've been wiped out!,
68117,You cannot possibly comprehend the forces stacked against you.,
68118,Perhaps now you're ready to see things my way?,
68120,You only delay us. We cannot be stopped.,
68122,Have you ever seen such a magnificent being?,
68123,,"Those are Horde vessels... General quarters! Get our birds in the air. Clear the decks. Stations, people. Let's go to war!"
68124,Give up now while you still have the chance!,
68125,A minor inconvenience.,
68168,,This won't take long.
68170,None can stop the Grimtotem!,
68171,,Your impudence will be your undoing. Mark my words!
68172,,This isn't over!
68173,,So weak.
68174,,You'll pay for that.
68177,"Not to worry, I'll make this quick.",
68178,"That wasn't so bad, was it?",
68179,Perhaps I need to increase the dosage to prevent such quick deaths.,
68180,Don't be so sure of yourself.,
68181,It won't be long now.,
68182,How unfortunate.,
68183,,I'll show you firsthand the strength of undeath.
68184,,I knew I was stronger!
68185,,No...no...
68186,,"Rest, my precious."
68187,,Yes...join us!
68188,,No! We will not be defeated!
68189,Are ye sure that ye want to face the might of dragons?,
68190,Now it's time to show my brother who the real master tamer is!,
68191,You got lucky. That's all.,
68192,That's enough!,
68193,Now that's what I'm talkin' about!,
68194,No! I just finished raising that one!,
68195,,I hope you like losing!
68196,,I knew the swamp was the right choice!
68197,,Perhaps it was wrong of me to venture here.
68198,,The swamp conceals many things.
68199,,Victory shall be mine!
68200,,This is looking bleak for me.
68201,"By the hammer of me father, I shall defeat ye!",
68202,"That's the stuff, boys. We did it!",
68203,You won't be deterrin' me. Not today. I'll keep trainin'!,
68204,Try this'n on fer size!,
68205,Great job!,
68206,How dare ye...,
68207,,I will show you no mercy.
68208,,Just as I thought. You never stood a chance.
68210,,Curse you!
68211,,I am far from finished.
68213,,That was too easy.
68214,,You'll suffer for your transgression.
68216,,I'm going to wreck you!
68217,,Now that's what I'm talking about! Woohoo!
68219,,Maybe I should've gone with more weapons...
68220,,Oh no you don't!
68221,,Bam!
68222,,Hey! I spent some serious gold on that!
68223,Don't go easy on me!,
68224,"I bet if I keep winning, I'll get invited to fight in Stormwind one day!",
68225,"Wow, you're really good!",
68226,Let's keep going!,
68227,Good job!,
68228,Oh no...,
68236,These creatures have suffered enough. I will not let you defeat them!,
68237,The spirits smile upon my victory!,
68238,Ancestors forgive me. I have failed...,
68239,Come rest. You will need your strength later in the battle.,
68240,Lok'tar!,
68241,"Your spirit reunites with your ancestors, little one.",
68242,These old bones have much knowledge to impart.,
68243,"You will do better, next time.",
68244,"It has been an honor, outlander.",
68245,Perhaps this will test your skills.,
68246,You must focus.,
68247,"A deft maneuver, outlander.",
68251,I will crush you beneath the onslaught of my team!,
68252,I hope you now understand that there is no defeating me.,
68253,No matter. Nobody can stop me in the end.,
68254,Not so fast!,
68255,My victory draws near.,
68256,That simply will not suffice.,
68330,Let the spectacle begin!,
68331,"I'll take that gold now, if you would be so kind.",
68332,So...how about we forget about our little wager and carry on with our busy lives?,
68333,"Trying to pull a fast one on me, are you? I think not!",
68336,You can forfeit if you'd like.,
68337,An unfortunate business expense.,
68338,,"Remember your training, Helena...you've got this."
68339,,I did it!
68340,,"Well, practice makes perfect I suppose."
68341,,Come back before you get hurt!
68342,,Nice! I'm on my way to victory!
68343,Oh no! That wasn't good...,
68344,Let's take flight!,
68345,We're flying high!,
68352,Shot out of the sky!,
68354,"Take it easy, will ya?",
68355,Now we're talkin'!,
68356,Cut down in its prime...,
68357,"You're going to regret this, I assure you.",
68358,I did warn you. Pity.,
68359,This is a most...unfortunate turn of events.,
68360,An unexpected twist.,
68361,"Don't worry, it'll all be over soon.",
68362,I was using that.,
68363,You dare challenge me? I'll show you the true power of the Horde!,
68364,Consider yourself fortunate that I was so merciful.,
68365,NO! You miserable wretch! I do not lose!,
68366,I will not rest until I defeat you!,
68367,Pathetic.,
68368,You'll pay for that.,
68369,Me go first or you?,
68370,Me win! Me win!,
68371,You good at battling!,
68372,Me save this one for later.,
68373,Me win?,
68374,Why it no move?,
68375,"By the might of King Varian's throne, I shall defeat you!",
68376,Another victory for the Alliance military!,
68377,I was warned about you. I should have heeded that warning.,
68378,I'm not through with you yet!,
68379,By the grace of Prince Anduin I shall achieve victory this day.,
68380,We shall persevere.,
68381,,I wish you the best of luck.
68382,,"Do not lament. Continue your training, and you shall achieve greatness."
68384,,Well done. I applaud your skills as a tactician.
68385,,"Live to fight another day, and prosper."
68386,,All is as it should be.
68387,,You are quite powerful indeed.
68388,Time to lay down da beatdown!,
68389,Mo'ruk's the best!,
68390,Mo'ruk...got beaten?,
68391,Mo'ruk not done yet!,
68392,That's the stuff!,
68393,No!,
68394,,My pets are all hand-grown! You don't stand a chance!
68395,,I knew I could count on my team to win!
68396,,My entire team's been razed!
68397,,"If you think I'm out for the count, think again!"
68398,,We're really plowing through your team now!
68399,,This is going south quick!
68400,Let us see who is the greater tamer.,
68401,The day is mine. Well fought.,
68402,You are a worthy foe. The day is yours.,
68403,A smart fighter knows when retreat is the best option.,
68404,Capitalizing on your enemy's weaknesses is key.,
68405,Sometimes even the finest make mistakes.,
68406,"You have not earned the right to defeat me, tamer.",
68407,I hope you learn from your defeat.,
68408,"Clearly, I was wrong about you.",
68409,You ought to rejoice that you even came close to defeating one of my pets.,
68410,"Only a matter of time, now.",
68411,Impossible!,
68412,,Do not expect to defeat me.
68413,,"Perhaps another day, tamer."
68414,,Well done! Congratulations on your victory.
68415,,Do not underestimate me.
68416,,"Do not expect mercy, tamer. I will show none."
