ID,DisplayName_lang,Description_lang
560,Writhing Armor Banding,Khaz Algar recipes for most unembellished Epic armor.
561,Chitin Armor Banding,
562,Carapace-Backed Hide,
563,Crystalfused Hide,
564,Writhing Hide,
565,Sporecoated Hide,
566,Leyfused Hide,
567,Deepfury Hide,
568,Storm-Touched Weapon Wrap,
569,Storm Dust,
570,Gleaming Shard,
571,Refulgent Crystal,
572,Arathor Armor Patch,Khaz Algar recipes for most unembellished Epic armor.
573,Siphoning Spike,Khaz Algar recipes for most unembellished Epic armor.
574,Erupting Protection Seal,Khaz Algar recipes for most unembellished Epic armor.
575,Echoing Impact Seal,Khaz Algar recipes for most unembellished Epic armor.
580,Bound Spearwood,
581,Cipher of Movement,
582,Apricate Ink,
583,Sable Ink,
584,Cipher of Cooperation,
585,Cipher of Perfection,
586,Cipher of Exhileration,
587,Darkmoon Sigil: Shine,Khaz Algar recipes for most unembellished Epic armor and weapons.
588,Darkmoon Sigil: Evolution,Khaz Algar recipes for most unembellished armor and weapons.
589,Darkmoon Sigil: Symbiosis,Khaz Algar recipes for most unembellished Epic armor and weapons.
590,Darkmoon Sigil: Vivacity,Khaz Algar recipes for most unembellished Epic armor and weapons.
591,11.0 Optional Reagent - Season 1 - Enchanted Crests,Khaz Algar recipes for Epic equipment made with a Spark of Omens.
594,Handful of Bismuth Bolts,
595,Whimsical Wiring,
596,Gyrating Gear,
597,Safety Switch,
598,Chaos Circuit,
599,Entropy Enhancer,
600,Serrated Cogwheel,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
601,Overclocked Cogwheel,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
602,Impeccable Cogwheel,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
603,Adjustable Cogwheel,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
604,Recalibrated Safety Switch,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
605,Blame Redistribution Device,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
606,Overclocked Circuit Board,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
607,Complicated Fuse Box,Usable with Goggles and Bracers crafted with Khaz Algar Engineering.
608,Pouch of Pocket Grenades,Most unembellished crafted equipment from Khaz Algar.
609,Concealed Chaos Module,Most unembellished crafted equipment from Khaz Algar.
610,Energy Redistribution Beacon,Most unembellished crafted equipment from Khaz Algar.
649,Core Alloy,
650,Charged Alloy,
651,Sanctified Alloy,
652,Ironclaw Alloy,
653,Echoing Impact Seal,
654,Arathor Armor Patch,
655,Forged Framework,
656,Adjustable Framework,
657,Seasoned Skillet,
658,Codified Greenwood,
659,Boundless Cipher,
660,Algari Missive of the Aurora,Many Khaz Algar equipment recipes.
661,Algari Missive of the Feverflare,Many Khaz Algar equipment recipes.
662,Algari Missive of the Fireflash,Many Khaz Algar equipment recipes.
663,Algari Missive of the Harmonious,Many Khaz Algar equipment recipes.
664,Algari Missive of the Peerless,Many Khaz Algar equipment recipes.
665,Algari Missive of the Quickblade,Many Khaz Algar equipment recipes.
666,Sable Ink,
667,Sable Pigment,
668,Apricate Ink,
669,Nacreous Pigment,
670,Algari Missive of Ingenuity,Most Khaz Algar crafting tool recipes.
671,Algari Missive of Resourcefulness,Most Khaz Algar crafting tool recipes.
672,Algari Missive of Multicraft,Most Khaz Algar crafting tool recipes.
673,Algari Missive of Crafting Speed,Most Khaz Algar crafting tool recipes.
674,Algari Missive of Finesse,Most Khaz Algar crafting tool recipes.
675,Algari Missive of Perception,Most Khaz Algar crafting tool recipes.
676,Algari Missive of Deftness,Most Khaz Algar crafting tool recipes.
677,Spool of Duskthread,
678,Spool of Dawnthread,
679,Spool of Weaverthread,
680,Duskcloth Bolt,
681,Dawncloth Bolt,
682,Weavercloth Bolt,
683,Dawnthread Lining,Most unembellished crafted armor from Khaz Algar.
684,Duskthread Lining,Most unembellished crafted armor from Khaz Algar.
685,Gritty Polishing Cloth,Most Khaz Algar Jewelcrafting recipes.
686,Bright Polishing Cloth,Most Khaz Algar Jewelcrafting recipes.
687,Weavercloth Embroidery Thread,Most Khaz Algar Tailoring recipes.
688,Preserving Embroidery Thread,Most Khaz Algar Tailoring recipes.
689,11.0 Optional Reagent - Outdoor Upgrade Dungeon - All,Khaz Algar recipes for most Rare (blue) equipment.
690,Concentration Concentrate,Many Khaz Algar recipes that you can Concentrate on.
691,Mirror Powder,Many Khaz Algar recipes that produce consumable items.
692,Weavercloth Bandage,
693,Potion of the Reborn Cheetah,
694,Algari Healing Potion,
695,Cavedweller's Delight,
696,Tempered Potion,
697,Orbinid Pigment,
698,Luredrop Pigment,
699,Blessing Blossom Pigment,
700,Exquisite Weavercloth Bolt,
701,Daybreak Spellthread,
702,Sunset Spellthread,
703,Exquisite Spellthread,
704,Tempered Framework,
706,Secret Sauce,Khaz Algar food recipes.
707,Secret Sauce,Khaz Algar food recipes.
708,Assorted Choking Hazards,Many Engineering schematics.
709,Bottled Brilliance,Many Khaz Algar recipes across most professions.
710,11.0 Professions - Shared - Season 1 Upgrade,
711,Socket,
712,Socket,
713,Global Finishing Reagent 01,Many Khaz Algar recipes across all professions.
714,Global Finishing Reagent 02,Many Khaz Algar recipes across all professions.
715,Global Finishing Reagent 03,Many Khaz Algar recipes across all professions.
716,Global Finishing Reagent 04,Many Khaz Algar recipes across all professions.
717,Spark of Legacies,Many equipment recipes prior to the current expansion which require a crafting spark.
718,Weavercloth,
719,Duskweave,
720,Dawnweave,
721,11.0 Optional Reagent - Outdoor Upgrade Leveling - Non Weapon,Khaz Algar recipes for most Rare (blue) armor and accessories.
722,11.0 Optional Reagent - Outdoor Upgrade Leveling - Heroic,Khaz Algar recipes for most Rare (blue) gear.
723,Increase Item Level,Many equipment recipes prior to the current expansion.
724,Bubbling Mycobloom Culture,Many Khaz Algar Alchemy recipes.
725,Petal Powder,Many Khaz Algar Alchemy recipes.
726,Griftah's All-Purpose Embellishing Powder,Khaz Algar recipes for most unembellished equipment.
