ID,Description_lang,SourceText_lang
75,"Xan'tish fearlessly tracks, captures, and trains these noble snakes so they will aid their comrades in battle.",|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
77,The brown snake is native to Horde-controlled territories. It seems unremarkable until its victims are within range.,|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
78,"The crimson snake is favored among the Darkspear trolls for not only its vicious nature, but also its steadfast loyalty.",|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
83,"Not to worry; the combat mechanisms and homing logic have been disabled on this unit, I think. --Oglethorpe Obnoticus",|cFFFFD200Quest:|r An OOX of Your Own|n|cFFFFD200Zone:|r Booty Bay|n
84,Don't call this bird chicken unless you want egg on your face.,|cFFFFD200Quest: |rCLUCK!|n|cFFFFD200Zone: |rWestfall
85,"Possibly explosive, definitely adorable. Keep away from open flame.",|cFFFFD200Profession: |rEngineering
86,This tiny peacekeeper security bot is often outfitted with the latest arcane nullifiers and crowd pummelers. Not for the environmentally minded.,|cFFFFD200Profession: |rEngineering
87,"These adorable critters love snuggling with their owners after a long day of brutal, bloody battle.",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rFeralas
89,Worgs are the favored companions of orcs and are fiercely loyal on the battlefield.,|cFFFFD200Drop: |rQuartermaster Zigris|n|cFFFFD200Zone: |rLower Blackrock Spire
90,"Although born in the warm heights of Blackrock Spire, the smolderweb hatchling can survive most environments.",|cFFFFD200Drop: |rMother Smolderweb|n|cFFFFD200Zone: |rLower Blackrock Spire
92,This pint-sized panda cub is highly sought after by adventurers around Azeroth - despite its narcoleptic nature.,|cFFFFD200Promotion:|r World of Warcraft Collector's Edition
93,"AND THE HEAVENS SHALL TREMBLE, AND MAN SHALL WEEP, AND THE END OF DAYS SHALL--wait, why are you so tall?",|cFFFFD200Promotion:|r World of Warcraft Collectors Edition
94,"A small, fierce member of the Zerg swarm, the zergling is not to be trifled with. Very dangerous in high numbers.",|cFFFFD200Promotion:|r World of Warcraft Collectors Edition
95,"Talented engineers have crafted an exact replica of a wood frog, at only ten times the cost of buying the real thing.",|cFFFFD200Profession: |rEngineering
106,The legendary ale frog was believed to be extinct until the strange brews at the Darkmoon Faire brought them out of hiding.,|cFFFFD200World Event:|r Darkmoon Faire
107,Appearances of this beloved and ultra-reclusive murloc are sure to draw a crowd.,|cFFFFD200Promotion:|r BlizzCon 2005
111,Lurky's charming disposition and lively antics are guaranteed to soothe frustration and lighten even the darkest moods.,|cFFFFD200Promotion:|r Burning Crusade Collector's Edition (EU only)|n
114,Warning: Wear gloves and goggles while handling disgusting oozeling. DO NOT WASH. Will stain most armor.,"|cFFFFD200Drop:|r World Drop|n|cFFFFD200Creature:|r Oozes, Slimes and Worms"
115,"After birth, newborn sharks quickly flee their hungry mothers. Their early independence makes them dangerous, even while young.","|cFFFFD200Profession:|r Fishing|n|cFFFFD200Vendor:|r Nat Pagle|n|cFFFFD200Zone:|r Garrison, Fishing Shack|n|cFFFFD200Cost:|r 50|Tinterface\icons\inv_misc_coin_19.blp:0|t"
116,"This clever toy is equipped with a secret switch to disable its 'tranquil' mode. Luckily, even the engineers who built it don't know how to find it.",|cFFFFD200Profession: |rEngineering
117,"He loves to dance and wave and play with you! He melts after Winter Veil, but don't worry; he'll be back again someday!",|cFFFFD200World Event:|r Feast of Winter Veil|n
118,Would rather not spend any more time inside a wrapped holiday gift box.,|cFFFFD200World Event:|r Feast of Winter Veil
119,"These off-season allies work tirelessly to prepare for the Feast of Winter Veil, and would appreciate not being disturbed the rest of the year.",|cFFFFD200World Event:|r Feast of Winter Veil
120,"During the majestic Winter Veil celebration, these faithful companions spread joy throughout the land. The rest of the year, they are busy.",|cFFFFD200World Event:|r Feast of Winter Veil
121,"Gurky is a born performer, though she remains elusive, making public appearances only on the rarest of occasions.",|cFFFFD200Promotion:|r EU Fansite Promotion|n
122,"The power of love can be a dangerous thing, especially when wielded by an airborne, ill-tempered goblin.",|cFFFFD200World Event:|r Love is in the Air|n|cFFFFD200Vendor: |rLovely Merchant|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\INV_ValentinesCard01:0|t|n
124,"This cub shares many traits with its relatives, but it's in a league of its own with its singing ability.",|cFFFFD200Promotion:|r iCoke
125,Slow and steady wins the race.,|cFFFFD200World Event:|r Children's Week
126,Many assume 'Wiggles' refers to the motion of this pig's posterior. They discover the true meaning when they see their own entrails.,|cFFFFD200World Event:|r Children's Week
127,"A clever tactician, Whiskers will feign death to fool predators and bill collectors.",|cFFFFD200World Event:|r Children's Week
128,"This little piece of summer smells of warm evenings and lightning storms. If you look closely, you might be able to make out a face.",|cFFFFD200World Event:|r Midsummer Fire Festival|n|cFFFFD200Vendor: |rMidsummer Merchant|n|cFFFFD200Cost: |r350|TINTERFACE\ICONS\INV_SummerFest_FireFlower:0|t
130,"After a harpy incursion in Feralas, several hippogryph nesting grounds were attacked. Hundreds of hatchlings were orphaned, and they have been entrusted to the care of the druids on Sardor Isle.",|cFFFFD200Trading Card Game:|r Heroes of Azeroth
131,"Offspring of the nether drakes of Outland, this young dragon is still growing into its role as hunter, protector, and adorable terror of the skies.",|cFFFFD200Promotion:|r Burning Crusade Collector's Edition
132,"Only magical wishes make magical crawdads. If you wish for a fish, fish for a wish.",|cFFFFD200Fishing:|r Fishing (430)|n|cFFFFD200Zone:|r Terokkar Forest (Fishing Nodes)
136,The ethereal Rashaad began breeding these enigmatic creatures after learning of their ability to feed on arcane energies.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
137,This bunny is the cutest thing its opponent will ever see. It'll also be the last.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
138,"Delicate denizen of Azuremyst Isle, this magical insect has been rumored to possess healing abilities.",|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
139,"A product of exposure to wild magical energies, this insect is the unexpectedly colorful result of Azerothian moth species being released into the eco-domes of the Netherstorm.",|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
140,"Prefers flying during thunderstorms, which are common in Azuremyst Isle.",|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
141,"Prefers flying during foggy nights, which are common in Azuremyst Isle.",|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
142,"Once prized by dragonhawk breeders in Silvermoon. Stands out at night to predators, making it necessary to gain awareness at an early age.",|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
143,Mortal enemies with silver dragonhawks; on pretty good terms with golden dragonhawks.,|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
144,"Ferocious species of dragonhawk, often seen diving down on prey from high in the sky.",|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
145,Raised by the few dealers still willing to trade in Netherstorm.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
146,"Commonly used by sporelings as a light source as they navigate the waterways of Zangarmarsh, this luminescent insect helps them avoid the dangerous bogflare needlers.",|cFFFFD200Drop: |rBogflare Needler|n|cFFFFD200Zone: |rZangarmarsh
149,"The magical energies released during Skywing's transformation back into his true arakkoa form liberated this poor creature, a fledgling bird imprisoned by Luanga in order to power his fowl curse.",|cFFFFD200Quest:|r Skywing|n|cFFFFD200Zone:|r Terokkar Forest|n|n
153,"Many a drunken Brewfest goer has told the tale of this mysterious creature, but few remember that tale in the morning.",|cFFFFD200World Event:|r Brewfest
155,"Lucky squeals when he's angry or when he's eating. Either way, you don't want to bother him.",|cFFFFD200Promotion:|r World Wide Invitational 2007|n
156,"Although loath to part with Bananas, Landro realized it would be safer if the pet was far from Booty Bay when his father, King Mukla, discovered he was missing.",|cFFFFD200Trading Card Game:|r Through the Dark Portal
157,He's slightly evil but extremely narcoleptic. Keep him away from critters!,|cFFFFD200World Event:|r Children's Week
158,"The sin'dorei use hawkstriders as mounts, but this little one was deemed unfit after being diagnosed with numerous anxiety disorders.",|cFFFFD200World Event:|r Children's Week
159,Domesticated elekks are trained as mounts by the draenei people. In the wild they are hunted for their ivory tusks.,|cFFFFD200World Event:|r Children's Week
160,Stinker uses his aroma to repel predators and attract cats. He's much more successful with the former than the latter.,"|cFFFFD200Achievement: |rShop Smart, Shop Pet...Smart|n|cFFFFD200Category: |rPet Battles"
162,This mischievous gourd likes to pop out of the ground and scare you right out of your pants. Hail to the pumpkin song!,|cFFFFD200World Event:|r Hallow's End
163,"The crocolisk's hide and meat are prized by hunters, but the beast is ferocious and seldom taken by surprise.",|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath
164,"Muckbreath is just like other crocolisks, except he has an excellent sense of humor.",|cFFFFD200Profession:|r Fishing|n|cFFFFD200Zone:|r Shattrath
165,Amani witch doctors have turned many victims into frogs. Some never recover.,|cFFFFD200Drop:|r Forest Frog|n|cFFFFD200Zone:|r Zul'Aman
166,"A shy creature, the pink elekk will only make its presence known to those that have befriended it, or to anyone too intoxicated to harm it.",|cFFFFD200World Event:|r Brewfest|n|cFFFFD200Vendor: |rBelbi Quikswitch|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_Misc_Coin_01:0|t|n|n|cFFFFD200Vendor: |rBliz Fixwidget|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_Misc_Coin_01:0|t
167,"Wild sporebats are vicious creatures, but if tamed at a young age, they can be loyal companions.",|cFFFFD200Vendor: |rMycah|n|cFFFFD200Zone: |rZangarmarsh|n|cFFFFD200Faction: |rSporeggar - Exalted|n|cFFFFD200Cost: |r30|TINTERFACE\ICONS\INV_Mushroom_02:0|t
168,"When the Burning Legion invaded Outland, Landro Longshot contributed this design to the war effort. Both the Alliance and Horde passed on production.",|cFFFFD200Trading Card Game:|r March of the Legion
169,Much quieter than a real dragon.,|cFFFFD200Trading Card Game:|r March of the Legion
170,This golden pig honors its ancestors by giving its allies good fortune.,|cFFFFD200Promotion:|r Recruit-A-Friend|n
171,"Druids think silver pigs have a special bond with golden pigs, as both breeds appeared on Azeroth at the same time.",|cFFFFD200Promotion:|r Recruit-A-Friend
172,"Elder shaman have warned that wisps of Ragnaros, loyal servants of the Firelord, have taken to the Molten Front.  Vigilance is advised.",|cFFFFD200Vendor:|r Zen'Vorka|n|cFFFFD200Zone:|r Molten Front|n|cFFFFD200Cost: |r30|TINTERFACE\ICONS\INV_MISC_MARKOFTHEWORLDTREE.BLP:0|t
173,Crocolisks are six-legged amphibian predators found in coastal waters. Archaeologists believe they may be descended from the diemetradons of Un'Goro Crater.,|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath
174,"After studying the crocolisk species for several years, the famed angler Nat Pagle determined that baby crocolisks are mostly harmless.",|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath
175,"A child of phoenix god Al'ar, the hatchling takes flight immediately after birth.",|cFFFFD200Drop: |rKael'thas Sunstrider|n|cFFFFD200Zone: |rMagisters' Terrace
179,"These stunning creatures, awarded to heroes for victory in battle, represent bravery and strength.",|cFFFFD200Promotion:|r Battleground Event|n|cFFFFD200Trading Post|r
180,Only heroes who have proven their valor through great acts are gifted one of these mystical serpentine creatures.,|cFFFFD200Promotion:|r China PVP Event
183,Ethereal soul-traders will travel with those who can free the essences they need from unruly hosts.,|cFFFFD200Trading Card Game:|r The Hunt for Illidan
186,"Native to the Terokkar Forest, nether rays spawn during the rainy season. Out of the hundreds of offspring resulting from one hatching, very few survive to adulthood.",|cFFFFD200Vendor: |rGrella|n|cFFFFD200Zone: |rTerokkar Forest|n|cFFFFD200Faction: |rSha'tari Skyguard - Exalted|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
187,Vampire bats have been trained as scouts and mounts by the Forsaken of the Undercity and the Amani trolls of Zul'Aman.,|cFFFFD200Drop: |rPrince Tenris Mirkblood|n|cFFFFD200Zone: |rKarazhan
188,Accidentally created when the Lich King's deathly powers raised Rimefang from undeath.,|cFFFFD200Promotion:|r Wrath of the Lich King Collector's Edition
189,'I am Justice itself!',|cFFFFD200Promotion:|r World Wide Invitational 2008
190,"When it senses the impending death of a nearby creature, the skull will emit an ear-piercing cackle.",|cFFFFD200Vendor: |rDarahir|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
191,"This mechanical warrior is a favorite gift during Winter Veil. Batteries not included, but rockets definitely are!",|cFFFFD200World Event:|r Feast of Winter Veil
192,"Mr. Chilly's appearance evokes a more civilized era, when duelists battled in tuxedos.",|cFFFFD200Promotion:|r WoW/Blizzard Account Merger
193,"You wouldn't want to meet this rat in a dark alley. Or anywhere else, for that matter.",|cFFFFD200Profession:|r Fishing|n|cFFFFD200Zone:|r Dalaran
194,"Unlike most of Geen the gorloc's 'mysterious eggs,' this one actually contained a living thing.",|cFFFFD200Drop: |rMysterious Egg
195,"The rare albino tickbird is revered amongst the Oracles. It is seen as a sign of heavy rainstorms, good grub harvests, and hibernating wolvar.",|cFFFFD200Drop: |rMysterious Egg
196,These voracious whelps grow at an incredible rate and can devour nearly twice their weight in raw meat per day.,|cFFFFD200Drop: |rMysterious Egg
197,The cobras of Azeroth are renowned for their fast-acting venom and swift strikes.,|cFFFFD200Drop: |rMysterious Egg
198,Notable for its wide eyes and sassy slide.,|cFFFFD200Vendor: |rSairuk|n|cFFFFD200Zone: |rDragonblight|n|cFFFFD200Faction: |rThe Kalu'ak - Exalted|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rTanaika|n|cFFFFD200Zone: |rHowling Fjord|n|cFFFFD200Faction: |rThe Kalu'ak - Exalted|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
199,"To prevent apprentices from secretly using the familiar to complete their chores, the archmagi placed the ritual required to summon the creature across the pages of several spellbooks hidden throughout Dalaran.",|cFFFFD200Achievement:|r Higher Learning|n|cFFFFD200Category: |rGeneral
200,"Spring rabbits symbolize fertility, and they love to demonstrate why.",|cFFFFD200World Event:|r Noblegarden|n|cFFFFD200Vendor: |rNoblegarden Merchant|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\Achievement_Noblegarden_Chocolate_Egg:0|t
201,"He's humble, clairvoyant, and delicious with cranberry sauce.",|cFFFFD200World Event:|r Pilgrim's Bounty
202,This rare bear is bred for its small size and perpetually youthful appearance.,|cFFFFD200Achievement: |rWoW's 4th Anniversary|n|cFFFFD200Category: |rFeats of Strength
203,"She likes the company of friends. Seventy-five of them, to be precise.",|cFFFFD200Achievement: |rLil' Game Hunter|n|cFFFFD200Category: |rPet Battles
204,It always wakes up dancing. What a happy little tree!,|cFFFFD200Vendor: |rRook Hawkfist|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t
205,"The bears of Dun Morogh are prized for their hardiness, loyalty, and combat prowess. Their time among the dwarves does little to curb their ferocity.",|cFFFFD200Vendor: |rDerrick Brindlebeard|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t 
206,Can sense an opponent's heartbeat through echolocation.,|cFFFFD200Vendor: |rEliza Killian|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t
207,The volatile Durotar scorpion is a fierce desert predator. It's known for only occasionally stinging its owner.,|cFFFFD200Vendor: |rFreka Bloodaxe|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t 
209,"Unlike the polymorphed variety, trueborn sheep can be quite scary.",|cFFFFD200Vendor: |rCorporal Arthur Flew|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t 
210,"A tallstrider's speed on open ground is unrivaled, so predators rely on stealth and pack tactics when hunting them.",|cFFFFD200Vendor: |rDoru Thunderhorn|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t 
211,The strand crawler has adapted to the northern cold by hibernating under the island beaches.,"|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rNorthrend, Stormwind, Orgrimmar"
212,The long-term effects of the contamination caused by the Exodar are still under observation.,|cFFFFD200Vendor: |rIrisee|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t |n
213,"Created by a blood elf apprentice, this broom would be extremely useful if anyone could figure out how to make it stop.",|cFFFFD200Vendor: |rTrellis Morningsun|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t 
214,"Many of Stormwind's youth joined the Argent Crusade as squires, hoping to one day serve the Holy Light in battle.",|cFFFFD200Quest:|r A Champion Rises|n|cFFFFD200Zone:|r Icecrown
215,"Used as a training mount for young gnomes, the Mechanopeep has none of the speed but all of the charm of its bigger brothers.",|cFFFFD200Vendor: |rRillie Spindlenut|n|cFFFFD200Zone: |rIcecrown
216,"These young orcs strive to embody the Argent Crusade's virtues: valor, strength, and integrity.",|cFFFFD200Quest:|r A Champion Rises|n|cFFFFD200Zone:|r Icecrown
217,"Murkimus is the most fearsome of all murloc arena warriors. And for a time, the only one.",|cFFFFD200Promotion:|r Arena Tournament
218,This is actually three pets in one. You won't know what you'll get until you summon it!,|cFFFFD200Vendor: |rSamamba|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t|n
220,A solemn reminder of what was lost when the Worldbreaker changed the face of Azeroth.,|cFFFFD200Quest: |rRemembrance of Auberdine|n|cFFFFD200Zone: |rDarkshore
224,"Many have mocked this cat before battle. Their last words are usually, 'Here, kitty, kitty.'",|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t
225,The bouncy gurloc is a distant cousin of the murloc.,|cFFFFD200World Event:|r Children's Week
226,"Despite their smaller stature, the wolvar are some of the most aggressive creatures in Northrend. This often makes their curious nature intimidating.",|cFFFFD200World Event:|r Children's Week
227,A fighting robot fueled by delicious red or blue electrolytes.,|cFFFFD200Promotion:|r Mountain Dew Promotion
228,Only the rarest of murlocs is able to successfully cross dimensional barriers. Fewer still return with the kind of advanced armor and weaponry possessed by Grunty.,|cFFFFD200Promotion:|r BlizzCon 2009
229,This extremely rare species of mana wyrm is prized for its unique coloration and even temperament.,|cFFFFD200Vendor: |rHiren Loresong|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Faction: |rThe Silver Covenant - Exalted|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t|n
231,"Considered to be lucky, tigers carved of jade are prized, but taming a jade tiger itself is an even greater prize.",|cFFFFD200Promotion:|r Recruit-A-Friend
