ID,Name_lang,HordeName_lang
477,Light Meals,
478,Large Meals,
479,Delicacies,
480,Feasts,
481,Cures of the Broken Isles,
484,Material Preparation Training,
485,Tanning Training,
486,Shaping Training,
487,Stitching Training,
488,Relics,
489,Relics,
490,Relics,
491,Relics,
492,Mass Milling,
495,Cloth Armor,
496,Reagents,
497,Other,
505,Mass Prospecting,
506,Disenchant,
507,Necklaces,
509,Pets,
535,Crowns,
536,Training,
541,Kul Tiran Blacksmithing - Header,Zandalari Blacksmithing - Header
542,Kul Tiran Plans,Zandalari Plans
545,Legion Plans - Header,
547,Armor,
548,Weapons,
549,Other,
550,Tool of the Trade,
551,Draenor Plans - Header,
552,Pandaren Plans - Header,
553,Pandaren Plans,
554,Helms,
555,Shoulders,
556,Materials,
557,Equipment Mods,
559,Chest,
560,Gauntlets,
561,Bracers,
562,Belts,
563,Legs,
564,Boots,
565,Shields,
566,Weapons,
567,Skeleton Keys,
568,Cataclysm Plans - Header,
569,Cataclysm Plans,
570,Armor,
571,Weapons,
572,Materials,
573,Shields,
574,Equipment Mods,
575,Skeleton Keys,
576,Northrend Plans - Header,
577,Northrend Plans,
578,Equipment Mods,
579,Armor,
580,Shields,
581,Weapons,
582,Skeleton Keys,
583,Outland Plans - Header,
584,Outland Plans,
585,Equipment Mods,
586,Armor,
588,Weapons,
589,Classic Plans - Header,
590,Blacksmithing Plans,
591,Kul Tiran Alchemy - Header,Zandalari Alchemy - Header
592,Kul Tiran Alchemy,Zandalari Alchemy
593,Alchemy of the Broken Isles - Header,
594,Alchemy of Draenor - Header,
595,Alchemy of Pandaria - Header,
596,Pandaria Alchemy,
597,Alchemy of the Cataclysm - Header,
598,Cataclysm Alchemy,
599,Alchemy of Northrend - Header,
600,Northrend Alchemy,
601,Alchemy of Outland - Header,
602,Outland Alchemy,
603,Classic Alchemy - Header,
604,Alchemy,
605,Combat Potions,
606,Utility Potions,
607,Flasks,
608,Transmutation,
609,Trinkets,
610,Tool of the Trade,
611,Potions,
612,Elixirs,
613,Flasks,
614,Transmutation,
615,Trinkets,
616,Oils,
617,Cauldrons,
618,Potions,
619,Elixirs,
620,Flasks,
621,Transmutation,
622,Trinkets,
623,Oils,
624,Mounts,
625,Research,
626,Potions,
627,Elixirs,
628,Flasks,
629,Transmutation,
630,Trinkets,
631,Oils,
632,Cauldrons,
633,Potions,
634,Elixirs,
635,Flasks,
636,Transmutation,
637,Trinkets,
638,Potions,
639,Elixirs,
640,Flasks,
641,Transmutation,
642,Trinkets,
643,Oils,
644,Materials,
645,Special,
646,Kul Tiran Enchanting - Header,Zandalari Enchanting - Header
647,Kul Tiran Enchanting,Zandalari Enchanting
648,Draenor Enchanting - Header,
649,Legion Enchanting - Header,
650,Glove Enchantments,
651,Ring Enchantments,
652,Weapon Enchantments,
654,Reagents,
655,Pandaria Enchanting - Header,
656,Pandaria Enchanting,
657,Armor Enchantments,
658,Weapon Enchantments,
659,Shield and Off-Hand Enchantments,
660,Cataclysm Enchanting - Header,
661,Cataclysm Enchanting,
662,Northrend Enchanting - Header,
663,Northrend Enchanting,
664,Outland Enchanting - Header,
665,Outland Enchanting,
666,Classic Enchanting - Header,
667,Enchanting,
668,Armor Enchantments,
669,Weapon Enchantments,
670,Shield and Off-Hand Enchantments,
671,Pets,
672,Reagents,
673,Boot Enchantments,
674,Glove Enchantments,
675,Chest Enchantments,
676,Cloak Enchantments,
677,Bracer Enchantments,
678,Weapon Enchantments,
679,Shield Enchantments,
680,Reagents,
681,Boot Enchantments,
682,Bracer Enchantments,
683,Chest Enchantments,
684,Cloak Enchantments,
685,Glove Enchantments,
686,Weapon Enchantments,
687,Shield Enchantments,
688,Oils,
689,Other,
690,Boot Enchantments,
691,Bracer Enchantments,
692,Chest Enchantments,
693,Cloak Enchantments,
694,Glove Enchantments,
695,Weapon Enchantments,
696,Shield Enchantments,
697,Rods,
698,Wands,
699,Oils,
700,Trinket,
701,Reagents,
702,Illusions,
703,Illusions,
704,Illusions,
705,Illusions,
706,Illusions,
707,Reagents,
708,Kul Tiran Engineering - Header,Zandalari Engineering - Header
709,Kul Tiran Engineering,Zandalari Engineering
710,Legion Engineering - Header,
711,Draenor Engineering - Header,
712,Pandaria Engineering - Header,
713,Pandaria Engineering,
714,Cataclysm Engineering - Header,
715,Cataclysm Engineering,
716,Northrend Engineering - Header,
717,Northrend Engineering,
718,Outland Engineering - Header,
719,Outland Engineering,
720,Classic Engineering - Header,
721,Bombs,
722,Devices,
723,Weapons,
724,Mounts & Pets,
725,Fireworks,
726,Explosives,
727,Fireworks,
728,Devices,
729,Reagents,
730,Goggles,
731,Guns,
732,Scopes,
733,Mounts,
734,Cogwheels,
735,Tinkers,
736,Reagents,
737,Explosives,
738,Goggles,
739,Devices,
740,Weapons,
741,Scopes,
742,Tinkers,
743,Reagents,
744,Explosives,
745,Goggles,
746,Devices,
747,Weapons,
748,Scopes,
749,Mounts,
750,Reagents,
751,Explosives,
752,Goggles,
753,Devices,
754,Weapons,
755,Scopes,
756,Mounts,
757,Fireworks,
758,Kul Tiran Inscription - Header,Zandalari Inscription - Header
759,Kul Tiran Inscription,Zandalari Inscription
760,Legion Inscription - Header,
761,Draenor Inscription - Header,
762,Pandaria Inscription - Header,
763,Pandaria Inscription,
764,Cataclysm Inscription - Header,
765,Cataclysm Inscription,
766,Northrend Inscription - Header,
767,Northrend Inscription,
768,Outland Inscription - Header,
769,Outland Inscription,
770,Classic Inscription - Header,
771,Books & Scrolls,
772,Contracts,
773,Trinkets,
774,Off-Hands,
775,Mass Milling,
776,Vantus Runes,
777,Glyphs,
778,Staves & Off-Hands,
779,Inks,
780,Cards,
781,Scrolls & Research,
782,Quest,
783,Toys & Pets,
784,Trinkets,
785,Inks,
786,Glyphs,
787,Scrolls & Research,
788,Cards,
789,Shoulder Inscription,
790,Weapons & Off-Hands,
791,Quest,
792,Toys,
793,Inks,
794,Glyphs,
795,Scrolls & Research,
796,Cards,
797,Off-Hands,
798,Shoulder Inscription,
799,Inks,
800,Glyphs,
801,Cards,
802,Scrolls & Research,
803,Off-Hands,
804,Kul Tiran Designs - Header,Zandalari Designs - Header
805,Kul Tiran Designs,Zandalari Designs
806,Legion Designs - Header,
807,Draenor Designs - Header,
808,Pandaria Designs - Header,
809,Pandaria Designs,
810,Cataclysm Designs - Header,
811,Cataclysm Designs,
812,Northrend Designs - Header,
813,Northrend Designs,
814,Outland Designs - Header,
815,Outland Designs,
816,Classic Designs - Header,
817,Gems,
818,Mass Prospecting,
819,Rings,
820,Weapons,
821,Blue Gems,
822,Green Gems,
823,Orange Gems,
824,Purple Gems,
825,Red Gems,
826,Purple Gems,
827,Meta Gems,
828,Necklaces,
829,Rings,
830,Mounts,
831,Research,
832,Toys & Pets,
833,Yellow Gems,
834,Blue Gems,
835,Green Gems,
836,Orange Gems,
837,Purple Gems,
838,Red Gems,
839,Yellow Gems,
840,Meta Gems,
841,Necklaces,
842,Rings,
843,Crowns,
844,Fist Weapons,
845,Toys & Prisms,
846,Blue Gems,
847,Green Gems,
848,Orange Gems,
849,Purple Gems,
850,Red Gems,
851,Yellow Gems,
852,Meta Gems,
853,Necklaces,
854,Rings,
855,Prismatic Gems,
856,Pets and Projects,
857,Blue Gems,
858,Green Gems,
859,Orange Gems,
860,Purple Gems,
861,Red Gems,
862,Yellow Gems,
863,Meta Gems,
864,Necklaces,
865,Rings,
866,Trinkets,
867,Prisms & Statues,
868,Reagents,
869,Crowns,
870,Kul Tiran Patterns - Header,Zandalari Patterns - Header
871,Kul Tiran Patterns,Zandalari Patterns
872,Legion Patterns - Header,
873,Draenor Patterns - Header,
874,Classic Patterns - Header,
875,Pandaria Patterns - Header,
876,Pandaria Patterns,
877,Cataclysm Patterns - Header,
878,Cataclysm Patterns,
879,Northrend Patterns - Header,
880,Northrend Patterns,
881,Outland Patterns - Header,
882,Outland Patterns,
883,Leather Armor,
884,Mail Armor,
885,Weapons,
886,Other,
887,Materials,
888,Embossments,
889,Armor Kits,
890,Bags,
891,Helms,
892,Shoulders,
893,Chest,
894,Bracers,
895,Gloves,
896,Belts,
897,Pants,
898,Boots,
899,Cloaks,
900,Drums,
901,Research,
902,Materials,
903,Armor Kits,
904,Bags,
905,Helms,
906,Shoulders,
907,Chest,
908,Bracers,
909,Gloves,
910,Belts,
911,Pants,
912,Boots,
913,Cloaks,
914,Materials,
915,Armor Kits,
916,Bags,
917,Helms,
918,Shoulders,
919,Chests,
920,Bracers,
921,Gloves,
922,Belts,
923,Pants,
924,Boots,
925,Cloaks,
926,Drums,
927,Materials,
928,Armor Kits,
929,Bags,
930,Helms,
931,Shoulders,
932,Chest,
933,Bracers,
934,Gloves,
935,Belts,
936,Pants,
937,Boots,
938,Cloaks,
939,Special,
940,Drums,
941,Kul Tiran Patterns - Header,Zandalari Patterns - Header
942,Kul Tiran Patterns,Zandalari Patterns
943,Bags,
944,Armor,
945,Battle Flags,
946,Other,
947,Legion Patterns - Header,
948,Draenor Patterns - Header,
949,Pandaria Patterns - Header,
950,Pandaria Patterns,
951,Cataclysm Patterns - Header,
952,Cataclysm Patterns,
953,Northrend Patterns - Header,
954,Northrend Patterns,
955,Outland Patterns - Header,
956,Outland Patterns,
957,Classic Patterns - Header,
958,Materials,
959,Embroidery,
960,Spellthreads,
961,Bags,
962,Hats & Hoods,
963,Shoulders,
964,Robes & Tunics,
965,Bracers,
966,Belts,
967,Gloves,
968,Pants,
969,Boots,
970,Cloaks,
971,Other,
972,Materials,
973,Spellthreads,
974,Bags,
975,Hats & Hoods,
976,Shoulders,
977,Robes & Tunics,
978,Bracers,
979,Belts,
980,Gloves,
981,Pants,
982,Boots,
983,Cloaks,
984,Nets,
985,Materials,
986,Spellthread,
987,Bags,
988,Hats & Hoods,
989,Shoulders,
990,Robes & Tunics,
991,Bracers,
992,Belts,
993,Gloves,
994,Pants,
995,Boots,
996,Cloaks,
997,Shirts,
998,Mounts,
999,Nets,
1000,Materials,
1001,Spellthreads,
1002,Bags,
1003,Hats & Hoods,
1004,Shoulders,
1005,Robes & Tunics,
1006,Bracers,
1007,Belts,
1008,Gloves,
1009,Pants,
1010,Boots,
1011,Cloaks,
1012,Nets,
1013,Food of Draenor - Header,
1014,Food of the Broken Isles - Header,
1015,Pandaren Cuisine - Header,
1016,Classic Cooking - Header,
1017,Outlandish Dishes - Header,
1018,Recipes of the Cold North - Header,
1019,Cataclysm Recipes - Header,
1020,Everyday Cooking,
1021,Delightful Drinks,
1022,Lures,
1023,Everyday Cooking,
1024,Everyday Cooking,
1025,Everyday Cooking,
1026,Inks,
1027,Scopes & Ammo,
1028,Kul Tiran Herbalism - Header,Zandalari Herbalism - Header
1029,Kul Tiran Herbalism,Zandalari Herbalism
1030,Gathering Techniques,
1031,Legion Herbalism - Header,
1032,Gathering Techniques,
1033,Draenor Herbalism - Header,
1034,Draenor Herbalism,
1035,Pandaria Herbalism - Header,
1036,Pandaria Herbalism,
1037,Cataclysm Herbalism - Header,
1038,Cataclysm Herbalism,
1039,Northrend Herbalism - Header,
1040,Northrend Herbalism,
1041,Outland Herbalism - Header,
1042,Outland Herbalism,
1043,Classic Herbalism - Header,
1044,Herbalism,
1045,Kul Tiran Skinning - Header,Zandalari Skinning - Header
1046,Kul Tiran Skinning,Zandalari Skinning
1047,Legion Skinning - Header,
1049,Draenor Skinning - Header,
1050,Draenor Skinning,
1051,Pandaria Skinning - Header,
1052,Pandaria Skinning,
1053,Cataclysm Skinning - Header,
1054,Cataclysm Skinning,
1055,Northrend Skinning - Header,
1056,Northrend Skinning,
1057,Outland Skinning - Header,
1058,Outland Skinning,
1059,Classic Skinning - Header,
1060,Skinning,
1061,Skinning Techniques,
1062,Skinning Techniques,
1064,Kul Tiran Mining - Header,Zandalari Mining - Header
1065,Kul Tiran Mining,Zandalari Mining
1066,Legion Mining - Header,
1067,Draenor Mining - Header,
1068,Draenor Mining,
1069,Pandaria Mining - Header,
1070,Pandaria Mining,
1071,Cataclysm Mining - Header,
1072,Cataclysm Mining,
1073,Northrend Mining - Header,
1074,Northrend Mining,
1075,Outland Mining - Header,
1076,Outland Mining,
1077,Classic Mining - Header,
1078,Mining,
1079,Mining Techniques,
1080,Mining Techniques,
1081,Smelting,
1082,Smelting,
1083,Smelting,
1084,Smelting,
1085,Mount Equipment,
1086,Bandages,
1087,Cures of Draenor,
1088,Cures of the Broken Isles,
1089,Bandages,
1090,Bandages,
1091,Bandages,
1092,Bandages,
1093,Bandages,
1096,Belt Attachments,
1097,Wands,
1098,Wrist Enchantments,
1099,Classic Fishing - Header,
1100,Fishing,
1101,Outland Fishing - Header,
1102,Outland Fishing,
1103,Northrend Fishing - Header,
1104,Northrend Fishing,
1105,Cataclysm Fishing - Header,
1106,Cataclysm Fishing,
1107,Pandaria Fishing - Header,
1108,Pandaria Fishing,
1109,Draenor Fishing - Header,
1110,Draenor Fishing,
1111,Legion Fishing - Header,
1112,Legion Fishing,
1113,Kul Tiran Fishing - Header,Zandalari Fishing - Header
1114,Kul Tiran Fishing,Zandalari Fishing
1115,Cloth Goggles,
1116,Embroidery,
1117,Kul Tiran Cuisine - Header,Zandalari Cuisine - Header
1118,Kul Tiran Cuisine,Zandalari Cuisine
1119,Desserts,
1120,Light Meals,
1121,Large Meals,
1122,Feasts,
1123,Cures & Tonics,
1124,Anti-Venoms,
1125,Glyph - Death Knight,
1126,Glyphs,
1127,Glyphs,
1130,Glyphs,
1228,Cauldrons,
1229,Follower Equipment,
1230,Follower Equipment,
1231,Follower Equipment,
1232,Follower Equipment,
1233,Follower Equipment,
1234,Follower Equipment,
1235,Follower Equipment,
1236,Follower Equipment,
1237,Pets,
1238,Conversions,
1239,Conversions,
1240,Conversions,
1241,Conversions,
1242,Conversions,
1243,Conversions,
1244,Conversions,
1245,Conversions,
1246,Leather Goggles,
1247,Mail Goggles,
1248,Plate Goggles,
1249,Tool of the Trade,
1250,Training,
1251,Disenchants,
1254,Tool of the Trade,
1255,Training,
1256,Explosives,
1257,Junkyard Tinkering,
1259,Components & Tools,
1261,Other,
1262,Tool of the Trade,
1266,Tool of the Trade,
1267,Tool of the Trade,
1275,Mounts,
1276,Blood Contracts,
1278,Tool of the Trade,
1279,Rustbolt Upgrades,
1280,Gadgets,
1281,Resources,
1282,***[UNAUTHORIZED ACCESS]***,
1283,Equipment,
1284,Placeholder - Report If Visible,
1285,Transportation,
1288,Mount Equipment,
1289,Mount Equipment,
1290,Mount Equipment,
1291,Robots,
1293,Shadowlands Alchemy - Header,
1294,Shadowlands Alchemy,
1295,Cauldrons,
1296,Combat Potions,
1297,Oils and Extracts,
1298,Flasks,
1299,Optional Reagents,
1300,Transmutation,
1301,Trinkets,
1302,Utility Potions,
1303,Anti-Venoms,
1304,Focus,
1305,Focus,
1306,Focus,
1307,Focus,
1308,Focus,
1309,Focus,
1310,Shadowlands Blacksmithing - Header,
1311,Shadowlands Plans,
1312,Armor,
1313,Other,
1314,Specialized Armor,
1315,Weapons,
1316,Weapons Mods,
1317,Reagents,
1318,Optional Reagents,
1319,Shadowlands Mining - Header,
1320,Shadowlands Mining,
1321,Smelting,
1322,Shadowlands Cuisine - Header,
1323,Shadowlands Cuisine,
1324,Light Meals,
1325,Large Meals,
1326,Feasts,
1327,Soul Food,
1330,Shadowlands Skinning - Header,
1331,Shadowlands Skinning,
1332,Materials,
1333,Shadowlands Leatherworking - Header,
1334,Shadowlands Patterns,
1335,Other,
1336,Leather Armor,
1337,Weapons,
1338,Materials,
1339,Mail Armor,
1341,Kyrian Leather Armor,
1342,Kyrian Mail Armor,
1343,Fae Leather Armor,
1344,Fae Mail Armor,
1345,Necrolord Leather Armor,
1346,Necrolord Mail Armor,
1347,Venthyr Leather Armor,
1348,Venthyr Mail Armor,
1363,Shadowlands Enchanting - Header,
1364,Shadowlands Enchanting,
1365,Boot Enchantments,
1366,Chest Enchantments,
1367,Cloak Enchantments,
1368,Glove Enchantments,
1369,Optional Reagents,
1370,Bracer Enchantments,
1371,Reagents,
1372,Ring Enchantments,
1373,Shatters,
1374,Wands,
1375,Weapon Enchantments,
1380,Shadowlands Engineering - Header,
1381,Shadowlands Engineering,
1382,Belt Attachments,
1383,Bombs,
1384,Devices,
1385,Goggles,
1386,Optional Reagents,
1387,Parts,
1388,Scopes,
1389,Weapons,
1390,Shadowlands Fishing - Header,
1391,Shadowlands Fishing,
1392,Bait,
1393,Fishing Poles,
1394,Shadowlands Tailoring - Header,
1395,Shadowlands Patterns,
1396,Armor,
1397,Kyrian Armor,
1398,Fae Armor,
1399,Necro Armor,
1400,Venthyr Armor,
1401,Optional Reagents,
1402,Embroidery,
1403,Bandages,
1405,Shadowlands Inscription - Header,
1406,Shadowlands Inscription,
1407,Off-Hands,
1408,Ink,
1409,Books & Scrolls,
1410,Contracts,
1411,Cards,
1412,Mass Milling,
1413,Glyphs,
1415,Staves,
1416,Vantus Runes,
1417,Shadowlands Designs - Header,
1418,Shadowlands Designs,
1419,Gems,
1420,Prospecting,
1421,Optional Reagents,
1422,Necklaces,
1423,Reagents,
1424,Rings,
1440,Gathering Techniques,
1441,Shadowlands Herbalism,
1442,Shadowlands Herbalism - Header,
1443,Skinning Techniques,
1444,Soul Cyphering,
1445,Resonant Cyphers,
1446,Phasic Cyphers,
1447,Eternal Cyphers,
1448,Evanescent Cyphers,
1449,Delicacies,
1471,Armor Kits,
1472,Specialized Armor,
1473,Masterwork Mail Armor,
1474,Optional Reagents,
1476,Mount Equipment,
1477,Basic Constructs,
1478,Abominable Stitching,
1479,Specialized Constructs,
1480,Consumables,
1481,Components,
1484,Specialized Jewelry,
1485,Ascension Crafting,
1486,Lures,
1487,Shields,
1488,Optional Reagents,
1489,Optional Reagents,
1490,Optional Reagents,
1491,Optional Reagents,
1492,Optional Reagents,
1493,Optional Reagents,
1494,Optional Reagents,
1495,Optional Reagents,
1496,Optional Reagents,
1497,Optional Reagents,
1498,Optional Reagents,
1499,Optional Reagents,
1500,Optional Reagents,
1501,Optional Reagents,
1502,Optional Reagents,
1503,Optional Reagents,
1504,Optional Reagents,
1505,Optional Reagents,
1506,Optional Reagents,
1507,Optional Reagents,
1508,Optional Reagents,
1509,Optional Reagents,
1510,Optional Reagents,
1511,Optional Reagents,
1512,Robotics,
1513,Specialized Armor,
1514,Equipment,
1515,Charms,
1516,Boons,
1517,Other,
1518,Hats & Accessories,
1519,Hats,
1520,Hats,
1521,Optional Reagents,
1522,Quest Recipes,
1523,Fashion Accessories: Head,
1524,Specialty Items,
1525,Quest Recipes,
1526,Quest Recipes,
1527,Quest Recipes,
1528,Quest Recipes,
1529,Quest Recipes,
1530,Quest Recipes,
1531,Quest Recipes,
1532,Quest Recipes,
1533,Fashion Accessories: Other,
1534,Fashion Accessories: Shoulders,
1535,Fashion Accessories: Back,
1538,Bags,
1539,Reagent,
1542,Other,
1543,Statues,
1547,Vombata,
1548,Protoform Synthesis,
1549,Ambystans,
1550,Aurelids,
1551,Bufonids,
1552,Cervids,
1553,Helicids,
1554,Geomentals,
1555,Leporids,
1556,Poultrids,
1557,Proto Avians,
1558,Scarabids,
1559,Tarachnids,
1560,Vespoids,
1561,Viperids,
1562,Arcane Manipulation,
1563,Magical Trinkets,
1564,Raptora,
1565,Dragon Isles Blacksmithing - Header,
1566,Dragon Isles Plans,
1567,Armor,
1570,Dragon Isles Alchemy - Header,
1571,Dragon Isles Mining - Header,
1572,Dragon Isles Cuisine - Header,
1573,Dragon Isles Skinning - Header,
1574,Dragon Isles Designs - Header,
1575,Dragon Isles Leatherworking - Header,
1576,Dragon Isles Tailoring - Header,
1577,Dragon Isles Enchanting - Header,
1578,Dragon Isles Engineering - Header,
1579,Dragon Isles Fishing - Header,
1580,Dragon Isles Inscription - Header,
1581,Dragon Isles Herbalism - Header,
1582,Dragon Isles Alchemy,
1584,Dragon Isles Mining,
1585,Dragon Isles Cuisine,
1586,Dragon Isles Skinning,
1587,Dragon Isles Patterns,
1588,Dragon Isles Formulas,
1591,Dragon Isles Patterns,
1592,Dragon Isles Techniques,
1593,Dragon Isles Designs,
1594,Dragon Isles Herbalism,
1595,Dragon Isles Schematics,
1597,Lupines,
1602,Air Potions,
1603,Air Phials,
1604,Transmutations,
1605,Alchemist Stones,
1606,Profession Garments,
1608,Finishing Reagents,
1609,Optional Reagents,
1610,Incense,
1611,Reagents,
1612,Cauldrons,
1628,Gems,
1629,Miscellaneous,
1630,Reagents,
1631,Trinkets,
1632,Jewelry,
1633,Statues & Carvings,
1634,Battle Pets,
1635,Extravagant Glasswares,
1636,Rudimentary Gems,
1637,Air Gems,
1638,Earth Gems,
1639,Fire Gems,
1640,Frost Gems,
1641,Primalist Gems,
1642,Profession Equipment,
1643,Novelties,
1644,Frost Phials,
1645,Frost Potions,
1646,Elemental Phials and Potions,
1648,Weapons,
1649,Optional Reagents,
1650,Finishing Reagents,
1651,Armor Kits,
1652,Toys,
1654,Reagents,
1655,Drums,
1656,Profession Equipment,
1657,Leather Armor,
1658,Mail Armor,
1662,Garments,
1665,Azureweave Garments,
1666,Chronocloth Garments,
1667,Experiments,
1668,Tailoring Essentials,
1669,Woven Cloth,
1670,Assorted Embroidery,
1671,Finishing Reagents,
1672,Spellthread,
1673,Optional Reagents,
1674,Embroidered Bags,
1675,Weapons,
1676,Finishing Reagents,
1677,Profession Tools and Accessories,
1678,Smelting,
1679,Optional Reagents,
1680,Pets,
1681,Alchemy Essentials,
1682,Consumable Tools,
1683,Skyriding,
1684,Stonework,
1685,Jewelcrafting Essentials,
1686,Quest Designs,
1687,Quest Recipes,
1688,Quest Plans,
1689,Quest Techniques,
1690,Quest Formulas,
1691,Quest Schematics,
1692,Quest Techniques,
1693,Quest Patterns,
1694,Quest Techniques,
1695,Quest Techniques,
1696,Quest Patterns,
1698,Tracking,
1699,Tracking,
1700,Tracking,
1702,Ingredients,
1704,Snacks,
1705,Desserts,
1706,Meat Meals,
1707,Deluxe Fish Dishes,
1708,Great Feasts,
1709,Beverages,
1710,Devices,
1711,Fireworks,
1712,Scopes & Ammo,
1713,Tinkers,
1714,Profession Equipment,
1715,Goggles,
1716,Weapons,
1717,Finishing Reagents,
1718,Parts,
1719,Robotics,
1720,Cogwheels,
1721,Explosives,
1722,Optional Reagents,
1723,Armor,
1724,Milling,
1725,Prospecting,
1726,Milling,
1727,Prospecting,
1728,Milling,
1729,Prospecting,
1730,Inscription Essentials,
1731,Milling,
1732,Prospecting,
1733,Milling,
1734,Prospecting,
1735,Milling,
1736,Prospecting,
1737,Milling,
1738,Prospecting,
1739,Milling,
1740,Prospecting,
1741,Milling,
1744,Bait Recipes,
1745,Fishing Lure Recipes,
1746,Refinement,
1747,Simple Fish Dishes,
1748,Trinkets,
1752,Reagents,
1753,Refinement,
1754,Inks,
1755,Profession Equipment,
1756,Missives,
1757,Profession Specialization,
