ID,SourceText_lang
2601,|cFFFFD200Profession Trainer: |rBlacksmithing (95)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2602,|cFFFFD200Profession Trainer: |rBlacksmithing (35)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2603,|cFFFFD200Profession Trainer: |rBlacksmithing (70)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2604,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2605,|cFFFFD200Profession Trainer: |rBlacksmithing (130)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2606,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2607,|cFFFFD200Profession Trainer: |rBlacksmithing (20)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2608,|cFFFFD200Profession Trainer: |rBlacksmithing (25)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2609,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2610,|cFFFFD200Profession Trainer: |rBlacksmithing (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2611,|cFFFFD200Profession Trainer: |rBlacksmithing (45)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2612,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2613,|cFFFFD200Profession Trainer: |rBlacksmithing (75)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2614,|cFFFFD200Profession Trainer: |rBlacksmithing (110)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2615,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2616,|cFFFFD200Profession Trainer: |rBlacksmithing (130)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2617,|cFFFFD200Profession Trainer: |rBlacksmithing (135)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2618,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2619,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2620,|cFFFFD200Profession Trainer: |rBlacksmithing (125)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2621,|cFFFFD200Profession Trainer: |rAlchemy (110)|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2622,|cFFFFD200Profession Trainer: |rAlchemy (165)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2623,|cFFFFD200Profession Trainer: |rAlchemy (165)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2624,|cFFFFD200Profession Trainer: |rAlchemy (175)|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2625,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2626,|cFFFFD200Profession Trainer: |rAlchemy (160)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2627,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2628,|cFFFFD200Vendor: |rBro'kin|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2630,|cFFFFD200Profession Trainer: |rBlacksmithing (105)|n|cFFFFD200Cost: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2631,|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2632,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2633,"|cFFFFD200Vendor: |rHigh Admiral ""Shelly"" Jorrik|n|cFFFFD200Zone: |rWestfall|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rMuuran|n|cFFFFD200Zone: |rDesolace|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
2634,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2635,|cFFFFD200Vendor: |rZarena Cromwind|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2636,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2637,|cFFFFD200Vendor: |rJaquilina Dramet|n|cFFFFD200Zone: |rNorthern Stranglethorn|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rVharr|n|cFFFFD200Zone: |rNorthern Stranglethorn|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2638,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2639,|cFFFFD200Profession Trainer: |rBlacksmithing (165)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2640,|cFFFFD200Profession Trainer: |rBlacksmithing (170)|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2641,|cFFFFD200Vendor: |rKrinkle Goodsteel|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rKrinkle Goodsteel|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2642,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2643,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2644,|cFFFFD200Profession Trainer: |rBlacksmithing (155)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2645,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2646,|cFFFFD200Profession Trainer: |rBlacksmithing (180)|n|cFFFFD200Cost: |r75|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2647,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2648,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2649,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2652,|cFFFFD200Profession Trainer: |rMining (125)|n|cFFFFD200Cost: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2655,|cFFFFD200Profession Trainer: |rLeatherworking (25)|n|cFFFFD200Cost: |r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2656,|cFFFFD200Profession Trainer: |rLeatherworking (55)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2657,|cFFFFD200Profession Trainer: |rLeatherworking (75)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2658,|cFFFFD200Profession Trainer: |rLeatherworking (150)|n|cFFFFD200Cost: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2659,|cFFFFD200Profession Trainer: |rLeatherworking (85)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2660,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2661,|cFFFFD200Profession Trainer: |rLeatherworking (80)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2662,|cFFFFD200Profession Trainer: |rLeatherworking (145)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2663,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2664,|cFFFFD200Profession Trainer: |rLeatherworking (125)|n|cFFFFD200Cost: |r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2665,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2666,|cFFFFD200Profession Trainer: |rLeatherworking (130)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2667,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2668,|cFFFFD200Profession Trainer: |rLeatherworking (135)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2669,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2670,|cFFFFD200Vendor: |rGeorge Candarte|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2671,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2672,|cFFFFD200Profession Trainer: |rLeatherworking (160)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2673,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2674,|cFFFFD200Profession Trainer: |rLeatherworking (180)|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2675,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2676,|cFFFFD200Vendor: |rRikqiz|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2677,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2678,|cFFFFD200Profession Trainer: |rLeatherworking (35)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2679,|cFFFFD200Profession Trainer: |rLeatherworking (100)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2680,|cFFFFD200Profession Trainer: |rLeatherworking (150)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2681,|cFFFFD200Profession Trainer: |rLeatherworking (150)|n|cFFFFD200Cost: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2687,|cFFFFD200Profession Trainer: |rTailoring (10)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2688,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rOutland
2689,|cFFFFD200Profession Trainer: |rTailoring (65)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2690,|cFFFFD200Profession Trainer: |rTailoring (40)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2691,|cFFFFD200Profession Trainer: |rTailoring (1)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2692,|cFFFFD200Profession Trainer: |rTailoring (40)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2693,|cFFFFD200Profession Trainer: |rTailoring (60)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2694,|cFFFFD200Profession Trainer: |rTailoring (70)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2695,|cFFFFD200Profession Trainer: |rTailoring (70)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2696,|cFFFFD200Profession Trainer: |rTailoring (75)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2697,|cFFFFD200Profession Trainer: |rTailoring (75)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2698,|cFFFFD200Profession Trainer: |rTailoring (85)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2699,|cFFFFD200Profession Trainer: |rTailoring (95)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2700,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2701,|cFFFFD200Profession Trainer: |rTailoring (100)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2702,|cFFFFD200Profession Trainer: |rTailoring (125)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2703,|cFFFFD200Profession Trainer: |rTailoring (175)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2704,|cFFFFD200Profession Trainer: |rTailoring (35)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2705,|cFFFFD200Profession Trainer: |rTailoring (60)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2706,|cFFFFD200Profession Trainer: |rTailoring (70)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2707,|cFFFFD200Profession Trainer: |rTailoring (85)|n|cFFFFD200Cost: |r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2708,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2709,|cFFFFD200Profession Trainer: |rTailoring (80)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2710,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2711,|cFFFFD200Profession Trainer: |rTailoring (110)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2712,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2713,|cFFFFD200Profession Trainer: |rTailoring (110)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2714,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes
2715,|cFFFFD200Profession Trainer: |rTailoring (130)|n|cFFFFD200Cost: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2716,|cFFFFD200Vendor: |rKireena|n|cFFFFD200Zone: |rDesolace|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2717,|cFFFFD200Profession Trainer: |rTailoring (125)|n|cFFFFD200Cost: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2718,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2719,|cFFFFD200Vendor: |rXizk Goodstitch|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2720,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2721,|cFFFFD200Profession Trainer: |rTailoring (150)|n|cFFFFD200Cost: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
2722,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2723,|cFFFFD200Profession Trainer: |rTailoring (185)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2724,|cFFFFD200Vendor: |rGhok'kah|n|cFFFFD200Zone: |rDustwallow Marsh|n|cFFFFD200Cost: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t
2725,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2726,|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop
2727,|cFFFFD200Profession Trainer: |rTailoring (110)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t
