ID,QuestTitle_lang,BulletText_lang
41280,Huge Runescale Koi,
41282,Work Order: Runescale Koi,
41283,The Angler Mangler,
41286,Aethril Cluster,
41287,Work Order: Aethril,
41288,Supplies Needed: Aethril,
41289,Flourishing Aethril,
41290,Aqueous Aethril,
41291,Dreamleaf Cluster,
41292,Work Order: Dreamleaf,
41293,Supplies Needed: Dreamleaf,
41294,Flourishing Dreamleaf,
41295,Dreamleaf-Covered Ancient,
41296,Fjarnskaggl Cluster,
41297,Work Order: Fjarnskaggl,
41298,Supplies Needed: Fjarnskaggl,
41299,Flourishing Fjarnskaggl,
41300,Singed Fjarnskaggl,
41301,Starlight Rose Cluster,
41302,Work Order: Starlight Roses,
41303,Supplies Needed: Starlight Roses,
41304,Flourishing Starlight Roses,
41305,Nightborne Herb Trader,
41308,Border Reinforcements,
41311,Work Order: Leystone,
41312,Work Order: Leystone,
41313,Work Order: Leystone,
41314,Work Order: Felslate,
41315,Supplies Needed: Leystone,
41316,Supplies Needed: Leystone,
41317,Supplies Needed: Leystone,
41318,Supplies Needed: Felslate,
41322,Unscratched Hippogryph Scale,
41323,Fatty Lion Seal Skin,
41324,Silky Prowler Fur,
41326,Work Order: Stormscales,
41327,Supplies Needed: Stormscales,
41333,Rugged Wolf Hide,
41334,Musky Bear Hide,
41336,Bristly Musken Hide,
41337,Pristine Stag Hide,
41338,Work Order: Stonehide Leather,
41339,Supplies Needed: Stonehide Leather,
41340,Perfect Storm Drake Scale,
41342,Thick Bear Hide,
41343,Solid Crabshell Fragment,
41344,Work Order: Stormscales,
41345,Supplies Needed: Stormscales,
41346,Velvety Stalker Hide,
41347,Extra-Rancid Felhound Hide,
41349,Rock-Hard Crab Chitin,
41350,Work Order: Stonehide Leather,
41351,Supplies Needed: Stonehide Leather,
41352,Felslate Basilisks,
41353,Odious Felslate Outcropping,
41354,Shattered Felslate Seams,
41357,Primordial Felslate Deposits,
41365,The Problem at Hand: Felsworn,
41414,Weapons of Deathwing,
41416,Retake the Skyhorn,
41417,Jeremy's Test Criteria-Based Progress Bar,
41420,Warden Tower Assault: Nightwatcher's Perch,
41421,Warden Tower Assault: Nightwatcher's Perch,
41427,Get Vrekt,
41428,Unstable Portal,
41429,Corrupted Waters,
41432,Fiery Leystone Deposits,
41433,Massive Leystone Deposits,
41434,Glowing Leystone Deposits,
41435,Smooth Leystone Deposits,
41437,Fine Leystone Deposits,
41438,Charged Leystone Deposits,
41439,Exquisite Leystone Deposits,
41440,Magnificent Leystone Deposits,
41441,Superior Leystone Deposits,
41442,Striking Leystone Deposits,
41443,Ancient Leystone Deposits,
41444,Dark Leystone Deposits,
41445,Stormy Leystone Deposits,
41446,Darkened Felslate Deposits,
41447,Burning Felslate Deposits,
41448,Heavy Felslate Deposits,
41451,Assault on Hrydshal,
41454,Luminous Leystone Outcropping,
41455,Gleaming Leystone Outcropping,
41457,Radiant Leystone Outcropping,
41458,Hardened Leystone Outcropping,
41459,Dense Leystone Outcropping,
41460,Primal Leystone Outcropping,
41461,Malevolent Felslate Outcropping,
41481,Brimstone Destroyer,
41482,Brimstone Destroyer,
41483,Brimstone Destroyer,
41484,Brimstone Destroyer,
41486,Brimstone Destroyer,
41487,Brimstone Destroyer,
41488,Brimstone Destroyer,
41489,Brimstone Destroyer,
41490,Brimstone Destroyer,
41491,Brimstone Destroyer,
41492,Brimstone Destroyer,
41493,Brimstone Destroyer,
41495,Brilliant Leystone Seams,
41496,Raw Leystone Seams,
41497,Wild Leystone Seams,
41498,Leystone Basilisks,
41500,Leyworms,
41501,Leystone Basilisks,
41502,Leystone Basilisks,
41503,Leystone Basilisks,
41504,Leystone Basilisks,
41505,Leystone Basilisks,
41506,Leystone Basilisks,
41507,Leystone Basilisks,
41508,Felslate Basilisks,
41509,Felslate Basilisks,
41511,Felwort,
41512,Felwort,
41513,Felwort,
41514,Felwort,
41515,Felwort,
41516,Felwort,
41517,Felwort,
41518,Felwort,
41519,Felwort,
41520,Felwort,
41521,Felwort,
41522,Felwort,
41523,Felwort,
41524,Felwort,
41525,Wispy Foxflower,
41526,Bushy Foxflower,
41527,Lively Aethril,
41528,Iridescent Aethril,
41529,Bushy Aethril,
41530,Lively Dreamleaf,
41531,Iridescent Dreamleaf,
41532,Bushy Dreamleaf,
41533,Fragrant Dreamleaf,
41534,Brambly Fjarnskaggl,
41535,Prickly Fjarnskaggl,
41536,Pungent Fjarnskaggl,
41537,Lively Starlight Roses,
41538,Iridescent Starlight Roses,
41539,Sparkling Starlight Roses,
41544,Foxflower Cluster,
41545,Aethril Cluster,
41546,Dreamleaf Cluster,
41547,Fjarnskaggl Cluster,
41548,Starlight Rose Cluster,
41549,Slab of Bacon,
41550,Slab of Bacon,
41551,Slab of Bacon,
41552,Slab of Bacon,
41553,Slab of Bacon,
41554,Slab of Bacon,
41555,Slab of Bacon,
41556,Slab of Bacon,
41557,Slab of Bacon,
41558,Slab of Bacon,
41560,Felhide,
41561,Felhide,
41562,Felhide,
41563,Felhide,
41564,Felhide,
41565,Felhide,
41566,Felhide,
41567,Felhide,
41568,Felhide,
41569,Felhide,
41570,Felhide,
41571,Felhide,
41572,Felhide,
41573,Felhide,
41582,Smooth Sunrunner Hide,
41596,Lively Highmountain Salmon,
41597,Lively Highmountain Salmon,
41598,Lively Cursed Queenfish,
41599,Lively Cursed Queenfish,
41600,Lively Mossgill Perch,
41601,Lively Mossgill Perch,
41602,Lively Stormrays,
41603,Lively Stormrays,
41604,Lively Runescale Koi,
41605,Lively Runescale Koi,
41609,Huge Highmountain Salmon,
41610,Huge Cursed Queenfish,
41611,Huge Cursed Queenfish,
41612,Huge Mossgill Perch,
41613,Huge Mossgill Perch,
41614,Huge Stormrays,
41615,Huge Stormrays,
41616,Huge Runescale Koi,
41617,Huge Runescale Koi,
41622,Crawliac's Legacy,
41623,Champions of Highmountain,
41624,Rocko Needs a Shave,
41633,Work Order: Leystone Greaves,
41634,Work Order: Leystone Armguards,
41635,Work Order: Leystone Boots,
41636,Work Order: Leystone Breastplate,
41637,Work Order: Leystone Pauldrons,
41638,Work Order: Leystone Gauntlets,
41639,Work Order: Battlebound Spaulders,
41640,Work Order: Warhide Mask,
41641,Work Order: Battlebound Armbands,
41642,Work Order: Warhide Footpads,
41643,Work Order: Battlebound Leggings,
41644,Work Order: Warhide Gloves,
41645,Work Order: Silkweave Epaulets,
41646,Work Order: Silkweave Gloves,
41647,Work Order: Silkweave Robe,
41648,Work Order: Silkweave Bracers,
41649,Work Order: Silkweave Slippers,
41650,Work Order: Silkweave Hood,
41651,Work Order: Azsunite Pendant,
41652,Work Order: Deep Amber Loop,
41653,Work Order: Skystone Pendant,
41654,Work Order: Queen's Opal Loop,
41655,Work Order: Queen's Opal Pendant,
41656,Work Order: Azsunite Loop,
41657,Work Order: Draughts of Raw Magic,
41658,Work Order: Sylvan Elixirs,
41659,Work Order: Avalanche Elixirs,
41660,Work Order: Skaggldrynk,
41661,Work Order: Skystep Potions,
41662,Work Order: Ancient Rejuvenation Potions,
41663,Vantus Rune Work Order: Elerethe Renferal,
41664,Vantus Rune Work Order: Dragons of Nightmare,
41665,Vantus Rune Work Order: Ursoc,
41666,Vantus Rune Work Order: Nythendra,
41667,Vantus Rune Work Order: Xavius,
41668,"Vantus Rune Work Order: Il'gynoth, The Heart of Corruption",
41669,Work Order: Word of Critical Strike,
41670,Work Order: Word of Agility,
41671,Work Order: Word of Strength,
41672,Work Order: Word of Haste,
41673,Work Order: Word of Mastery,
41674,Work Order: Word of Intellect,
41675,Work Order: Blink-Trigger Headgun,
41676,Work Order: Pump-Action Bandage Gun,
41677,Work Order: Auto-Hammer,
41678,Work Order: Gunpack,
41679,Work Order: Deployable Bullet Dispenser,
41680,Work Order: Failure Detection Pylon,
41685,DANGER: Ala'washte,
41686,DANGER: Olokk the Shipbreaker,
41687,Snail Fight!,
41691,Sea of Feathers,
41692,Shipwreck Scavengers,
41693,Swamprock Sorrows,
41695,DANGER: Defilia,
41696,DANGER: Mawat'aki,
41697,"DANGER: Colerian, Alteria, and Selenyi",
41699,Crabby Crunchies,
41700,DANGER: Shalas'aman,
41701,Gettin' Tuffer,
41703,DANGER: Ormagrogg,
41705,Assault on Thunder Totem,
41706,Briny Waters,
41757,Echoes of the Earth-warder,
41758,Obsidian Guardians,
41765,[NYI] Hunting Wager,
41766,Wildlife Protection Force,
41789,Return to the Crag,
41794,Drakestalker,
41816,DANGER: Oubdob da Smasher,
41817,Skull of the Taskmaster,
41818,WANTED: Majestic Elderhorn,
41819,WANTED: Gurbog da Basher,
41820,Walk Without Rhythm,
41821,WANTED: Shara Felbreath,
41822,Following his Hoofsteps,
41823,Ashes to Ashes,
41824,WANTED: Arru,
41825,Winged Menace,
41826,WANTED: Crawshuk the Hungry,
41827,The Cat's Meow,
41828,WANTED: Bristlemaul,
41829,The Darkfeather Scout,
41830,Demon's Bite,
41832,White Water Terror,
41833,Grmlrml's Last Ride,
41835,Deworming,
41836,WANTED: Bodash the Hoarder,
41837,Rockaway Bully,
41838,WANTED: Slumber,
41842,Bottom of the Food Chain,
41843,"Bad Luck, Puck",
41844,WANTED: Sekhan,
41855,Stand Up to Bullies,
41857,Neltharion's Lair: Stonedark Slaves,
41860,Dealing with Satyrs,
41861,Meet The Maw,
41862,Only Pets Can Prevent Forest Fires,
41864,Neltharion's Lair: Crystalline Crusher,
41865,Neltharion's Lair: Mother of Stone,
41866,Neltharion's Lair: Blighted Bat,
41881,Fight Night: Heliosus,
41886,Fight Night: Rats!,
41895,The Master of Pets,
41896,Operation Murloc Freedom,
41902,Gain Currency,
41914,Clear the Catacombs,
41925,Razing Hel,
41926,Returning Champion,
41927,Ruining the Runewood,
41930,Valor Calls,
41931,Mana Tap,
41935,Beasts of Burden,
41936,You Have Been Challenged,
41938,Brothers of Skovald,
41944,Jarrun's Ladder,
41948,All Pets Go to Heaven,
41949,The Drekirjar Return,
41950,Cry More Thunder!,
41955,Bloodline of Stone,
41956,Petrified Acolytes,
41958,"Oh, Ominitron",
41961,Black Rook Holdings,
41962,Black Rook Guard,
41964,Poisoned Waters,
41965,Lunarwing Liberation,
41980,Temple Defense,
41983,[NYI] Bear Necessities,
41984,The Creeping Mists,
41990,Chopped,
41992,Twisted Ash,
41995,Dark Corruption,
41996,Tangled Nightmare,
42004,Ghostship,
42013,The Helmouth,
42014,A Tainted Vintage,
42015,Threads of Fate,
42018,Those Beyond Redemption,
42019,Tip the Scales,
42021,Investigation at Mak'rana,
42022,The Broken Academy,
42023,Black Rook Rumble,
42024,A Friend of My Enemy,
42025,Bareback Brawl,
42026,Faronaar in Ruin,
42027,Faronaar in Chaos,
42028,Into the Nightmare,
42062,Fight Night: Stitches Jr. Jr.,
42063,Size Doesn't Matter,
42064,It's Illid... Wait.,
42067,"All Howl, No Bite",
42070,Warden Tower Assault: Starstalker's Point,
42071,Honoring the Past,
42075,Botanical Backlash,
42076,Shadowfen Village,
42077,Waking Nightmares,
42080,Bastion of Bradensbrook,
42082,The Shattered Locus,
42086,The Feltotem,
42087,Green Horror,
42089,The Fallen Ones,
42090,Skittering Subjects,
42094,Keepers of the Dream,
42095,Nightmare Dragon,
42099,Bounty Quest Test,
42101,Language of the Lost,
42105,Mixology Mix-up,
42108,Rally the Nightwatchers,
42109,Bounty Quest Test 2,
42111,Aggressive Reconnaisance,
42112,The Withered Return,
42119,A Cleansing Cocktail,
42123,Reclaiming Llothien,
42124,Hags and Hexes,
42145,Out of the Woodwork,
42146,Dazed and Confused and Adorable,
42148,The Wine's Gone Bad,
42150,Kal'delar Naga Incursion,
42151,Clear the Skies,
42154,Help a Whelp,
42159,Training with the Nightwatchers,
42160,Unwelcome Visitors,
42165,Azsuna Specimens,
42169,Left for Dead,
42172,Leyhollow Infestation,
42173,Electrosnack,
42174,Champions of Elune,
42176,Rise of Skovald,
42177,Reclaiming Morheim,
42178,Shock Absorber,
42182,To Battle!,
42183,To Battle!,
42190,Wildlife Conservationist,
42209,Freeing the Taken,
42211,Leodrath's Kin,
42239,Halls of Valor: The Bear King,
42240,Halls of Valor: Ponderous Poaching,
42241,Halls of Valor: A Worthy Challenge,
42242,Halls of Valor: A Gift for Vethir,
42243,Halls of Valor: Deeds of the Past,
42269,The Soultakers,
42270,Scourge of the Skies,
42274,Won't Anyone Think of the Whelps?,
42275,Not On My Watch,
42276,"Disgusting, but Useful",
42277,Interlopers!,
42373,Vengeance for the Stonedark,
42431,The Brood of Nithogg,
42442,Fight Night: Amalia,
42506,Tomes of Yore,
42511,Twisted Souls,
42620,WANTED: Arcavellus,
42623,Piracy Doesn't Pay,
42624,Heads of the Fleet,
42631,WANTED: Inquisitor Tivos,
42633,WANTED: Vorthax,
42636,WANTED: Arcanist Shal'iman,
42652,Ancient Exemplars,
42711,The Eternal Mages,
42712,Eye of Azshara: Termination Claws,
42713,Eye of Azshara: Slug It Out,
42714,Darkheart Thicket: Mythana,
42723,Eye of Azshara: A Tough Shell,
42725,Sharing the Wealth,
42742,Darkheart Thicket: Rage Rot,
42743,Darkheart Thicket: Kudzilla,
42744,Darkheart Thicket: Preserving the Preservers,
42745,Darkheart Thicket: A Burden to Bear,
42746,Eye of Azshara: Dread End,
42755,Eye of Azshara: Azsunian Pearls,
42757,Maw of Souls: Menace of the Seas,
42764,Court of Stars: Wraith in the Machine,
42769,Court of Stars: Bring Me the Eyes,
42779,The Sleeping Corruption,
42780,Maw of Souls: From Hell's Mouth,
42781,Court of Stars: Disarming the Watch,
42783,Court of Stars: They Bloom at Night,
42784,Court of Stars: The Deceitful Student,
42785,DANGER: Den Mother Ylva,
42788,Maw of Souls: Return of the Beast,
42795,WANTED: Sanaar,
42796,WANTED: Broodmother Shu'malis,
42797,DANGER: Scythemaster Cil'raman,
42798,DANGER: Huntress Estrid,
42799,DANGER: Oglok the Furious,
42806,"DANGER: Fjorlag, the Grave's Chill",
42819,Pocket Wizard,
42820,DANGER: Aegir Wavecrusher,
42830,Pest Management,
42859,A Draught of Hope,
42861,"DANGER: Boulderfall, the Eroded",
42864,DANGER: Captain Dargun,
42870,DANGER: Kathaw the Savage,
42880,Meeting their Quota,
42922,Vault of the Wardens: Startup Sequence,
42923,Vault of the Wardens: Energy Transfer,
42924,Vault of the Wardens: A Grim Matter,
42925,Vault of the Wardens: What Lurks Beneath,
42926,Vault of the Wardens: How'd He Get Up There?,
42927,DANGER: Malisandra,
42953,DANGER: Soulbinder Halldora,
42962,Secret Correspondence,
42963,DANGER: Rulf Bonesnapper,
42964,DANGER: Lagertha,
42969,A Spy in Our Midst,
42991,DANGER: Runeseer Sigvid,
43027,DANGER: Mortiferous,
43040,DANGER: Valakar the Thirsty,
43059,DANGER: Fjordun,
43063,DANGER: Stormfeather,
43072,DANGER: The Whisperer,
43079,DANGER: Immolian,
43091,DANGER: Arcanor Prime,
43098,DANGER: Marblub the Massive,
43101,DANGER: Witchdoctor Grgl-Brgl,
43121,DANGER: Chief Treasurer Jabrill,
43152,DANGER: Lytheron,
43175,DANGER: Deepclaw,
43183,Warden Tower Assault: Starstalker's Point,
43192,Terror of the Deep,
43193,Calamitous Intent,
43241,Flow of the Nightmare,
43247,Warden Tower Assault: Darkfollow's Spire,
43248,Warden Tower Assault: Darkfollow's Spire,
43324,Rage of the Owlbeasts,
43325,Ley Race,
43326,Scouting,
43327,The Magic of Flight,
43328,Enigmatic,
43329,Evasion,
43330,Fire for Effect,
43332,Grell in a Handbasket,
43333,DANGER: Nylaathria the Forgotten,
43336,Purge of the Nightmare,
43344,DANGER: Aodh Witherpetal,
43345,DANGER: Harbinger of Screams,
43346,DANGER: Ealdis,
43347,DANGER: Rabxach,
43426,WANTED: Brogozog,
43427,WANTED: Infernal Lord,
43428,WANTED: Doomlord Kazrok,
43429,WANTED: Syphonus,
43430,WANTED: Captain Volo'ren,
43431,WANTED: Warbringer Mox'na,
43432,WANTED: Normantis the Deposed,
43434,WANTED: Fathnyr,
43435,The Battle Rages On,
43436,WANTED: Glimar Ironfist,
43437,WANTED: Thane Irglov,
43438,WANTED: Nameless King,
43445,Air Superiority,
43448,The Frozen King,
43450,WANTED: Tiptog the Lost,
43451,WANTED: Urgev the Flayer,
43452,WANTED: Isel the Hammer,
43453,WANTED: Hannval the Butcher,
43454,WANTED: Egyl the Enduring,
43455,WANTED: Devouring Darkness,
43456,WANTED: Skul'vrax,
43457,WANTED: Theryssia,
43458,WANTED: Perrexx,
43459,WANTED: Thondrax,
43460,WANTED: Kiranys Duskwhisper,
43483,Fel Annihilation,
43512,Ana-Mouz,
43513,Na'zak the Fiend,
43583,Life Finds a Way,
43598,Warden Tower Assault: Blackhawk's Bulwark,
43599,Warden Tower Assault: Blackhawk's Bulwark,
43600,Warden Tower Assault: Whisperwind's Citadel,
43601,Warden Tower Assault: Whisperwind's Citadel,
43605,WANTED: Arcanist Shal'iman,
43606,WANTED: Arcavellus,
43607,WANTED: Brogozog,
43608,WANTED: Captain Volo'ren,
43609,WANTED: Doomlord Kazrok,
43610,WANTED: Infernal Lord,
43611,WANTED: Inquisitor Tivos,
43612,WANTED: Normantis the Deposed,
43613,WANTED: Syphonus,
43614,WANTED: Vorthax,
43615,WANTED: Warbringer Mox'na,
43616,WANTED: Bodash the Hoarder,
43617,WANTED: Devouring Darkness,
43618,WANTED: Gurbog da Basher,
43619,WANTED: Shara Felbreath,
43620,WANTED: Egyl the Enduring,
43621,WANTED: Fathnyr,
43622,WANTED: Glimar Ironfist,
43623,WANTED: Hannval the Butcher,
43624,WANTED: Isel the Hammer,
43625,WANTED: Nameless King,
43626,WANTED: Thane Irglov,
43627,WANTED: Tiptog the Lost,
43628,WANTED: Urgev the Flayer,
43629,WANTED: Kiranys Duskwhisper,
43630,WANTED: Perrexx,
43631,WANTED: Skul'vrax,
43632,WANTED: Theryssia,
43633,WANTED: Thondrax,
43637,The Arcway: Clogged Drain,
43638,The Arcway: Silver Serpent,
43639,The Arcway: Arcanist Down,
43640,The Arcway: Creeping Suspicions,
43641,The Arcway: Wandering Plague,
43642,Black Rook Hold: The Sorrow,
43709,Seal Clubbing,
43710,Dark Runes,
43711,Black Rook Hold: ... With Fire!,
43712,Black Rook Hold: The Mad Arcanist,
43714,Black Rook Hold: Worst of the Worst,
43721,The Helarjar Have Surfaced,
43722,Sacred Bones,
43738,Coastal Gloom,
43745,Culling the Storm,
43751,"Oh, Ship!",
43752,"Oh, Ship!",
43753,Ley Race,
43754,Scouting,
43755,The Magic of Flight,
43756,Enigmatic,
43757,Fire for Effect,
43758,Wherever I May Gloam,
43759,Where's the Reef?,
43762,Black Rook Hold: Traitor's Demise,
43764,Ley Race,
43765,Scouting,
43766,The Magic of Flight,
43767,Enigmatic,
43768,Fire for Effect,
43769,Ley Race,
43770,Scouting,
43771,The Magic of Flight,
43772,Enigmatic,
43773,Fire for Effect,
43774,Ley Race,
43776,Scouting,
43777,The Magic of Flight,
43778,Enigmatic,
43779,Fire for Effect,
43784,What a Nightmare,
43786,Pesty Nests,
43798,DANGER: Kosumoth the Hungering,
43801,Shell Out Some Pain,
43802,Watery Graves,
43803,A Giant Murloc Problem,
43804,Hate the Hatecoil,
43805,Aquatic Assassination,
43807,Withered Wrangling: Ambervale,
43814,Unspeakable Collaborators,
43827,Stormwing the Portals,
43930,Fiends of Tel'anor,
