ID,OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang
28448,,,"Whenever you achieve a major breakthrough in Phial Experimentation, gain +20 Ingenuity for 4 hours for all Alchemy crafts."
28449,,,Gain 5% Breakthrough chance with Phial Experimentation.
28450,,,Gain 10% Breakthrough chance with Phial Experimentation.
28451,Phial Experimentation,,"Gain a better understanding of your reagents to improve the likelihood of your experiments yielding satisfying results, gaining +1% increased chance at breakthroughs with Phial Experimentation per point in this specialization."
28452,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Sustaining Alchemist Stones.
28453,,,Learn the final sub-specialization.
28454,,,+$ev1 $en1 when crafting phials.
28455,,,Learn a sub-specialization of your choice.
28456,,,+$ev1 $en1 when crafting phials.
28457,,,+$ev1 $en1 when crafting phials.
28458,Phial Lore,,"Delve further into the mysteries of phials and related alchemist stones, gaining +$ev1 $en1 per point in this specialization."
28459,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Air-formulated phials.
28460,,,+$ev1 $en1 when crafting Air-formulated phials.
28461,,,+$ev1 $en1 when crafting Air-formulated phials.
28462,,,+$ev1 $en1 when crafting Air-formulated phials.
28463,,,+$ev1 $en1 when crafting Air-formulated phials.
28464,,,+$ev1 $en1 when crafting Air-formulated phials.
28465,,,Air-formulated phials last 30 minutes longer.
28466,Air-Formulated Phials,,"Improve at crafting phials with Rousing or Awakened Air as a base reagent, gaining +$ev1 $en1 per point in this specialization."
28467,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Frost-formulated phials.
28468,,,+$ev1 $en1 when crafting Frost-formulated phials.
28469,,,+$ev1 $en1 when crafting Frost-formulated phials.
28470,,,+$ev1 $en1 when crafting Frost-formulated phials.
28471,,,+$ev1 $en1 when crafting Frost-formulated phials.
28472,,,+$ev1 $en1 when crafting Frost-formulated phials.
28473,,,Frost-formulated phials last 30 minutes longer.
28474,Frost-Formulated Phials,,"Improve at crafting phials with Rousing or Awakened Frost as a base reagent, gaining +$ev1 $en1 per point in this specialization."
28475,,,Learn the final sub-specialization.|n|nLearn to use Catalyst Finishing Reagents with recipes for phials and the Sustaining Alchemist Stone.
28476,,,+$ev1 $en1 when crafting phials.
28477,,,Learn a sub-specialization of your choice.
28478,,,Reclaiming Phials grants additional Alchemical Solution.
28479,,,Learn a sub-specialization of your choice.
28480,,,+$ev1 $en1 when crafting phials.
28481,,,Dragon Isles phials last 30 minutes longer.
28482,Phial Mastery,,"Improve at crafting phials and related alchemist stones, gaining +$ev1 $en1 per point in this specialization."
28483,Batch Production,,
28484,Phial Experimentation,,
28485,Phial Lore,,
28486,Air-Formulated Phials,,
28487,Frost-Formulated Phials,,
28488,Phial Mastery,,Specialize in creating phials efficiently and at high qualities.
29891,,,Learn how to craft and use the Master's Hammer in order to freely repair axes and polearms.
29892,,,"Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting axes, picks, and polearms."
29893,,,"+$ev1 $en1 when crafting axes, picks, and polearms."
29894,,,"+$ev1 $en1 when crafting axes, picks, and polearms."
29895,,,Learn to craft $@spellname371366.
29896,,,"+$ev1 $en1 when crafting axes, picks, and polearms."
29897,,,Learn to craft $@spellname365734.
29898,"Axes, Picks & Polearms",,"Improve at making axe, picks, and polearms, gaining +1 Crafting Skill per point in this Specialization."
29899,,,Learn how to craft and use the Master's Hammer in order to freely repair maces and hammers.
29900,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting maces and hammers.
29901,,,+$ev1 $en1 when crafting maces and hammers.
29902,,,+$ev1 $en1 when crafting maces and hammers.
29903,,,Learn to craft $@spellname371412.
29904,,,+$ev1 $en1 when crafting maces and hammers.
29905,,,Learn to craft $@spellname367586.
29906,Maces & Hammers,,"Improve at making maces and hammers, gaining +1 Crafting Skill per point in this Specialization."
29907,,,Learn to use Quenching Fluid Finishing Reagents on various hafted weapon and tool plans.
29908,,,+$ev1 $en1 when crafting hafted weapons and tools.
29909,,,Learn the final sub-specialization.
29910,,,+$ev1 $en1 when crafting hafted weapons and tools.
29911,,,Learn a sub-specialization of your choice.
29912,,,+$ev1 $en1 when crafting hafted weapons and tools.
29913,,,Learn to use Optional Reagents to specify the secondary stats on many hafted weapon plans.
29914,Hafted,,"Improve at making hafted weapons and tools such as axes and hammers, gaining +$ev1 $en1 per point in this Specialization."
29915,,,Learn how to craft and use the Master's Hammer in order to freely repair long blades.
29916,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting long blades.
29917,,,+$ev1 $en1 when crafting long blades.
29918,,,+$ev1 $en1 when crafting long blades.
29919,,,+$ev1 $en1 when crafting long blades.
29920,,,Learn to craft a $@spellname365729.
29921,,,Learn to craft a $@spellname367585.
29922,Long Blades,,"Improve at making long bladed weapons and tools such as swords, glaives, and sickles, gaining +1 Crafting Skill per point in this Specialization."
29923,,,Learn how to craft and use the Master's Hammer in order to freely repair short blades.
29924,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting short blades.
29925,,,+$ev1 $en1 when crafting short blades.
29926,,,+$ev1 $en1 when crafting short blades.
29927,,,+$ev1 $en1 when crafting short blades.
29928,,,Learn to craft $@spellname365731.
29929,,,Learn to craft $@spellname365730.
29930,Short Blades,,"Improve at making short bladed weapons and tools including knives, daggers, and fist weapons, gaining +$ev1 $en1 per point in this Specialization."
29931,,,Learn to use Quenching Fluid Finishing Reagents on various blade plans.
29932,,,+$ev1 $en1 when crafting long and short blades.
29933,,,Learn the final sub-specialization.
29934,,,+$ev1 $en1 when crafting long or short blades.
29935,,,Learn a sub-specialization of your choice.
29936,,,+$ev1 $en1 when crafting long and short blades.
29937,,,Learn to use Optional Reagents to specify the secondary stats on many bladed weapon plans.
29938,Blades,,"Improve at making various bladed weapons and tools, gaining +$ev1 $en1 per point in this Specialization."
29939,,,Weapon Crafting is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making weapons and large tools.
29940,,,+$ev1 $en1 when crafting weapons and large tools.
29941,,,Learn the final sub-specialization.
29942,,,+$ev1 $en1 when crafting weapons and large tools.
29943,,,Learn a sub-specialization of your choice.
29944,,,+$ev1 $en1 when crafting weapons and large tools.
29945,,,Learn to use Optional Reagents to upgrade item level on most weapon plans.
29946,Weaponsmithing,,"Improve at making weapons and large tools, gaining +$ev1 $en1 per point in this Specialization."
29947,"Axes, Picks & Polearms",,
29948,Maces & Hammers,,
29949,Hafted,,
29950,Long Blades,,
29951,Short Blades,,
29952,Blades,,
29953,Weaponsmithing,,Specialize in crafting and customizing weapons and tools.
29954,,,Multicraft grants up to $ev1% extra alloys and other reagents.
29955,,,+$ev1 $en1 when smelting alloys and other reagents.
29956,,,+$ev1 $en1 when smelting alloys and other reagents.
29957,,,+$ev1 $en1 when smelting alloys and other reagents.
29958,,,+$ev1 $en1 when smelting alloys and other reagents.
29959,Smelting,,"Become an expert at smelting alloys and other special reagents, gaining +$ev1 $en1 per point in this Specialization."
29960,,,Multicraft grants up to $ev1% extra stone goods.
29961,,,+$ev1 $en1 when crafting stone goods.
29962,,,+$ev1 $en1 when crafting stone goods.
29963,,,+$ev1 $en1 when crafting stone goods.
29964,,,+$ev1 $en1 when crafting stone goods.
29965,Stonework,,"Become an expert at crafting enhancements made from stone for weapons and tools, gaining +$ev1 $en1 per point in this Specialization."
29966,,,Learn to use Quenching Fluid Finishing Reagents on various adventuring gear.
29967,,,+$ev1 $en1 when crafting adventuring gear.
29968,,,+$ev1 $en1 when crafting adventuring gear.
29969,,,[NYI]Learn to craft a $@spellname367605.
29970,,,+$ev1 $en1 when crafting adventuring gear.
29971,,,+$ev1 $en1 when making adventuring gear.
29972,,,+$ev1 $en1 when making adventuring gear.
29973,Adventuring Gear,,"Become an expert at crafting adventuring gear such as grappling hooks, gaining +$ev1 $en1 per point in this Specialization."
29974,,,Learn to use Quenching Fluid Finishing Reagents with plans for profession tools and accessories.
29975,,,+$ev1 $en1 when crafting profession tools and accessories.
29976,,,+$ev1 $en1 when crafting profession tools and accessories.
29977,,,+$ev1 $en1 when crafting profession tools and accessories.
29978,,,Learn to craft a $@spellname371374.
29979,,,+$ev1 $en1 when crafting profession tools and accessories.
29980,,,+$ev1 $en1 when crafting profession tools and accessories.
29981,Toolsmithing,,"Become an expert at crafting metal tools and accessories for various professions, gaining +$ev1 $en1 per point in this Specialization."
29982,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting various non-martial goods.
29983,,,Learn a sub-specialization of your choice.
29984,,,+$ev1 $en1 when crafting non-martial goods.
29985,,,Learn how to craft non-martial goods +$ev1% faster.
29986,,,+$ev1 $en1 when crafting non-martial goods.
29987,,,Learn a sub-specialization of your choice.
29988,,,+$ev1 $en1 when crafting non-martial goods.
29989,,,Learn a sub-specialization of your choice.
29990,,,+$ev1 $en1 when crafting non-martial goods.
29991,Specialty Smithing,,"Improve at making non-martial goods, gaining +$ev1 $en1 per point in this Specialization."
29992,Smelting,,
29993,Stonework,,
29994,Adventuring Gear,,
29995,Toolsmithing,,
29996,Specialty Smithing,,"Specialize in making stone enhancements, reagents, alloys, profession tools, and accessories."
30046,,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for hands.
30047,,,+$ev1 $en1 when crafting armor for the hands.
30048,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting armor for the hands.
30049,,,+$ev1 $en1 when crafting armor for the hands.
30050,,,+$ev1 $en1 when crafting armor for the hands.
30051,,,+$ev1 $en1 when crafting armor for the hands.
30052,,,Learn to craft a $@spellname367606.
30053,Gauntlets,,"Become an expert at crafting plate armor for the hands, gaining +$ev1 $en1 per point in this Specialization."
30054,,,Learn how to craft and use the Master's Hammer in order to freely repair plate wrist armor.
30055,,,+$ev1 $en1 when crafting armor for the wrists.
30056,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting wrist armor.
30057,,,+$ev1 $en1 when crafting armor for the wrists.
30058,,,+$ev1 $en1 when crafting armor for the wrists.
30059,,,+$ev1 $en1 when crafting armor for the wrists.
30060,,,Learn to craft a $@spellname367601.
30061,Vambraces,,"Become an expert at crafting plate wrist armor, gaining +$ev1 $en1 per point in this Specialization."
30062,,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for the waist.
30063,,,+$ev1 $en1 when crafting armor for the waist.
30064,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting waist armor.
30065,,,+$ev1 $en1 when crafting armor for the waist.
30066,,,+$ev1 $en1 when crafting armor for the waist.
30067,,,+$ev1 $en1 when crafting armor for the waist.
30068,,,Learn to craft a $@spellname367602.
30069,Belts,,"Become an expert at crafting plate armor for the waist, gaining +$ev1 $en1 per point in this Specialization."
30070,,,"Learn the final sub-specialization.|n|nLearn to use Quenching Fluid Finishing Reagents on plans for armor for the waist, wrist, and hands."
30071,,,"+$ev1 $en1 when crafting armor for the hands, waist, and wrists."
30072,,,Learn a sub-specialization of your choice.
30073,,,"+$ev1 $en1 when crafting armor for the hands, waist, and wrists."
30074,,,Learn a sub-specialization of your choice.
30075,,,"+$ev1 $en1 when crafting armor for the hands, waist, and wrists."
30076,,,"Learn to use Optional Reagents to specify the secondary stats on many plans for armor for the waist, wrists, and hands."
30077,Fine Armor,,"Improve at making the smallest plate armor pieces, including those for the waist, wrists and hands, gaining +$ev1 $en1 per point in this Specialization."
30078,,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for the feet.
30079,,,+$ev1 $en1 when crafting armor for the feet.
30080,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting armor for the feet.
30081,,,+$ev1 $en1 when crafting armor for the feet.
30082,,,+$ev1 $en1 when crafting armor for the feet.
30083,,,+$ev1 $en1 when crafting armor for the feet.
30084,,,Learn to craft a $@spellname367607.
30085,Sabatons,,"Become an expert at crafting plate armor to protect the feet, gaining +$ev1 $en1 per point in this Specialization."
30086,,,Learn how to craft and use the Master's Hammer in order to freely repair plate shoulder armor.
30087,,,+$ev1 $en1 when crafting shoulder armor.
30088,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting shoulder armor.
30089,,,+$ev1 $en1 when crafting shoulder armor.
30090,,,+$ev1 $en1 when crafting shoulder armor.
30091,,,+$ev1 $en1 when crafting shoulder armor.
30092,,,Learn to craft a $@spellname367603.
30093,Pauldrons,,"Become an expert at crafting plate armor for the shoulders, gaining +$ev1 $en1 per point in this Specialization."
30094,,,Learn how to craft and use the Master's Hammer in order to freely repair plate armor for the head.
30095,,,+$ev1 $en1 when crafting armor for the head.
30096,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting armor for the head.
30097,,,+$ev1 $en1 when crafting armor for the head.
30098,,,+$ev1 $en1 when crafting armor for the head.
30099,,,+$ev1 $en1 when crafting armor for the head.
30100,,,Learn to craft a $@spellname367605.
30101,Helms,,"Become an expert at crafting plate armor to protect the head, gaining +$ev1 $en1 per point in this Specialization."
30102,,,Learn the final sub-specialization.|n|nLearn to use Quenching Fluid Finishing Reagents on sculpted plate armor plans.
30103,,,"+$ev1 $en1 when crafting armor for the head, shoulders, and feet."
30104,,,Learn a sub-specialization of your choice.
30105,,,"+$ev1 $en1 when crafting armor for the head, shoulders, and feet."
30106,,,Learn a sub-specialization of your choice.
30107,,,"+$ev1 $en1 when crafting armor for the head, shoulders, and feet."
30108,,,Learn to use Optional Reagents to specify the secondary stats on many sculpted plate armor plans.
30109,Sculpted Armor,,"Improve at making sculpted armor pieces, including those for the head, shoulders and feet, gaining +$ev1 $en1 per point in this Specialization."
30110,,,Learn how to craft and use the Master's Hammer in order to freely repair shields.
30111,,,+$ev1 $en1 when crafting shields.
30112,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting shields.
30113,,,+$ev1 $en1 when making shields.
30114,,,+$ev1 $en1 when crafting shields.
30115,,,+$ev1 $en1 when crafting shields.
30116,,,Learn to craft a $@spellname367622.
30117,Shields,,"Become an expert at crafting shields, gaining +$ev1 $en1 per point in this Specialization."
30118,,,Learn how to craft and use the Master's Hammer in order to freely repair plate greaves.
30119,,,+$ev1 $en1 when crafting leg armor.
30120,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting leg armor.
30121,,,+$ev1 $en1 when crafting leg armor.
30122,,,+$ev1 $en1 when crafting leg armor.
30123,,,+$ev1 $en1 when crafting leg armor.
30124,,,Learn to craft a $@spellname367604.
30125,Greaves,,"Become an expert at crafting plate leg armor, gaining +$ev1 $en1 per point in this Specialization."
30126,,,Learn how to craft and use the Master's Hammer in order to freely repair plate chest armor.
30127,,,+$ev1 $en1 when crafting chest armor.
30128,,,Learn to craft and use the $@spellname376700 Finishing Reagent to improve Skill when crafting chest armor.
30129,,,+$ev1 $en1 when crafting chest armor.
30130,,,+$ev1 $en1 when crafting chest armor.
30131,,,+$ev1 $en1 when crafting chest armor.
30132,,,Learn to craft a $@spellname367608.
30133,Breastplates,,"Become an expert at crafting plate chest armor, gaining +$ev1 $en1 per point in this Specialization."
30134,,,Learn the final sub-specialization.|n|nLearn to use Quenching Fluid Finishing Reagents on large plate armor plans.
30135,,,"+$ev1 $en1 when crafting armor for chests and legs, plus shields."
30136,,,Learn a sub-specialization of your choice.
30137,,,"+$ev1 $en1 when crafting armor for chests and legs, plus shields."
30138,,,Learn a sub-specialization of your choice.
30139,,,"+$ev1 $en1 when crafting armor for chests and legs, plus shields."
30140,,,Learn to use Optional Reagents to specify the secondary stats on many large plate armor plans.
30141,Large Plate Armor,,"Improve at making the largest armor pieces, including those for the chest and legs, as well as shields, gaining +$ev1 $en1 per point in this Specialization."
30142,,,Learn the final sub-specialization.|n|nArmor Crafting is $ev1% faster.|n|n+$ev2 $en2 and +$ev3 $en3 when making plate armor.
30143,,,+$ev1 $en1 when crafting plate armor.
30144,,,Learn a sub-specialization of your choice.
30145,,,+$ev1 $en1 when crafting plate armor.
30146,,,Learn a sub-specialization of your choice.
30147,,,+$ev1 $en1 when crafting plate armor.
30148,,,Learn to use Optional Reagents to upgrade item level on most armor plans.
30149,Armorsmithing,,"Improve at making plate armor, gaining +$ev1 $en1 per point in this Specialization."
30150,Gauntlets,,
30151,Vambraces,,
30152,Belts,,
30153,Fine Armor,,
30154,Sabatons,,
30155,Pauldrons,,
30156,Helms,,
30157,Sculpted Armor,,
30158,Greaves,,
30159,Shields,,
30160,Breastplates,,
30161,Large Plate Armor,,
30162,Armorsmithing,,Specialize in crafting and customizing high quality plate armor.
36269,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail waist armor.
36270,,,+$ev1 $en1 when crafting mail waist armor.
36271,,,+$ev1 $en1 when crafting mail waist armor.
36272,,,+$ev1 $en1 when crafting mail waist armor.
36273,,,Learn to craft a $@spellname375123.
36274,Belts,,"Improve at making mail waist armor, gaining +$ev1 $en1 per point in this Specialization."
36275,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail shoulder armor.
36276,,,+$ev1 $en1 when crafting mail shoulder armor.
36277,,,+$ev1 $en1 when crafting mail shoulder armor.
36278,,,+$ev1 $en1 when crafting mail shoulder armor.
36279,,,Learn to craft a $@spellname375122.
36280,Shoulderguards,,"Improve at making mail shoulder armor, gaining +$ev1 $en1 per point in this Specialization."
36281,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail foot armor.
36282,,,+$ev1 $en1 when crafting mail foot armor.
36283,,,+$ev1 $en1 when crafting mail foot armor.
36284,,,+$ev1 $en1 when crafting mail foot armor.
36285,,,Learn to craft a $@spellname375118.
36286,Boots,,"Improve at making mail foot armor, gaining +$ev1 $en1 per point in this Specialization."
36287,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail glove armor.
36288,,,+$ev1 $en1 when crafting mail gloves.
36289,,,+$ev1 $en1 when crafting mail gloves.
36290,,,+$ev1 $en1 when crafting mail gloves.
36291,,,Learn to craft a $@spellname375119.
36292,Gauntlets,,"Improve at making mail gloves, gaining +$ev1 $en1 per point in this Specialization."
36293,,,Learn the final sub-specialization.|n|nLearn to use Chain Oil Finishing Reagents on intricate mail armor patterns.
36294,,,Learn a sub-specialization of your choice.|n|n+$ev1 $en1 when crafting intricate mail armor.
36295,,,Learn a sub-specialization of your choice.
36296,,,+$ev1 $en1 when crafting intricate mail armor.
36297,,,Learn a sub-specialization of your choice.
36298,,,+$ev1 $en1 when crafting intricate mail armor.
36299,,,Learn to use Optional Reagents to specify the secondary stats on many intricate mail armor patterns.
36300,Intricate Mail,,"Improve at making intricate mail armor for the legs, hands, waist, and feet, gaining +$ev1 $en1 per point in this Specialization."
36301,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail wrist armor.
36302,,,+$ev1 $en1 when crafting mail wrist armor.
36303,,,+$ev1 $en1 when crafting mail wrist armor.
36304,,,+$ev1 $en1 when crafting mail wrist armor.
36305,,,Learn to craft a $@spellname375124.
36306,Bracers,,"Improve at making mail wrist armor, gaining +$ev1 $en1 per point in this Specialization."
36307,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail helms.
36308,,,+$ev1 $en1 when crafting mail helms.
36309,,,+$ev1 $en1 when crafting mail helms.
36310,,,+$ev1 $en1 when crafting mail helms.
36311,,,Learn to craft a $@spellname375120.
36312,Mail Helms,,"Improve at making mail helms, gaining +$ev1 $en1 per point in this Specialization."
36313,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail leg armor.
36314,,,+$ev1 $en1 when crafting mail leg armor.
36315,,,+$ev1 $en1 when crafting mail leg armor.
36316,,,+$ev1 $en1 when crafting mail leg armor.
36317,,,Learn to craft a $@spellname375121.
36318,Greaves,,"Improve at making mail leg armor, gaining +$ev1 $en1 per point in this Specialization."
36319,,,Learn to craft and use the $@spellname375166 Finishing Reagent to improve Skill when crafting mail chest armor.
36320,,,+$ev1 $en1 when crafting mail chest armor.
36321,,,+$ev1 $en1 when crafting mail chest armor.
