ID,ReqSource_lang
3689,World Drop
3690,World Drop
3691,World Drop
3692,Niffen Renown
3693,Dragonriding Racing
3694,Dragonriding Racing
3695,World Drop
3696,World Drop
3697,Vendor
3698,Niffen Renown
3699,Dragonriding Racing
3700,???
3701,Tuskarr Renown
3702,Valdrakken Accord Renown
3703,Centaur Renown
3704,Dragonscale Expedition Renown
3705,???
3706,???
3708,World Drop
3709,World Drop
3710,???
3711,Dragonriding Racing
3712,Dragonriding Racing
3713,Niffen Renown
3714,World Drop
3715,Professions
3716,Niffen Renown
3723,
3730,World Drop
3731,Gladiator PvP Rank (Season 2 Dragonflight)
3732,
3733,"Aberrus, the Shadowed Crucible"
3734,Grimoire of the Fel Imp
3735,Grimoire of the Abyssal
3737,Grimoire of the Shadow Succubus
3738,Grimoire of the Shivarra
3739,Grimoire of the Terrorguard
3740,Grimoire of the Voidlord
3741,Grimoire of the Wrathguard
3742,Cathedral of Eternal Night
3747,Terestian Illhoof
3748,Burning Crusade Timewalking
3749,Legion Time Rifts
3750,Legion Timewalking
3751,Imp Mother Dyala
3752,Vi'el
3753,Matron Folnuna
3754,Pusillin
3755,Found at the Faire
4034,Centaur Renown
4035,Dragonriding Racing
4036,World Drop
4037,Valdrakken Accord Renown
4038,Centaur Renown
4039,World Drop
4040,World Drop
4041,World Drop
4042,Dragonriding Racing
4043,World Drop
4044,World Drop
4045,Dragonriding Racing
4046,World Drop
4047,Niffen Renown
4048,World Drop
4049,World Drop
4050,Centaur Renown
4051,World Drop
4052,Trading Post
4053,Trading Post
4054,Centaur Renown
4055,Dragonriding Racing
4056,World Drop
4057,Dawn of the Infinite Dungeon
4058,???
4059,???
4060,
4061,Felhounds of Sargeras
4062,Legion Time Rifts
4063,
4064,Dawn of the Infinite
4065,Dawn of the Infinite
4066,Dawn of the Infinite
4067,Dawn of the Infinite
4068,Dawn of the Infinite
4070,
4071,
4072,
4073,
4076,
4077,
4078,
4079,
4080,
4081,Class Quest
4084,See colors
4085,
4086,See colors
4087,
4088,See colors
4089,
4090,See colors
4091,
4094,
4095,See colors
4096,
4098,
4099,See colors
4100,See colors
4101,
4102,See colors
4103,
4104,
4105,Headless Horseman
4106,See colors
4107,Coren Direbrew
4108,
4109,Man'ari Eredar
4110,Pirates' Day Vendor
4111,Day of the Dead Vendor
4112,Man'ari Eredar
4117,
4120,
4121,
4122,
4123,
4124,
4125,
4126,
4127,
4128,
4129,
4130,
4131,
4133,Gladiator PvP Rank (Season 3 Dragonflight)
4138,
4139,
4140,Winter Veil
4141,Valdrakken Accord Renown
4142,Dream Renown
4143,Valdrakken Accord Renown
4144,Niffen Renown
4145,Dream Renown
4146,Dream Renown
4147,Dream Renown
4148,Dream Renown
4149,Dream Renown
4150,Dream Renown
4151,World Drop
4152,Dream Renown
4153,"Amirdrassil, the Dream's Hope"
4154,Achievement
4155,
4156,
4157,Winter Veil
4158,
4159,
4160,
4161,
4162,
4163,
4164,
4165,
4166,
4167,
4168,
4169,
4170,Silent Mark of the Umbraclaw
4171,Emerald Bounty
4172,Mosa Umbramane
4173,Pollenfused Bristlebruin Fur Sample
4174,Moragh the Slothful
4175,Aurostor The Hibernating
4176,???
4177,Silent Mark of the Dreamsaber
4178,Keen-eyed Cian
4179,"Tindral Sageswift, Seer of the Flame"
4180,Talthonei Ashwhisper
4181,Inscription
4182,Silent Mark of the Dreamstag
4183,???
4184,???
4186,Feather of Friends
4187,"Reins of Anu'relos, Flame's Guidance"
4188,"Ristar, the Rabid"
4189,Emerald Bounty
4190,Matriarch Keevah
4191,Emerald Bounty
4192,Silent Mark of the Dreamtalon
4193,Quest Unlock
4223,
4224,Mark of the Sentinel
4225,Mark of the Humble Flyer
4226,Complete You Can't Take the Sky from Me
4227,
4228,Mark of the Sentinel
4229,Mark of the Humble Flyer
4230,Complete You Can't Take the Sky from Me
4231,Mark of the Sentinel
4232,Mark of the Sentinel
4233,Mark of the Humble Flyer
4234,
4235,Mark of the Humble Flyer
4236,Mark of the Humble Flyer
4237,Mark of the Humble Flyer
4238,Complete You Can't Take the Sky from Me
4239,Complete You Can't Take the Sky from Me
4240,
4241,
4242,
4243,
4244,Mark of the Shimmering Ardenmoth
4245,Celestine of the Harvest
4246,Mark of the Duskwing Raven
4247,Mark of the Regal Dredbat
4248,Mark of the Gloomstalker Dredbat
4249,Mark of the Sable Ardenmoth
4250,
4252,
4253,Mark of the Orca
4254,Mark of the Dolphin
4255,Mark of the Tideskipper
4256,
4257,
4258,
4259,
4260,
4261,
4262,
4263,
4264,
4265,
4267,
4268,Mark of the Cheetah
4269,Mark of the Doe
4270,
4271,
4272,
4273,
4274,
4275,
4276,
4277,Mark of the Twilight Runestag
4278,Mark of the Midnight Runestag
4279,"Tindral Sageswift, Seer of the Flame"
4280,
4281,"Tindral Sageswift, Seer of the Flame"
4283,
4284,
4285,
4286,
4287,
4288,Complete When Dreams Become Nightmares
4289,Recover the Pillars of Creation and complete When Dreams Become Nightmares
4290,Complete Light's Charge and When Dreams Become Nightmares
4291,Complete the first chapter of your Order Hall Campaign and When Dreams Become Nightmares
4292,
4293,
4294,
4295,
4296,
4297,
4298,
4299,
4300,
4301,
4302,
4303,
4304,
4305,
4306,
4307,
4308,
4309,
4310,
4311,
4312,
4313,
4314,
4315,
4316,
4317,
4318,
4319,Complete your Order Hall Campaign
4320,Complete your Order Hall Campaign
4321,Complete your Order Hall Campaign
4322,Complete the This Side Up achievement and your Order Hall Campaign
4323,Complete the Unleashed Monstrosities achievement and Balance of Power
4324,Balance of Power
4325,Complete the Keystone Master achievement and Balance of Power
4326,Complete the Glory of the Legion Hero achievement and Balance of Power
4327,Reach Honor Level 10
4328,Reach Honor Level 30
4329,Reach Honor Level 50
4330,Reach Honor Level 80
4331,Complete 30 Legion Dungeons after unlocking Guardian of the Glade (Brown)
4332,???
4333,Complete 200 World Quests after unlocking Guardian of the Glade (Brown)
4334,Get 1000 honorable kills after unlocking Guardian of the Glade (Brown)
4335,
4336,
4337,
4338,
4339,
4340,
4341,
4342,Guardian Druid Mage Tower
4344,
4345,
4346,
4347,
4348,
4349,
4350,
4351,
4352,
4353,
4354,
4355,
4356,
4357,
4358,
4359,
4360,
4361,
4362,
4363,
4364,
4365,
4366,
4367,
4368,
4369,
4370,
4371,
4372,
4373,
4374,
4375,
4376,Complete The Fangs of Ashamane
4377,Complete Light's Charge and The Fangs of Ashamane
4378,Recover the Pillars of Creation and complete The Fangs of Ashamane
4379,Complete the first chapter of your Order Hall Campaign and The Fangs of Ashamane
4380,Complete your Order Hall Campaign
4381,Complete your Order Hall Campaign
4382,Complete your Order Hall Campaign
4383,Complete the This Side Up achievement and your Order Hall Campaign
4384,Balance of Power
4385,Complete the Unleashed Monstrosities achievement and Balance of Power
4386,Complete the Keystone Master achievement and Balance of Power
4387,Complete the Glory of the Legion Hero achievement and Balance of Power
4388,Reach Honor Level 10
4389,Reach Honor Level 30
4390,Reach Honor Level 50
4391,Reach Honor Level 80
4392,
4393,
4394,
4395,
4396,???
4397,Complete 30 Legion Dungeons after unlocking Moonspirit (Brown)
4398,Complete 200 World Quests after unlocking Moonspirit (Brown)
4399,Get 1000 honorable kills after unlocking Moonspirit (Brown)
4400,
4401,
4402,
4403,
4404,
4405,
4406,Apothecary Hummel
4407,See colors
4408,See colors
4409,See colors
4410,See colors
4411,Lunar Festival Vendor
4412,???
4413,Grimoire of the Bloodrage Tyrant
4414,Vendor: Gigi Gigavoid
4415,Grimoire of the Vile Tyrant
4416,Grimoire of the Felbrute Tyrant
4417,Grimoire of the Blasted Observer
4418,Grimoire of the Zealous Observer
4419,Grimoire of the Mana-Gorged Observer
4420,Grimoire of the Plagued Observer
4421,Grimoire of the Whispering Observer
4422,Grimoire of the Dire Observer
4423,Grimoire of the Abyssal Darkglare
4424,Grimoire of the Xorothian Darkglare
4425,Grimoire of the Riftsmolder Darkglare
4426,Grimoire of the Eredathian Darkglare
4473,Quest Reward
4474,Gladiator PvP Rank (Season 4 Dragonflight)
4475,
4476,
4477,
4478,
4479,
4480,Reno Jackson in Dornogal
4481,
4482,
4483,
4484,
4485,
4486,
4487,Sir Finley Mrgglton in Dornogal
4488,
4489,
4490,Reno Jackson in Dornogal
4491,Sir Finley Mrgglton in Dornogal
4492,
4493,
4494,
4495,
4496,Reno Jackson in Dornogal
4497,Season 1 Delves
4498,
4499,Reno Jackson in Dornogal
4500,
4501,Sir Finley Mrgglton in Dornogal
4502,
4503,Sir Finley Mrgglton in Dornogal
4504,
4505,Reno Jackson in Dornogal
4506,
4507,
4508,
4509,
4542,Midsummer Fire Festival
4544,Midsummer Fire Festival
4545,
4546,
4547,Achievement: Hunting the Hunter (Solo)
4548,
4549,
