ID,FullName_lang,ShortName_lang
471,Lower Karazhan (Mythic Keystone),Mythic+
472,Upper Karazhan (Heroic),Heroic
473,Upper Karazhan (Mythic Keystone),Mythic+
474,Cathedral of Eternal Night (Heroic),Heroic
475,Cathedral of Eternal Night (Mythic),Mythic
476,Cathedral of Eternal Night (Mythic Keystone),Mythic+
478,Tomb of Sargeras (Heroic),Heroic
479,Tomb of Sargeras (Normal),Normal
480,Trial of Valor (Mythic),Mythic
481,The Nighthold (Mythic),Mythic
482,"Antorus, the Burning Throne (Normal)",Normal
483,"Antorus, the Burning Throne (Heroic)",Heroic
484,Seat of the Triumvirate (Heroic),Heroic
485,Seat of the Triumvirate (Mythic),Mythic
486,Seat of the Triumvirate (Mythic Keystone),Mythic+
487,Krokuun,Krokuun
488,Antoran Wastes,Antoran Wastes
489,Eredath,Eredath
490,Arena Skirmish (3v3),3v3
491,Arena Skirmish (2v2),2v2
492,Tomb of Sargeras (Mythic),Mythic
493,"Antorus, the Burning Throne (Mythic)",Mythic
494,Uldir (Normal),Normal
495,Uldir (Heroic),Heroic
496,Uldir (Mythic),Mythic
497,Random Battle for Azeroth Dungeon (Normal),Normal
498,Random Battle for Azeroth Dungeon (Heroic),Heroic
499,Atal'Dazar (Mythic),Mythic
500,Atal'Dazar (Heroic),Heroic
501,Atal'Dazar (Normal),Normal
502,Atal'Dazar (Mythic Keystone),Mythic+
503,Temple of Sethraliss (Normal),Normal
504,Temple of Sethraliss (Mythic Keystone),Mythic+
505,Temple of Sethraliss (Heroic),Heroic
506,The Underrot (Normal),Normal
507,The Underrot (Mythic Keystone),Mythic+
508,The Underrot (Heroic),Heroic
509,THE MOTHERLODE (Normal),Normal
510,THE MOTHERLODE (Mythic Keystone),Mythic+
511,THE MOTHERLODE (Heroic),Heroic
512,Kings' Rest (Normal),Normal
513,Kings' Rest (Mythic),Mythic
514,Kings' Rest (Mythic Keystone),Mythic+
515,Kings' Rest (Heroic),Heroic
516,Freehold (Normal),Normal
517,Freehold (Mythic),Mythic
518,Freehold (Mythic Keystone),Mythic+
519,Freehold (Heroic),Heroic
520,Shrine of the Storm (Normal),Normal
521,Shrine of the Storm (Mythic),Mythic
522,Shrine of the Storm (Mythic Keystone),Mythic+
523,Shrine of the Storm (Heroic),Heroic
524,Tol Dagor (Normal),Normal
525,Tol Dagor (Mythic),Mythic
526,Tol Dagor (Mythic Keystone),Mythic+
527,Tol Dagor (Heroic),Heroic
528,Waycrest Manor (Normal),Normal
529,Waycrest Manor (Mythic),Mythic
530,Waycrest Manor (Mythic Keystone),Mythic+
531,Waycrest Manor (Heroic),Heroic
532,Siege of Boralus (Normal),Normal
533,Siege of Boralus (Mythic),Mythic
534,Siege of Boralus (Mythic Keystone),Mythic+
535,Siege of Boralus (Heroic),Heroic
536,Waycrest Manor (Normal),Normal
537,Tol Dagor (Normal),Normal
538,Shrine of the Storm (Normal),Normal
539,Freehold (Normal),Normal
540,THE MOTHERLODE (Normal),Normal
541,The Underrot (Normal),Normal
542,Temple of Sethraliss (Normal),Normal
543,Atal'Dazar (Normal),Normal
644,The Underrot (Mythic),Mythic
645,Temple of Sethraliss (Mythic),Mythic
646,THE MOTHERLODE (Mythic),Mythic
647,Tiragarde Sound,Tiragarde Sound
648,Drustvar,Drustvar
649,Stormsong Valley,Stormsong Valley
650,Zuldazar,Zuldazar
651,Nazmir,Nazmir
652,Vol'dun,Vol'dun
653,Random Island (Normal),Normal
654,Random Island (Heroic),Heroic
655,Random Island (Mythic),Mythic
657,World Bosses (Battle for Azeroth),World Bosses
658,Siege of Boralus (Mythic),Mythic
659,Siege of Boralus (Mythic Keystone),Mythic+
660,Kings' Rest (Mythic),Mythic
661,Kings' Rest (Mythic Keystone),Mythic+
662,Random Island (PvP),PvP
663,Battle of Dazar'alor (Normal),Normal
664,Battle of Dazar'alor (Heroic),Heroic
665,Battle of Dazar'alor (Mythic),Mythic
666,Crucible of Storms (Mythic),Mythic
667,Crucible of Storms (Heroic),Heroic
668,Crucible of Storms (Normal),Normal
669,Operation: Mechagon (Mythic),Mythic
670,The Eternal Palace (Mythic),Mythic
671,The Eternal Palace (Heroic),Heroic
672,The Eternal Palace (Normal),Normal
673,Battle for Stromgarde (Heroic),Heroic
674,Nazjatar,Nazjatar
675,Mechagon,Mechagon
676,Firelands (Normal),Normal
677,Firelands (Heroic),Heroic
679,Mechagon Junkyard (Mythic Keystone),Mythic+
682,Mechagon Junkyard (Heroic),Heroic
683,Mechagon Workshop (Mythic Keystone),Mythic+
684,Mechagon Workshop (Heroic),Heroic
685,"Ny'alotha, the Waking City (Mythic)",Mythic
686,"Ny'alotha, the Waking City (Heroic)",Heroic
687,"Ny'alotha, the Waking City (Normal)",Normal
688,Plaguefall (Normal),Normal
689,Plaguefall (Heroic),Heroic
690,Plaguefall (Mythic),Mythic
691,Plaguefall (Mythic Keystone),Mythic+
692,De Other Side (Normal),Normal
693,De Other Side (Heroic),Heroic
694,De Other Side (Mythic),Mythic
695,De Other Side (Mythic Keystone),Mythic+
696,Halls of Atonement (Normal),Normal
697,Halls of Atonement (Heroic),Heroic
698,Halls of Atonement (Mythic),Mythic
699,Halls of Atonement (Mythic Keystone),Mythic+
700,Mists of Tirna Scithe (Normal),Normal
701,Mists of Tirna Scithe (Heroic),Heroic
702,Mists of Tirna Scithe (Mythic),Mythic
703,Mists of Tirna Scithe (Mythic Keystone),Mythic+
704,Sanguine Depths (Normal),Normal
705,Sanguine Depths (Mythic Keystone),Mythic+
706,Sanguine Depths (Mythic),Mythic
707,Sanguine Depths (Heroic),Heroic
708,Spires of Ascension (Normal),Normal
709,Spires of Ascension (Mythic Keystone),Mythic+
710,Spires of Ascension (Mythic),Mythic
711,Spires of Ascension (Heroic),Heroic
712,The Necrotic Wake (Normal),Normal
713,The Necrotic Wake (Mythic Keystone),Mythic+
714,The Necrotic Wake (Mythic),Mythic
715,The Necrotic Wake (Heroic),Heroic
716,Theater of Pain (Normal),Normal
717,Theater of Pain (Mythic Keystone),Mythic+
718,Theater of Pain (Mythic),Mythic
719,Theater of Pain (Heroic),Heroic
720,Castle Nathria (Normal),Normal
721,Castle Nathria (Mythic),Mythic
722,Castle Nathria (Heroic),Heroic
723,World Bosses (Shadowlands),World Bosses
724,Skoldus Hall,Layer 1
725,Twisting Corridors,Layer 1
726,Fracture Chambers,Layer 1
727,Soulforges,Layer 1
728,Coldheart Interstitia,Layer 1
729,Mort'regar,Layer 1
730,The Upper Reaches,Layer 1
731,Arena Skirmish (2v2),2v2
732,Arena Skirmish (2v2),2v2
733,Arena Skirmish (3v3),3v3
734,Arena Skirmish (3v3),3v3
735,Arkoban Hall,Arkoban Hall
736,Torment Chamber: Jaina,Torment Chamber: Jaina
737,Torment Chamber: Thrall,Torment Chamber: Thrall
738,Ardenweald,Ardenweald
739,Bastion,Bastion
740,Maldraxxus,Maldraxxus
741,Revendreth,Revendreth
742,The Maw,The Maw
743,Sanctum of Domination (Normal),Normal
744,Sanctum of Domination (Heroic),Heroic
745,Sanctum of Domination (Mythic),Mythic
746,"Tazavesh, the Veiled Market (Mythic)",Mythic
940,Twisting Corridors,Layer 2
941,Twisting Corridors,Layer 3
942,Twisting Corridors,Layer 4
943,Twisting Corridors,Layer 5
944,Twisting Corridors,Layer 6
945,Twisting Corridors,Layer 7
946,Twisting Corridors,Layer 8
947,Twisting Corridors,Layer 9
948,Twisting Corridors,Layer 10
949,Twisting Corridors,Layer 11
950,Twisting Corridors,Layer 12
951,Skoldus Hall,Layer 2
952,Skoldus Hall,Layer 3
953,Skoldus Hall,Layer 4
955,Skoldus Hall,Layer 5
956,Skoldus Hall,Layer 6
957,Skoldus Hall,Layer 7
958,Skoldus Hall,Layer 8
959,Skoldus Hall,Layer 9
960,Skoldus Hall,Layer 10
961,The Upper Reaches,Layer 2
962,The Upper Reaches,Layer 3
963,The Upper Reaches,Layer 4
964,The Upper Reaches,Layer 5
965,The Upper Reaches,Layer 6
966,The Upper Reaches,Layer 7
967,The Upper Reaches,Layer 8
968,The Upper Reaches,Layer 9
969,The Upper Reaches,Layer 10
970,Skoldus Hall,Layer 11
971,The Upper Reaches,Layer 11
972,The Upper Reaches,Layer 12
973,Soulforges,Layer 2
974,Soulforges,Layer 3
975,Soulforges,Layer 4
976,Soulforges,Layer 5
977,Soulforges,Layer 6
978,Soulforges,Layer 7
979,Soulforges,Layer 8
980,Soulforges,Layer 9
981,Soulforges,Layer 10
982,Soulforges,Layer 11
983,Mort'regar,Layer 2
984,Mort'regar,Layer 3
985,Mort'regar,Layer 4
986,Mort'regar,Layer 5
987,Mort'regar,Layer 6
988,Mort'regar,Layer 7
989,Mort'regar,Layer 8
990,Mort'regar,Layer 9
991,Mort'regar,Layer 10
992,Mort'regar,Layer 11
993,Mort'regar,Layer 12
994,Fracture Chambers,Layer 2
995,Fracture Chambers,Layer 3
996,Fracture Chambers,Layer 4
997,Fracture Chambers,Layer 5
998,Fracture Chambers,Layer 6
999,Fracture Chambers,Layer 7
1000,Fracture Chambers,Layer 8
1001,Fracture Chambers,Layer 9
1002,Fracture Chambers,Layer 10
1003,Fracture Chambers,Layer 11
1004,Fracture Chambers,Layer 12
1005,Coldheart Interstitia,Layer 2
1006,Coldheart Interstitia,Layer 3
1007,Coldheart Interstitia,Layer 4
1008,Coldheart Interstitia,Layer 5
1009,Coldheart Interstitia,Layer 6
1010,Coldheart Interstitia,Layer 7
1011,Coldheart Interstitia,Layer 8
1012,Coldheart Interstitia,Layer 9
1013,Coldheart Interstitia,Layer 10
1014,Coldheart Interstitia,Layer 11
1015,Coldheart Interstitia,Layer 12
1016,Tazavesh Streets (Mythic Keystone),Mythic+
1017,Tazavesh Gambit (Mythic Keystone),Mythic+
1018,Tazavesh Streets (Heroic),Heroic
1019,Tazavesh Gambit (Heroic),Heroic
1020,Sepulcher of the First Ones (Normal),Normal
1021,Sepulcher of the First Ones (Heroic),Heroic
1022,Sepulcher of the First Ones (Mythic),Mythic
1024,Coldheart Interstitia,Layer 13
1025,Coldheart Interstitia,Layer 14
1026,Coldheart Interstitia,Layer 15
1027,Coldheart Interstitia,Layer 16
1028,Fracture Chambers,Layer 13
1029,Fracture Chambers,Layer 14
1030,Fracture Chambers,Layer 15
1031,Fracture Chambers,Layer 16
1032,Mort'regar,Layer 13
1033,Mort'regar,Layer 14
1034,Mort'regar,Layer 15
1035,Mort'regar,Layer 16
1036,Skoldus Hall,Layer 12
1037,Skoldus Hall,Layer 13
1038,Skoldus Hall,Layer 14
1039,Skoldus Hall,Layer 15
1040,Skoldus Hall,Layer 16
1041,Soulforges,Layer 12
1042,Soulforges,Layer 13
1043,Soulforges,Layer 14
1044,Soulforges,Layer 15
1045,Soulforges,Layer 16
1046,The Upper Reaches,Layer 13
1047,The Upper Reaches,Layer 14
