ID,Title_lang,BodyText_lang
2022,Oaf Smash,"The Lumbering Oaf will periodically grab a player and run to the farthest side of the room from the entrance. The Oaf then quickly runs and smashes into a wooden log on the other side of the room, knocking back and dealing 100 Physical damage to the player.$[!2,4

In Heroic Difficulty, the impact of Oaf Smash instead inflicts $88300s2% of the target player's health in Physical damage. $]"
2023,Throw Helix,"The Lumbering Oaf will take Helix from his back, and throw the goblin onto a random player's face for ten seconds. While Helix is attached, he punches the player with his normal melee attack."
2024,Chest Bomb,"When Helix leaps back onto the Lumbering Oaf after being attached to player, he leaves a Chest Bomb strapped to the player. After ten seconds, the Chest Bomb explodes. This explosion knocks the targeted player up very high, while dealing $88250s1 Fire damage to nearby player allies within $88250A1 yards."
2025,Helix' Crew,Four members of Helix' Crew appear above the players on an overhead log. Each crew member will periodically throw a Sticky Bomb onto the ground below near a random player.
2026,Stage Two: I didn't need him!,"After the Lumbering Oaf dies, Helix Gearbreaker is thrown to the ground. Helix then uses his Sticky Bomb ability more frequently."
2027,Leap,"Helix will leap and attach himself to a player's face for ten seconds. Helix then immediately picks a new player and leaps on them. While Helix is attached, he punches the player with his normal melee attack."
2028,Chest Bomb,"When Helix leaps off from a player, he leaves a Chest Bomb strapped to that player. After ten seconds, the Chest Bomb explodes. This explosion knocks the targeted player up very high, while dealing $88250s1 Fire damage to nearby player allies within $88250A1 yards."
2029,Helix' Crew,Four additional members of Helix' Crew appear above the players on an overhead log.
2031,Reaper Strike,"The Foe Reaper 5000 does not have a normal melee attack. Instead, the Foe Reaper 5000 uses Reaper Strike, an attack dealing Physical damage to all targets within $88490A1 yards in a front facing 60 degree cone."
2032,Overdrive,"The Foe Reaper 5000 activates its overdrive engine, dealing $88484s1 Physical damage to nearby enemies every second for $88481d. After two seconds, the Foe Reaper 5000 also begins to wildly move around the room at double its normal movement speed."
2033,Harvest,"The Foe Reaper 5000 targets the location of a random player, and then moves there. As the Foe Reaper 5000 moves, it repeatedly deals $88501s1 Physical damage to all targets within $88501A1 yards in a front facing 60 degree cone. Once the Foe Reaper 5000 reaches the targeted location, it performs a Harvest Sweep attack. This attack knocks back and deals $88521s1 Physical damage to all nearby enemy targets within $88521A1 yards."
2034,Safety Restrictions Off-line,"When the Foe Reaper 5000 is damaged below 30% of its total health, it will disable its internal safety restrictions. This increases the Physical damage dealt by the Foe Reaper 5000 by $88522s1% for the remainder of the fight."
2035,Molten Slag,"Activation of the Foe Reaper 5000 causes an overload in the slag pit, resulting in Molten Slags periodically being spawned."
2036,Fixate,"A Molten Slag will periodically fixate on a random enemy target, moving to attack only that target for $91830d."
2037,Molten Shield,"A Molten Slag only takes 50% damage from magical sources, and will deal $91819s1 Fire damage to all nearby targets within $91819A1 yards every $91815t2 sec."
2038,Prototype Reaper,A single Prototype Reaper was left unattended in the Defias workers' mad dash to flee the Goblin Foundry. One player may board the Prototype Reaper and use it in the fight against the Foe Reaper 5000. The abilities of the Prototype Reaper are powered by steam.
2039,Obsidian Alloy,The Prototype Reaper is immune to Fire damage.
2040,Reaper Strike,The Prototype Reaper deals $91723s1 Physical damage to all targets within $91723A1 yards in a front facing 60 degree cone. Reaper Strike also grants the Prototype Reaper $91723s2 steam power.
2041,Reaper Charge,"The Prototype Reaper charges an enemy target, dealing $91726s2 Physical damage and stunning the target for $91726d. Reaper Charge costs $91726c steam power."
2042,Pressurized Strike,"Steam pressure is released into a powerful attack on an enemy target, dealing $91727s2 Physical damage and knocking the target back. Pressurized Strike costs $91727c steam power."
2044,Thirst for Blood,"Whenever Admiral Ripsnarl lands a successful melee attack, he gains $88737s1% attack speed, $88737s3% movement speed, and grows by $88737s2% for $88737d. This effect may stack up to 20 times."
2045,Swipe,Admiral Ripsnarl ferociously swipes his primary target and two other nearby targets in melee range for $88839s1% of the damage of his normal melee attack.
2046,The Fog,"When Admiral Ripsnarl reaches 75%, 50%, and 25% health, he retreats into the fog and becomes unattackable for a short time."
2047,Go For the Throat,"When Admiral Ripsnarl reveals himself once more from the fog, he leaps at a random enemy dealing $88836s2% of a normal melee attack's damage and stunning the target for $88836d.$[!2,4

In Heroic Difficulty, Admiral Ripsnarl will use Go For the Throat during the entire encounter.$]"
2048,Summon Vapor,"After the fog rolls in over the deck, Vapor creatures periodically form and attack a nearby player. Whenever Admiral Ripsnarl vanishes into the fog, additional Vapor creatures are created.$[!2,4 

In Heroic Difficulty, When Admiral Ripsnarl is damaged below 10% health, three additional Vapor creatures form from the fog.$]"
2049,Vapor,This creature attacks from the fog.
2050,Condensation,"After a Vapor forms, condensation from the moisture in the fog begins to cause the Vapor to grow. If the Vapor is not destroyed within 8 seconds, the Vapor transforms into a Swirling Vapor with its health increased by $92017s2% and damage dealt increased by $92017s3%.

If Swirling Vapor is not destroyed in another 8 seconds, it transforms into a Condensed Vapor with its health increased by $92021s2% and damage dealt increased by $92021s3%.

If a Condensed Vapor is then not destroyed within 8 more seconds, it finally transforms into a Freezing Vapor with its health increased by $92038s2% and damage dealt increased by $92038s3%."
2051,Swirling Vapor,"When a Vapor transforms into Swirling Vapor, it gains the ability to cast a spell of the same name. Swirling Vapor deals $92007s2 Frost damage and reduces the movement speed by $92007s1% of all targets within $92007A1 yards in a front facing 60 degree cone for $92007d."
2052,Condensing Vapor,"When a Swirling Vapor transforms into Condensing Vapor, it gains the ability to cast a spell of the same name. Condensing Vapor deals $92008s2 Frost damage and reduces the movement speed by $92008s1% of all targets within $92008A1 yards in a front facing 60 degree cone for $92007d."
2053,Coalesce,"When a Vapor fully transforms into a Freezing Vapor, it will then explode dealing $92042s2 Frost damage and knocking back all enemy targets within $92042A1 yards."
2055,Throw Food,"""Captain"" Cookie will rapidly throw food at the location of a random player, alternating between delicious and rotten food items."
2056,Rotten Aura,Rotten food on the ground emanates $89735s1 Nature damage to nearby units within $89735A1 yards.
2057,Nauseated,"Players may right click on and eat the rotten food found on the deck. This removes the food and its corresponding Rotten Aura from the deck, but inflicts the Nauseated effect on the player dealing $89732s2 Nature damage every $89732t2 sec. for $89732d. The Nauseated effect stacks."
2058,Satiated,"Players may right click on and eat the delicious food found on the deck. This removes the food from the deck, but the clicking player gains the Satiated effect. Satiated increases the melee and ranged attack speed, as well as spell casting speed of the player by $89267s2% for $89267d. The Satiated effect stacks. 

Each time the Satiated effect is gained, a single stack of the Nauseated effect is removed."
2060,Deflection,"Vanessa deflects all melee attacks, ranged attacks and spells for $92615d. She will only use this ability while her remaining health is greater than 25%."
2061,Deadly Blades,"Vanessa begins to rapidly leap from enemy to enemy, appearing behind and inflicting the Backslash effect on a random enemy target every $92622t1 sec. for $92622d."
2062,Backslash,"Vanessa slices into the back of an enemy target, inflicting $92619s2 Physical damage every $92619t2 seconds for $92619d."
2063,Fiery Blaze,"After Vanessa has been wounded below 50% of her total health, she will leap to the top of the ship and detonate preplaced explosives around the ship. These explosives will create Fiery Blazes across the deck. Players within $93485A1 yards of a fire will be dealt $93485s1 Fire damage every second. 

Players may avoid the worst of the fires on the deck by using a nearby rope on the side of the deck."
2064,Vengeance of VanCleef,"After Vanessa detonates the first set of explosives at 50% health, she will repeatedly cast Vengeance of VanCleef until re-engaged in combat.  Each application of this effect increases her Physical damage by $95542s1%, melee attack speed by $95542s2%, and size by $95542s3%. The effect may stack up to 40 times.

Once Vanessa has detonated the second set of explosives at 25% health, she will use this ability repeatedly until killed."
2065,Powder Explosion,"When Vanessa has only 1% of her total health remaining, she will pull out a final keg of black powder and light it. The explosion kills her, and also deals $96283s2 Fire damage to any enemy target within $96283A2 yards."
2066,Defias Enforcer,"While Vanessa VanCleef's remaining health is above 50%, she will periodically call on a Defias Enforcer to aid her from the nearby cabin."
2067,Charge,The Enforcer charges out into battle to join the fray.
2068,Bloodbath,"The Enforcer begins to rapidly attack its current enemy target with a series of six quick attacks over $90925d., each dealing $90923s1% of normal melee damage."
2069,Recklessness,"The Enforcer becomes immune to fear effects and his or her chance to deal a critical is increased by $90929s1% for $90929d., but the Enforcer's armor is also reduced by $90929s2%.

The Enforcer can use this ability if his or her remaining health is below 20%."
2070,Defias Shadowguard,"Shortly after calling a Defias Enforcer, Vanessa will then call on a Defias Shadowguard to join the fight if her remaining health is still above 50%."
2071,Sinister Strike,The Shadowguard inflicts $90951s1% of normal melee damage to the current enemy target.
2072,Shadowstep,The Shadowguard will periodically step through shadows and reappear behind the enemy target.
2073,Whirling Blades,The Shadowguard surrounds the enemy target with a set of whirling blades for $90960d. The blades deal $90962s1 Physical damage to all nearby units within $90962A1 yards every second.
2074,Evasion,"The Shadowguard increases his chance to dodge by $90958s1% for $90958d. 

The Shadowguard may use Evasion if his remaining health is below 30%."
2075,Defias Blood Wizard,"Shortly after calling a Defias Shadowguard, Vanessa will then call on a Defias Blood Wizard to join the fight if her remaining health is still above 50%."
2076,Bloodbolt,Inflicts $90938s1 Physical damage and reduces the current enemy target's movement speed by $90938s2% for $90938d.
2077,Ragezone,"The Blood Wizard creates an unstable field of magic at the location of a random enemy target that lasts $90932d. The field has a radius of $90932A1 yards, and all units located within have their damage dealt increased by $90932s2%."
2107,Asphyxiate,"Baron Ashbury throws every player into the air, stunning them and dealing enough Shadow damage over $93423d. to bring the player's health to one."
2108,Stay of Execution,"After Baron Ashbury finishes casting Asphyxiate, he immediately casts Stay of Execution. This spell heals all players to 50% of their maximum health.$[!2,4

In Heroic Difficulty, instead of healing players at the end of the cast, Baron Ashbury channels Stay of Execution until interrupted. Players are healed every second for $93706s1% of their maximum health, but Baron Ashbury is also healed for $93706s2% of his maximum health.$]"
2109,Pain and Suffering,"Baron Ashbury channels on a random player, initially dealing $93581s1 Shadow damage every $93581t1 second for $93581d. The damage dealt increases as the spell continues to channel."
2110,Calamity,"At 25% health, Baron Ashbury takes the form of a Dark Archangel and unleashes his true power. Baron Ashbury inflicts $93810s1 Shadow damage and increases the Shadow damage enemies take by $93810s2% every $93812t1 second until either Baron Ashbury or his enemies die. This effect stacks."
2118,Veil of Shadow,"Baron Silverlaine curses his current enemy target, reducing magical healing effects done to the target by $23224s1% for $23224d."
2119,Cursed Veil,Baron Silverlaine inflicts $93956s2 Shadow damage and reduces magical healing done by $93956s1% for all enemy targets within $93956A1 yards for $93956d.
2120,Summon Worgen Spirit,"Baron Silverlaine summons one of four random Worgen Spirits from the past at 70% and 35% health: Odo the Blindwatcher, Razorclaw the Butcher, Rethilgore, or Wolf Master Nandos.$[!2,4

In Heroic Difficulty, Baron Silverlaine summons a Worgen Spirit at 90%, 60%, and 30% health.$]"
2121,Odo the Blindwatcher,
2122,Howling Rage,Odo the Blindwatcher increases his Physical damage dealt by $93931s1% and size by $93931s2% for $93931d. This effect stacks up to 5 times.
2123,Blinding Shadows,Odo the Blindwatcher inflicts $93952s1 Shadow damage every second for $93952d
2125,Razorclaw the Butcher,
2126,Spectral Rush,"Razorclaw leaps at the furthest away enemy target, stunning and inflicting $93928s1 Physical damage every $93930t2 second for $93930d."
2127,Butcher Drain,"Whenever Razorclaw inflicts damage with a melee attack, an additional $7485s1 health is drained from the target."
2128,Rethilgore,
2129,Soul Drain,"Rethilgore channels on a random enemy target, immobilizing and draining $93863s1 health every $93863t1 seconds for $93863d. Rethilgore heals for twice the amount of health drained."
2130,Wolf Master Nandos,
2131,Claw,"Nandos rakes his current target, dealing $93861s1% of his normal melee attack in Physical damage."
2132,Summon Lupine Spirit,"When Wolf Master Nandos enters combat, he summons three Lupine Spectres to fight at his side for $94199d."
2133,Lupine Spectre,This creature has low health.
2137,Malefic Strike,"Commander Springvale slashes at his main target, instantly dealing $93685s1% of his normal Physical melee damage and generating a charge of Unholy Power he can then use for other abilities."
2138,Shield of the Perfidious,"When Commander Springvale has three charges of Unholy Power, he consumes the charges and unleashes the power from his shield. Shield of the Perfidious deals $93722s1 Shadow damage every $93693t1 seconds in a narrow 25 degree cone in front of Springvale for $93693d. $[!2,4

In Heroic Difficulty, the cone expands to 150 degrees.$]"
2139,Desecration,Commander Springvale desecrates the ground in a $93691A1 yard radius under a random player. All players standing in this defiled ground have their movement speed decreased by $93691s1% and take $93691s2 Shadow damage every $93690t1 seconds.
2140,Word of Shame,"When Commander Springvale has three charges of Unholy Power, he can consume the charges and cast this spell on a random enemy player. Word of Shame deals $93852s1% of a player's maximum health as Shadow damage every $93852t1 seconds. The effect lasts until either the targeted player or Commander Springvale dies."
2142,Wailing Guardsman,"Commander Springvale starts with a Wailing Guardsman and Tormented Officer next to him, and periodically two more will enter the fray."
2143,Unholy Empowerment,"A Wailing Guardsman attempts to empower Commander Springvale. If the spell is successfully cast, Commander Springvale is healed for $93844s2% of his maximum health and gains one charge of Unholy Power."
2144,Screams of the Past,"The Wailing Guardman emits a terrible scream, interrupting nearby enemy spellcasting within $7074A1 yards. Interrupted enemies cannot cast spells of the same spell school for $7074d."
2145,Mortal Strike,"The Wailing Guardsman instantly attacks his enemy, inflicting $91801s1% of their normal weapon damage and leaving the enemy wounded. This mortal wound reduces the effectiveness of any healing on the target by $91801s2%."
2146,Tormented Officer,"Commander Springvale starts with a Wailing Guardsman and Tormented Officer next to him, and periodically two more will enter the fray."
2147,Unholy Empowerment,"A Tormented Officer attempts to empower Commander Springvale. If the spell is successfully cast, Commander Springvale is healed for $93844s2% of his maximum health and gains one charge of Unholy Power."
2148,Shield Wall,"When a Tormented Officer is below 20% health, he will raise his shield defensively. This reduces all damage taken by $91463s1% for $91463d."
2149,Forsaken Ability,"The Tormented Officer curses an enemy target for $7054d. While the curse is on the enemy, every $7054t1 seconds an additional random curse is applied. The additional curses lasts $7039d., and will reduce by $7039s1% one of the following: armor, damage dealt, healing dealt, maximum health, or movement speed."
2156,Ice Shards,"Lord Walden releases Ice Shards all over his laboratory for $93527d. Each Ice Shard arcs through the air then lands, dealing $93535s1 Frost damage to all enemy targets within $93535A1 yards."
2157,Conjure Poisonous Mixture,"Lord Walden conjures a bottle of poisonous mixture then throws it at the location of a random player. When the bottle lands on the ground it erupts. 

The poison immediately inflicts $93697s1 Nature damage to players within $93697A1 yards, and continues to inflict $93697s2 Nature damage every $93697t2 seconds while decreasing the movement speed of players by $93697s3% for $93697d."
2158,Conjure Frost Mixture,Lord Walden summons a frosty mixture and breaks it on the ground. The chemicals immediately deal $93505s1 Frost damage to all nearby enemies within $93505A1 yards.
2159,Conjure Mystery Toxin,"Lord Walden summons a cauldron of Mystery Toxin for 10 seconds. The concoction inside is usually a Toxic Coagulant, but when Lord Walden reaches 35% health he summons a cauldron of Toxic Catalyst instead."
2160,Toxic Coagulent,"Every $93572t1 seconds the Toxic Coagulent toxin is applied to nearby enemy players from Lord Walden's cauldron. The Toxic Coagulent inflicts $93617s2 damage every second, and decreases the movement speed of the affected player by $93617s3% for $93617d. 

This effect can stack up to 3 times, and if it does then the toxin fully coagulates and the player is stunned for $93660d. However, whenever a player moves or jumps the toxin becomes unable to coagulate and a stack is removed."
2161,Toxic Catalyst,"The Toxic Catalyst pours out of Lord Walden's cauldron, inflicting $93689s1 Fire damage every $93689t1 seconds but increasing the target's critical chance by $93689s2% for $93689d."
2163,Mortal Wound,"Lord Godfrey slices his current target with the blades attached to his pistols, inflicting $93675s1 Physical damage every second and reducing the effectiveness of healing dealt to the target by $93675s2% for $93675d. This effect stacks up to 10 times."
2164,Cursed Bullets,"Lord Godfrey picks a random player and shoots them with cursed bullets. This attack immediately deals $93629s1 Shadow damage to the target, and continues to deal severe and increasing Shadow damage every $93629t2 seconds for $93629d."
2165,Summon Bloodthirsty Ghouls,"Lord Godfrey fires a volley of six necromantic bullets into the air around him, and where each bullet lands nearby a Bloodthirsty Ghoul rises out of the floor."
2166,Bloodthirsty Ghoul,These ghouls have very low health.
2167,Pistol Barrage,Lord Godfrey points at a random player and unleashes a barrage of bullets in a 60 degree cone towards that direction from his pair of pistols for $93520d. The Pistol Barrage deals $93564s1 Shadow damage every second to any unit within the cone of bullets.
2179,Summon Geyser,
2181,Shock Blast,
2182,Waterspout,
2183,Naz'jar Honor Guard,
2184,Arc Slash,
2185,Enrage,
2186,Naz'jar Frost Witch,
2187,Chain Lightning,
2188,Lightning Surge,
2189,Squeeze,
2190,Curse of Fatigue,
2192,Dark Fissure,
2193,Dark Fissure,
2194,Erunak Stonespeaker,
2195,Emberstrike,
2196,Magma Splash,
2197,Lava Bolt,
2199,Mindbender Ghur'sha,
2200,Absorb Magic,
2201,Mind Fog,
2204,Stage One: Filthy Invaders!,"Ozumat floods foul ink into the bubble, forming the Ink of Ozumat and Servants of Filth."
2219,Stage Two: Tidal Surge,"Once the Ink of Ozumat has been purged, Neptulon empowers himself and his allies with the gift of pure water."
2220,Ozumat,"Upon reaching 10% health remaining, Ozumat flees back into the depths."
2222,Neptulon,
2223,Tidal Surge,
2356,Quake,"Rom'ogg Bonecrusher slams the ground, cracking the earth under each player and inflicting $75272s1 Physical damage each second to them for $75272d. After $75379t1 seconds, each of the ground cracks then ruptures and inflicts $75347s1 Physical damage to all enemy targets within $75347A1 yards of the crack.$[!2,4

In Heroic Difficulty, an Angered Earth creature is summoned from each ground crack.$]"
2357,Angered Earth,Angered Earth are summoned from Rom'ogg's Quake ability.
2358,Chains of Woe,"At 66% and 33% health remaining, Rom'ogg Bonecrusher summons a mass of chains called the Chains of Woe that pulls each player close to him and immobilizes them. Players must target and destroy the Chains of Woe to free themselves from the immobilize effect. Immediately after Rom'ogg finishes casting Chains of Woe, he begins to use his Skullcracker."
2359,The Skullcracker,"After casting Chains of Woe, Rom'ogg begins to use his Skullcracker. This incredibly powerful attack requires a long windup from Rom'ogg. After 12 seconds, Rom'ogg swings and inflicts $75428s1 Physical damage to all enemies within $75428A1 yards.$[!2,4

In Heroic difficulty, Rom'ogg will swing after 8 seconds of windup.$]"
2360,Wounding Strike,"Rom'ogg Bonecrusher strikes his current target, inflicting $75571s1% of a normal melee attack's damage and reducing the healing dealt to the target by $75571s2% for $75571d."
2361,Evolution,"Corla drains the essence of a Nether Dragon corpse and channels this essence into Twilight Zealots. The Evolution effect then rapidly stacks on the Zealot, and if the number of stacks reaches 100 then the Zealot will transform into an Evolved Twilight Zealot for the remainder of the encounter. The stacking Evolution effect lasts $75697d.

If a player moves into the beam between a Twilight Zealot and the Nether Dragon corpse, that player starts to gain the Evolution effect and begins to evolve. If the Evolution effect stacks to 100 on a player, then the player will transform into a Twilight Drakonid."
2362,Aura of Acceleration,"Corla emits an aura that accelerates nearby friendly units within $75817a1 yards. Accelerated units have their movement speed increased by $75817s1%, and their attack speed increased by $75817s2%."
2363,Dark Command,"Corla issues a dark command, causing a random enemy player to flee in terror for $75823d. The fleeing target is also inflicted with $75823s2 Shadow damage every second."
2364,Twilight Zealot,"Two Twilight Zealots are with Corla, preparing to be evolved into Twilight Drakonids.$[!2,4

In Heroic Difficulty, there are three Twilight Zealots.$]"
2365,Kneeling in Supplication,"Twilight Zealots kneel before Corla to prepare for their evolution. When kneeling they will perform no actions, and any damage taken is reduced by $75608s2%."
2366,Evolved Twilight Zealot,A Twilight Zealot that gains 100 stacks of the Evolution effect transforms into a Evolved Twilight Zealot.
2367,Force Blast,"The Evolved Twilight Zealot projects a blast of pure force at a random enemy player, inflicting $76522s1 Physical damage and stunning the target for $76522d."
2368,Gravity Strike,"The Evolved Twilight Zealot strikes its current enemy target with a magically imbued attack. The strike inflicts $76561s1% of the target's current health as Physical damage, and reduces the target's Attack Power by $76561s2 for $76561d."
2369,Grievous Whirl,"The Evolved Twilight Zealot swings its weapons around him, attacking all enemies within $76524A1 yards. The attack deals $76524s1 Physical damage, causes the targets to bleed for an additional $76524s2 Physical damage every $76524t2 seconds for $76524d. The bleed effect is also removed if the inflicted target becomes fully healed again."
2370,Shadow Strike,"The Evolved Twilight Zealot steps through the shadows and reappears behind his current enemy target. After the Evolved Twilight Zealot reappears, he inflicts $82362s2 Shadow damage to his target."
2371,Quicksilver Armor,Karsh Steelbender's Quicksilver Armor reduces all damage taken by $75842s1% when cooled.
2372,Superheated Quicksilver Armor,"When Karsh Steelbender moves under the stream of molten metal in the center of the room, his Quicksilver armor begins to heat up. This immediately removes the cooled Quicksilver Armor from him and replaces it with Superheated Quicksilver Armor. The Superheated Quicksilver Armor increases his damage taken by $75846s2% for $75846d. The effect continues to stack for every second he is under the molten stream.

When the duration of Superheated Quicksilver Armor expires, the armor cools off and Karsh gains the Quicksilver Armor effect."
2373,Heat Wave,"Every second Karsh Steelbender is under the molten stream of metal, his armor emits a Heat Wave. This inflicts $75851s1 Fire damage to all nearby enemies, but the damage is further multiplied by the number of stacks of Superheated Quicksilver Armor on Karsh."
2374,Burning Metal,"When Karsh Steelbender's Quicksilver Armor is superheated, he inflicts $76002s1 Fire damage to his current enemy target whenever he swings his weapon at them. This damage is multiplied by the number of stacks of Superheated Quicksilver Armor on Karsh."
2375,Cleave,"Karsh Steelbender swings his glaive in a wild arc, inflicting $15284s1% of his normal melee damage to his current melee target and two other nearby targets within melee distance of Karsh."
2376,Lava Spout,"When the duration of Superheated Quicksilver Armor expires, Karsh Steelbender's armor cools off and the excess heat causes lava spouts to erupt from the circular grate inside the room. Players standing on the grate when the lava spouts erupt take $76007s1 Fire damage."
2377,Bound Flames,"When the lava spouts erupt from the circular grate, three Bound Flames form and begin to attack nearby enemy players."
2378,Berserker Charge,"Beauty charges at the farthest away enemy target, inflicting $76030s3 Physical damage and knocking the target back."
2379,Flamebreak,Beauty inflicts $76032s1 Fire damage to all nearby enemies within $76032A1 yards and knocks them back.
2380,Terrifying Roar,"Beauty roars, causing all nearby enemies to flee in fear for $76028d."
2381,Magma Spit,"Beauty spits magma at a random enemy player, inflicting $76031s1 Fire damage and an additional $76031s2 Fire damage every $76031t2 seconds for $76031d. When the magma spit expires or is removed, four additional magma blobs are launched from the player to locations $76058a2 yards away. When these magma blobs land, nearby players within $76070a1 yards are dealt $76070s1 Fire damage."
2382,"Lucky, Spot, and Buster","In Heroic Difficulty, two of the three pups of Beauty will fight with Beauty. Engaging either of the two pups will cause Beauty to also attack the players."
2383,Lava Drool,"The pup's lava drool collects into a pool, and any player standing within this lava pool is dealt $76628s2 Fire damage every $76628t2 seconds. The pools last $76628d before dissipating."
2384,Little Big Flame Breath,Beauty's pups channel a flame breath at their current enemy target for $76665d. The target is dealt $76665s1 Fire damage every second.
2385,Transformation,"When Ascendant Lord Obsidius reaches 69% and 34% of his remaining health, he will randomly target one of the Shadows of Obsidius and jump into it. This results in Obsidius and the Shadow switching places."
2386,Stone Blow,"Ascendant Lord Obsidius strikes with a strong attack, inflicting $76185s1% of his normal melee damage and stunning his current enemy target for $76185d."
2387,Twilight Corruption,"Ascendant Lord Obsidius corrupts a random enemy player, inflicting $76188s1 Shadow damage every $76188t1 seconds for $76188d."
2388,Thunderclap,"Ascendant Lord Obsidius slams the ground, inflicting $76186s1 Nature damage and reducing the movement speed of nearby enemies within $76186A1 yards by $76186s2% for $76186d."
2389,Shadow of Obsidius,"Ascendant Lord Obsidius fights alongside two Shadows of Obsidius. These ephemeral constructs absorb all incoming damage.$[!2,4

In Heroic Difficulty, Ascendant Lord Obsidius will fight with three Shadows of Obsidius.$]"
2390,Twitchy,"Shadows of Obsidius will attack the enemy who has most recently generated threat, instead of the enemy with the greatest amount of threat."
2391,Crepuscular Veil,Shadows of Obsidius that swing at their current enemy cause all healing dealt to their target to be reduced by $76189s1% for $76189d. This effect stacks up to 4 times.
