ID,Name_lang,Description_lang,ToastDescription_lang
227,Venthyr Campaign: Dominion,You may begin the next chapter of the Venthyr Campaign. Completing this chapter will allow you to soulbind with General Draven.,New Campaign Quest Available
228,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
229,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
230,,This mount will become available for purchase from the Renown Quartermaster.,New Mount Available
231,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
232,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
233,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
234,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
235,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
236,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
237,,"Your connection with the Night Fae grows, increasing Movement Speed by 1%.",Movement Speed Increased
238,,"Your connection with the Night Fae grows, increasing Movement Speed by 1%.",Movement Speed Increased
239,,"Your connection with the Night Fae grows, increasing Movement Speed by 1%.",Movement Speed Increased
240,,"Your connection with the Necrolords grows, increasing Movement Speed by 1%.",Movement Speed Increased
241,,"Your connection with the Necrolords grows, increasing Movement Speed by 1%.",Movement Speed Increased
242,,"Your connection with the Necrolords grows, increasing Movement Speed by 1%.",Movement Speed Increased
243,,"Your connection with the Venthyr grows, increasing Movement Speed by 1%.",Movement Speed Increased
244,,"Your connection with the Venthyr grows, increasing Movement Speed by 1%.",Movement Speed Increased
245,,"Your connection with the Venthyr grows, increasing Movement Speed by 1%.",Movement Speed Increased
246,,"Your connection with the Kyrian grows, increasing Movement Speed by 1%.",Movement Speed Increased
247,,"Your connection with the Kyrian grows, increasing Movement Speed by 1%.",Movement Speed Increased
248,,"Your connection with the Kyrian grows, increasing Movement Speed by 1%.",Movement Speed Increased
250,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
251,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
252,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
253,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
254,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
255,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
256,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
257,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
258,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
259,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
260,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
261,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
262,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
263,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
264,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
265,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
266,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
267,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
268,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
269,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
270,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
271,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
272,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
273,,These appearances will become available for purchase from the Renown Quartermaster:|n- Wrist|n- Hands|n- Waist,New Appearances Available
274,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
275,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
276,,These appearances will become available for purchase from the Renown Quartermaster:|n- Back|n- Legs|n- Feet,New Appearances Available
277,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
278,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
279,,These appearances will become available for purchase from the Renown Quartermaster:|n- Head|n- Shoulders|n- Chest,New Appearances Available
280,Anima Reserves,"A pair of the few remaining Grovetender's Packs, the seeds within contain 500 Anima, use it wisely to shape our covenant in these dark times.",Anima Reserves
281,Anima Reserves,"A pair of the few remaining Grovetender's Packs, the seeds within contain 500 Anima, use it wisely to shape our covenant in these dark times.",Anima Reserves
283,Anima Reserves,"Revered blades imbued with a total of 500 Anima, they are entrusted to you to assist the covenant in these trying times.",Anima Reserves
284,Anima Reserves,"Revered blades imbued with a total of 500 Anima, they are entrusted to you to assist the covenant in these trying times.",Anima Reserves
286,Anima Reserves,"Various items created for the Stitchwerks, containing 500 Anima that you can use to assist in developing the covenant in our time of conflict.",Anima Reserves
287,Anima Reserves,"Various items created for the Stitchwerks, containing 500 Anima that you can use to assist in developing the covenant in our time of conflict.",Anima Reserves
289,Anima Reserves,"Smuggled out of Denathrius' own stores, these crates contain 500 bottled Anima for you to use in bulding up our covenant for the fight to come.",Anima Reserves
290,Anima Reserves,"Smuggled out of Denathrius' own stores, these crates contain 500 bottled Anima for you to use in bulding up our covenant for the fight to come.",Anima Reserves
292,Kyrian Campaign: Trial of Ascension,The next chapter of the Kyrian Campaign will become available.,New Campaign Quest Available
293,"Kyrian Campaign: Phaestus, Genesis of Aeons",The next chapter of the Kyrian Campaign will become available.,New Campaign Quest Available
294,Kyrian Campaign: Righteous Retribution,The next chapter of the Kyrian Campaign will become available.,New Campaign Quest Available
295,Kyrian Campaign: The Seal of Contrition,The next chapter of the Kyrian Campaign will become available.,New Campaign Quest Available
296,Kyrian Campaign: A Vessel of Ardenweald,The next chapter of the Kyrian Campaign will become available.,New Campaign Quest Available
297,Kyrian Campaign: Closing In,The next chapter of the Kyrian Campaign will become available.,New Campaign Quest Available
298,Necrolord Campaign: The House of Eyes,The next chapter of the Necrolord Campaign will become available.,New Campaign Quest Available
299,Necrolord Campaign: Grand Theft Necropolis,The next chapter of the Necrolord Campaign will become available.,New Campaign Quest Available
300,Necrolord Campaign: Do Not Forget,The next chapter of the Necrolord Campaign will become available.,New Campaign Quest Available
301,Necrolord Campaign: A Golden Dawn,The next chapter of the Necrolord Campaign will become available.,New Campaign Quest Available
302,Necrolord Campaign: The Wages of Sin,The next chapter of the Necrolord Campaign will become available.,New Campaign Quest Available
303,Necrolord Campaign: The House of Rituals,The next chapter of the Necrolord Campaign will become available.,New Campaign Quest Available
304,Night Fae Campaign: Daughter of the Night Warrior,The next chapter of the Night Fae Campaign will become available.,New Campaign Quest Available
305,Night Fae Campaign: Da Boss,The next chapter of the Night Fae Campaign will become available.,New Campaign Quest Available
306,Night Fae Campaign: Night Warrior's Curse,The next chapter of the Night Fae Campaign will become available.,New Campaign Quest Available
307,Night Fae Campaign: Drust to Drust,The next chapter of the Night Fae Campaign will become available.,New Campaign Quest Available
308,Night Fae Campaign: The Horned Hunter,The next chapter of the Night Fae Campaign will become available.,New Campaign Quest Available
309,Night Fae Campaign: Deal for a Loa,The next chapter of the Night Fae Campaign will become available.,New Campaign Quest Available
310,Venthyr Campaign: The Court of Harvesters,The next chapter of the Venthyr Campaign will become available.,New Campaign Quest Available
311,Venthyr Campaign: Desire,The next chapter of the Venthyr Campaign will become available.,New Campaign Quest Available
312,Venthyr Campaign: Avarice,The next chapter of the Venthyr Campaign will become available.,New Campaign Quest Available
313,Venthyr Campaign: The Crowned Prince,The next chapter of the Venthyr Campaign will become available.,New Campaign Quest Available
314,Venthyr Campaign: Confronting Sin,The next chapter of the Venthyr Campaign will become available.,New Campaign Quest Available
315,Venthyr Campaign: Envy,The next chapter of the Venthyr Campaign will become available.,New Campaign Quest Available
316,Undiscovered Adventurer,"Complete the Bastion storyline ""Pride or Unit"" to recruit a new Adventurer.",New Adventurer Available
317,Night Courtier's Arsenal,Weapon appearances will become available for purchase from the Renown Quartermaster.,New Appearances Available
318,Arsenal of the Primus,Weapon appearances will become available for purchase from the Renown Quartermaster.,New Appearances Available
319,Elysian Arsenal,Weapon appearances will become available for purchase from the Renown Quartermaster.,New Appearances Available
320,Sinfall Arsenal,Weapon appearances will become available for purchase from the Renown Quartermaster.,New Appearances Available
321,Among the Kyrian,Joined the Kyrian in Bastion and began the covenant Campaign.,
322,For Queen and Grove!,Joined the Night Fae in Ardenweald and began the covenant Campaign.,
323,Loyal to the Primus,Joined the Necrolords in Maldraxxus and began the covenant Campaign.,
324,Sinfall,Joined the Venthyr in Revendreth and began the covenant Campaign.,
325,Soulbind Upgrade: Pelagos,You may access Pelagos's eighth row of Soulbind traits.,Pelagos Soulbind Row Unlocked
326,Soulbind Upgrade: Kleia,You may access Kleia's eighth row of Soulbind traits.,Kleia Soulbind Row Unlocked
327,Soulbind Upgrade: Mikanikos,You may access Mikanikos's eighth row of Soulbind traits.,Mikanikos Soulbind Row Unlocked
328,Soulbind Upgrade: Marileth,You may access Plague Deviser Marileth's eighth row of Soulbind traits.,Marileth Soulbind Row Unlocked
329,Soulbind Upgrade: Emeni,You may access Princess Emeni's eighth row of Soulbind traits.,Emeni Soulbind Row Unlocked
330,Soulbind Upgrade: Heirmir,You may access Bonesmith Heirmir's eighth row of Soulbind traits.,Heirmir Soulbind Row Unlocked
331,Soulbind Upgrade: Niya,You may access Niya's final row of Soulbind traits.,Niya Soulbind Row Unlocked
332,Soulbind Upgrade: Korayn,You may access Koryan's final row of Soulbind traits.,Korayn Soulbind Row Unlocked
333,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's final row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
334,Soulbind Upgrade: Nadjia,You may access Nadjia's eighth row of Soulbind traits.,Nadjia Soulbind Row Unlocked
335,Soulbind Upgrade: Theotar,You may access Theotar's eighth row of Soulbind traits.,Theotar Soulbind Row Unlocked
336,Soulbind Upgrade: Draven,You may access General Draven's eighth row of Soulbind traits.,Draven Soulbind Row Unlocked
337,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
338,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
339,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
340,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
342,Soulbind Upgrade: Korayn,You may access Koryan's ninth row of Soulbind traits.,Korayn Soulbind Row Unlocked
343,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's ninth row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
344,Elite World Quest Anima Rewards,The amount of anima received from Elite World Quest Rewards is increased.,Elite World Quest Anima Increased
345,Soulbind Upgrade: Niya,You may access Niya's ninth row of Soulbind traits.,Niya Soulbind Row Unlocked
346,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
347,Chains of Domination: The Last Sigil,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
349,,,Flying Mount Acquired
350,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's tenth row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
351,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
352,Soulbind Upgrade: Niya,You may access Niya's tenth row of Soulbind traits.,Niya Soulbind Row Unlocked
353,Chains of Domination: An Army of Bone and Steel,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
354,Soulbind Upgrade: Korayn,You may access Koryan's tenth row of Soulbind traits.,Korayn Soulbind Row Unlocked
355,,,A Tiny Winter Staff Acquired
356,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's eleventh row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
357,Chains of Domination: The Unseen Guests,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
358,Soulbind Upgrade: Niya,You may access Niya's eleventh row of Soulbind traits.,Niya Soulbind Row Unlocked
359,Chains of Domination: The Power of Night,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
360,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
361,Soulbind Upgrade: Korayn,You may access Koryan's eleventh row of Soulbind traits.,Korayn Soulbind Row Unlocked
362,Soulbind Upgrade: Dreamweaver,You may access Dreamweaver's twelfth row of Soulbind traits.,Dreamweaver Soulbind Row Unlocked
363,Soulbind Upgrade: Niya,You may access Niya's twelfth row of Soulbind traits.,Niya Soulbind Row Unlocked
364,Chains of Domination: A New Path,The next chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
365,,"Your connection with the Night Fae grows, increasing Movement Speed by 1%.",Movement Speed Increased
366,Soulbind Upgrade: Korayn,You may access Koryan's final row of Soulbind traits.,Korayn Soulbind Row Unlocked
367,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
368,Oribos Quest Anima Rewards,The amount of anima received from weekly dungeon and PvP quests in Oribos is increased.,Weekly Dungeon and PvP Quest Anima Rewards Increased
369,Chains of Domination: What Lies Ahead,The final chapter of the Chains of Domination campaign will become available.,New Campaign Quest Available
370,Soulbind Upgrade: Dreamweaver,Dreamweaver's first row of conduits is enhanced.,Dreamweaver Conduit Row Enhanced
371,Unrated PvP Item Level,"You and the Night Fae continue to impress Cartel Zo, allowing you to further upgrade your Season 2 Unrated PvP equipment to Rank 7.",Unrated PvP Max Rank Increase Available
372,Soulbind Upgrade: Korayn,Korayn's first row of conduits is enhanced.,Korayn Conduit Row Enhanced
373,Soulbind Upgrade: Niya,Niya's first row of conduits is enhanced.,Niya Conduit Row Enhanced
374,Soulbind Upgrade: Dreamweaver,Dreamweaver's second row of conduits is enhanced.,Dreamweaver Conduit Row Enhanced
375,Soulbind Upgrade: Korayn,Korayn's second row of conduits is enhanced.,Korayn Conduit Row Enhanced
376,World Quest Rewards,The item level of your World Quest rewards is increased.,World Quest Max Item Level Increased
377,Soulbind Upgrade: Niya,Niya's second row of conduits is enhanced.,Niya Conduit Row Enhanced
378,Soulbind Upgrade: Dreamweaver,Dreamweaver's third row of conduits is enhanced.,Dreamweaver Conduit Row Enhanced
379,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
380,Soulbind Upgrade: Niya,Niya's third row of conduits is enhanced.,Niya Conduit Row Enhanced
381,Soulbind Upgrade: Korayn,Korayn's third row of conduits is enhanced.,Korayn Conduit Row Enhanced
382,Soulbind Upgrade: Dreamweaver,Dreamweaver's fourth row of conduits is enhanced.,Dreamweaver Conduit Row Enhanced
383,Soulbind Upgrade: Korayn,Korayn's fourth row of conduits is enhanced.,Korayn Conduit Row Enhanced
384,,You may speak with Watcher Vesperbloom to recruit this adventurer.,New Adventurer Available
385,Soulbind Upgrade: Niya,Niya's fourth row of conduits is enhanced.,Niya Conduit Row Enhanced
386,Soulbind Upgrade: Niya,Niya's fifth row of conduits is enhanced.,Niya Conduit Row Enhanced
387,,"Your connection with the Night Fae grows, increasing Movement Speed by 1%.",Movement Speed Increased
388,Soulbind Upgrade: Korayn,Korayn's fifth row of conduits is enhanced.,Korayn Conduit Row Enhanced
389,Soulbind Upgrade: Dreamweaver,Dreamweaver's fifth row of conduits is enhanced.,Dreamweaver Conduit Row Enhanced
390,,"You will acquire Wisps of Memory, which can be used to grant one adventurer a large amount of experience.",Wisps of Memory Acquired
391,Soulbind Upgrade: Korayn,Korayn's sixth row of conduits is enhanced.,Korayn Conduit Row Enhanced
392,Soulbind Upgrade: Niya,Niya's sixth row of conduits is enhanced.,Niya Conduit Row Enhanced
393,Soulbind Upgrade: Dreamweaver,Dreamweaver's sixth row of conduits is enhanced.,Dreamweaver Conduit Row Enhanced
394,,,Title Unlocked
