ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang
56,New in 10.0.7!,Human and Orc Heritage,Collect distinctive armor sets as you explore these races' cultures and histories.,Recruit-A-Friend Update,Exciting new rewards for bringing your friends to Azeroth!,Return to the Forbidden Reach,Delve into the mysteries of the dracthyr left behind during their escape.
57,New in Patch 10.1.0!,Winding Slitherdrake,Race through Zaralek Cavern on the new native dragonriding mount!,Cross Faction Guilds,"For the first time, Horde and Alliance players can unite in the same guild!",Zaralek Cavern,Continue the story of the Sundered Flame and confront the Incarnates' forces in this forgotten underground expanse.
58,New in Season 2!,Dragonflight Season 2,Earn new rewards in Mythic Keystone dungeons and PvP,Mythic+ Refresh,Experience new affixes and a refreshed Mythic+ pool of dungeons!,"Aberrus, the Shadowed Crucible",Pursue Sarkareth and explore the legacy of Neltharion in this ancient laboratory.
59,New in Patch 10.1.5!,Augmentation Unlocked,A new damage specialization with a unique support-based playstyle!,Unravelling Timeways,Support the Bronze Dragonflight in Eon's Fringe and Time Rifts!,Dawn of the Infinite,Battle the Infinite Dragonflight in a mythic mega-dungeon!
60,New in Patch 10.1.7!,Night Elf and Forsaken Heritage,Collect distinctive armor sets as you explore these races' cultures and histories.,Introducing the Ping System,Visit the Options Menu to start communicating faster with pings.,Dreamsurges,Battle dream-empowered foes across the Dragon Isles as Amirdrassil prepares to bloom!
61,New in Patch 10.2.0!,Dream Guardians,"Join the defense of the dream with a new renown, events, and rewards.",Battleground Blitz,"Join an 8v8 solo queue Battleground experience and in this mode, everything goes fast!",The Emerald Dream,Enter the dream and defend the blooming world tree Amirdrassil from Fyrakk and the Druids of the Flame.
62,New in Season 3!,Dragonflight Season 3,Earn new rewards in Mythic Keystone dungeons and PvP!,Great Vault Updates,"Heroic, Mythic, and Timewalking Dungeons now unlock vault rewards.",Amirdrassil the Dream's Hope,Stop Fyrakk from consuming Amirdrassil and turning the Emerald Dream into a burning wasteland.
63,New in 10.2.5!,Azerothian Archives,Dive into the lost lore and legends of the Dragon Isles.,Follower Dungeons,Queue up for Dragonflight dungeons with NPC followers!,Gilneas Reclaimed,Join Genn Greymane and the Gilneans as they retake their homeland.
64,New in Season 4!,Dragonflight Season 4,Earn new rewards.,Updated Dungeon Progression,"Heroic, Mythic, and Mythic+ difficulty and rewards reworked.",Awakened Raids,Conquer all three Dragonflight raids for updated rewards!
68,,Earn Rewards,"Collect Plunder to earn rewards such as mounts, pets, and transmogs!",Get Started,"To play, log out and select Plunderstorm on the character select screen.",Plunderstorm,Pirates clash in a grand battle royale!
69,10.2.7 Mists of Pandaria: Remix,Earn Account Rewards,"Collect Bronze to earn mounts, pets, and appearances!",Get Started,Create a new Timerunner on the character select screen.,Mists of Pandaria: Remix,Experience a wild new twist to the Mists of Pandaria!
70,New in 10.2.7,Draenei and Troll Heritage,Collect distinctive armor sets while exploring their cultures and histories.,Pandaria Remixed,A wild way to level starts next week!,Harbinger of Darkness,"As peace returns to the Dragon Isles, a dark plan is set in motion."
71,New in The War Within Pre-Patch!,Radiant Echoes,Vanquish foes from Azeroth's past as memories resurface. Available July 30th!,The War Within Coming Soon,Launches August 26 (Early Access August 22).,Warbands,"Your characters share access to a Warbands bank, Dragonflight reputations, and more!"
