ID,Description_lang
152,Learn to refine herbs into higher qualities.
153,Increase the effect of Finesse while gathering herbs.
154,Increase your skill while gathering herbs.
192,"Increase your Deftness, Finesse, and Perception while skinning."
193,Craft Lures used to target specific fish.
194,Gather additional rare reagents from skinned creatures.
195,Gather meat for cooking from skinned creatures.
196,"Increase your Deftness, Finesse, and Perception while skinning."
197,"Infuse bait with empowered energy found throughout Khaz Algar, allowing you to gather additional reagents."
198,Create bait to lure creatures that yield rare materials when skinned.
199,Refine lower quality reagents into a higher quality.
200,Increase your skill while skinning.
201,"Learn to Sharpen Your Knife, guaranteeing hides from skinning."
243,Gain additional skill and resourcefulness when crafting armor kits and other consumables.
244,Learn to craft embellishments with various effects.
245,Improve your ability to craft profession equipment.
249,Improve your ability to craft multiple consumables and reagents at the same time.
250,Improve your reagent saving capabilities when your Resourcefulness activates.
251,Increase the effectiveness of Concentration and Ingenuity for all patterns.
252,"Increase your Ingenuity, Resourcefulness, and Skill when crafting leather armor."
253,Customize leather armor you make with Optional and Finishing Reagents.
254,Learn to craft epic Rune-Branded leather armor.
255,"Increase your Ingenuity, Resourcefulness, and Skill when crafting mail armor."
256,Customize mail armor you make with Optional and Finishing Reagents.
257,Learn to craft epic Glyph-Etched mail armor.
279,"Gain Skill, Resourcefulness, and Concentration cost reduction when crafting jewelry."
280,Improve your ability to craft profession accessories.
281,Customize jewelry with Optional Reagents.
282,Learn how to craft powerful Neck and Ring designs.
295,Create Prisms which contain uncut gems.
296,Gain additional skill when cutting gems.
297,Retain Finishing Reagent shards when cutting gems to increase your Skill on future gem cuts.
298,Learn how to use Finishing Reagents to improve your gem cuts.
299,Gain additional skill and resourcefulness when creating reagents.
300,Improve your ability to find gems and reagents when Prospecting.
301,Learn to craft various Optional Reagents such as the Elemental Focusing Lens.
334,Gain Spillover from crafting Flasks and Phials.
335,"Increase your Multicraft, Resourcefulness and Skill when crafting Flasks and Phials."
337,Learn to craft Flask Cauldrons.
338,Craft additional soulbound Flasks per day.
339,"Increase your Skill, Ingenuity, and reduce Concentration costs when crafting recipes with specific herbs."
340,Create reagents from combinations of herbs.
341,Improve the chance to discover new alchemical formulae.
342,Reduce the risks and increase the benefits of experimenting with the herbs of Khaz Algar.
343,"Increase your Multicraft, Resourcefulness and Skill when crafting potions."
344,Learn to craft Potion Cauldrons.
346,Craft additional soulbound conjured potions per day.
347,"Increase your Resourcefulness, Skill, and additional yields from your acts of thaumaturgy and transmutation."
348,Create Coreway Catalysts.
349,Gain bonus transmutagen from performing acts of thaumaturgy and transmutation.
350,Gain additional Skill when crafting armor and shields.
351,Improve your ability to repair equipment with the Master's Hammer.
352,Add Optional and Finishing Reagents when crafting armor and shields to increase their potency.
353,Learn recipies to craft Epic plate armor and shields.
354,Gain additional charges of Everburning Ignition and reduce its cooldown rate.
355,"Enhance the Everburning Ignition to grant even more Ingenuity, Multicraft, and Resourcefulness."
356,Learn craft an Everburning Ignition to set your crafting ability ablaze.
361,Gain additional Skill when crafting weapons.
362,Improve your ability to repair equipment with the Master's Hammer.
363,Add Optional and Finishing Reagents when crafting weapons to increase their potency.
364,Learn recipies to craft Epic weapons.
367,"Improve your ability to craft consumable items, such as weapon stones and frameworks."
368,Add Optional and Finishing Reagents when crafting profession equipment to increase their potency.
369,Gain Favored Fortune when extracting Darkmoon Cards.
370,"Gain stacking crafting speed when crafting Vantus Runes, Contracts, and Missives."
371,Unlock the ability to extract and craft various Darkmoon Cards.
372,Consume less Concentration when crafting weapons and profession equipment.
373,Gain more Resoucefulness and improve its efficiency when crafting weapons and profession equipment.
374,Learn to craft (NYI)T2 Inscription Quill.
375,"Gain significant amounts of Ingenuity, Multicraft, and Resourcefulness."
376,"Learn to craft Treatises, and gain the ability to use an extra Treatise per week."
377,Gain additional skill while milling or crafting reagents.
378,Increase the speed at which you can mill and craft reagents in bulk.
379,Unlock the ability to sometimes extract magical essences when disenchanting Epic items.
380,Increase the quantity of Storm Dust and Gleaming Shards you can receive when disenchanting.
381,Increase the quality of enchanting reagents created through disenchanting.
382,"Master formulas for consumable items, increasing their effectiveness."
383,Learn to create powerful magical wands and enchanting rods.
384,"Improve the quality of your illusions, increasing their duration."
385,Reduce the amount of Concentration needed to Concentrate on a permanent enchant when fully specialized into it.
386,Learn a variety of new formulas to improve gear.
387,Improve the quality of your permanent enchantments.
388,Improve your Multicraft yield for consumable products.
389,Improve the efficiency of your Concentration and Ingenuity.
390,"Learn to shatter magical essences, gaining temporary bonuses that improve the more you specialize."
391,"Improve the speed at which you mine ore, so you have time to mine even more!"
392,Improve your ability to harvest the elusive Null Stones.
393,Learn Refinement recipes which allow you to improve the quality of small quantities of ore.
394,Gain increases to skill to acquire higher quality ore when mining the ores you have chosen to specialize in.
395,Chunks of ore dislodged while mining can be mined for additional yield.
396,"Improve your finesse, deftness, and perception when mining in Khaz Algar."
397,Learn how to mine ore deposits while mounted.
398,Gain an additional charge of Overload.
399,Learn how to protect yourself and improve yield from unusual deposits found across Khaz Algar.
400,Gain significant cooldown reduction to Overload while mining.
401,Imbue Dawnweave and Duskweave threads into powerful set bonus equipment.
402,Craft Duskweave and Dawnweave Bolts more frequently each day.
403,Craft unique Optional Reagents used by all sorts of adventurers.
404,Learn recipes centered on the magical consistency of Dawn's light and Dusk's shadow.
405,Imbue Dawnweave and Duskweave threads into powerful set bonus equipment.
406,Craft Duskweave and Dawnweave Bolts more frequently each day.
407,Craft unique Optional Reagents used by all sorts of adventurers.
408,Learn recipes centered on the magical consistency of Dawn's light and Dusk's shadow.
409,Add Optional and Finishing Reagents to further empower Consecrated Equipment.
410,Gain additional skill when crafting Consecrated Equipment.
411,Ascend your Consecrated Equipment to higher item level 
412,Consecrate Weavercloth into powerful Consecreated Equipment.
413,Add Optional and Finishing Reagents to further empower Consecrated Equipment.
414,Gain additional skill when crafting Consecrated Equipment.
415,Ascend your Consecrated Equipment to higher item level 
416,Consecrate Weavercloth into powerful Consecreated Equipment.
417,Add Optional and Finishing Reagents to further empower Consecrated Equipment.
418,Gain additional skill when crafting Consecrated Equipment.
419,Ascend your Consecrated Equipment to higher item level 
420,Consecrate Weavercloth into powerful Consecreated Equipment.
427,"Learn how to enhance your equipment crafts with Embellishments, Missives, and Cogwheels."
428,Unlock new combat and profession equipment schematics.
429,Gain significant skill bonuses when crafting equipment of all types.
430,Master an undisclosed technique to retain explosives despite their obvious explosions.
431,"Improve your ability to efficiently craft tinkers, explosives, and other devices."
432,Become increasingly confident handling your own devices to reduce their chance of catastrophic outcomes.
433,Become scrappy with your scrap for efficiency gains.
434,Elevate your ability to invent new gadgets and learn from your mistakes.
435,Gain significant improvements to skill towards all Engineering crafts.
440,Improve the quality of the materials you use and perfect your tailoring empire.
441,Become an expert in embroidering quality Finishing Reagents used in various crafts.
442,Perfect your ability to unravel and weave the highest quality cloth.
443,Craft powerful Spellthreads used by all kinds of adventurers.
444,Increase the effectiveness of Multicraft for all recipes.
445,Increase the effectiveness of Resourcefulness for all recipes.
446,Increase the effectiveness of Ingenuity for all recipes.
447,Increase the amount of cloth you find across Khaz Algar.
448,Add Optional and Finishing Reagents to further empower Consecrated Equipment.
449,Gain additional skill when crafting Consecrated Equipment.
450,Ascend your Consecrated Equipment to higher item level 
451,Consecrate Weavercloth into powerful Consecreated Equipment.
452,Embellish your gear with powerful Darkmoon Sigils.
453,"Improve your ability to craft Contracts, Missives, and Vantus Runes."
454,Learn how to transcribe and find Darkmoon Cards across Khaz Algar.
455,Polish the production of equipment and save resources.
456,Craft high quality Staves and Off-hands to be used in combat.
457,Master your quill and perfect other Profession Tools.
458,"Significantly boost your crafting stats including Ingenuity, Resourcefulness, and Multicraft."
459,Extract more knowledge from treatises each week.
460,Become an expert on Algari Treatises used by all professions.
461,Gain additional skill when crafting all Inscription reagents.
462,Learn to rapidly create Inscription reagents when crafting in bulk.
463,Embellish your gear with powerful Darkmoon Sigils.
464,"Improve your ability to craft Contracts, Missives, and Vantus Runes."
465,Learn how to transcribe and find Darkmoon Cards across Khaz Algar.
466,Add Optional and Finishing Reagents to further empower Consecrated Equipment.
467,Gain additional skill when crafting Consecrated Equipment.
468,Ascend your Consecrated Equipment to higher item level 
469,Consecrate Weavercloth into powerful Consecreated Equipment.
470,Embellish your gear with powerful Darkmoon Sigils.
471,"Improve your ability to craft Contracts, Missives, and Vantus Runes."
472,Learn how to transcribe and find Darkmoon Cards across Khaz Algar.
