ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang
115,Nagrand,"Thrall has called for aid in establishing a foothold at Nagrand, home of the dreaded Warsong and Burning Blade clans.",Start Quest,,
116,Nagrand,"Vindicator Yrel has called for aid in establishing a foothold at Nagrand, home of the dreaded Warsong and Burning Blade clans.",Start Quest,,
117,Prepare for Invasion!,The Warchief Vol'jin has come to your garrison to discuss invasion plans of Tanaan Jungle. Do your forces stand ready?,Start Quest,,Speak to Warchief Vol'jin inside your garrison to plan the invasion of Tanaan Jungle.
118,Arathi Basin,Fight Horde players for control of Arathi Basin in this resource-race battleground.,Join the Fight!,,
119,Prepare for Invasion!,King Varian Wrynn has come to your garrison to discuss invasion plans of Tanaan Jungle. Do your forces stand ready?,Start Quest,,Speak to King Varian Wrynn inside your garrison to plan the invasion of Tanaan Jungle.
120,Blackfathom Deeps,This ancient night elf temple has been overrun by the Twilight's Hammer. Defeat them before untold evils below are awoken!,Join Group,,
123,Stormwind Stockade,The prisoners of the Stormwind Stockades are attempting to escape. Stop them!,Join Group,,
124,Gnomeregan,"Delve into the irradiated capital city of Gnomeregan to clean out its infestation of troggs, leper gnomes, and technological terrors.",Join Group,,
125,Scarlet Halls,The fiercest warriors of the Scarlet Crusade are raising an army within the Scarlet Halls. Defeat them before they can unleash their forces.,Join Group,,
126,Scarlet Monastery,"Attack the Scarlet Monastery, stronghold of the Scarlet Crusade, and bring justice to their zealous leaders within.",Join Group,,
127,Maraudon,Travel into the crystal caverns of Maraudon where rumors claim a demonic presence has taken hold.,Join Group,,
128,Razorfen Kraul,"Adventure into the thorned nest of Razorfen Kraul, den and stronghold of the quilboar.",Join Group,,
129,Foulspore Cavern,Adventure into the underground Foulspore Cavern to purge the corruption that grips the roots of Maraudon.,Join Group,,
130,Earth Song Falls,A hero is needed to bring an end to the corruption wrought by Princess Theradras and her minions within the caverns of Maraudon.,Join Group,,
131,Uldaman,"Explore Uldaman, the ruined city of the ancient Titans filled with a host of their failed creations and wondrous treasures.",Join Group,,
132,Warpwood Quarter,Bring an end to the corrupted ancients and inhabitants that infest the eastern wing of ruins at Dire Maul.,Join Group,,
133,Scholomance,"A hero is needed to face the dreaded necromancers and their undead creations at their school of knowledge, Scholomance.",Join Group,,
134,Capital Gardens,The elves' blind pursuit to regain their immortality led to a dark curse. Venture into the ruins of Dire Maul and put an end to it.,Join Group,,
135,Razorfen Downs,Undead sightings in this quilboar stronghold have given rise to the concern that the Scourge may be gaining a foothold in Kalimdor.,Join Group,,
136,Gordok Commons,The brutal Gordok ogres have seized control of the northern wing of the Dire Maul and are exploiting the power within.,Join Group,,
137,Stratholme - Main Gate,The once great human city of Stratholme is now a ruined nest of undeath. Only the bravest of heroes dare cross the front gate.,Join Group,,
138,Zul'Farrak,The once powerful and cruel sandfury trolls of Zul'Farrak appear to be amassing an army of undead. Will you stand against them?,Join Group,,
139,Stratholme - Service Entrance,A side entrance has been revealed into the ruined city of Stratholme.  Use it to launch an attack against the Scourge inside.,Join Group,,
140,The Detention Block,The Dark Iron Dwarves in Blackrock Depths are working with the Twilight's Hammer cultists and must be stopped.,Join Group,,
141,Sunken Temple,Adventure into the Sunken Temple to put an end to the corrupted green dragon wardens there and stop the rogue Atal'ai troll priests.,Join Group,,
142,Blackrock Depths,"Journey deep into the capital of the Dark Iron dwarves to do battle with their evil leader, Emperor Thaurissan.",Join Group,,
143,Lower Blackrock Spire,Battle against the forces of the false horde united under the banner of Warchief Rend Blackhand and his black dragon allies.,Join Group,,
144,Hellfire Ramparts,Assault the nearly impenetrable bastion of the Fel Horde's base of operations in Hellfire Peninsula.,Join Group,,
145,The Blood Furnace,"The Fel Horde is performing dark and disturbing experiments on their own people, forging fierce soldiers of war.",Join Group,,
146,The Slave Pens,Liberate the captives of the sinister Coilfang naga in their Slave Pens in Zangarmarsh.,Join Group,,
147,The Underbog,Adventure into the Underbog facing off against the strange fungal creatures of the deep.,Join Group,,
148,Mana-Tombs,Stop the scavenging ethereals under the banner of Nexus-Prince Shaffar from desecrating the draenei burial chambers within Auchindoun.,Join Group,,
149,Auchenai Crypts,"Explore the ancient Auchenai Crypts, battling the haunted draenei within and giving peace to its mad defenders.",Join Group,,
150,The Escape from Durnholde,Travel back in time to Old Hillsbrad Foothills where vile forces work to assassinate a young Thrall before he can come of age.,Join Group,,
151,Sethekk Halls,Battle the powerful magi of the arakkoa that have seized control of the Sethekk Halls.,Join Group,,
152,The Mechanar,Do battle with the blood elves within the Mechanar before they can unlock the mystical secrets of the naaru held within.,Join Group,,
153,Magisters' Terrace,Kael'thas Sunstrider has revealed his allegiance to the Burning Legion and has retreated to Magisters' Terrace. He must be stopped!,Join Group,,
154,Utgarde Keep,"Once thought to be abandoned, the ancient halls of Utgarde Keep once again thrive with the footsteps of vrykul warriors.",Join Group,,
155,The Nexus,Malygos' forces are redirecting all arcane energies to the Nexus. They must be stopped before magic is removed from our world.,Join Group,,
156,Azjol-Nerub,"Journey into Azjol-Nerub, the once great spider empire that has become a web of undeath loyal to the Lich King.",Join Group,,
157,Ahn'kahet: The Old Kingdom,Travel to the ancient underground city of Ahn'kahet where something terrible has been awoken in the depths of the world.,Join Group,,
158,Drak'Tharon Keep,Assault the walls of Drak'Tharon Keep to do battle with the undead that are seizing control of the keep.,Join Group,,
159,Violet Hold,The Kirin Tor calls for aid as an invasion by the blue dragons threatens to release the most dreaded prisoners held within.,Join Group,,
160,Halls of Stone,Adventure with famed explorer Brann Bronzebeard into the ancient titan foundry of the Halls of Stone.,Join Group,,
161,Gundrak,"The trolls of Gundrak are turning on their own gods, slaying them so that they might gain their power.",Join Group,,
162,Halls of Lightning,Storm Loken's stronghold and face him in his throne room within the Halls of Lightning.,Join Group,,
163,Utgarde Pinnacle,The vrykul King Ymiron has returned and sworn loyalty to the Lich King. Defeat him before his army can reach full strength.,Join Group,,
164,The Oculus,The blue dragonflight at the Oculus is working to channel all magic out of the world into the Twisting Nether and must be stopped.,Join Group,,
165,The Culling of Stratholme,Travel back in time to that fateful day when Prince Arthas rode his army into Stratholme before it could be consumed by the Scourge.,Join Group,,
166,Blackrock Caverns,"Deep within Blackrock Mountain, the Twilight's Hammer works with the forces of Deathwing to craft dangerous monstrosities.",Join Group,,
167,Throne of the Tides,Join forces with the elemental water lord Neptulon as he repels an invasion of the naga and their old god allies.,Join Group,,
168,The Vortex Pinnacle,Journey into the elemental plane of air and do battle with the forces of Skywall and their storm drake allies.,Join Group,,
169,The Stonecore,The Twilight's Hammer cultists and their elemental perversions are fortified within the Stonecore on the elemental plane of earth.,Join Group,,
170,Lost City of the Tol'vir,The tol'vir followers of Neferset have been cured of their curse of flesh and threaten to crush the peace of the lands around them.,Join Group,,
171,Grim Batol,Invaders from the Twilight's Hammer have seized control of the dwarven city of Grim Batol and brought with them an ancient evil.,Join Group,,
172,Stormstout Brewery,Adventure into the famed Stormstout Brewery and help restore order to the chaos that has broken out there.,Join Group,,
173,Temple of the Jade Serpent,Confront the Sha of Doubt as it tries to take hold of the Temple of the Jade Serpent.,Join Group,,
174,Mogu'shan Palace,The three great mogu clans that still hold sway in Pandaria have gathered in strength at the Mogu'shan Palace and must be stopped.,Join Group,,
175,Shado-Pan Monastery,"Confront the Sha of Violence, Anger, and Hatred, as they work to corrupt the ancient order of the Shado-pan to evil purpose.",Join Group,,
176,Bloodmaul Slag Mines,Journey into the dreaded Bloodmaul Slag Mines to liberate the slaves of the ogres within.,Join Group,,
177,Iron Docks,The naval fleet of the Iron Horde is mustering at the Iron Docks in Gorgrond and must be stopped.,Join Group,,
178,Auchindoun,A hero is needed to repel the Shadow Council forces from the ancient draenei crypts at Auchindoun before they can turn the power there to evil.,Join Group,,
179,Skyreach,Assault the Skyreach and the vile arakkoa there who are using the power of the sun against their enemies.,Join Group,,
186,Bonus Event: Skirmishes,Fight other players in Skirmishes for the duration of this Bonus Event!,Start Quest,,
187,Bonus Event: Battlegrounds,Fight other players in Battlegrounds for the duration of this Bonus Event!,Start Quest,,
191,Bonus Event: Pet Battles,Engage in Pet Battles for the duration of this Bonus Event!,Start Quest,,
195,Bonus Event: World Quests,Complete World Quests in Khaz Algar for increased rewards for the duration of this Bonus Event!,Start Quest,Completing this quest will grant you renown with the War Within faction of your choice!,
196,Skirmishes,Battle other players in 2v2 and 3v3 Skirmishes!,Join Skirmishes,,
197,Warsong Gulch,Claim Warsong Gulch for the Alliance in this capture-the-flag battleground.,Join the Fight!,,
198,Kun-Lai Summit,Survivors of the battle in Jade Forest have made their way to Kun-Lai Summit and are in dire need of your aid.,Start Quest,,
199,Brewfest,Brewfest has come under attack by the Dark Iron Dwarves!  Take on their leader inside Black Rock Depths.,Find Group,,
200,Fishing Tournament!,Head to Booty Bay and compete against other players in the Stranglethorn Fishing Tournament!  The contest starts at 2:00 pm.,,,
201,Professions,Professions like Alchemy and Mining allow you to craft and gather useful items.  Talk to a guard in any capital city to find a trainer!,,,
202,Zangarmarsh,Our allies in the Cenarion Expedition require your aid in the swamps of Zangarmarsh.,Start Quest,,
203,Zangarmarsh,Our allies in the Cenarion Expedition require your aid in the swamps of Zangarmarsh.,Start Quest,,
204,Terokkar Forest,Your skills are needed in securing Terokkar Forest from the enemies of the Horde.,Start Quest,,
205,Terokkar Forest,Your skills are needed in securing Terokkar Forest from the enemies of the Alliance.,Start Quest,,
206,Nagrand,The Mag'har of Garadar call for aid. Ride for Nagrand and bring the power of the Horde to their side.,Start Quest,,
207,Nagrand,The King has called for voluteers to negotiate with the Kurenai of Nagrand.,Start Quest,,
208,Secondary Professions,Secondary Professions like Cooking and Fishing are available to all characters.  Talk to a guard in any capital city to find a trainer!,,,
209,Blade's Edge Mountains,"Journey to the Blade's Edge Mountains, stronghold of the ogres and their gronn masters in Outland.",Start Quest,,
210,Blade's Edge Mountains,"Journey to the Blade's Edge Mountains, stronghold of the ogres and their gronn masters in Outland.",Start Quest,,
211,Netherstorm,"Travel to the mana torn landscape of Netherstorm to do battle with demons, minions of Kael'thas, and defiant goblin rockets.",Start Quest,,
212,Netherstorm,"Travel to the mana torn landscape of Netherstorm to do battle with demons, minions of Kael'thas, and defiant goblin rockets.",Start Quest,,
213,Dragonblight,The Alliance is amassing forces in the Dragonblight to stabilize the land and launch an offensive against the Lich King.,Start Quest,,
214,Dragonblight,The Horde is amassing forces in the Dragonblight to stabilize the land and launch an offensive against the Lich King.,Start Quest,,
215,Grizzly Hills,Heroes are needed to aid the Horde in establishing an outpost in the Grizzly Hills.,Start Quest,,
216,Grizzly Hills,Heroes are needed to aid the Alliance in establishing an outpost in the Grizzly Hills.,Start Quest,,
217,Zul'Drak,The Knights of the Ebon Blade and the Argent Crusade need help in battle with the trolls of Zul'Drak and the invading scourge.,Start Quest,,
218,Dalaran,Visit the magical floating city of Dalaran in the skies above Crystalsong Forest.,Start Quest,,
219,Darkmoon Faire,The Darkmoon Faire has arrived!  Look for the portal to Darkmoon Island near Goldshire in Elwynn Forest.,,,
220,Darkmoon Faire,The Darkmoon Faire has arrived!  Look for the portal to Darkmoon Island near Thunder Bluff in Mulgore.,,,
221,Sholazar Basin,Journey into the primal jungles of Sholazar Basin.,Start Quest,,
222,Sholazar Basin,Journey into the primal jungles of Sholazar Basin.,Start Quest,,
223,Storm Peaks,Adventure awaits in the ancient titananic mountains of the Storm Peaks.,Start Quest,,
224,Pandaria,The King of Stormwind is preparing a team for an elite mission and requires your presence.,Start Quest,,
227,Brewfest,The yearly celebration of the fermented fruits of the harvest is happening right now!  Find the beer garden outside Ironforge.,,You can win a variety of fun prizes like pets and seasonal garb!,
228,Brewfest,The yearly celebration of the fermented fruits of the harvest is happening right now!  Find the beer garden outside Orgrimmar.,,You can win a variety of fun prizes like pets and seasonal garb!,
230,Midsummer Fire Festival,"The sacred bonfires of Midsummer are threatened by Ahune, the Frost Lord!  Join other players and take him down.",Find Group,,
232,Mythic Dungeon,Run a Warlords of Draenor dungeon in mythic difficulty to test your skill and receive improved rewards!,Join Group,,
234,Battle Pet Training,Battle Pet Training allows you to capture and level up unique pets!  Speak to Audrey Burnhep in Stormwind to learn this skill.,,,
235,Battle Pet Training,Battle Pet Training allows you to capture and level up unique pets!  Speak to Varzok in Orgrimmar to learn this skill.,,,
236,100 Pets,Collect 100 unique pets to earn Nuts the squirrel!,,,
237,Midsummer,Celebrate this holiday by honoring the sacred bonfires of Midsummer!  Speak to the Master Fire Juggler at a capital to learn more.,,,
238,The Headless Horseman,The Headless Horseman haunts the graveyards of the Scarlet Monastery during Hallow's End! Group up and hunt him down.,Find Group,,
243,Rated Battleground,Battle other players inside a Rated Battleground!,Join the Fight!,,
244,Arenas,Battle other players in 2v2 and 3v3 Arenas!,Join the Fight!,,
245,Hallow's End,Visit any inn during Hallow's End to receive special treats!,,,
247,Harvest Festival,Speak to Wagner Hammerstrike outside Ironforge and find out how you can pay tribute to one of the Alliance's greatest heroes.,,,
248,Harvest Festival,Speak to Javnir Nashak outside Orgrimmar and find out how you can pay tribute to one of the Horde's greatest heroes.,,,
249,Day of the Dead,The barriers between the spirit world and Azeroth are at their weakest!  Visit any capital city's graveyard to join the festivities!,,,
250,WoW Anniversary,The World of Warcraft Anniversary celebration is upon us!  Check your mail for a special gift.,,,
251,Pilgrim's Bounty,Share in the Pilgrim's Bounty outside any capital city!,,,
252,Feast of Winter Veil,The most anticipated winter holiday is here!  You can find Greatfather Winter in Ironforge.,,,
253,Feast of Winter Veil,The most anticipated winter holiday is here!  You can find Great-father Winter in Orgrimmar.,,,
255,Heroic Dungeons,Run Warlords of Draenor Heroic dungeons to test your skill and receive improved rewards!,Join Group,,
261,Bonus Event: Timewalking,Timewalk through Burning Crusade dungeons for the duration of this Bonus Event!,Join Group,,
262,Bonus Event: Timewalking,Timewalk through Wrath of the Lich King dungeons for the duration of this Bonus Event!,Join Group,,
265,Bonus Event: Timewalking,Timewalk through Cataclysm dungeons for the duration of this Bonus Event!,Join Group,,
266,Broken Isles Scouting Map,You can return to the Scouting Map in your Class Hall to choose assault point quests into different zones.,,,
267,Broken Isles Scouting Map,You can return to the Scouting Map in your Class Hall to choose assault point quests into different zones.,,,
268,Broken Isles Scouting Map,You can return to the Scouting Map in your Class Hall to choose assault point quests into different zones.,,,
269,Broken Isles Scouting Map,You can return to the Scouting Map in your Class Hall to choose assault point quests into different zones.,,,
271,Random Dungeon,Run a random Legion dungeon to upgrade your character's gear!,Join Group,,
272,Heroic Dungeon,Run Legion Heroic dungeons to test your skill and receive improved rewards!,Join Group,,
273,Mythic Dungeon,Run a Legion dungeon in Mythic difficulty to test your skill and receive improved rewards!,Find Group,,
274,Mythic Keystones,Use a Mythic Keystone at the entrance to a Mythic Dungeon for even greater challenges and rewards!,Find Group,,
278,Additional Artifacts,Return to your Class Hall and switch to a different specialization to begin the quest for that specialization's artifact.,,,
308,Bonus Event: Timewalking,Timewalk through Mists of Pandaria dungeons for the duration of this Bonus Event!,Join Group,,
310,Raid Finder: Wailing Halls,Descend into the Tomb of Sargeras to do battle with the dark force who leads the very Burning Legion.,Join Raid,,
311,The Broken Shore,Gather the armies of Legionfall and gain a foothold against the Legion on the Broken Shore.,Start Quest,,
312,Raid Finder: The Gates of Hell,"After weeks of hard-fought battle, Azeroth's heroes at last enter the dark Tomb, but the Legion has been preparing as well...",Join Raid,,
314,Tomb of Sargeras,Descend into the Tomb of Sargeras to do battle with the dark force who leads the very Burning Legion.,Find Group,,
316,Raid Finder: Chamber of the Avatar,"Aegwynn sealed away the defeated Avatar of Sargeras deep beneath the Tomb, but that fearsome husk now begins to stir....",Join Raid,,
317,Raid Finder: Deceiver's Fall,"In the depths of the Tomb of Sargeras, Kil'jaeden appears cornered at last. Or are we just playing into the Deceiver's hands?",Join Raid,,
321,Brawl: Arathi Blizzard,Arathi Basin has been snowed in and covered with a thick fog of war.,Start Quest,,
322,Brawl: Warsong Scramble,Warsong Gulch goes crazy with three flags in play at once complete with scattered unique power-ups.,Start Quest,,
323,Brawl: Hotmogu,Kotmogu heats up with movement speed and the ability to pass the Orb to allies.,Start Quest,,
324,Brawl: Gravity Lapse,Gravity getting you down? Step into the Eye of the Storm and be prepared for a whole new en-lighten-ing experience.,Start Quest,,
325,Brawl: Deepwind Dunk,Race to claim balls from the maps center and score points on your enemies' basket.,Start Quest,,
