ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang
149,Shock Force,Elementals,
150,Dreamgrove Wardens,Elementals,
151,Shivarra,Elementals,
152,Earthen Ring Protectors,Elementals,
153,Masters of Serenity,Elementals,
154,Felguard Brutes,Elementals,
155,Hooded Priests,Elementals,
156,Silver Hand Crusaders,Elementals,
157,Ravenholdt Assassins,Elementals,
158,Nightborne Hunters,,
160,Krokul Ridgestalker,,
161,Void-Purged Krokul,,
162,Lightforged Bulwark,,
164,Technician,,
165,Rifleman,,
166,Operative,,
167,Scout,,
168,Sentinel,,
169,Operative,,
170,Infiltrator,,
171,Technician,,
172,Combat Specialist,,
173,Peacekeeper,,
174,Stalker,,
175,Elemental Shaman,Elemental Shaman,
176,Specialist,,
177,Shaman,,
178,Dreadguard,,
179,Sorceress,,
180,Sapper,,
181,Monk,,
182,Arcanist,,
183,Engineer,,
184,Subtlety Rogue,Subtlety Rogue,
185,Survival Hunter,Survival Hunter,
186,Shadow Hunter,,
187,High Thane of Aerie Peak,,
188,Lone Wolf,,
189,Magister,,
190,Covert Ops Technician,,
191,Pilot,,
192,General of the Sentinel Army,,
193,Alliance Division,,
194,Horde Division,,
295,Captain,,
296,Captain,,
297,Mistblade,,
298,Commander,,
299,Mad Duke,,
300,Wandering Fist,,
301,Soulsipper,,
302,Gravedigger,,
303,Darkfist Monk,,
304,Sinstone Hurler,,
305,Mendacious Mender,,
306,Deprived,,
307,Shining Spear,,
308,Stalwart Fist,,
309,Exuberant Physician,,
310,Nightblade,,
311,Soulcaster,,
312,Phalanx,,
313,Halberdier,,
314,Shock Trooper,,
315,Plaguesinger,,
316,Grovetender,,
317,Trapper,,
318,Cheerful Assassin,,
319,Greeter,,
320,Mirror-Maker,,
321,Butler,,
322,Fixer,,
323,Brawler,,
325,Grovetender,,
326,Trapper,,
327,Nightblade,,
328,Soulcaster,,
329,Phalanx,,
330,Halberdier,,
331,Shock Trooper,,
332,Plaguesinger,,
333,Secutor,,
334,Abonimation,,
335,Dynamo,,
336,Knowledgemaster,,
337,Ooze,,
338,Skeleton,,
339,Abomination,,
340,Lich,,
341,Gladiator,,
342,Assembler,,
343,Skeleton,,
344,Shadowblade,,
345,Plague Deviser,,
346,Bonesmith,,
347,Slaughter Daughter,,
348,Reverent Sword,,
349,Giving Hand,,
350,Duitiful Construct,,
351,Larion Master,,
352,Phalynx Master,,
353,Diligent Assistant,,
354,Aspirant,,
355,Disciple,,
356,Mikanikos's Companion,,
357,Hand of Courage,,
358,Dazzler,,
359,Trickster,,
360,Gentle Caretaker,,
361,Chilling Spear,,
362,Shaper of Starlight,,
363,Kin of the Unnoticed,,
364,Protector of Tirna Vaal,,
365,Artisan of Tirna Vaal,,
366,Fangs of Spirit,,
367,Horns of Night,,
368,Eyes of the Forest,,
369,Dawnbranch,,
370,Caretaker,,
371,Hunt-Captain,,
372,Grove Tender,,
373,Ascended,,
374,Aspirant,,
375,Forgelite Prime,,
376,Barbarian,,
377,Master Glazier,,
378,Lich,,
379,Blacksmith,,
380,Boon Companion,,
381,Thrilling Gladiator,,
382,Indestructible,,
383,Weaponsmith,,
384,Quartermaster,,
385,Emissary,,
386,Spore,,
387,Weaver,,
388,Messenger,,
389,Mystic,,
390,Spirit Guide,,
391,Protector,,
392,Wings of Mending,,
393,Farmer,,
394,Artiste,,
395,Aristocrat,,
396,Recuperator,,
397,Masseuse,,
398,Unflappable Servant,,
400,Archaelogist,Survival Hunter,
