ID,Name_lang,Name1_lang
175,%s the Kingslayer,%s the Kingslayer
176,%s of the Ashen Verdict,%s of the Ashen Verdict
177,Wrathful Gladiator %s,Wrathful Gladiator %s
188,"%s, Slayer of Stupid, Incompetent and Disappointing Minions","%s, Slayer of Stupid, Incompetent and Disappointing Minions"
189,Assistant Professor %s,Assistant Professor %s
190,Associate Professor %s,Associate Professor %s
191,Professor %s,Professor %s
193,"%s, Veteran of the Alliance","%s, Veteran of the Alliance"
194,"%s, Veteran of the Horde","%s, Veteran of the Horde"
195,Private %s,Private %s
196,Corporal %s,Corporal %s
197,Sergeant %s,Sergeant %s
198,Master Sergeant %s,Master Sergeant %s
199,Sergeant Major %s,Sergeant Major %s
200,Knight %s,Knight %s
201,Knight-Lieutenant %s,Knight-Lieutenant %s
202,Knight-Captain %s,Knight-Captain %s
203,Knight-Champion %s,Knight-Champion %s
204,Lieutenant Commander %s,Lieutenant Commander %s
205,Commander %s,Commander %s
206,Marshal %s,Marshal %s
207,Field Marshal %s,Field Marshal %s
208,Grand Marshal %s,Grand Marshal %s
209,Scout %s,Scout %s
210,Grunt %s,Grunt %s
211,Sergeant %s,Sergeant %s
212,Senior Sergeant %s,Senior Sergeant %s
213,First Sergeant %s,First Sergeant %s
214,Stone Guard %s,Stone Guard %s
215,Blood Guard %s,Blood Guard %s
216,Legionnaire %s,Legionnaire %s
217,Centurion %s,Centurion %s
218,Champion %s,Champion %s
219,Lieutenant General %s,Lieutenant General %s
220,General %s,General %s
221,Warlord %s,Warlord %s
222,High Warlord %s,High Warlord %s
223,"%s, Hero of the Alliance","%s, Hero of the Alliance"
224,"%s, Hero of the Horde","%s, Hero of the Horde"
225,%s the Bloodthirsty,%s the Bloodthirsty
226,%s of the Four Winds,%s of the Four Winds
227,"%s, Defender of a Shattered World","%s, Defender of a Shattered World"
228,Dragonslayer %s,Dragonslayer %s
229,"%s, Blackwing's Bane","%s, Blackwing's Bane"
258,%s the Camel-Hoarder,%s the Camel-Hoarder
259,Warbringer %s,Warbringer %s
260,Warbound %s,Warbound %s
266,"%s, Blessed Defender of Nordrassil","%s, Blessed Defender of Nordrassil"
267,"%s, Avenger of Hyjal","%s, Avenger of Hyjal"
276,%s the Flamebreaker,%s the Flamebreaker
278,Firelord %s,Firelord %s
279,Vicious Gladiator %s,Vicious Gladiator %s
280,Ruthless Gladiator %s,Ruthless Gladiator %s
281,Cataclysmic Gladiator %s,Cataclysmic Gladiator %s
285,"%s, Savior of Azeroth","%s, Savior of Azeroth"
287,"%s, Destroyer's End","%s, Destroyer's End"
303,Farmer %s,Farmer %s
308,%s the Beloved,%s the Beloved
309,%s the Fearless,%s the Fearless
310,Zookeeper %s,Zookeeper %s
311,%s the Relic Hunter,%s the Relic Hunter
314,%s the Undaunted,%s the Undaunted
315,"%s, Master of the Ways","%s, Master of the Ways"
316,%s the Tranquil Master,%s the Tranquil Master
317,"%s, Delver of the Vaults","%s, Delver of the Vaults"
318,Shado-Master %s,Shado-Master %s
319,%s the Scenaturdist,%s the Scenaturdist
320,Tamer %s,Tamer %s
321,"%s, Seeker of Knowledge","%s, Seeker of Knowledge"
333,Brawler %s,Brawler %s
338,%s the Wakener,%s the Wakener
340,%s Khan,%s Khan
341,%s the Stormbreaker,%s the Stormbreaker
342,"%s, Storm's End","%s, Storm's End"
343,Malevolent Gladiator %s,Malevolent Gladiator %s
344,Gob Squad Recruit %s,Gob Squad Recruit %s
347,Gob Squad Commando %s,Gob Squad Commando %s
348,Trainer %s,Trainer %s
349,Darkspear Revolutionary %s,Darkspear Revolutionary %s
350,Gorgeous %s,Gorgeous %s
351,%s the Hordebreaker,%s the Hordebreaker
354,%s the Poisoned Mind,%s the Poisoned Mind
355,%s the Bloodseeker,%s the Bloodseeker
356,%s the Locust,%s the Locust
357,%s the Swarmkeeper,%s the Swarmkeeper
358,%s the Prime,%s the Prime
359,%s the Manipulator,%s the Manipulator
360,%s the Dissector,%s the Dissector
361,%s the Lucid,%s the Lucid
362,%s the Wind-Reaver,%s the Wind-Reaver
365,%s the Crazy Cat Lady,%s the Crazy Cat Lady
366,"%s, Defender of the Wall","%s, Defender of the Wall"
367,Mogu-Slayer %s,Mogu-Slayer %s
368,Flameweaver %s,Flameweaver %s
369,Scarlet Commander %s,Scarlet Commander %s
370,Darkmaster %s,Darkmaster %s
371,Purified Defender %s,Purified Defender %s
372,Siegebreaker %s,Siegebreaker %s
373,Stormbrewer %s,Stormbrewer %s
374,Jade Protector %s,Jade Protector %s
377,%s the Crazy Cat Man,%s the Crazy Cat Man
378,Grievous Gladiator %s,Grievous Gladiator %s
379,Prideful Gladiator %s,Prideful Gladiator %s
382,"%s, Conqueror of Orgrimmar","%s, Conqueror of Orgrimmar"
383,"%s, Liberator of Orgrimmar","%s, Liberator of Orgrimmar"
384,"%s, Hellscream's Downfall","%s, Hellscream's Downfall"
385,%s the Proven Assailant,%s the Proven Assailant
386,%s the Proven Defender,%s the Proven Defender
387,%s the Proven Healer,%s the Proven Healer
388,Tyrannical Gladiator %s,Tyrannical Gladiator %s
389,Fire-Watcher %s,Fire-Watcher %s
390,Mistwalker %s,Mistwalker %s
391,%s of the Black Harvest,%s of the Black Harvest
392,Lumberjack %s,Lumberjack %s
393,Echochaser %s,Echochaser %s
394,%s the Commandojack,%s the Commandojack
395,Architect %s,Architect %s
397,Blood Champion %s,Blood Champion %s
398,%s the Manslayer,%s the Manslayer
399,Gnomebane %s,Gnomebane %s
400,%s the Dwarfstalker,%s the Dwarfstalker
401,Worgen Hunter %s,Worgen Hunter %s
402,"%s, Scourge of the Kaldorei","%s, Scourge of the Kaldorei"
403,"%s, Draenei Destroyer","%s, Draenei Destroyer"
404,"%s, Terror of the Tushui","%s, Terror of the Tushui"
406,"%s, Warlord of Draenor","%s, Warlord of Draenor"
407,%s the Butcher,%s the Butcher
408,Orcslayer %s,Orcslayer %s
409,%s the Death Stalker,%s the Death Stalker
410,"%s, Killer of Kezan","%s, Killer of Kezan"
411,Troll Hunter %s,Troll Hunter %s
412,"%s, Slayer of Sin'dorei","%s, Slayer of Sin'dorei"
413,"%s, Huojin's Fall","%s, Huojin's Fall"
414,Stable Master %s,Stable Master %s
415,Talon King %s,Talon King %s
416,Talon Queen %s,Talon Queen %s
417,"%s, Tarren Mill Terror","%s, Tarren Mill Terror"
418,"%s, Southshore Slayer","%s, Southshore Slayer"
419,%s of the Frostwolves,%s of the Frostwolves
420,Prelate %s,Prelate %s
421,"""Conservationist"" %s","""Conservationist"" %s"
422,"%s, Spear of Vol'jin","%s, Spear of Vol'jin"
423,"%s, Sword of Wrynn","%s, Sword of Wrynn"
424,Masked Chuckler %s,Masked Chuckler %s
425,Peacekeeper %s,Peacekeeper %s
426,%s of the Iron Vanguard,%s of the Iron Vanguard
428,%s the Indomitable,%s the Indomitable
429,%s the Mine Master,%s the Mine Master
430,Dockmaster %s,Dockmaster %s
431,%s the Soul Preserver,%s the Soul Preserver
432,"%s, Scion of Rukhmar","%s, Scion of Rukhmar"
433,Spiritwalker %s,Spiritwalker %s
434,"%s, Lord of Blackrock","%s, Lord of Blackrock"
435,"%s, Lady of Blackrock","%s, Lady of Blackrock"
436,%s the Violet Guardian,%s the Violet Guardian
437,%s the Grimrail Suplexer,%s the Grimrail Suplexer
438,%s the Savage Hero,%s the Savage Hero
439,%s Ironbane,%s Ironbane
440,"%s, Lord of War","%s, Lord of War"
441,"%s, Lady of War","%s, Lady of War"
442,"%s, Empire's Twilight","%s, Empire's Twilight"
443,Artisan %s,Artisan %s
444,"%s, Legend of Pandaria","%s, Legend of Pandaria"
445,Field Photographer %s,Field Photographer %s
446,Primal Gladiator %s,Primal Gladiator %s
447,"%s, Guardian of the Alliance","%s, Guardian of the Alliance"
448,"%s, Defender of the Alliance","%s, Defender of the Alliance"
449,"%s, Soldier of the Alliance","%s, Soldier of the Alliance"
450,"%s, Guardian of the Horde","%s, Guardian of the Horde"
451,"%s, Defender of the Horde","%s, Defender of the Horde"
452,"%s, Soldier of the Horde","%s, Soldier of the Horde"
453,Wild Gladiator %s,Wild Gladiator %s
454,Warmongering Gladiator %s,Warmongering Gladiator %s
455,Captain %s,Captain %s
456,%s of the Jungle,%s of the Jungle
457,"%s, Defiler's End","%s, Defiler's End"
458,Illidari %s,Illidari %s
462,Highlord %s,Highlord %s
463,Slayer %s,Slayer %s
464,The Honorable %s,The Honorable %s
465,The Prestigious %s,The Prestigious %s
466,The Unrelenting %s,The Unrelenting %s
468,"%s, Bound by Honor","%s, Bound by Honor"
469,"%s, Patron of War","%s, Patron of War"
470,Archdruid %s,Archdruid %s
471,Deathlord %s,Deathlord %s
472,Grandmaster %s,Grandmaster %s
473,Master Assassin %s,Master Assassin %s
474,"%s, Lord of the Reins","%s, Lord of the Reins"
475,"%s, Guardian of G'Hanir","%s, Guardian of G'Hanir"
476,%s the Groundbreaker,%s the Groundbreaker
477,%s the Fabulous,%s the Fabulous
478,Huntmaster %s,Huntmaster %s
479,Farseer %s,Farseer %s
480,Netherlord %s,Netherlord %s
481,Shadowblade %s,Shadowblade %s
482,High Priest %s,High Priest %s
483,Field Medic %s,Field Medic %s
484,%s the Dreamer,%s the Dreamer
485,"%s, Vengeance Incarnate","%s, Vengeance Incarnate"
486,%s the Gullible,%s the Gullible
489,"%s, Talon's Vengeance","%s, Talon's Vengeance"
493,%s the Chosen,%s the Chosen
494,Headmaster %s,Headmistress %s
502,Vindictive Gladiator %s,Vindictive Gladiator %s
503,%s the Unstoppable Force,%s the Unstoppable Force
504,Fearless Gladiator %s,Fearless Gladiator %s
505,Stylist %s,Stylist %s
506,%s the Darkener,%s the Darkener
507,"%s, Adventuring Instructor","%s, Adventuring Instructor"
508,Cruel Gladiator %s,Cruel Gladiator %s
509,Ferocious Gladiator %s,Ferocious Gladiator %s
510,Timelord %s,Timelord %s
511,%s the Tomb Raider,%s the Tomb Raider
512,Fierce Gladiator %s,Fierce Gladiator %s
513,Titanslayer %s,Titanslayer %s
514,%s the Collector,%s the Collector
515,%s the Lightbringer,%s the Lightbringer
516,Demonslayer %s,Demonslayer %s
517,Dominant Gladiator %s,Dominant Gladiator %s
518,%s the Tactician,%s the Tactician
519,Demonic Gladiator %s,Demonic Gladiator %s
520,"%s, No Good, Dirty, Rotten, Candy Stealer!","%s, No Good, Dirty, Rotten, Candy Stealer!"
521,Postmaster %s,Postmaster %s
522,Prospector %s,Prospector %s
524,"%s, Famed Slayer of G'huun","%s, Famed Slayer of G'huun"
625,%s the Horde Slayer,%s the Horde Slayer
626,%s the Alliance Slayer,%s the Alliance Slayer
627,"%s, Conqueror of Azeroth","%s, Conqueror of Azeroth"
628,Inquisitor %s,Inquisitor %s
629,Esteemed %s,Esteemed %s
630,%s the Admired,%s the Admired
631,%s the Purifier,%s the Purifier
632,Expedition Leader %s,Expedition Leader %s
633,Contender %s,Contender %s
634,"%s, Famed Conqueror of Dazar'alor","%s, Famed Conqueror of Dazar'alor"
635,"%s, Famed Defender of Dazar'alor","%s, Famed Defender of Dazar'alor"
636,"%s, Hero of Dazar'alor","%s, Hero of Dazar'alor"
637,%s the Elite Death Knight,%s the Elite Death Knight
638,%s the Elite Demon Hunter,%s the Elite Demon Hunter
639,%s the Elite Druid,%s the Elite Druid
640,%s the Elite Hunter,%s the Elite Hunter
641,%s the Elite Mage,%s the Elite Mage
642,%s the Elite Monk,%s the Elite Monk
643,%s the Elite Paladin,%s the Elite Paladin
644,%s the Elite Priest,%s the Elite Priest
645,%s the Elite Rogue,%s the Elite Rogue
646,%s the Elite Shaman,%s the Elite Shaman
647,%s the Elite Warlock,%s the Elite Warlock
648,%s the Elite Warrior,%s the Elite Warrior
649,%s the T-Shirt Enthusiast,%s the T-Shirt Enthusiast
650,Trashmaster %s,Trashmaster %s
651,"%s, Famed Slayer of the Harbinger","%s, Famed Slayer of the Harbinger"
654,Notorious Gladiator %s,Notorious Gladiator %s
655,Junkyard %s,Junkyard %s
656,%s the Eternal,%s the Eternal
657,%s of the Deeps,%s of the Deeps
658,Sparking %s,Sparking %s
659,"%s, Azeroth's Champion","%s, Azeroth's Champion"
660,Pilgrim %s the Mallet Bearer,Pilgrim %s the Mallet Bearer
661,"%s, Famed Slayer of Azshara","%s, Famed Slayer of Azshara"
662,Renowned Explorer %s,Renowned Explorer %s
664,"%s, Veteran of the Fourth War","%s, Veteran of the Fourth War"
665,Corrupted Gladiator %s,Corrupted Gladiator %s
666,"%s, As Themselves","%s, As Themselves"
667,"%s, Servant of N'Zoth","%s, Servant of N'Zoth"
668,"%s, Minion of Mayhem","%s, Minion of Mayhem"
669,"%s, Famed Slayer of N'Zoth","%s, Famed Slayer of N'Zoth"
670,%s the Uncorrupted,%s the Uncorrupted
671,%s the Awakened,%s the Awakened
672,%s the Faceless One,%s the Faceless One
676,Cryptkeeper %s,Cryptkeeper %s
678,"%s, Hand of the Archon","%s, Hand of the Archon"
679,Baron %s,Baron %s
680,Baroness %s,Baroness %s
681,"%s, Winter's Envoy","%s, Winter's Envoy"
682,Count %s,Count %s
683,Countess %s,Countess %s
684,Deathbringer %s,Deathbringer %s
685,%s the Proud,%s the Proud
686,Sinbreaker %s,Sinbreaker %s
687,%s the Party Herald,%s the Party Herald
688,Sinful Gladiator %s,Sinful Gladiator %s
689,Fun Guy %s,Fun Gal %s
690,%s the Avowed,%s the Avowed
691,Abominable %s,Abominable %s
692,Spirestalker %s,Spirestalker %s
693,%s the Ascended,%s the Ascended
694,"%s, Famed Slayer of Denathrius","%s, Famed Slayer of Denathrius"
698,Unchained Gladiator %s,Unchained Gladiator %s
699,"%s, Protector of the Weald","%s, Protector of the Weald"
700,"%s, Sword of the Primus","%s, Sword of the Primus"
701,Sin Eater %s,Sin Eater %s
702,"%s, Disciple of Devotion","%s, Disciple of Devotion"
703,%s the Tormented,%s the Tormented
704,"%s, Breaker of Chains","%s, Breaker of Chains"
705,"%s, Famed Bane of the Banshee Queen","%s, Famed Bane of the Banshee Queen"
708,Gauntlet Runner %s,Gauntlet Runner %s
709,"%s, Tower Ranger","%s, Tower Ranger"
710,%s the Tormented Hero,%s the Tormented Hero
712,Cosmic Gladiator %s,Cosmic Gladiator %s
713,%s the [PH] TBD Title,%s the [PH] TBD Title
714,"%s, Famed Slayer of The Banished One","%s, Famed Slayer of The Banished One"
715,"%s, Guardian of the Pattern","%s, Guardian of the Pattern"
716,Soloist %s,Soloist %s
717,%s the Cryptic,%s the Cryptic
718,%s the Cryptic Hero,%s the Cryptic Hero
719,Fearless Spectator %s,Fearless Spectator %s
720,%s of Lordaeron,%s of Lordaeron
721,Eternal Gladiator %s,Eternal Gladiator %s
722,"%s, Maw Walker","%s, Maw Walker"
723,Veilstrider %s,Veilstrider %s
724,"%s, Hero of Fate","%s, Hero of Fate"
725,%s the Shrouded,%s the Shrouded
727,%s the Shrouded Hero,%s the Shrouded Hero
728,"%s, Honorary Dryad","%s, Honorary Dryad"
729,Crimson Gladiator %s,Crimson Gladiator %s
730,%s the Worldbreaker,%s the Worldbreaker
731,%s the Thundering Hero,%s the Thundering Hero
732,Soupervisor %s,Soupervisor %s
733,Birdwatcher %s,Birdwatcher %s
734,Khansguard %s,Khansguard %s
735,"%s, Ally of Dragons","%s, Ally of Dragons"
736,Intrepid Explorer %s,Intrepid Explorer %s
737,%s of Iskaara,%s of Iskaara
738,%s the Thundering,%s the Thundering
739,Isles Racer %s,Isles Racer %s
740,Malicious %s,Malicious %s
741,"%s, Knight of Feathersworth","%s, Knight of Feathersworth"
742,%s the Elite Evoker,%s the Elite Evoker
743,Crimson Legend %s,Crimson Legend %s
744,"%s, Paragon of the Obsidian Brood","%s, Paragon of the Obsidian Brood"
745,"%s, Agent of the Black Prince","%s, Agent of the Black Prince"
746,Merchant Artisan %s,Merchant Artisan %s
747,Personal Crafter %s,Personal Crafter %s
748,"%s, Famed Slayer of Raszageth","%s, Famed Slayer of Raszageth"
749,%s the Storm-Eater,%s the Storm-Eater
750,Forbidden Reach Racer %s,Forbidden Reach Racer %s
751,Reverse Racer %s,Reverse Racer %s
752,Legend %s,Legend %s
753,Skyscourge %s,Skyscourge %s
760,Lionguard %s,Lionguard %s
761,%s the Key Master,%s the Key Master
762,%s the Forbidden,%s the Forbidden
763,Kalimdor Racer %s,Kalimdor Racer %s
765,%s the Reconciler,%s the Reconciler
766,Obsidian Gladiator %s,Obsidian Gladiator %s
767,Obsidian Legend %s,Obsidian Legend %s
768,Smelly %s,Smelly %s
769,"%s, Barter Boss","%s, Barter Boss"
770,%s the Smoldering,%s the Smoldering
771,%s the Smoldering Hero,%s the Smoldering Hero
772,"%s, Heir to the Void","%s, Heir to the Void"
773,"%s, Famed Slayer of Sarkareth","%s, Famed Slayer of Sarkareth"
774,"%s, Sniffenseeker","%s, Sniffenseeker"
775,Field Researcher %s,Field Researcher %s
776,Zaralek Cavern Racer %s,Zaralek Cavern Racer %s
777,Whelptender %s,Whelptender %s
778,Ama'shan %s,Ama'shan %s
781,%s Unparalleled,%s Unparalleled
782,%s the Inquisitive,%s the Inquisitive
783,%s of the Infinite,%s of the Infinite
784,Eastern Kingdoms Racer %s,Eastern Kingdoms Racer %s
785,%s of the Tyr's Guard,%s of the Tyr's Guard
786,%s the Dreaming,%s the Dreaming
787,"%s, Honorary Historian","%s, Honorary Historian"
788,Honorary Preservationist %s,Honorary Preservationist %s
789,%s the Storm Rider,%s the Storm Rider
790,Outland Racer %s,Outland Racer %s
791,Dream Racer %s,Dream Racer %s
792,Isles Ace %s,Isles Ace %s
793,Emerald Ace %s,Emerald Ace %s
794,Verdant Legend %s,Verdant Legend %s
795,Verdant Gladiator %s,Verdant Gladiator %s
796,Blossom Bringer %s,Blossom Bringer %s
797,"%s, Famed Slayer of Fyrakk","%s, Famed Slayer of Fyrakk"
798,Battle Mender %s,Battle Mender %s
799,%s the Blazing,%s the Blazing
800,%s the Dreaming Hero,%s the Dreaming Hero
801,"%s, Dream Defender","%s, Dream Defender"
802,The Forbidden %s,The Forbidden %s
803,Draconic Gladiator %s,Draconic Gladiator %s
804,Draconic Legend %s,Draconic Legend %s
805,"%s, Isles Archivist","%s, Isles Archivist"
806,%s the Draconic,%s the Draconic
807,%s the Draconic Hero,%s the Draconic Hero
809,Northrend Racer %s,Northrend Racer %s
810,Plunderlord %s,Plunderlord %s
815,Swabbie %s,Swabbie %s
816,Deck Hand %s,Deck Hand %s
817,Swashbuckler %s,Swashbuckler %s
818,Buccaneer %s,Buccaneer %s
819,First Mate %s,First Mate %s
821,"%s, Champion of the Dragonflights","%s, Champion of the Dragonflights"
822,"%s, the [PH] Hero","%s, the [PH] Hero"
823,Immortal Spelunker %s,Immortal Spelunker %s
824,High Explorer %s,High Explorer %s
825,Timerunner %s,Timerunner %s
826,"%s, Paragon of the Mists","%s, Paragon of the Mists"
827,"%s, Claw of Eternus","%s, Claw of Eternus"
828,Strategist %s,Strategist %s
829,Forged Warlord %s,Forged Warlord %s
830,Forged Marshall %s,Forged Marshall %s
831,Queenslayer %s,Queenslayer %s
832,"%s, Awakened Hero","%s, Awakened Hero"
833,Forged Gladiator %s,Forged Gladiator %s
834,Forged Legend %s,Forged Legend %s
835,%s Ascension Breaker,%s Ascension Breaker
836,"%s, Famed Slayer of Ansurek","%s, Famed Slayer of Ansurek"
837,"%s, Slayer of the Deeps","%s, Slayer of the Deeps"
838,Deephauler %s,Deephauler %s
839,Machine Whisperer %s,Machine Whisperer %s
840,Honorary Councilmember %s,Honorary Councilmember %s
841,Lamplighter %s,Lamplighter %s
842,Thread-Spinner %s,Thread-Spinner %s
843,"%s, Machine-Warden","%s, Machine-Warden"
845,"%s, Seeker of Loot","%s, Seeker of Loot"
