ID,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang
25,Pandaren,,pandaren,,Tushui,,Tushui,,"A spiritual and inquisitive people, the pandaren have a deep love for cooking, brewing, and adventure.",Pandaren,,pandaren,
26,Pandaren,,pandaren,,Huojin,,Huojin,,"A spiritual and inquisitive people, the pandaren have a deep love for cooking, brewing, and adventure.",Pandaren,,pandaren,
27,Nightborne,,nightborne,,Shal'dorei,,shal'dorei,,"Secluded in Suramar for 10,000 years, the nightborne developed unrivaled mastery of the arcane arts.",Elf,,elf,
28,Highmountain Tauren,,tauren,,Tauren,,tauren,,"Honoring the spirits of earth, river, and sky, the Highmountain tauren embody nobility and strength.",Tauren,,tauren,
29,Void Elf,,void elf,,Ren'dorei,,ren'dorei,,"Transformed by forbidden magic, the void elves were cast out by their kin and now fight for the Alliance.",Elf,,elf,
30,Lightforged Draenei,,draenei,,Lightforged,,Lightforged,,The Lightforged draenei were infused with the Holy Light to become living weapons against evil.,Draenei,,draenei,
31,Zandalari Troll,,Zandalari,,Zandalari,,Zandalari,,The Zandalari revere their mystical loa and command one of Azeroth's most formidable fleets.,Troll,,troll,
32,Kul Tiran,,Kul Tiran,,Kul Tiran,,Kul Tiran,,"After years of isolation, the proud Kul Tirans once more lend their naval might to the Alliance.",Human,,human,
33,Human,,human,,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,
34,Dark Iron Dwarf,,dwarf,,Dark Iron,,Dark Iron,,"With fiery tempers and fierce determination, the Dark Iron fight alongside their dwarven kin.",Dwarf,,dwarf,
35,Vulpera,,vulpera,,Vulpera,,vulpera,,"Cunning and resourceful, the vulpera have a knack for thriving in the harshest conditions.",Vulpera,,vulpera,
36,Mag'har Orc,,orc,,Mag'har,,Mag'har,,"Once rival clans, the uncorrupted orcs of Draenor now stand united as the ferocious Mag'har.",Orc,,orc,
37,Mechagnome,,mechagnome,,Mechagnome,,mechagnome,,"The clever mechagnomes strive to balance flesh with technology, making them innovative allies.",Gnome,,gnome,
52,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Infused with the magic of the dragonflights, the dracthyr combine the resourcefulness of mortals with the power of dragons.",Dragonkin,,dragonkin,
70,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Infused with the magic of the dragonflights, the dracthyr combine the resourcefulness of mortals with the power of dragons.",Dragonkin,,dragonkin,
71,Highland Drake,,highland drake,,,,,,,,,,
72,Renewed Proto-Drake,,renewed proto-drake,,,,,,,,,,
73,Winding Slitherdrake,,winding slitherdrake,,,,,,,,,,
74,Cliffside Wylderdrake,,cliffside wylderdrake,,,,,,,,,,
75,Visage,,visage,,Visage,,visage,,A mysterious people with an affinity for manipulating candles.,Visage,,visage,
76,Visage,,visage,,Visage,,visage,,A mysterious people with an affinity for manipulating candles.,Visage,,visage,
77,Windborne Velocidrake,,windborne velocidrake,,,,,,,,,,
80,Grotto Netherwing Drake,,grotto netherwing drake,,,,,,,,,,
82,Algarian Stormrider,,algarian stormrider,,,,,,,,,,
83,Flourishing Whimsydrake,,flourishing whimsydrake,,,,,,,,,,
84,Earthen,,earthen,,Earthen,,earthen,,"Newly freed of the edicts that bound them, the new earthen venture forth with limitless curiosity to explore the world and join the Horde.",Earthen,,earthen,
85,Earthen,,earthen,,Earthen,,earthen,,"Newly freed of the edicts that bound them, the new earthen venture forth with limitless curiosity to explore the world and join the Alliance.",Earthen,,earthen,
86,Haranir,,haranir,,Haranir,,haranir,,,Haranir,,haranir,
87,Delver's Dirigible,,Delver's Dirigible,,,,,,,,,,
