ID,Reaction_lang
1229,Acquaintance
1230,Buddy
1231,Friend
1232,Good Friend
1233,Best Friend
1240,Neutral
1241,Friendly
1242,Honored
1243,Revered
1244,Exalted
1245,Neutral
1246,Friendly
1247,Honored
1248,Revered
1249,Exalted
1250,Neutral
1251,Friendly
1252,Honored
1253,Revered
1254,Exalted
1255,Zero
1256,One
1257,Two
1258,Three
1259,Four
1260,Five
1261,Six
1262,Seven
1263,Eight
1264,Nine
1265,Ten
1266,Eleven
1267,Twelve
1268,Thirteen
1269,Fourteen
1270,Fifteen
1271,Tier 1
1272,Tier 2
1273,Tier 3
1274,Tier 4
1275,Tier 5
1276,Tier 6
1294,Cohort
1295,Ally
1296,Fang
1297,Friend
1298,True Friend
1300,Cohort
1301,Ally
1302,Fang
1303,Friend
1304,True Friend
1305,Neutral
1306,Preferred
1307,Respected
1308,Valued
1309,Esteemed
1316,Low
1317,Medium
1318,High
1319,Maximum
1322,Empty
1325,Acquaintance
1328,Acquaintance
1344,Aspirational
1345,Amateur
1346,Competent
1347,Skilled
1348,Professional
1359,Anomaly
1360,Future Friend
1361,Rift-Mender
1362,Timewalker
1363,Legend
1364,Level 1
1392,Stranger
1393,Acquaintance
1394,Crony
1395,Accomplice
1396,Collaborator
1397,Stranger
1398,Acquaintance
1399,Crony
1400,Accomplice
1401,Collaborator
1402,Stranger
1403,Acquaintance
1404,Crony
1405,Accomplice
1406,Collaborator
1407,Graduate
1408,Assistant
1409,Contract
1410,Resident
1411,Tenured
1794,Level 2
1795,Level 3
1796,Level 4
1797,Level 5
1798,Level 6
1801,Level 7
1802,Level 8
1803,Level 9
1804,Level 10
1805,Level 11
1806,Level 12
1807,Level 13
1808,Level 14
1809,Level 15
1810,Level 16
1811,Level 17
1812,Level 18
1813,Level 19
1814,Level 20
1815,Level 21
1816,Level 22
1817,Level 23
1818,Level 24
1819,Level 25
1820,Level 26
1821,Level 27
1822,Level 28
1823,Level 29
1824,Level 30
1825,Level 31
1826,Level 32
1827,Level 33
1828,Level 34
1829,Level 35
1830,Level 36
1831,Level 37
1832,Level 38
1833,Level 39
1834,Level 40
1835,Level 41
1836,Level 42
1837,Level 43
1838,Level 44
1839,Level 45
1840,Level 46
1841,Level 47
1842,Level 48
1843,Level 49
1844,Level 50
1845,Accessory
1846,Abettor
1847,Conspirator
1848,Mastermind
1849,Accessory
1850,Abettor
1851,Conspirator
1852,Mastermind
1853,Accessory
1854,Abettor
1855,Conspirator
1856,Mastermind
1857,Level 51
1858,Level 52
1859,Level 53
1860,Level 54
1861,Level 55
1862,Level 56
1863,Level 57
1864,Level 58
1865,Level 59
1866,Level 60
