ID,Name_lang,SourceText_lang,Description_lang
21,Gray Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves."
22,Black Ram,|cFFFFD200Legacy|r,"I've not seen this breed in in ages, but when they're ram tough they stick around. -Veron Amberstill"
24,White Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves."
25,Brown Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves."
26,Striped Frostsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"This hearty mount's ferocious appetite earned it the nickname ""Dragon Belly"" in the night elf language."
27,Emerald Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Bred from the fiercest stock anywhere and guaranteed not to bite (much).
28,Skeletal Horse,|cFFFFD200Legacy|r,"Like most undead creatures, it did not choose its fate."
31,Spotted Frostsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,"This hearty mount's ferocious appetite earned it the nickname ""Dragon Belly"" in the night elf language."
32,Tiger,|cFFFFD200Legacy|r,
34,Striped Nightsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Considered one of Azeroth's perfect predators, these agile beasts can sprint through dense forests without making a sound."
35,Ivory Raptor,|cFFFFD200Legacy|r,Bred from the fiercest stock anywhere and guaranteed not to bite (much).
36,Turquoise Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Bred from the fiercest stock anywhere and guaranteed not to bite (much).
38,Violet Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Bred from the fiercest stock anywhere and guaranteed not to bite (much).
39,Red Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle"
40,Blue Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle"
41,Warhorse,|cFFFFD200Paladin|r|n,Trained to stand firm in righteous combat.
42,White Mechanostrider Mod B,|cFFFFD200Legacy|r,"Forced to recall the model after numerous complaints of an ""uncontrollable throttle"", Gnomish engineers now refer to a proto-type blunder as a ""model B""."
43,Green Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle"
45,Black Nightsaber,|cFFFFD200Legacy|r,"Considered one of Azeroth's perfect predators, these agile beasts can sprint through dense forests without making a sound."
46,Ancient Frostsaber,|cFFFFD200Legacy|r,The lack of spots or stripes marks this beast as a descendant of the most ancient frostsaber line.
50,Red Wolf,|cFFFFD200Legacy|r,Almost none remain in the whole of Azeroth; only the most experienced will have seen one.
51,Arctic Wolf,|cFFFFD200Legacy|r,"Once thought to be nearly extinct, this wolf can still occasionally be seen in the company of a few Horde veterans"
52,Palomino,|cFFFFD200Legacy|r,Human nobles have long favored this majestic breed for its beautiful golden coat and flowing white mane.
53,White Stallion,|cFFFFD200Legacy|r,The powerful and unyielding white stallion features heavily in the myths of ancient human tribes.
54,Mottled Red Raptor,|cFFFFD200Legacy|r,Bred from the fiercest stock anywhere and guaranteed not to bite (much).
55,Winterspring Frostsaber,|cFFFFD200Quest: |rThey Grow Up So Fast|n|cFFFFD200Zone: |rWinterspring,"Taming this savage breed requires patience, strength, and a large supply of fake mice and twine."
56,Ivory Raptor,|cFFFFD200Legacy|r,Bred from the fiercest stock anywhere and guaranteed not to bite (much).
57,Green Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle"
58,Unpainted Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle"
62,Icy Blue Mechanostrider Mod A,|cFFFFD200Legacy|r,"This historic piece of gnomish engineering was forced into retirement due to its extremely ""touchy"" gyroscometer."
63,Frost Ram,|cFFFFD200Legacy|r,"I've not seen this breed in in ages, but when they're ram tough they stick around."""" -Veron Amberstill"""
64,Black Ram,|cFFFFD200Legacy|r,"I've not seen this breed in in ages, but when they're ram tough they stick around. -Veron Amberstill"
65,Red Skeletal Horse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Forsaken believe that without a purpose, even beasts of burden suffer in undeath."
66,Blue Skeletal Horse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Forsaken believe that without a purpose, even beasts of burden suffer in undeath."
67,Brown Skeletal Horse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Forsaken believe that without a purpose, even beasts of burden suffer in undeath."
68,Green Skeletal Warhorse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"When fallen heroes are raised into undeath, so too are their horses."
69,Rivendare's Deathcharger,|cFFFFD200Drop:|r Lord Aurius Rivendare|n|cFFFFD200Location:|r Stratholme,"When Baron Rivendare became a champion of the Scourge, he condemned his favorite horse to join him in undeath."
70,Riding Kodo,|cFFFFD200Legacy|r,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof"
71,Gray Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof"
72,Brown Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof"
73,Green Kodo,|cFFFFD200Legacy|r,"An alpha member of the herd, this kodo is a prime example of the mighty creatures which thunder through Desolace."
74,Teal Kodo,|cFFFFD200Legacy|r,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof"
75,Black War Steed,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,Trained to withstand brutal hand-to-hand combat in the fiercest battlefields.
76,Black War Kodo,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,"Bred for their aggressive, unpredictable demeanor by the Kor'kron stablemasters, the Black War Kodos' trumpeting call signifies that blood will soon be shed."
77,Black Battlestrider,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,A properly accelerated gnome in battle is a thing of terrible beauty. - High Tinker Mekkatorque
78,Black War Ram,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,The dwarves value their ram companions for their fearlessness charging into battle.
79,Black War Raptor,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,Bred from the same vicious line of raptors which sired Ohgan and brought victory to the Gurubashi Empire.
80,Red Skeletal Warhorse,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,"When fallen heroes are raised into undeath, so too are their horses."
81,Black War Tiger,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,"Like their distant nightsaber cousins, tigers are renowned for their razor-sharp claws, incredible agility, and love of being scratched behind the ears."
82,Black War Wolf,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h,Prized by Orgrimmar guards for their keen sense of smell.
83,Dreadsteed,|cFFFFD200Class: |rWarlock,WARNING: It craves only fel energy. Not apples. It hates the seeds.
84,Charger,|cFFFFD200Paladin|r,Redeemed by the Light. Devoted to your cause.
85,Swift Mistsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Some historians claim that this breed's misty grey coat is the result of ancient Highborne experiments conducted on nightsabers.
87,Swift Frostsaber,|cFFFFD200Vendor:|r Lelanai|n|cFFFFD200Location:|r Darnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Night elves raise frostsaber cubs from infancy, forging lifelong bonds of trust between rider and beast."
88,Swift Yellow Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"We have made a lot of improvements, but they are still based on the Mekkatorque designs. -Milli Featherwhistle"
89,Swift White Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"We have made a lot of improvements, but they are still based on the Mekkatorque designs. -Milli Featherwhistle"
90,Swift Green Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"We have made a lot of improvements, but they are still based on the Mekkatorque designs. -Milli Featherwhistle"
91,Swift Palomino,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Prized by horse breeders for their discipline and steadfastness.
92,Swift White Steed,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A veteran of some of the toughest battles fought by the Argent Crusade.
93,Swift Brown Steed,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A veteran of some of the toughest battles fought by the Argent Crusade.
94,Swift Brown Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The Barak Tor'ol ram's thick bony skull and massive horns make it the ideal mount for charging through groups of armored enemies.
95,Swift Gray Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The Barak Tor'ol ram's thick bony skull and massive horns make it the ideal mount for charging through groups of armored enemies.
96,Swift White Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,The Barak Tor'ol ram's thick bony skull and massive horns make it the ideal mount for charging through groups of armored enemies.
97,Swift Blue Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Longtime allies of the trolls, these jungle hunters form a special bond with their masters. They become steed, guardian, and friend."
98,Swift Olive Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Longtime allies of the trolls, these jungle hunters form a special bond with their masters. They become mount, guardian, and friend."
99,Swift Orange Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Longtime allies of the trolls, these jungle hunters form a special bond with their masters. They become mount, guardian, and friend."
100,Purple Skeletal Warhorse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"When fallen heroes are raised into undeath, so too are their horses."
101,Great White Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A rare albino of the species first spotted in Desolace.  The centaur claim that a white kodo is a harbinger of doom.
102,Great Gray Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"An alpha member of the herd, this kodo is a prime example of the mighty creatures which thunder through Desolace."
103,Great Brown Kodo,|cFFFFD200Vendor:|r Harb Clawhoof|n|cFFFFD200Location:|r Mulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"An alpha member of the herd, this kodo is a prime example of the mighty creatures which thunder through the Northern Barrens."
104,Swift Brown Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The wolves of the Horde are befriended, not domesticated."
105,Swift Timber Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The wolves of the Horde are befriended, not domesticated."
106,Swift Gray Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The wolves of the Horde are befriended, not domesticated."
107,Swift Stormsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Rumor has it that this breed was named after the renowned archdruid Malfurion Stormrage.
108,Frostwolf Howler,|cFFFFD200Vendor: |rJorek Ironside|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t|n|n,Raised in the Alterac Mountains by the Frostwolf Clan.
109,Stormpike Battle Charger,|cFFFFD200Vendor: |rThanthaldis Snowgleam|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t,The Stormpike clan's mount trainers have a tradition of etching their names onto the left horn of every battle ram they raise.
110,Swift Razzashi Raptor,|cFFFFD200Drop: |rBloodlord Mandokir|n|cFFFFD200Location: |rZul'Gurub,The only known Razzashi Raptors were said to have been in the custody of Bloodlord Mandokir in Zul'Gurub.  This species of raptor has not been seen in many years.
111,Swift Zulian Tiger,|cFFFFD200Legacy|r,"The last known Zulian tigers were kept by High Priest Thekal, deep within Zul'Gurub.  They are said to have been hunted into extinction."
116,Black Qiraji Battle Tank,|cFFFFD200Legacy|r,"Although many varieties of Qiraji Battle Tank can still be found in the ruins of Ahn'Qiraj today, the darkest of the species were only seen on the day the Scarab gong was rung."
117,Blue Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.
118,Red Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.
119,Yellow Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.
120,Green Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.
121,Black Qiraji Battle Tank,|cFFFFD200Legacy|r,"Although many varieties of Qiraji Battle Tank can still be found in the ruins of Ahn'Qiraj today, the darkest of the species were only seen on the day the Scarab gong was rung."
122,Black Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,"Although many varieties of Qiraji Battle Tank can still be found in the ruins of Ahn'Qiraj today, the darkest of the species were only seen on the day the Scarab gong was rung."
123,Nether Drake,"|cFFFFD200Vendor: |rDrake Dealer Hurlunk|n|cFFFFD200Zone: |rShadowmoon Valley, Outland|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",The moods of these tempestuous mounts are known to shift as unpredictably and as violently as their physical forms.
125,Riding Turtle,|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay,Slow and steady might not always win you the race but it'll get you there... eventually.
129,Golden Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"They love lions in Stormwind, and the gryphon is half lion. Of course they might not like which half. -Gryphon Master Talonaxe"
130,Ebon Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"They love lions in Stormwind, and the gryphon is half lion. Of course they might not like which half. -Gryphon Master Talonaxe"
131,Snowy Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"They love lions in Stormwind, and the gryphon is half lion. Of course they might not like which half. -Gryphon Master Talonaxe"
132,Swift Blue Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Horde had dragons, we had the gryphons. We won that war. - Ilsa Blusterbrew"
133,Tawny Wind Rider,|cFFFFD200Vendor: |rDrakma|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"After being freed from vicious harpies by Cairne and Thrall, many of these creatures became valuable companions of the Horde."
134,Blue Wind Rider,|cFFFFD200Vendor: |rDrakma|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"After being freed from vicious harpies by Cairne and Thrall, many of these creatures became valuable companions of the Horde."
135,Green Wind Rider,|cFFFFD200Vendor: |rDrakma|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"After being freed from vicious harpies by Cairne and Thrall, many of these creatures became valuable companions of the Horde."
136,Swift Red Wind Rider,|cFFFFD200Vendor: |rDrakma|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,I still don't get why they fly faster when you put armor on them. -Drakma
137,Swift Red Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Horde had dragons, we had the gryphons. We won that war. - Ilsa Blusterbrew"
138,Swift Green Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Horde had dragons, we had the gryphons. We won that war. - Ilsa Blusterbrew"
139,Swift Purple Gryphon,|cFFFFD200Vendor: |rTannec Stonebeak|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Horde had dragons, we had the gryphons. We won that war. - Ilsa Blusterbrew"
140,Swift Green Wind Rider,|cFFFFD200Vendor: |rDrakma|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,I still don't get why they fly faster when you put armor on them. -Drakma
141,Swift Yellow Wind Rider,|cFFFFD200Vendor: |rDrakma|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,I still don't get why they fly faster when you put armor on them. -Drakma
