ID,Text_lang
458,|cffffd100Tip:|r Thinking about trying out a new class? Try making a Class Trial character to see if you like it!
459,"|cffffd100Tip:|r The Barber Shops located in many cities allow you to fully recustomize your character's appearance, free of charge!"
460,|cffffd100Tip:|r Recruiting a friend to World of Warcraft can provide rewards for both of you.
461,"|cffffd100Tip:|r Heroic Dungeons require a minimum Item Level before you can enter them through the Dungeon Finder, but you can bypass that requirement with a full group of friends."
462,"|cffffd100Tip:|r Many quest rewards have a chance to upgrade in quality when earned, increasing their power greatly!"
464,"|cffffd100Tip:|r You can use the Calendar to see upcoming holidays or plan activities with your guild, Communities, or friends."
465,|cffffd100Tip:|r You can click on the Clock beneath the minimap to set an alarm or display a stopwatch.
466,"|cffffd100Tip:|r If you find yourself alone, riding in green fields with the sun on your face, do not be troubled--for you are in Azeroth!"
467,"|cffffd100Tip:|r If you're looking for something different to do, try to complete some of the more unusual Achievements."
468,"|cffffd100Tip:|r You can link quests, items, and achievements to chat messages by starting a chat line then <Shift>-clicking the item."
469,|cffffd100Tip:|r You can track progress on achievements or active quests by Shift-clicking them.
470,"|cffffd100Tip:|r You can track many things, such as low-level quests or vendors, by clicking on the magnifying glass near your mini map."
471,"|cffffd100Tip:|r A Sanctuary is an area in which Player vs. Player combat is prohibited, generally home to powerful neutral forces."
472,|cffffd100Tip:|r Most factions have a Quartermaster who will offer a variety of items to players with a high enough reputation.
473,|cffffd100Tip:|r The Calendar can tell you when raids reset. You can use the Raid Info pane to extend a raid if you want your progress to carry over across resets.
475,"|cffffd100Tip:|r If you are having difficulty with a group of creatures in a dungeon, try using a ""crowd control"" ability, such as Polymorph or Sap, to take an enemy out of the fight. Divide and conquer!"
476,|cffffd100Tip:|r Targets in your minimap have an up or down arrow to indicate that they're above or below you.
479,|cffffd100Tip:|r You can use the Equipment Manager feature to quickly swap sets of gear that you find yourself using often.
483,|cffffd100Tip:|r Pressing <Alt> while your cursor is over an item slot on your character will show a list of items that can be equipped in that slot.
489,"|cffffd100Tip:|r If an enemy cast bar is gray or has a shield icon around it, that means you cannot interrupt the spell with your abilities."
490,|cffffd100Tip:|r Your guild can schedule Guild Events using the in-game calendar. You choose to sign up for these events rather than waiting for an invitation.
491,"|cffffd100Tip:|r When the autocomplete feature suggests character names, you can use Tab or <Shift> Tab to select a name from the list."
500,|cffffd100Tip:|r Always verify that you are accessing an official Blizzard website whenever submitting account information.
501,|cffffd100Tip:|r Official emails from Blizzard will always come from a blizzard.com address.
504,|cffffd100Tip:|r Using the Blizzard Mobile Authenticator will help protect your World of Warcraft account from theft.
505,"|cffffd100Tip:|r To avoid account theft, do not login to World of Warcraft on a computer that is shared with the general public. These machines can be infected with malicious software."
506,|cffffd100Tip:|r Be wary of unofficial sites advertising paid World of Warcraft services. These may contain malicious software that can lead to account theft.
508,|cffffd100Tip:|r Quest locations and questgivers can be seen on your map.
509,|cffffd100Tip:|r You can earn rewards for running random dungeons using the Dungeon Finder tool. You can go with a group of friends or use Dungeon Finder to find a dungeon group.
538,|cffffd100Tip:|r You can turn your character by holding the Right Mouse Button and moving the mouse. You can look around by holding the Left Mouse Button and moving the mouse.
543,|cffffd100Tip:|r Don't stand in the fire!
578,|cffffd100Tip:|r The War Games feature allows your group leader to challenge another group to an Arena or Battleground skirmish of their choice. War Games can be started from the Player vs. Player screen.
589,|cffffd100Tip:|r You can use Raid Finder to join a 25-player raid for some of the most epic experiences World of Warcraft has to offer.
596,|cffffd100Tip:|r There are many achievements earnable by your Warband. All your characters can make progress towards these achievements.
597,|cffffd100Tip:|r Visit a Pet Battle Trainer if you want to collect and battle companion pets.
601,"|cffffd100Tip:|r Companion pets are shared across your Warband. If one of your characters has a pet, all your characters can use it."
602,"|cffffd100Tip:|r You can drag ability icons from the spellbook, Specialization page, or Talent page down onto your action bars."
603,"|cffffd100Tip:|r You make a new character to try out a different class, race, or faction. Many players call these characters ""alts."""
604,|cffffd100Tip:|r The Tank role focuses on controlling enemy creatures during group play. Tanks sacrifice high damage for high survivability.
605,|cffffd100Tip:|r The Healer role focuses on keeping themselves and other members of the group alive.
606,"|cffffd100Tip:|r The Damage role (sometimes called ""DPS"") focuses on defeating the enemy. Damage dealers are supported by Tanks and Healers."
612,|cffffd100Tip:|r Stuck on a quest? Can't find that one NPC? Looking for stats on an item? The WoW forums and other fansites are great resources for all things WoW!
620,|cffffd100Tip:|r You can choose to receive loot for a different class specialization by right-clicking on the character frame and choosing Loot Specialization.
624,"|cffffd100Tip:|r Normal and Heroic Raids scale in difficulty and rewards to suit groups containing anywhere from 10 to 30 players, so no one has to be left out!"
626,|cffffd100Tip:|r Look for the Toy Box inside your Collections menu. All your cosmetic items and toys are automatically stored there once collected.
630,|cffffd100Tip:|r Using Dungeon Finder with a group of friends grants you additional bonus gold.
631,|cffffd100Tip:|r Item attributes that are grayed out do not contribute to your character's power.
632,"|cffffd100Tip:|r The Premade Groups tool allows you to create and find groups for dungeons, raids, quests, organized PvP, or any other group activity!"
643,"|cffffd100Tip:|r Struggling with a tough foe? Remember, just keep your Health above 0 while lowering your enemy's Health to 0. Works every time!"
746,|cffffd100Tip:|r Looking to put the War in Warcraft? Activate War Mode in your faction's capital city and venture out into the world with Player vs. Player combat enabled to earn bonus experience and quest rewards!
749,"|cffffd100Tip:|r Communities offer chat channels, voice support, and event calendars to help you find new groupmates or keep in touch with friends on any server."
754,"|cffffd100Tip:|r While joining a covenant is a weighty choice, it is not a permanent one. You can change your covenant in Oribos freely once you have reached maximum Renown with a single covenant."
755,|cffffd100Tip:|r New to WoW? Players with a green pennant icon overhead are Guides who can help you get settled in Azeroth!
757,|cffffd100Tip:|r Low-level characters can seek out Chromie in their faction capital in order to revisit the worlds and storylines of past expansions.
758,"|cffffd100Tip:|r When in a group, you can enable Party Sync to join friends on any quests or lower-level content, even if you have previously completed them."
760,|cffffd100Tip:|r Quests associated with a Campaign have a more ornate icon and are sorted to the top of the quest log. Completing these quests will advance the main story and unlock new game systems.
761,"|cffffd100Tip:|r The mysterious Runecarver within Torghast can imbue powerful items crafted through player professions, transforming them into Legendary equipment!"
762,|cffffd100Tip:|r Some skills and spells have reduced effectiveness when used in Player vs. Player (PvP) combat.
763,"|cffffd100Tip:|r When viewing the Map, <Ctrl>-click to set a waypoint for easy navigation, and you can <Shift>-click the waypoint to share its location with others."
764,|cffffd100Tip:|r Clicking on the number next to a specific quest in your Objective Tracker enables a navigational assistance marker to guide you towards that objective.
765,"|cffffd100Tip:|r The Accessibility section of the Options menu offers tools to mitigate the effects of color blindness, motion sickness, visual impairment, and much more!"
766,|cffffd100Tip:|r Players with the Tailoring profession can craft much larger bags than those offered by vendors. These bags can usually be found for sale on the Auction House.
767,"|cffffd100Tip:|r The Guild & Community Finder (default keybind ""J"") can help you locate groups of friendly players who share your interests and goals in WoW."
768,"|cffffd100Tip:|r The Adventure Guide (default keybind ""SHIFT-J"") recommends appropriate content for your level, as well as any ongoing limited-time events."
772,"|cffffd100Tip:|r Each time you gain a level, you earn either a Class or a Specialization talent point which can be spent to customize and improve your combat prowess."
773,|cffffd100Tip:|r Take control of your WoW experience by pressing <ESC> and selecting Edit Mode to move or resize many elements of the User Interface.
775,"|cffffd100Tip:|r Achievement points are shared with your entire Warband, even for achievements earned on a specific character."
776,"|cffffd100Tip:|r You can craft using reagents stored in the Warband Bank, allowing you to easily cooperate on professions across your characters."
777,"|cffffd100Tip:|r Your Warband is composed of all the characters on your account. They share many things, including Collections, Flight Points, and even progress with some Reputations."
778,"|cffffd100Tip:|r Anything labeled as ""Warband"" can be shared with all the characters on your account."
779,"|cffffd100Tip:|r Currencies labeled ""Warband Transferable"" can be transferred from your other characters. Select the currency in the Currency menu to start."
780,"|cffffd100Tip:|r Loot an item your character can't use? If it's Warbound, give it to another of your characters or try out a new class that can!"
781,"|cffffd100Tip:|r Have a Binds when equipped item you can't equip, but want to collect the appearance? Try right clicking or dragging it to your character menu."
782,"|cffffd100Tip:|r You can collect appearances for your Warband collection from most equipment, even if your character can't equip it."
783,"|cffffd100Tip:|r Most quests you have already completed on your Warband will be hidden on the map and faded elsewhere. If you want to disable this behavior, you can do so in the tracking or map filter menus."
