ID,Name_lang,Location_lang,Description_lang
137,Weed Whacker,Shadowmoon Valley,Don't be fooled. They're only adorable until they swarm you and gnaw your face off.
138,A Bit Nippy,Frostfire Ridge,Lately the plains have been even more bitterly cold than usual. Find out what's causing this weather before it starts costing lives.
139,Frosty and Delicious,Frostfire Ridge,"Elementals are plentiful in Frostfire Ridge. Goren love eating them, and whatever the goren eat, they inherit its powers. Not good."
140,Lord of War,Frostfire Ridge,"The Bloodmaul ogres have begun raiding Horde outposts, costing us soldiers and supplies. We believe a new warlord is to blame."
141,Ancient Anguish,Shadowmoon Valley,"It's time to chop down a few ancient trees. Only the ones that are demonically corrupted, mind you. The rest, you can hug if you like."
142,No Dwarf Left Behind,Shadowmoon Valley,Shadowmoon forces have abducted a Wildhammer shaman near the Cursed Woods. Rescue our foolhardy ally and bring the orcs to justice.
143,The Howling Void,Shadowmoon Valley,"We have reports of the Shadowmoon prowling Gloomshade Grove, shrouding the land in foul magic. Disrupt their dark rituals at any cost."
144,Silence the Thunder,Frostfire Ridge,Thunderlord hunting parties have been sighted to the north. Set an ambush in the cliffs and show them what the real Horde is made of!
145,The Shadow Beneath Us,Frostfire Ridge,The Shadow Council has wormed its way into a network of caves west of the garrison. We cannot allow it to gain a foothold in the region!
146,Rylak Attrition,Frostfire Ridge,Killing full-grown rylaks has not diminished their numbers in the least. Scour their nesting grounds and end this menace at the source.
147,Ancient Affliction,Gorgrond,"A strange disease is spreading among Gorgrond's ancients, driving them mad. Destroy them before the infection escalates."
148,Breaking the Blackrock,Gorgrond,Scouts have recovered a map of Blackrock supply caches hidden across Gorgrond. Destroying them would strike a grave blow to our enemy.
149,Ravenous Genesaur,Gorgrond,The Gorgrond genesaur have overhunted in their territory and are raiding nearby draenei camps for food. Attack them and lure them away.
150,Little Biters,Gorgrond,A group of goren has settled in a valuable quarry nearby. We need to get them out if we plan to use the quarry in the future.
151,Nuisance Gronnling,Gorgrond,Gronnlings continue to interrupt our efforts to expand into Gorgrond. We need to thin their numbers if we wish to gain a foothold.
152,Safer Up Close,Gorgrond,Iron Horde siege weapons are deadly at a distance but vulnerable up close. Targeting their armaments with a small force may prove wise.
153,Shivan Sightings,Talador,Shivan have been sighted on the outskirts of Talador. They may be the first wave of a Burning Legion incursion. Investigation is warranted.
154,Stalactite Appetite,Talador,A cavern beneath an inhabited section of Talador has become unstable due to the appetite of the goren inside. We must protect those above.
155,Leading the Flock,Talador,A charismatic high arakkoa priest is inciting his congregation to raid nearby settlements in the name of Terokk. We must defend our allies.
156,A Call to Action,Talador,"Absolute power corrupts, and that's absolutely the reason we must neutralize this powerful warlock. Terminate with extreme prejudice."
157,Bully-Free Zone,Talador,"From Azeroth to Draenor, bullies and their cronies remain the same. Please show our new ""friends"" how we deal with their kind on Azeroth."
158,There Can Be Only One,Talador,"The ogron are said to be violence incarnate, but I've heard your allies are called the same. Let's find out who lives up to their hype."
159,Hurts So Good,Spires of Arak,"Shattered Hand orcs embrace pain, for they say it strengthens them. Make them very strong. Then very dead."
160,Crush the Pale,Spires of Arak,"The Pale are twisted, cowardly wretches, but even scavengers can be deadly in sufficient numbers. Still, that's easily solved, isn't it?"
161,Bug Squashing,Spires of Arak,Ravagers reproduce quickly and eat anything. Like crickets. They're also homicidal and roughly the size of horses. Not like crickets.
162,Ryled Up,Spires of Arak,"Our livestock have gone missing. Tracks point to the rylaks. Deal with the threat, but don't take them lightly."
163,Blow by Blow,Spires of Arak,"A vicious wind serpent appears to be acting on orders from an unseen master, wearing down our defenses. Seek out and end this threat."
164,Underhanded,Spires of Arak,Our informants in the Shattered Hand have turned out to be double agents. Set up a covert meeting and eliminate them.
165,Surge Protection,Nagrand,Energy-siphoning water spirits are giving our spellcasters fits. Time to bring in reinforcements.
166,Spell Check,Nagrand,The cause of our recent communal lethargy has been traced to Highmaul sorcerers. Find them and put an end to their sinister arcane rites.
167,Warsong Swan Song,Nagrand,Warsong shaman have enacted a spell to open an abyss beneath our feet! Kill all of them before the sands in the hourglass run out!
168,Ogre-Kill,Nagrand,"High ogre warriors are in battle array, screaming that they're going to ""destroy the interlopers."" Do you think they're talking about us?"
169,Burning Desire,Nagrand,Burning Blade orcs are attacking treasure hunters at Oshu'gun and looting their crystals. Could they be preparing for some dark ritual?
170,Gronn with the Wind,Nagrand,Our scouts have vanished without a trace! They were last seen entering gronn lands. Find out what happened to them.
171,Restless Spirits,Shadowmoon Valley,"Shadowmoon Valley is haunted by orc spirits that lash out in confusion and rage. Until they are put to rest, no one is safe."
172,The Observer Effect,Frostfire Ridge,The Thunderlord orcs are growing bold: their scouts follow Horde parties with little stealth or fear. Such arrogance deserves a response.
173,Podling Patrol,Shadowmoon Valley,Wayward podlings have stolen a crate of our giant growth elixirs. Recover the potions before the creatures consume them and run amok.
174,Blackrock Intelligence,Frostfire Ridge,Blackrock messengers have been spotted crisscrossing the region. Any missives they are carrying could prove invaluable to our cause.
175,Break Their Chains,Gorgrond,Ogre slavers are carrying off our allies to fight in their arenas. Pose as a would-be gladiator and free the unwilling combatants.
176,Ogron's Out of the Bag,Gorgrond,We know the ogron are going to attack soon because they told us. No one ever said they were smart. Stop them before they do any real harm.
177,All That Glitters,Talador,"Redistributing wealth from the departed isn't stealing. Trouble is, there's a mighty arakkoan sorcerer who doesn't know it. Do let him know."
178,Shreddercide,Talador,"The Iron Horde's shredders are laying waste to Talador's forests. Bastards. If someone's doing that, it should be our forces."
179,Worth Its Weight,Spires of Arak,The arakkoa have begun stealing and hoarding gold. Time to steal it back.
180,Curiosity Killed Them,Spires of Arak,Saberon have begun attacking with wild abandon. They believe they have nine lives. Prove them wrong.
181,Medical Necessity,Nagrand,"Our soldiers in the field need medical supplies, but Warsong orcs are patrolling the road. Escort the caravan so it makes its destination."
182,Raider Danger,Nagrand,"Warsong orcs have razed our camp to the north, and the lone survivor says they're headed this way. We must repel the invaders!"
183,Hazardous Herbivores,Shadowmoon Valley,Hippos are taking over the Verdant Mire. They're violently territorial and extremely tough. They're also blocking key resources.
184,Cleave the Clefthoof,Frostfire Ridge,"In this harsh environment, sturdy transportation is essential. Cripple the Iron Horde by taking out its greatest beasts of burden."
185,Toxic Bloom,Shadowmoon Valley,A noxious mist is pervading Blademoon Bloom. Find and neutralize the source so that our forces can pass safely through the region.
186,The Pale Dilemma,Frostfire Ridge,The pale have stolen a shipment of Iron Horde weaponry. Recover the armaments - by force if necessary - before our enemy does.
187,Many-Headed Menace,Gorgrond,"Habitat changes in Gorgrond have forced hydras to encroach on draenei settlements. It is a pity, but we must kill these desperate beasts."
188,Great Migration,Gorgrond,"Every year, great herds of clefthoof migrate through Gorgrond, causing tremors and dust storms. We must divert them from our camp."
189,The Needs of the Many,Talador,Elementals are chaotic by nature and are best avoided. This elemental has something we need: resources. Make it an offer it cannot refuse.
190,Uproot the Problem,Talador,"Our garrison requires resources, so it's harvest time. Kindly remind this savage plant and its minions why we're atop the food chain."
191,Knotty by Nature,Spires of Arak,"An ancient has begun attacking everyone and everything in its path. On a related note, we're currently low on firewood."
192,Nevermore,Spires of Arak,We think the recent dread raven attacks are connected to the arakkoa. We'll investigate them. You hunt down and kill their minions.
193,Mercy Killing,Nagrand,"War has ravaged the region's plant life, and the clefthoof don't have enough to eat. We should thin out their numbers before they starve."
194,Out of His Element,Nagrand,"Enraged, Stonegar has begun attacking shaman near the Throne of the Elements. We must send forces to aid."
195,The Best-Laid Plans...,Shadowmoon Valley,Our former courier got spooked and dropped an important package from Karabor in a thicket of botani and ancients.  Retrieve the package!
196,Free Labor,Frostfire Ridge,Bladespire ogres have captured a band of laborers from the garrison. Infiltrate their fortress and free the workers.
197,Dumb and Dumber,Gorgrond,"Several gronn and ogron came here to attack us, but the dumb beasts are just fighting each other. Let's kill them all and end this farce."
198,Guinea Pigs,Gorgrond,Blackrock orcs are testing out their war machines on the region's unsuspecting fauna. This aggression will not stand!
199,The Plot Thickens,Talador,"Demons have been skulking about the Court of Souls, and it's not because they enjoy the scenery. Find out what they're plotting."
200,Demonic Retribution,Talador,Agents of the Burning Legion are hunting down refugee draenei from Shattrath. Gather the refugees and take them to safety.
201,Bad Day at Work,Spires of Arak,"Several laborers have gone missing, and we fear that the arakkoa plan to burn them alive in sacrifice. We must save them!"
202,Shattered Expectations,Spires of Arak,We have intel that a unit of Shattered Hand orcs is en route to assist the Iron Horde in Talador. Too bad they'll never make it.
203,Scared of the Dark,Nagrand,"To the south lies Shadowfall Canyon, where wretched creatures are subjucating spirits of Fire, Earth, and Wind. Hopefully, no worse."
204,Spell Trouble,Nagrand,"High ogres are enslaving gronn with pernicious magic, almost doubling the size of their army. We must put an end to the spellcasting."
205,Lessons of History,Shadowmoon Valley,"Shadowmoon orcs are summoning void beasts through hastily opened portals that could tear Draenor apart, once again. Stop them!"
206,Drunk with Power,Frostfire Ridge,"Gronn attacked an alchemist's wagon, and now they're hopped up on strength elixirs.  Let's get 'em before they find the invisibility potions."
207,Environmental Hazard,Gorgrond,The genesaur and their botani minions are attacking caravans on the road to Talador. We'll make them rue the day they were sprouted!
208,Elements of Surprise,Gorgrond,Our scouts spotted a group of ogre slavers gathering in Gorgrond. We cannot allow them a chance to fortify their position. Attack!
209,Lending a Hand,Talador,"Shattered Hand raiders do not simply kill, they take trophies from their victims. We know their next target. Stop them."
210,Flock Together,Talador,Arakkoa flocks are looting abandoned draenei homesteads. They're also killing any who try to stop them. That makes them our problem now.
211,Peace unto You,Spires of Arak,"The distressed spirits of fallen Azeroth soldiers have begun to rise. Quickly, let us end their torment."
212,Cat Scratch Fever,Spires of Arak,Some sadistic saberon think the chaos on Draenor means they can butcher innocents without fear of punishment. Disabuse them of that notion.
213,Fired Up,Nagrand,Some important Burning Blade orcs wish to discuss battle strategy with Iron Horde leaders. It would be a shame if they never arrived.
214,A Way Out,Nagrand,A group of defectors wishes to escape the Iron Horde! Let's clear the way for them.
215,Where The Rock Flayers Went,Rock Flayer Island,Modern anthropologists had hoped Draenor would reveal the origin of the rock flayer.  They were disappointed.
217,Umbrafen Treasures,Shadowmoon Valley,Scouts have heard rumors of valuables within a mysterious cave in the Umbrafen.
218,Precious Riches,Frostfire Ridge,Rumors grow of a Pale orc that thrives on ambushing the unsuspecting for anything that shines.  He might be found in a cave to the southwest.
219,Borrok's Fools,Frostfire Ridge,The Grimfrost ogres regularly rob Frostwolf orcs and offer them as sacrifices to Brorrok the Devourer.  Let's relieve them of their stolen goods.
220,The Hypnocroak,Shadowmoon Valley,Legends speak of a cave above the Nightmarsh replete with valuable trade resources - along with an amphibious abomination residing in it.
221,Aerial Rodents of Unusual Size,Frostfire Ridge,"The frostwing screechers of the Southwind Cliffs are overpopulated.  If ignored, this will eventually disrupt mining operations."
222,Warpstalker Predators,Shadowmoon Valley,We'll need to regularly fend off warpstalkers in the Shimmering Mor to ensure a steady supply of fey dragons for transport purposes.
223,Dessicus Maximus,Gorgrond,The elementals of Gorgrond are regularly whipped into a frenzy by Dessicus of the Dead Pools.  Let's see what we can do about that.
224,Primal Savages,Gorgrond,The saberon continue to be a menace to our outpost in Gorgrond.  Let's show them why this world isn't named Sabronia.
228,Artillery Suppression,Frostfire Ridge,Iron Horde artillery units have positioned themselves on the ridge above the Shivering Trench.  This is a clear and present danger!
229,Podlings of Unusual Size,Shadowmoon Valley,"Some say the podlings of Gloomshade Grove bow to the mad king of the east.  Find him, and end his reign of podling terror."
230,The Kaliri Nuisance,Talador,"A reduced kaliri population would be greatly appreciated by virtually every hero moving about the skies, for all time."
231,Hapless Heroes,Talador,Scouting reports indicate some substandard adventurers are trapped in Deathweb Hollow.  I suppose we should lend a hand.
232,Raiders of the Lost Shard,Spires of Arak,The arakkoa have enslaved more outcasts and have resumed their excavation efforts.  Another setback for them is in order.
240,Orcs in the Mountains!,Orc Mountain,Kill the orcs in the mountains.
241,Orcs in the Mountains!,Orc Mountain,Kill the orcs in the mountains.
242,Honey I Got Your Money,Spires of Arak,"Don't you worry.  Just make like a bear, get in, get the honey, and get out."
243,The Upper Hand,Spires of Arak,The Shattered Hand clan is positioned on the Shattered Rise and likely to strike again.  Handle it!
244,Gorging Ogres,Nagrand,The Highmaul ogres have an excavation underway at Stonecrag Gorge.  Get in there and extract information about their relics!
245,Lug'dol's Thugs,Nagrand,Lug'dol and his nascent brawler thugs are using our supply escorts for combat practice.  You know we can't allow this to continue.
247,Pier Pressure,Iron Docks,"The Iron Horde have built a harbor in Gorgrond that they call the Iron Docks. Show our enemy how fragile their vaunted ""iron"" truly is."
248,A Bird in the Hand,Skyreach,A little bird informed me that the arakkoa of Skyreach have been preying on our forward scouts. Make sure they regret that decision.
249,Return to Sender,Upper Blackrock Spire,Orcs from an alternate universe invaded our Blackrock Mountain. How ironic. Let's educate them on what happened to the previous residents.
250,No Rest for the Noble,Auchindoun,Using a mausoleum as a staging ground is a completely new level of disrespect. Let's allow the departed to rest with smiles on their faces.
251,Miner Difficulties,Bloodmaul Slag Mines,"The Bloodmaul use slave labor to fuel their efforts. If we liberate the miners, we'll disrupt their operations. Textbook win-win situation."
252,Off the Rails,Grimrail Depot,"Two words: Orcish engineering.  Even odds their rail system will take care of itself, but let's stack the odds in our favor."
253,Ziggy Sawdust X3-9,The Everbloom,The Ziggy Sawdust X3-9 is the latest in clear-cutting technology. Unleash the adorable robot on the Everbloom and enjoy the show.
254,Two Feet in the Grave,Shadowmoon Burial Grounds,How convenient of Ner'zhul and his lackeys to flee into their clan's burial grounds. It will make choosing their graves much quicker.
255,All Aboard the Fail Boat,Iron Docks,Our enemies boast that their massive ship at the Iron Docks cannot be sunk. This crate of shiny new seaforium charges begs to differ.
256,Shiny!,Skyreach,The dread ravens are gathering scraps from below Skyreach. They are building more of those constructs or nests. They must be stopped.
257,Egg Them On!,Upper Blackrock Spire,The druids fear that the proto-drake populations are plummeting. Rescue their eggs from Warlord Zaela's army in Upper Blackrock Spire.
258,Auchindoom!,Auchindoun,"Scouts report that strange figures are lurking near Auchindoun, disturbing the mausoleums. We must destroy anything with even a hint of fel."
259,Fire and Fury,Bloodmaul Slag Mines,"Rescuing slaves in the Bloodmaul Slag Mines is our priority, but to do this, we must thin the number of fire furies there."
260,Sparks and Steel,Grimrail Depot,"Goblin engineers are designing weapons for Blackrock and Thunderlord orcs. Well, we have weapons too. Go to Grimrail Depot and use them."
261,Savage Patch,The Everbloom,"Some magi stopped to smell the roses in the Everbloom. Oops. If we hurry, we should be able to save some of them."
262,Under Ner'zhul's Nose,Shadowmoon Burial Grounds,Some of the Shadowmoon clan's treasures are poorly guarded. We'll take what we can and destroy the rest!
263,Listen All Y'all,Iron Docks,"They won't stand it. They'll know we planned it. The Iron Horde will think we're a mirage, but it's just sabotage."
264,Clawing Skyward,Skyreach,"Atop Skyreach, the high arakkoa are building mechanical constructs as weapons of war. Stop them, but beware their dread raven guards."
265,Iron Horde's Blackrock,Upper Blackrock Spire,"To siege the Iron Horde held Blackrock Spire, we must rid it of dragonkin and proto-dragons. Their mysterious keeper must also perish."
266,No Rest for Auchindoun,Auchindoun,The Shadow Council is raising warriors interred at Auchindoun to create draenei constructs. Stop them before they defile the place further.
267,Waylay the Warlord,Bloodmaul Slag Mines,"The Bloodmaul have discovered a powerful artifact, and their warlord is overseeing the excavation. Ambush the warlord and take the artifact."
268,Who's the Boss?,Grimrail Depot,"The Grimrail Depot owes its efficiency to goblin and orc overseers. Kill them, and you'll kill its ability to ship arms to distant camps."
269,Griefing with the Enemy,The Everbloom,"We dispatched a mage to deal with a hostile pack of genesaur, but now he's on their side. He must be infected. Time to send in the cavalry."
270,Frosticleave,Frostfire Ridge,Testing mission complete and all that.
271,Rescue on the Bloody Cliffs,Frostfire Ridge,The bloodmaul ogres of the Stonefury Cliffs are infamous as brutal slavemasters.  Show no quarter and free their slaves.
272,Ruinous Portents,Gorgrond,"If our troops are to become battle hardened, there would be no better test than the immense magnaron, Drov the Ruiner."
273,Rise to Power,Shadowmoon Valley,"The Sargerei have taken control of Socrethar's Rise and are establishing countless demonic portals, we can't let this continue."
274,An Eye for Terror,Talador,We need to shut down the legion gateways in operation within Shattrath.  Strike out at their vigilant watchful eyes.
275,Harboring Ill Will,Nagrand,The Iron Horde is running critical supply missions from the beach of Ironfist Harbor.  Three of our best should disrupt their operations.
276,Bladefist Hold,Spires of Arak,The Shattered Hand clan has established the ironically named Bladefist Hold.  Let's make a mockery of it.
277,Mother Araneae,Gorgrond,With great risk comes great reward.  Plumb the dangers of Darksting Cave in southern Gorgrond and see what you can find.
278,Steamscar Plunder,Gorgrond,The Steamscar of Gorgrond are notorious looters.  Let's repossess the valuables for great justice.
279,The Tomb of Lights,Talador,Shadow Council pillagers continue to ravage the Auchenai catacombs of the Tomb of Lights.
280,Reagents of Mass Destruction,Talador,"As it happens, the reagents used by the Shadow Council fetch a handy sum on the black market.  We're certain there's a stockpile in Gul'rok."
281,Profiting From Profiteers,Spires of Arak,The goblins of Pinchwhistle *are* the noxious local environment.  I see no reason we shouldn't relieve them of some valuables.
282,Flint's Hide,Nagrand,Get it!
283,The Wolfmother's Pelts,Nagrand,The wolfmother Gar'lua raises the most ferocious of Warsong wolves.  Their pelts would dent the Warsong war effort and fetch a tidy sum.
284,Ug'lok the Incompetent,Frostfire Ridge,"Even an ogre as incompetent as Ug'lok the Frozen can amass a fortune via slave labor, but be prepared to counter his magic should it happen to work."
285,The One True Brambleking,Shadowmoon Valley,Rumor has it that Brambleking Fili's staff points the way to a hidden cache.  Myth?
286,Lost in the Foundry,Gorgrond,The Iron Horde excavations taking place in The Pit occasionally turn up rare diamonds.  Retrieve one and we'll make use of it.
287,Blackrock Munitions,Gorgrond,"Not only does the ammunition of the Iron Horde carry value on the black market, but lifting some means less for the Earthbreaker cannon."
288,The Golden Halls of Skyreach,Skyreach,You and I both know the arakkoa are loaded.  Feels like we could make a fortune just chipping away at the walls.
289,Profitable Machinations,Shadowmoon Valley,A joint operation between the Venture Co. and Iron Horde is taking place on Darktide Roost.  Profit must be some sort of motive.
290,Seas the Day,Iron Docks,The Iron Docks have resumed operations despite our previous incursions. Let us show them how base their iron is against our mettle.
291,Murder Most Fowl,Skyreach,The denizens of Skyreach have stymied the war effort in arakkoan territory. Time to implement our new strategy: Operation Open Season.
292,Eviction,Upper Blackrock Spire,"The Iron Horde and its lackeys have ""energetically"" refused to vacate our own Blackrock Mountain. Go collect back rent from their corpses."
293,A Grave Mistake,Auchindoun,"The Sargerei and their allies continue their desecration of Auchindoun. I recommend executing our ""no traitor left behind alive"" policy."
294,Labor Dispute,Bloodmaul Slag Mines,"Ogres are bringing in slaves to shore up defenses in the mines. Free the slaves, and the area will be vulnerable to attack."
295,Logistics Are For Professionals,Grimrail Depot,The Blackrocks need an uninterrupted supply of metal to fuel production of their war machines. Let's make life difficult for them.
296,Rustle in the Bushes,The Everbloom,"The natives are restless. Again. The Kirin Tor have asked us to help them with some ""gardening."""
297,To Rest Again,Shadowmoon Burial Grounds,Our shaman have prepared a ritual to return souls summoned by the Shadowmoon to rest. Go and perform this ritual at the burial grounds.
298,Running Aground,Iron Docks,"The Iron Horde's flagship is at the Iron Docks. It's intimidating, but if it's steered into a shoal, it'll founder like any other boat."
299,Is It a Bird? A Zeppelin?,Skyreach,"Apexis devices are sun powered, but what if the sun is blocked? Zeppelins will work, and the goblins might help. Go, but pack airsick bags."
300,"Lava, Lava Everywhere",Upper Blackrock Spire,"A fortress in a volcano is both ingenious and foolhardy. Impenetrable, yes, but a shaman can cause an eruption that will decimate it."
301,Clearing the Caches,Auchindoun,Soulbinder Nyami has hidden caches of reagents for the Sargerei's summoning rituals all across Auchindoun. Find the caches and destroy them.
302,Shafted Miners,Bloodmaul Slag Mines,"A mineshaft has collapsed, and those Bloodmaul dogs have left the enslaved miners down there to die. We must dig them out!"
303,Got a Light?,Grimrail Depot,A train full of artillery and explosives is about to leave the depot. Detonating one bomb should be enough to destroy the entire payload.
304,Spored to Death,The Everbloom,The river we've been using as our water source has been tainted by those nasty spores! Find a new source before people get thirsty.
305,Ghost Wranglers,Shadowmoon Burial Grounds,The spirits of the burial grounds are restless. Seek their knowledge and their power to end Ner'zhul's scheming once and for all.
306,Rollin' like a Kraken,Iron Docks,"With some diving gear and a little luck, a seaborne attack could be our best chance of infiltrating the heavily fortified Iron Docks."
307,Operation Skybreach,Skyreach,"The arakkoa view us ""ground dwellers"" as nothing more than beasts. Let us see what they think after we lay waste to their lofty spires."
308,We Have a Mole,Upper Blackrock Spire,"Getting into Blackrock Spire will not be easy, but we have a secret weapon: mole machines. The Black Irons will never know what hit them."
309,The Lost World,Auchindoun,A portal in Auchindoun links Draenor to the demon world of Argus. Cut off the Legion's reinforcements: destroy every trace of the portal.
310,Sixteen Tons,Bloodmaul Slag Mines,Slaves in the Slag Mines are ripe for revolt. Aid them. Then ask if they've dug up any powerful relics lately. Try to be subtle.
311,Can't Go Home This Way,Grimrail Depot,"Trains symbolize inevitability, but you've never put much stock in fate. That's good: you've got a huge infrastructure to shatter."
312,Magical Mystery Tour,The Everbloom,"The Kirin Tor who were sent to Gorgrond have gone silent. Turned or slain? Find out what's going on, and get them back on task if you can."
313,Highmaul Raid,Highmaul,The time for a critical assault on Highmaul is at hand.  To victory!
314,Highmaul Raid,Highmaul,The time for a critical assault on Highmaul is at hand.  To victory!
315,Highmaul Raid,Highmaul,The time for a critical assault on Highmaul is at hand.  To victory!
