ID,Display_lang
2073,Dwarven Hatchet
2074,Solid Shortblade
2075,Heavy Mace
2077,Magician Staff
2078,Northern Shortsword
2079,Sergeant's Warhammer
2080,Hillborne Axe
2084,Darksteel Bastard Sword
2087,Hard Crawler Carapace
2088,Long Crawler Limb
2089,Scrimshaw Dagger
2092,Worn Dagger
2098,Double-Barreled Shotgun
2099,Dwarven Hand Cannon
2100,Precisely Calibrated Boomstick
2105,Thug Shirt
2108,Frostmane Leather Vest
2109,Frostmane Chain Vest
2110,Light Magesmith Robe
2112,Lumberjack Jerkin
2114,Snowy Robe
2117,Thin Cloth Shoes
2119,Thin Cloth Gloves
2120,Thin Cloth Pants
2121,Thin Cloth Armor
2122,Cracked Leather Belt
2123,Cracked Leather Boots
2124,Cracked Leather Bracers
2125,Cracked Leather Gloves
2126,Cracked Leather Pants
2127,Cracked Leather Vest
2129,Large Round Shield
2130,Club
2131,Shortsword
2132,Short Staff
2134,Hand Axe
2137,Whittling Knife
2138,Sharpened Letter Opener
2139,Dirk
2140,Carving Knife
2141,Cuirboulli Vest
2142,Cuirboulli Belt
2143,Cuirboulli Boots
2144,Cuirboulli Bracers
2145,Cuirboulli Gloves
2146,Cuirboulli Pants
2148,Polished Scale Belt
2149,Polished Scale Boots
2150,Polished Scale Bracers
2151,Polished Scale Gloves
2152,Polished Scale Leggings
2153,Polished Scale Vest
2156,Padded Boots
2158,Padded Gloves
2159,Padded Pants
2160,Padded Armor
2163,Shadowblade
2164,Gut Ripper
2165,Old Blanchy's Blanket
2166,Foreman's Leggings
2167,Foreman's Gloves
2168,Corpse Rompers
2169,Buzzer Blade
2172,Rustic Belt
2173,Old Leather Belt
2175,Shadowhide Battle Axe
2186,Outfitter Gloves
2194,Diamond Hammer
2195,Anvilmar Knife
2203,Brashclaw's Chopper
2204,Brashclaw's Skewer
2205,Duskbringer
2207,Jambiya
2208,Poniard
2209,Kris
2210,Battered Buckler
2211,Bent Large Shield
2212,Cracked Buckler
2213,Worn Large Shield
2214,Wooden Buckler
2215,Wooden Shield
2216,Simple Buckler
2217,Rectangular Shield
2218,Craftsman's Dagger
2219,Small Round Shield
2220,Box Shield
2221,Targe Shield
2222,Tower Shield
2224,Militia Dagger
2225,Sharp Kitchen Knife
2226,Ogremage Staff
2227,Heavy Ogre War Axe
2230,Gloves of Brawn
2231,Inferno Robe
2232,Dark Runner Boots
2233,Shadow Weaver Leggings
2234,Nightwalker Armor
2235,Brackclaw
2236,Blackfang
2237,Patched Pants
2238,Urchin's Pants
2240,Rugged Cape
2241,Desperado Cape
2243,Hand of Edward the Odd
2244,Krol Blade
2245,Helm of Narv
2249,Militia Buckler
2254,Icepane Warhammer
2256,Skeletal Club
2257,Frostmane Staff
2258,Frostmane Shortsword
2259,Frostmane Club
2260,Frostmane Hand Axe
2263,Phytoblade
2264,Mantle of Thieves
2265,Stonesplinter Axe
2266,Stonesplinter Dagger
2267,Stonesplinter Mace
2268,Stonesplinter Blade
2271,Staff of the Blessed Seer
2273,Guerrilla Armor
2274,Sapper's Gloves
2276,Swampwalker Boots
2277,Necromancer Leggings
2278,Forest Tracker Epaulets
2280,Kam's Walking Stick
2281,Rodentia Flint Axe
2282,Rodentia Shortsword
2283,Rat Cloth Belt
2284,Rat Cloth Cloak
2291,Kang the Decapitator
2292,Necrology Robes
2299,Burning War Axe
2300,Embossed Leather Vest
2302,Handstitched Leather Boots
2303,Handstitched Leather Pants
2307,Fine Leather Boots
2308,Fine Leather Cloak
2309,Embossed Leather Boots
2310,Embossed Leather Cloak
2311,White Leather Jerkin
2312,Fine Leather Gloves
2314,Toughened Leather Armor
2315,Dark Leather Boots
2316,Dark Leather Cloak
2317,Dark Leather Tunic
2326,Ivy-Weave Bracers
2327,Sturdy Leather Bracers
2361,Battleworn Hammer
2362,Worn Wooden Shield
2364,Woven Vest
2366,Woven Pants
2367,Woven Boots
2369,Woven Gloves
2370,Battered Leather Harness
2371,Battered Leather Belt
2372,Battered Leather Pants
2373,Battered Leather Boots
2374,Battered Leather Bracers
2375,Battered Leather Gloves
2376,Worn Heater Shield
2379,Tarnished Chain Vest
2380,Tarnished Chain Belt
2381,Tarnished Chain Leggings
2383,Tarnished Chain Boots
2384,Tarnished Chain Bracers
2385,Tarnished Chain Gloves
2386,Rusted Chain Vest
2387,Rusted Chain Belt
2388,Rusted Chain Leggings
2389,Rusted Chain Boots
2390,Rusted Chain Bracers
2391,Rusted Chain Gloves
2392,Light Mail Armor
2393,Light Mail Belt
2394,Light Mail Leggings
2395,Light Mail Boots
2396,Light Mail Bracers
2397,Light Mail Gloves
2398,Light Chain Armor
2399,Light Chain Belt
2400,Light Chain Leggings
2401,Light Chain Boots
2402,Light Chain Bracers
2403,Light Chain Gloves
2417,Augmented Chain Vest
2418,Augmented Chain Leggings
2419,Augmented Chain Belt
2420,Augmented Chain Boots
2421,Augmented Chain Bracers
2422,Augmented Chain Gloves
2423,Brigandine Vest
2424,Brigandine Belt
2425,Brigandine Leggings
2426,Brigandine Boots
2427,Brigandine Bracers
2428,Brigandine Gloves
2429,Russet Vest
2431,Russet Pants
2432,Russet Boots
2434,Russet Gloves
2435,Embroidered Armor
2437,Embroidered Pants
2438,Embroidered Boots
2440,Embroidered Gloves
2445,Large Metal Shield
2446,Kite Shield
2448,Heavy Pavise
2451,Crested Heater Shield
2463,Studded Doublet
2464,Studded Belt
2465,Studded Pants
2467,Studded Boots
2468,Studded Bracers
2469,Studded Gloves
2470,Reinforced Leather Vest
2471,Reinforced Leather Belt
2472,Reinforced Leather Pants
2473,Reinforced Leather Boots
2474,Reinforced Leather Bracers
2475,Reinforced Leather Gloves
2479,Broad Axe
2480,Large Club
2488,Gladius
2489,Two-Handed Sword
2490,Tomahawk
2491,Large Axe
2492,Cudgel
2493,Wooden Mallet
2494,Stiletto
2495,Walking Stick
2504,Worn Shortbow
2505,Polished Shortbow
2506,Hornwood Recurve Bow
2507,Laminated Recurve Bow
2508,Old Blunderbuss
2509,Ornate Blunderbuss
2510,Solid Blunderbuss
2511,Hunter's Boomstick
2512,Rough Arrow
2515,Sharp Arrow
2516,Light Shot
2519,Heavy Shot
2520,Broadsword
2521,Flamberge
2522,Crescent Axe
2523,Bullova
2524,Truncheon
2525,War Hammer
2526,Main Gauche
2527,Battle Staff
2528,Falchion
2529,Zweihander
2530,Francisca
2531,Great Axe
2532,Morning Star
2533,War Maul
2534,Rondel
2535,War Staff
2545,Malleable Chain Leggings
2546,Royal Frostmane Girdle
2547,Boar Handler Gloves
2549,Staff of the Shade
2562,Bouquet of Scarlet Begonias
2564,Elven Spirit Claws
2565,Rod of Molten Fire
2566,Sacrificial Robes
2567,Evocator's Blade
2568,Brown Linen Vest
2569,Linen Boots
2570,Linen Cloak
2571,Viny Wrappings
2572,Red Linen Robe
2575,Red Linen Shirt
2576,White Linen Shirt
2577,Blue Linen Shirt
2578,Barbaric Linen Vest
2579,Green Linen Shirt
2580,Reinforced Linen Cape
2582,Green Woolen Vest
2583,Woolen Boots
2584,Woolen Cape
2585,Gray Woolen Robe
2586,Gamemaster's Robe
2587,Gray Woolen Shirt
2612,Plain Robe
2613,Double-Stitched Robes
2614,Robe of Apprenticeship
2615,Chromatic Robe
2616,Shimmering Silk Robes
2617,Burning Robes
2618,Silver Dress Robes
2620,Augural Shroud
2621,Cowl of Necromancy
2622,Nimar's Tribal Headdress
2623,Holy Diadem
2624,Thinking Cap
2632,Curved Dagger
2635,Loose Chain Belt
2642,Loose Chain Boots
2643,Loose Chain Bracers
2644,Loose Chain Cloak
2645,Loose Chain Gloves
2646,Loose Chain Pants
2648,Loose Chain Vest
2649,Flimsy Chain Belt
2650,Flimsy Chain Boots
2651,Flimsy Chain Bracers
2652,Flimsy Chain Cloak
2653,Flimsy Chain Gloves
2654,Flimsy Chain Pants
2656,Flimsy Chain Vest
2664,Spinner Fang
2690,Latched Belt
2691,Outfitter Boots
2694,Settler's Leggings
2721,Holy Shroud
2754,Tarnished Bastard Sword
2763,Fisherman Knife
2764,Small Dagger
2765,Hunting Knife
2766,Deft Stiletto
2773,Cracked Shortbow
2774,Rust-Covered Blunderbuss
2777,Feeble Shortbow
2778,Cheap Blunderbuss
2780,Light Hunting Bow
2781,Dirty Blunderbuss
2782,Mishandled Recurve Bow
2783,Shoddy Blunderbuss
2785,Stiff Recurve Bow
2786,Oiled Blunderbuss
2787,Trogg Dagger
2800,Black Velvet Robes
2801,Blade of Hanna
2805,Yeti Fur Cloak
2807,Guillotine Axe
2815,Curve-Bladed Ripper
2816,Death Speaker Scepter
2817,Hard Leather Tunic
2818,Stretched Leather Trousers
2819,Cross Dagger
2821,Mo'grosh Masher
2822,Mo'grosh Toothpick
2823,Mo'grosh Can Opener
2824,Hurricane
2825,Bow of Searing Arrows
2844,Copper Mace
2845,Copper Axe
2847,Copper Shortsword
2848,Bronze Mace
2849,Bronze Axe
2850,Bronze Shortsword
2851,Copper Chain Belt
2852,Copper Chain Pants
2853,Copper Bracers
2854,Runed Copper Bracers
2857,Runed Copper Belt
2864,Runed Copper Breastplate
2865,Rough Bronze Leggings
2866,Rough Bronze Cuirass
2867,Rough Bronze Bracers
2868,Patterned Bronze Bracers
2869,Silvered Bronze Breastplate
2870,Shining Silver Breastplate
2877,Combatant Claymore
2878,Bearded Boneaxe
2879,Antipodean Rod
2898,Mountaineer Chestpiece
2899,Wendigo Collar
2900,Stone Buckler
2901,Mining Pick
2902,Cloak of the Faith
2903,Daryl's Hunting Bow
2904,Daryl's Hunting Rifle
2905,Goat Fur Cloak
2906,Darkshire Mail Leggings
2907,Dwarven Tree Chopper
2908,Thornblade
2910,Gold Militia Boots
2911,Keller's Girdle
2912,Claw of the Shadowmancer
2913,Silk Mantle of Gamn
2915,Taran Icebreaker
2916,Gold Lion Shield
2941,Prison Shank
2942,Iron Knuckles
2943,Eye of Paleth
2944,Cursed Eye of Paleth
2949,Mariner Boots
2950,Icicle Rod
2953,Watch Master's Cloak
2954,Night Watch Pantaloons
2955,First Mate Hat
2957,Journeyman's Vest
2958,Journeyman's Pants
2959,Journeyman's Boots
2960,Journeyman's Gloves
2961,Burnt Leather Vest
2962,Burnt Leather Breeches
2963,Burnt Leather Boots
2964,Burnt Leather Gloves
2965,Warrior's Tunic
2966,Warrior's Pants
2967,Warrior's Boots
2968,Warrior's Gloves
2969,Spellbinder Vest
2970,Spellbinder Pants
2971,Spellbinder Boots
2972,Spellbinder Gloves
2973,Hunting Tunic
2974,Hunting Pants
2975,Hunting Boots
2976,Hunting Gloves
2977,Veteran Armor
2978,Veteran Leggings
2979,Veteran Boots
2980,Veteran Gloves
2981,Seer's Robe
2982,Seer's Pants
2983,Seer's Boots
2984,Seer's Gloves
2985,Inscribed Leather Breastplate
2986,Inscribed Leather Pants
2987,Inscribed Leather Boots
2988,Inscribed Leather Gloves
2989,Burnished Tunic
2990,Burnished Leggings
2991,Burnished Boots
2992,Burnished Gloves
3000,Brood Mother Carapace
3008,Wendigo Fur Cloak
3011,Feathered Headdress
3018,Hide of Lupos
3019,Noble's Robe
3020,Enduring Cap
3021,Ranger Bow
3022,Bluegill Breeches
3023,Large Bore Blunderbuss
3024,"BKP 2700 ""Enforcer"""
3025,"BKP 42 ""Ultra"""
3026,Reinforced Bow
3027,Heavy Recurve Bow
3030,Razor Arrow
3033,Solid Shot
3036,Heavy Shortbow
3037,Whipwood Recurve Bow
3039,Short Ash Bow
3040,Hunter's Muzzle Loader
3041,"""Mage-Eye"" Blunderbuss"
3042,"BKP ""Sparrow"" Smallbore"
3045,Lambent Scale Boots
3047,Lambent Scale Gloves
3048,Lambent Scale Legguards
3049,Lambent Scale Breastplate
3053,Humbert's Chestpiece
3055,Forest Leather Chestpiece
3056,Forest Leather Pants
3057,Forest Leather Boots
3058,Forest Leather Gloves
3065,Bright Boots
3066,Bright Gloves
3067,Bright Pants
3069,Bright Robe
3070,Ensign Cloak
3071,Striking Hatchet
3072,Smoldering Robe
3073,Smoldering Pants
3074,Smoldering Gloves
3075,Eye of Flame
3076,Smoldering Boots
3078,Naga Heartpiercer
3079,Skorn's Rifle
3103,Coldridge Hammer
3151,Siege Brigade Vest
3152,Driving Gloves
3153,Oil-Stained Cloak
3154,Thelsamar Axe
3158,Burnt Hide Bracers
3160,Ironplate Buckler
3161,Robe of the Keeper
3166,Ironheart Chain
3184,Hook Dagger
3185,Acrobatic Staff
3186,Viking Sword
3187,Sacrificial Kris
3188,Coral Claymore
3189,Wood Chopper
3190,Beatstick
3191,Arced War Axe
3192,Short Bastard Sword
3193,Oak Mallet
3194,Black Malice
3195,Barbaric Battle Axe
3196,Edged Bastard Sword
3197,Stonecutter Claymore
3198,Battering Hammer
3199,Battle Slayer
3200,Burnt Leather Bracers
3201,Barbarian War Axe
3202,Forest Leather Bracers
3203,Dense Triangle Mace
3204,Deepwood Bracers
3205,Inscribed Leather Bracers
3206,Cavalier Two-Hander
3207,Hunting Bracers
3208,Conk Hammer
3209,Ancient War Sword
3210,Brutal War Axe
3211,Burnished Bracers
3212,Lambent Scale Bracers
3213,Veteran Bracers
3214,Warrior's Bracers
3216,Warm Winter Robe
3217,Foreman Belt
3222,Wicked Dagger
3223,Frostmane Scepter
3224,Silver-Lined Bracers
3225,Bloodstained Knife
3227,Nightbane Staff
3228,Jimmied Handcuffs
3229,Tarantula Silk Sash
3230,Black Wolf Bracers
3231,Cutthroat Pauldrons
3260,Scarlet Initiate Robes
3261,Webbed Cloak
3262,Putrid Wooden Hammer
3263,Webbed Pants
3267,Forsaken Shortsword
3268,Forsaken Dagger
3269,Forsaken Maul
3270,Flax Vest
3272,Zombie Skin Leggings
3273,Rugged Plate Vest
3274,Flax Boots
3275,Flax Gloves
3276,Deathguard Buckler
3277,Executor Staff
3279,Battle Chain Boots
3280,Battle Chain Bracers
3281,Battle Chain Gloves
3282,Battle Chain Pants
3283,Battle Chain Tunic
3284,Tribal Boots
3285,Tribal Bracers
3286,Tribal Gloves
3287,Tribal Pants
3288,Tribal Vest
3289,Ancestral Boots
3290,Ancestral Gloves
3291,Ancestral Woollies
3292,Ancestral Tunic
3293,Deadman Cleaver
3294,Deadman Club
3295,Deadman Blade
3296,Deadman Dagger
3302,Brackwater Boots
3303,Brackwater Bracers
3304,Brackwater Gauntlets
3305,Brackwater Leggings
3306,Brackwater Vest
3307,Barbaric Cloth Boots
3308,Barbaric Cloth Gloves
3309,Barbaric Loincloth
3310,Barbaric Cloth Vest
3311,Ceremonial Leather Ankleguards
3312,Ceremonial Leather Bracers
3313,Ceremonial Leather Harness
3314,Ceremonial Leather Gloves
3315,Ceremonial Leather Loincloth
