ID,Description_lang,Title_lang
194,Defeat the monsters attacking Greenstone's dojo.,Rescue the Dojo
210,Defeat the Horde in the harbor.,Sweep the Harbor
211,Cleanse the Sha corruption from the Pool of Life.,The Pool of Life
217,Locate Jaina in the Mana Bomb crater.,The Lady Proudmoore
224,Find Scholar Shue.,The Lorewalker's Fate
367,Find the entrance to the Saurok Cave.,We Ride!
368,Defeat the Saurok guarding the cave.,Guards!
369,Find the source of the Saurok.,The Source
370,Defeat Broodmaster Noshi.,The Broodmaster
371,Fend off the Kor'kron ambush.,Ambush!
372,Destroy the orbs of protection and make your way into the fortress.,Infiltrate the Ancient Fortress
373,Grab as much treasure as you can before the titan construct is released.,Stealing for Profit
374,Launch an assault on the island of Zan'vess.,Assault on Zan'vess
375,Destroy the Sonic Towers and deactivate the Zan'vess Defense Shield.,Defenses of Zan'vess
376,Storm the beach and reach the Heart of Zan'vess.,The Heart of Zan'vess
377,Defeat Admiral Hagman.,Defeat the Admiral!
378,Protect the Ship!  Defeat the Horde Boarding party.,Boarding Party!
379,Plant explosives on the Horde Ship to destroy it!,To Smithereens!
382,Speak with Vol'jin to begin the search for the Saurok cave.,The Mission...
383,Make your way deeper into the cave.,Into the Cave
384,Investigate the Mogu Statues.,Investigation
386,Join up with Daggin Windbeard.,The Flight Master
387,Defeat Commander Tel'vrak and retrieve the Mantid weapon cache.,Weapons of Zan'vess
398,Assist the two groups of laborers in the construction of their defenses.,Prepare the Defenses
408,Avoid the guards and enter the Sanctuary of Shadows.,Enter the Black Temple
409,Find the Council of the Black Harvest's trail.,Search for signs of the Council's Presence
410,Walk with Akama to the Shrine of Lost Souls.,Follow Akama to the Shrine of Lost Souls
412,Defeat Commander Scargash and reclaim the Temple of the Red Crane.,Kill Commander Scargash
413,Investigate the Shrine of Lost Souls.,Uncover the Council's Plan
414,Claim the soul crystal left behind by the Council of the Black Harvest.,Defeat the Essence of Order
415,Fight off the demons unleashed by the Reliquary and return to Akama in the Halls of Anguish.,Escape the Shrine of Lost Souls
416,Grab as much treasure as you can before time runs out.,Plunder the Den of Mortal Delights
417,Take the Empowered Soulcore to the Temple Summit.,Head to the Temple Summit
419,Fight your way through the docks to Admiral Taylor.,Death on the Docks
420,Defeat the Horde forces assaulting the keep.,Reclaim the Court!
423,Gather information from the SI:7 team.,Legwork
424,Hold the keep against waves of Horde invaders and their commander.,Hold the Line!
430,Launch an assault on the island of Zan'vess.,Assault on Zan'vess
431,Destroy the Sonic Towers and deactivate the Zan'vess Defense Shield.,Defenses of Zan'vess
432,Storm the beach and reach the Heart of Zan'vess.,The Heart of Zan'vess
433,Defeat Commander Tel'vrak and retrieve the Mantid weapon cache.,Weapons of Zan'vess
434,Locate High Marshal Twinbraid and help repel the Horde assault.,The High Marshal
435,Set up Sully's weapons and prepare to defend the keep!,Setting Up
436,Join up with Kromthar.,The Flight Master
437,Fight your way through the burning refinery to General Nazgrim.,A.C.E.s High
438,Defeat the Alliance forces assaulting the keep.,Reclaim the Court!
439,Locate Warlord Bloodhilt and help repel the Alliance assault.,The Warlord
440,Gather information about the Alliance and Horde forces.,Legwork
441,Set up Rivett's weapons and prepare to defend the keep!,Setting Up
442,Hold the gate against waves of Alliance invaders and their commander.,Hold the Line!
443,Ride Thunderwing to scout Stormsea Landing from the air.,Blending In
444,Drop smoke bombs on sentry totems to deactivate them.,Path of Smoke
445,Knock Out the crew members marked by Taoshi and sneak to the siege weapons at the front of the ship.,Shadows in the Storm
446,Sneak across the shipyard and up the hill to reach Hu'seng the Gatekeeper.,Keep Quiet
447,Slay Hu'seng the Gatekeeper and recover his key.,Light Up the Night
448,Mount the Sunreaver Bloodhawk and fly with Scout Captain Elsia over the island.,Rendezvous with Scout Captain Elsia
449,,Survive the Ambush
450,,Destroy the Barricades
451,,Kill Kresh the Ripper
452,,Kill Arcanital Tula'chek and his Spirit Mask
453,Mount your Thunderwing!,Taking Off...
454,The Zandalari have spotted you! Defeat your attackers!,Intercepted!
455,Horaki has knocked you from your mount! Defeat him!,Master the Beastmaster
456,"Meet up with Taoshi, your Shado-Pan Contact.",Into the Mines
458,"Cover Taoshi while she deactivates the lock on the mine door, and defeat Slavemaster Shiaxu.",Cover Me!
460,Work with your allies to assault Bloodied Crossing.,Bloodied Crossing
465,Defeat Shan Bu's Mogu and Zandalari defenders.,The Foot of Lei Shen
472,Defeat the Palace Gatekeepers to unlock the gates.,Destroy the Gatekeepers
473,Acquire the Heavy Explosives.,Find Lost Explosives
474,Light the fuse on the Heavy Explosives.,Detonate Explosives
475,,Kill War-God Al'chukla
476,Acquire the Heavy Explosives.,Find Lost Explosives
477,Light the fuse on the Heavy Explosives.,Detonate Explosives
478,,Kill War-God Al'chukla
479,Speak to Elsia at the city wall.,Deliver Explosives
480,Speak with Vereesa at the city wall.,Deliver Explosives
482,Assist Taran Zhu and Yalia in bringing down Shan Bu.,Defeat Shan Bu
483,Head below decks and assassinate Captain Halu'kal.,Wetwork
484,Defend Wrathion while the Thunder Forge charges.,Charging Up
485,Defend the Celestial Blacksmith while it forges the Lightning Lance.,Corruption Detected
486,Defeat the Sha Amalgamation assaulting the Thunder Forge.,Manifested Corruption
487,Make your way to the mine's main door.,What's Yours is Mine!
490,Speak with Wrathion to figure out how to activate the Thunder Forge.,Speak with Wrathion
491,"Place the Empowered Soulcore in the Demonic Soulwell, and defeat Kanrethad.",Defeat Kanrethad
492,Pour the trillium into the molds and begin charging the Thunder Forge.,Forged from Trillium
493,Mount the Silver Covenant Hippogryph and fly with Ranger General Vereesa Windrunner over the island.,Rendezvous with Ranger General Vereesa Windrunner
494,,Survive the Ambush
495,,Destroy the Barricades
496,,Kill Anki and Beastcaller Pakutesh
497,,Kill Arcanital Mara'kah and his Spirit Mask
498,Use the Gatekeeper's Orb to open the gate to the Bloodied Crossing.,Breaking Out
508,You will only have a limited amount of time to gather as much treasure as you can.  Speak to Taoshi when you're ready to begin.,Speak to Taoshi
509,Talk to Wrathion to start the Thunder Forge,Into the Forge
510,Grab as much treasure as you can and reach the exit before the timer expires.,Reach the Exit
511,Speak with Grizzle Gearslip.,Talk to the Boss
514,Breach the main chamber and stop the abductions.,Infiltration
515,Investigate the main chamber.,Reconnaissance
516,Help Ticker build a device to open the next gate.,The Sealed Gate
533,Defend the Gob Squad while Patch establishes an escape route.,Holdout
535,Destroy the greater elemental ravaging the Big Blossom Excavation site.,Rock Grinding
536,Collect artifacts for Gearslip while his workers clear the mine entrance.,Economic Recovery
537,Travel deep into the Big Blossom Mine and blast open the wall.,End of the Mine
538,Destroy the Echo of Y'Shaarj.,Heartbreak
539,Contact the Dark Iron Mountaineers atop Shimmer Ridge and find a way to stop the storm.,The Mountaineers
540,Free Scout Stonebeard from the trolls' roasting spit.,Save Scout Stonebeard
541,Slay the trolls trying to cook Scout Boldbrew.,Save Scout Boldbrew
542,Slay the trolls about to sacrifice Scout Forgefellow.,Save Scout Forgefellow
543,Slay the elemental spirit in the ice cave to end the snowstorm.,The Cold Cave
544,"Join Moira's forces, slay the Zandalari leader, and capture the Frostmane village.",Victory or Death
545,Steal Explosives from enemy Demolitionists.,Explosives Acquisition
550,Speak to Rotun to begin a trial.,Select a Trial
551,Complete the Bonus Objective to receive bonus rewards.,Bonus Objective
556,Protect the Ship!  Defeat the Alliance Boarding party.,Boarding Party!
557,Steal Explosives from enemy Demolitionists.,Explosives Acquisition
558,Plant explosives on the Alliance Ship to destroy it!,To Smithereens!
559,Defeat Admiral Hodgson.,Defeat the Admiral!
560,Complete the Bonus Objective to receive bonus rewards.,Bonus Objectives
561,Complete all Bonus Objectives to receive bonus rewards.,Bonus Objectives
565,Complete the Bonus Objective to receive additional rewards.,Bonus Objective
566,Complete the Bonus Objective to receive bonus rewards.,Bonus Objective
567,Complete the Bonus Objective to receive bonus rewards.,Bonus Objectives
580,Complete the Bonus Objective to receive bonus rewards.,Bonus Objectives
587,Step 1 description.,Step 1
593,Step 2 description.,Step 2
594,Step 3 description.,Step 3
595,Step 4 description.,Step 4
596,Step 5 description.,Step 5
597,Step 6 description.,Step 6
598,The trial is about to begin.,Get Ready...
599,,Proving Grounds
607,,Step 2
608,,Step 1
615,Destroy the abomination that haunts the Black Ox Temple.,He Who Has No Life
616,Stage 0,Test Stage 0
617,,Step 3
618,,Step 4
619,The End!,Step 5
620,Defeat three champions of Pandaria in a pet battle.,Champions of Pandaria
621,Defeat each of the Celestials in a pet battle.,Celestial Combat
637,Seat and serve the customers as they show up. Don't let 5 patrons get away without being served.,Noodle Time
647,Learn how to run the noodle stand.,Tutorial
652,Seat and serve the customers as they show up. Don't let 5 patrons get away without being served.,Noodle Time
653,"Get a score of at least 30,000",Bonus: Go for the Gold!
654,Kill all orcs in Grommar.,The Purge of Grommar
655,Slay Orrok the Spearmaster.,The Gates of Grommar
680,Defeat the forces of the Death's Head Quilboar inside their city of Razorfen Kraul.,Razorfen Kraul
718,Mine as much as you can before you run out of Steam Power!,Collect Resources
721,"Slay Goraluk Anvilcrack, High Machinist of the Naval Base.",Goraluk Anvilcrack
725,Kill the guards in Stonard.,"Kill Zem, Kill Zem All"
726,sendevent 36841,Step 2
727,sendevent 36841,Step 3
728,Stop the Bleeding Hollow Soul Shaman from reanimating the Fomor skeleton.,Stop the Ritual
729,Defend Thrall until he breaches the inner chamber.,Army of Souls
730,Confront Kilrogg Deadeye and stop the dark ritual.,Kilrogg Deadeye
731,Slay Maggoc.,Slay Maggoc
732,Clear the remaining orcs from the docks and slay Commander Vorka.,Fire From the Skies
736,Kill inhabitants of rooms to extinguish runes.,Extinguish Runes
737,Protect Frostfire against waves of Iron Horde attackers.,Hold the Choke Point
738,Destroy the Iron Clusterpult.,The Iron Clusterpult
739,Protect Frostfire against waves of Iron Horde attackers.,A Good Defense
740,Protect Drek'thar from Iron Horde attackers.,Defending Drek'thar
741,Protect Frostfire against waves of Iron Horde attackers.,Iron Thunderlords
742,Defeat Malgrim Stormhand.,Malgrim Stormhand
743,Protect Frostfire against waves of Iron Horde attackers.,The Final Defense
745,Speak with Durotan.,The Battle Begins
747,"Allied forces, under the guidance of the Archmage Khadgar, are ready to begin the battle of Shattrath.",Preparations
748,Clear the way to the harbor with the Iron Star.,The Battle is Joined
752,The Iron Horde has amassed on the docks. Protect Khadgar while he prepares a spell to neutralize the harbor.,The Iron Harbor
753,The Iron Horde's fabled weapon is in the harbor. Take over the ship. Your allies will work to keep Blackhand out of your way on the flagship.,The Weapon
754,Speak with Vindicator Maraad.,Chosen by K'ara
755,Speak with Durotan.,Speak with Durotan
756,"Escort your group northward, toward the Machinehouse.",Get to the Machinehouse
757,Get to the Supply Depot.,Get to Supply Depot
758,Survive against waves of Iron Horde orcs.  Use explosive barrels against them.,Survive Iron Horde Onslaught
759,Get to the Central Dock so you can board the Wavemurder Barge.,Get to Central Dock
761,Speak with Rokk to get launched onto the Wavemurder Barge.,Get on the Barge
762,Destroy the Wavemurder Barge.,Destroy the Wavemurder Barge
765,Defeat the bosses of Blackfathom Deeps,Blackfathom Deeps
773,Defeat Domina,Bonus Objective
796,Defeat the Ironmarch forces occupying the halls of the Spire.,Upper Blackrock Spire
833,Kill 5 Dudes,5 Bonus
834,Kill 10 Dudes,10 Bonus
835,Defeat the Adherents of Rukhmar atop Skyreach.,Skyreach
837,Defeat the Bloodmaul slavers operating the Slag Mines.,Bloodmaul Slag Mines
838,Disrupt the Iron Horde's naval forces.,Iron Docks
839,Root out the corruption within Auchindoun.,Auchindoun
840,Defeat the Ner'zhul's dark sect of Shadowmoon cultists.,Shadowmoon Burial Grounds
841,Stop the Grimrail from delivering its deadly payload.,Grimrail Depot
842,Investigate the overgrown Kirin Tor outpost.,The Everbloom
844,Defeat the Ironmarch forces occupying the halls of the Spire.,Upper Blackrock Spire
861,Fight your way to the back gates and defeat Arnokk the Burner.,Defeat Arnokk the Burner
862,Fight your way to the Karabor Harbor,Meet Yrel at the Karabor Harbor
863,Protect K'ara until it becomes fully empowered.,Protect K'ara from the invading forces
864,Follow Prophet Velen.,A Vision Revealed
865,Witness Commander Vorka's arrival.,Commander Vorka
866,Defeat Krull.,Enemy Onslaught
868,Speak to Prophet Velen on the Karabor stairs.,The Final Defense
873,Stop the Bombardment of Karabor!,Kill Commander Vorka!
884,Defeat Subjugator Kor'ul,Bonus Objective
885,Defeat the Guardian of the Deep,Bonus Objective
895,Help defeat Blackhand on the Iron Horde's flagship.,Blackhand
914,Endure the Goren Assault.,The Holdout
915,Defeat the Gronn.,It is Near
920,Defeat the Goren Ambush.,Ambush
928,Follow the Sergeant,Invasion!
929,Speak with Vindicator Yrel to begin the Alliance's assault upon Grommashar.,Launch the Attack
930,The might of the Warsong clan rests in their wolfriders. Flank the packmaster and the core of the clan's power will crumble.,Defeat the Packmaster
931,"Thunderlord clan members of the Iron Horde have enslaved the mighty gronn, Durn the Hungerer. Slay him.",Slay Durn the Hungerer
932,The time has come for you and Vindicator Yrel to confront Warlord Garrosh Hellscream.,Confront Warlord Garrosh Hellscream
933,Speak with Durotan to begin the Horde's assault upon Grommashar.,Launch the Attack
934,The might of the Warsong clan rests in their wolfriders. Flank the packmaster and the core of the clan's power will crumble.,Defeat the Packmaster
935,"Thunderlord clan members of the Iron Horde have enslaved the mighty gronn, Durn the Hungerer. Slay him.",Slay Durn the Hungerer
936,The time has come for you and Durotan to confront Warlord Garrosh Hellscream.,Confront Warlord Garrosh Hellscream
937,Return to the town center.,The Calm
938,Defeat the prisoners of The Stockade.,The Stockade
939,Defeat the bosses of Ragefire Chasm.,Ragefire Chasm
940,Defeat the inhabitants of Wailing Caverns.,Disciples of Naralex
941,Defeat Kresh,Bonus Objective
942,Defeat the bosses of Shadowfang Keep.,Shadowfang Keep
946,Defeat Baron Silverlaine within Shadowfang Keep.,Bonus Objective: Defeat Baron Silverlaine
947,Defeat Commander Springvale within Shadowfang Keep.,Bonus Objective: Defeat Commander Springvale
948,Protect Muyoh as he performs the awakening ritual,Disciples of Naralex
949,Defeat Skum,Bonus Objective
956,Defeat the bosses of Shadowfang Keep.,Shadowfang Keep
957,Defeat Baron Silverlaine within Shadowfang Keep.,Bonus Objective: Defeat Baron Silverlaine
958,Defeat Commander Springvale within Shadowfang Keep.,Bonus Objective: Defeat Commander Springvale
959,Defeat the bosses of Siege of Niuzao Temple.,Siege of Niuzao Temple
960,Defeat the bosses of Siege of Niuzao Temple.,Siege of Niuzao Temple
961,Defeat the bosses of Gate of the Setting Sun.,Gate of the Setting Sun
962,Defeat the bosses of Gate of the Setting Sun.,Gate of the Setting Sun
963,Defeat the bosses of Mogu'shan Palace.,Mogu'shan Palace
966,Defeat the bosses of Shado-Pan Monastery.,Shado-Pan Monastery
970,Defeat the bosses of Shado-Pan Monastery.,Shado-Pan Monastery
971,Defeat the bosses of Mogu'shan Palace.,Mogu'shan Palace
972,Defeat the bosses of Stormstout Brewery.,Stormstout Brewery
973,Defeat the bosses of Stormstout Brewery.,Stormstout Brewery
974,Defeat the bosses within the Temple of the Jade Serpent.,Temple of the Jade Serpent
975,Defeat the bosses within the Temple of the Jade Serpent.,Temple of the Jade Serpent
976,Defeat Verdan the Everliving,Bonus Objective
977,Defeat the bosses of Blackrock Caverns,Blackrock Caverns
978,Defeat Beauty,Bonus Objective
983,Defeat the bosses of Blackrock Caverns.,Blackrock Caverns
984,Defeat Beauty.,Bonus Objective
987,Defeat all of the Echoes in End Time.,Defeat Echoes
989,Defeat Murozond in End Time.,Defeat Murozond
990,Defeat the bosses of Throne of the Tides.,Throne of the Tides
991,Rescue Erunak Stonespeaker from Mindbender Ghur'sha.,Bonus Objective
994,Defeat the bosses of Throne of the Tides.,Throne of the Tides
995,Rescue Erunak Stonespeaker from Mindbender Ghur'sha.,Bonus Objective
996,Defeat the bosses of The Vortex Pinnacle,The Vortex Pinnacle
997,Defeat the bosses of The Vortex Pinnacle,The Vortex Pinnacle
998,Defeat the bosses of Grim Batol,Grim Batol
999,Defeat the bosses of Grim Batol,Grim Batol
1000,Defeat the bosses of the Lost City of the Tol'vir,Lost City of the Tol'vir
1001,Incur the wrath of Jin'do the Godbreaker.,Incur Jin'do's Wrath
1002,Defeat Jin'do the Godbreaker.,Jin'do the Godbreaker
1003,Defeat the bosses of Zul'Gurub.,Bosses Defeated
1004,Complete the Edge of Madness event in Zul'Gurub.,The Cache of Madness
1005,Defeat the bosses of the Lost City of the Tol'vir,Lost City of the Tol'vir
1006,Defeat the bosses of the Halls of Origination,Halls of Origination
1008,"Defeat Isiset, Construct of Magic",Bonus Objective
1009,"Defeat Ammunae, Construct of Life",Bonus Objective
1010,"Defeat Setesh, Construct of Destruction",Bonus Objective
1041,Defeat the bosses of the Halls of Origination,Halls of Origination
1043,"Defeat Isiset, Construct of Magic",Bonus Objective
1044,"Defeat Ammunae, Construct of Life",Bonus Objective
1045,"Defeat Setesh, Construct of Destruction",Bonus Objective
1046,Defeat the bosses within The Forge of Souls,The Forge of Souls
1047,Assist Illidan in disabling the three demon portals.,Disable Demon Portals
1048,Assist Illidan in slaying the demon leader.,Slay Peroth'arn
1049,Prevent Queen Azshara from interfering with Nozdormu's plans.,Distract Queen Azshara
1050,Assist Illidan in defeating Mannoroth.,Defeat Mannoroth
1051,Defeat the bosses within The Forge of Souls,The Forge of Souls
1053,Defeat the bosses of the Pit of Saron,Pit of Saron
1054,Assist Thrall in defeating the Twilight Hammer.,The Hour of Twilight
1055,Defeat the bosses of the Pit of Saron,Pit of Saron
1057,Defeat the bosses of the Halls of Reflection,Halls of Reflection
1058,Defeat the bosses of the Halls of Reflection,Halls of Reflection
1059,Defeat the bosses of Zul'Aman.,Zul'Aman
1060,Defeat the bosses of The Oculus,The Oculus
1061,Defeat the bosses of The Oculus,The Oculus
1062,Defeat the bosses of Utgarde Pinnacle.,Utgarde Pinnacle
1066,Defeat the bosses of Utgarde Pinnacle.,Utgarde Pinnacle
1068,Defeat the bosses within the Halls of Lightning,Halls of Lightning
1069,Defeat the bosses within the Halls of Lightning,Halls of Lightning
1070,Defeat the bosses within the Halls of Stone,Halls of Stone
1074,Defeat the bosses within the Halls of Stone,Halls of Stone
1077,"Chromie has asked you to accompany Arthas in the Culling of Stratholme, you must see to it that he defeats Mal'Ganis!",A Royal Escort
1079,"Chromie has asked you to accompany Arthas in the Culling of Stratholme, you must see to it that he defeats Mal'Ganis!",A Royal Escort
1080,Complete the timed event in under twenty-five minutes and defeat the Infinite Corruptor.,Infinite Corruptor Defeated
1081,Defeat the bosses of Gundrak,Gundrak
1082,Defeat the bosses of Gundrak,Gundrak
1083,Defeat Eck the Ferocious,Bonus Objective
1084,Defeat the bosses of Violet Hold,The Violet Hold
1085,Defeat the bosses of Violet Hold,The Violet Hold
1086,Defeat the bosses of Drak'Tharon Keep,Drak'Tharon Keep
1087,Defeat the bosses of Drak'Tharon Keep,Drak'Tharon Keep
1088,Defeat the bosses of Ahn'kahet: The Old Kingdom,Ahn'kahet: The Old Kingdom
1089,Defeat the bosses of Ahn'kahet: The Old Kingdom,Ahn'kahet: The Old Kingdom
1090,Defeat Amanitar,Bonus Objective
1091,Defeat the bosses of Azjol-Nerub.,Azjol-Nerub
1092,Defeat the bosses of Azjol-Nerub.,Azjol-Nerub
1093,Defeat the bosses of Utgarde Keep,Utgarde Keep
1094,Defeat the bosses of Utgarde Keep,Utgarde Keep
1095,Defeat the bosses of The Nexus and free Keristrasza.,Prisoner of War
1096,Defeat the bosses of The Nexus and free Keristrasza.,Prisoner of War
1097,Defeat Commander Stoutbeard.,Commander Stoutbeard defeated
1108,Defeat the bosses of The Nexus and free Keristrasza.,Prisoner of War
1109,Defeat Commander Kolurg.,Commander Kolurg defeated
1110,Defeat the bosses of the Shadow Labyrinth,Shadow Labyrinth
1111,Defeated the bosses of The Shattered Halls.,The Shattered Halls
1112,Defeated the bosses of The Shattered Halls.,The Shattered Halls
1113,Defeat the bosses of the Shadow Labyrinth,Shadow Labyrinth
1114,Defeat the bosses of The Black Morass,The Black Morass
1115,Defeat the bosses of The Black Morass,The Black Morass
1116,Defeat the bosses of The Botanica,The Botanica
1117,Defeat the bosses of The Botanica,The Botanica
1118,Defeat the bosses of The Mechanar,The Mechanar
1119,Defeat the bosses of The Mechanar,The Mechanar
1120,"Kael'thas has risen from the ashes, he must be stopped!",Magisters' Terrace
1121,"Kael'thas has risen from the ashes, he must be stopped!",Magisters' Terrace
1122,Defeat the bosses of The Steamvault,The Steamvault
1123,Defeat the bosses of The Steamvault,The Steamvault
1124,Defeat the bosses of The Arcatraz.,The Arcatraz
1125,Defeat the bosses of The Arcatraz.,The Arcatraz
1126,Defeat the bosses of Sethekk Halls,Sethekk Halls
1127,Defeat the bosses of Sethekk Halls,Sethekk Halls
1129,Defeat the bosses of Old Hillsbrad Foothills,Old Hillsbrad Foothills
1130,Defeat the bosses of Old Hillsbrad,Old Hillsbrad Foothills
1131,Defeat the bosses of Auchenai Crypts,Auchenai Crypts
1132,Defeat the bosses of Auchenai Crypts,Auchenai Crypts
1133,Defeat the bosses within Mana-Tombs,Mana-Tombs
1134,Defeat the bosses within Mana-Tombs,Mana-Tombs
1135,Defeat Yor,Bonus Objective
1136,Defeat the bosses of The Underbog,The Underbog
1137,Defeat the bosses of The Underbog,The Underbog
1138,Defeat the bosses of The Slave Pens,The Slave Pens
1139,Defeat the bosses of The Slave Pens,The Slave Pens
1140,Defeat the bosses of The Blood Furnace,The Blood Furnace
1141,Defeat the bosses of The Blood Furnace,The Blood Furnace
1142,"Balnazzar has risen an army of vile undead slaves, we cannot let him grow this army. Kill him while we still have a chance!",The Dreadlord Balnazzar
1143,Defeat The Unforgiven.,The Unforgiven defeated
1144,Defeated Hearthsinger Forresten,Hearthsinger Forresten defeated
1145,Defeat Timmy the Cruel.,Timmy the Cruel defeated
1146,Defeat Postmaster Malown.,Postmaster Malown defeated
1147,Defeat Commander Malor.,Commander Malor defeated
1148,Defeat Willey Hopebreaker.,Willey Hopebreaker defeated
1149,Defeat Instructor Galford.,Instructor Galford defeated
1150,Destroy the Ash'ari Crystals to disable the ziggurats and gain access to the Slaughterhouse.,Disable the Ziggurats
1151,Defeat the abominations guarding the Slaughterhouse.,The Slaughterhouse
1152,Defeat Ramstein the Gorger.,Ramstein the Gorger
1153,Defeat the bosses in Hellfire Ramparts,Hellfire Ramparts
1154,Defeat the bosses in Hellfire Ramparts,Hellfire Ramparts
1155,Defeat the Black Guard Sentries and proceed into Lord Aurius Rivendare's domain.,Lord Aurius Rivendare
1156,Defeat Magistrate Barthilas.,Magistrate Barthilas defeated
1157,Defeat the bosses of the Temple of Atal'hakkar,The Temple of Atal'hakkar
1161,Defeat the bosses of the Deadmines.,The Deadmines
1163,Defeat the bosses of the Deadmines.,The Deadmines
1164,Defeat the bosses of Zul'Farrak,Zul'Farrak
1165,Defeat Antu'sul,Bonus Objective
1166,Defeat Theka the Martyr,Bonus Objective
1167,Defeat Witch Doctor Zum'rah,Bonus Objective
1168,Defeat Hydromancer Velratha,Bonus Objective
1169,Defeat Gahz'rilla,Bonus Objective
1170,The key to lifting the curse of this place rests in the final death of Darkmaster Gandling.,Scholomance
1171,The key to lifting the curse of this place rests in the final death of Darkmaster Gandling.,Scholomance
1172,Defeat Blackthorn's Lieutenants,Blackthorn's Lieutenants
1173,Defeat Death Speaker Blackthorn,Death Speaker Blackthorn
1174,Defeat Amnennar the Coldbringer,Amnennar the Coldbringer
1175,Defeat the bosses of Uldaman,Uldaman
1176,Defeat Mekgineer Thermaplugg.,Gnomeregan
1177,Defeat Grubbis.,Grubbis defeated
1178,Defeat Viscous Fallout.,Viscous Fallout defeated
1179,Defeat Electrocutioner 6000.,Electrocutioner 6000 defeated
1180,Defeat Crowd Pummeler 9-60.,Crowd Pummeler 9-60 defeated
1181,Defeat the bosses of the Scarlet Halls.,Scarlet Halls
1182,Defeat Armsmaster Harlan.,Armsmaster Harlan defeated
1183,Defeat the Obsidian Sentinel,Bonus Objective
1184,Defeat the Ancient Stone Keeper,Bonus Objective
1185,Defeat Galgann Firehammer,Bonus Objective
1186,Defeat the bosses of the Scarlet Halls.,Scarlet Halls
1187,Defeat Armsmaster Harlan.,Armsmaster Harlan defeated
1188,Defeat Grimlok,Bonus Objective
1189,Send High Inquisitor Whitemane to her final rest and put an end to the Scarlet Crusade.,Scarlet Monastery
1190,Send High Inquisitor Whitemane to her final rest and put an end to the Scarlet Crusade.,Scarlet Monastery
1191,Defeat the bosses of Razorfen Kraul,Razorfen Kraul
1196,Bronze: Earn 300 Points,Bronze
1197,Silver: Earn 600 Points,Silver
1198,Gold: Earn 1000 Points,Gold
